(on b10 a2), layer: 0
(occupied ta1-2-rat-a), layer: 2
(occupied ta1-1-rat-a), layer: 2
(on b13 a1), layer: 2
(on b11 a1), layer: 2
(on b5 a1), layer: 2
(on b3 a1), layer: 2
(last b12 s13), layer: 2
(first b12 s13), layer: 2
(not-occupied ta3-2-rat-a), layer: 2
(not-occupied ta3-1-rat-a), layer: 2
(last b8 s13), layer: 2
(first b8 s13), layer: 2
(first b0 s12), layer: 2
(last b0 s12), layer: 2
(on b2 a2), layer: 2
(first b7 s12), layer: 2
(last b7 s12), layer: 2
(first b2 s13), layer: 2
(last b2 s13), layer: 2
(occupied ta3-3-lco), layer: 2
(occupied ta3-2-lco), layer: 2
(on b0 a3), layer: 2
(normal s12), layer: 0
(normal s13), layer: 0
(may-interface lco lco), layer: 0
(may-interface gasoleo gasoleo), layer: 0
(may-interface rat-a rat-a), layer: 0
(may-interface oca1 oca1), layer: 0
(may-interface oc1b oc1b), layer: 0
(may-interface lco gasoleo), layer: 0
(may-interface gasoleo lco), layer: 0
(may-interface lco oca1), layer: 0
(may-interface oca1 lco), layer: 0
(may-interface lco oc1b), layer: 0
(may-interface oc1b lco), layer: 0
(may-interface lco rat-a), layer: 0
(may-interface rat-a lco), layer: 0
(may-interface gasoleo rat-a), layer: 0
(may-interface rat-a gasoleo), layer: 0
(may-interface gasoleo oca1), layer: 0
(may-interface oca1 gasoleo), layer: 0
(may-interface gasoleo oc1b), layer: 0
(may-interface oc1b gasoleo), layer: 0
(may-interface oca1 oc1b), layer: 0
(may-interface oc1b oca1), layer: 0
(connect a1 a2 s12), layer: 0
(connect a1 a3 s13), layer: 0
(tank-slot-product-location ta1-3-lco lco a1), layer: 0
(tank-slot-product-location ta1-2-lco lco a1), layer: 0
(tank-slot-product-location ta1-1-lco lco a1), layer: 0
(tank-slot-product-location ta1-1-gasoleo gasoleo a1), layer: 0
(tank-slot-product-location ta1-2-rat-a rat-a a1), layer: 0
(tank-slot-product-location ta1-1-rat-a rat-a a1), layer: 0
(tank-slot-product-location ta1-2-oca1 oca1 a1), layer: 0
(tank-slot-product-location ta1-1-oca1 oca1 a1), layer: 0
(tank-slot-product-location ta2-3-lco lco a2), layer: 0
(tank-slot-product-location ta2-2-lco lco a2), layer: 0
(tank-slot-product-location ta2-1-lco lco a2), layer: 0
(tank-slot-product-location ta2-1-gasoleo gasoleo a2), layer: 0
(tank-slot-product-location ta2-2-rat-a rat-a a2), layer: 0
(tank-slot-product-location ta2-1-rat-a rat-a a2), layer: 0
(tank-slot-product-location ta2-2-oca1 oca1 a2), layer: 0
(tank-slot-product-location ta2-1-oca1 oca1 a2), layer: 0
(tank-slot-product-location ta3-3-lco lco a3), layer: 0
(tank-slot-product-location ta3-2-lco lco a3), layer: 0
(tank-slot-product-location ta3-1-lco lco a3), layer: 0
(tank-slot-product-location ta3-1-gasoleo gasoleo a3), layer: 0
(tank-slot-product-location ta3-2-rat-a rat-a a3), layer: 0
(tank-slot-product-location ta3-1-rat-a rat-a a3), layer: 0
(tank-slot-product-location ta3-2-oca1 oca1 a3), layer: 0
(tank-slot-product-location ta3-1-oca1 oca1 a3), layer: 0
(is-product b10 oca1), layer: 0
(is-product b0 lco), layer: 0
(is-product b1 lco), layer: 0
(is-product b4 lco), layer: 0
(is-product b6 lco), layer: 0
(is-product b7 oca1), layer: 0
(is-product b12 rat-a), layer: 0
(is-product b9 rat-a), layer: 0
(is-product b3 lco), layer: 0
(is-product b13 rat-a), layer: 0
(is-product b8 rat-a), layer: 0
(is-product b2 gasoleo), layer: 0
(is-product b11 gasoleo), layer: 0
(is-product b5 oca1), layer: 0
(unitary s12), layer: 0
(unitary s13), layer: 0
