(tailsnake pos1-6), layer: 0
(isadjacent pos0-3 pos0-2), layer: 0
(isadjacent pos0-4 pos1-4), layer: 0
(isadjacent pos0-4 pos0-5), layer: 0
(isadjacent pos0-4 pos0-3), layer: 0
(isadjacent pos0-5 pos1-5), layer: 0
(isadjacent pos0-5 pos0-6), layer: 0
(isadjacent pos0-5 pos0-4), layer: 0
(isadjacent pos0-6 pos1-6), layer: 0
(isadjacent pos0-6 pos0-5), layer: 0
(isadjacent pos1-0 pos2-0), layer: 0
(isadjacent pos1-0 pos1-1), layer: 0
(isadjacent pos1-0 pos0-0), layer: 0
(isadjacent pos1-1 pos2-1), layer: 0
(isadjacent pos1-1 pos1-2), layer: 0
(isadjacent pos1-1 pos0-1), layer: 0
(isadjacent pos1-1 pos1-0), layer: 0
(isadjacent pos1-2 pos2-2), layer: 0
(isadjacent pos1-2 pos1-3), layer: 0
(isadjacent pos1-2 pos0-2), layer: 0
(isadjacent pos1-2 pos1-1), layer: 0
(isadjacent pos1-3 pos2-3), layer: 0
(isadjacent pos1-3 pos1-4), layer: 0
(isadjacent pos1-3 pos0-3), layer: 0
(isadjacent pos1-3 pos1-2), layer: 0
(isadjacent pos1-4 pos2-4), layer: 0
(isadjacent pos1-4 pos1-5), layer: 0
(isadjacent pos1-4 pos0-4), layer: 0
(isadjacent pos1-4 pos1-3), layer: 0
(isadjacent pos1-5 pos2-5), layer: 0
(isadjacent pos1-5 pos1-6), layer: 0
(isadjacent pos1-5 pos0-5), layer: 0
(isadjacent pos1-5 pos1-4), layer: 0
(isadjacent pos1-6 pos2-6), layer: 0
(isadjacent pos1-6 pos0-6), layer: 0
(isadjacent pos1-6 pos1-5), layer: 0
(isadjacent pos2-0 pos3-0), layer: 0
(isadjacent pos2-0 pos2-1), layer: 0
(isadjacent pos2-0 pos1-0), layer: 0
(isadjacent pos2-1 pos3-1), layer: 0
(isadjacent pos2-1 pos2-2), layer: 0
(isadjacent pos2-1 pos1-1), layer: 0
(isadjacent pos2-1 pos2-0), layer: 0
(isadjacent pos2-2 pos3-2), layer: 0
(isadjacent pos2-2 pos2-3), layer: 0
(isadjacent pos2-2 pos1-2), layer: 0
(isadjacent pos2-2 pos2-1), layer: 0
(isadjacent pos2-3 pos3-3), layer: 0
(isadjacent pos2-3 pos2-4), layer: 0
(isadjacent pos2-3 pos1-3), layer: 0
(isadjacent pos2-3 pos2-2), layer: 0
(isadjacent pos2-4 pos3-4), layer: 0
(isadjacent pos2-4 pos2-5), layer: 0
(isadjacent pos2-4 pos1-4), layer: 0
(isadjacent pos2-4 pos2-3), layer: 0
(isadjacent pos2-5 pos3-5), layer: 0
(isadjacent pos2-5 pos2-6), layer: 0
(isadjacent pos2-5 pos1-5), layer: 0
(isadjacent pos2-5 pos2-4), layer: 0
(isadjacent pos2-6 pos3-6), layer: 0
(isadjacent pos2-6 pos1-6), layer: 0
(isadjacent pos2-6 pos2-5), layer: 0
(isadjacent pos3-0 pos4-0), layer: 0
(isadjacent pos3-0 pos3-1), layer: 0
(isadjacent pos3-0 pos2-0), layer: 0
(isadjacent pos3-1 pos4-1), layer: 0
(isadjacent pos3-1 pos3-2), layer: 0
(isadjacent pos3-1 pos2-1), layer: 0
(isadjacent pos3-1 pos3-0), layer: 0
(isadjacent pos3-2 pos4-2), layer: 0
(isadjacent pos3-2 pos3-3), layer: 0
(isadjacent pos3-2 pos2-2), layer: 0
(isadjacent pos3-2 pos3-1), layer: 0
(isadjacent pos3-3 pos4-3), layer: 0
(isadjacent pos3-3 pos3-4), layer: 0
(isadjacent pos3-3 pos2-3), layer: 0
(isadjacent pos3-3 pos3-2), layer: 0
(isadjacent pos3-4 pos4-4), layer: 0
(isadjacent pos3-4 pos3-5), layer: 0
(isadjacent pos3-4 pos2-4), layer: 0
(isadjacent pos3-4 pos3-3), layer: 0
(isadjacent pos3-5 pos4-5), layer: 0
(isadjacent pos3-5 pos3-6), layer: 0
(isadjacent pos3-5 pos2-5), layer: 0
(isadjacent pos3-5 pos3-4), layer: 0
(isadjacent pos3-6 pos4-6), layer: 0
(isadjacent pos3-6 pos2-6), layer: 0
(isadjacent pos3-6 pos3-5), layer: 0
(isadjacent pos4-0 pos5-0), layer: 0
(isadjacent pos4-0 pos4-1), layer: 0
(isadjacent pos4-0 pos3-0), layer: 0
(isadjacent pos4-1 pos5-1), layer: 0
(isadjacent pos4-1 pos4-2), layer: 0
(isadjacent pos4-1 pos3-1), layer: 0
(isadjacent pos4-1 pos4-0), layer: 0
(isadjacent pos4-2 pos5-2), layer: 0
(isadjacent pos4-2 pos4-3), layer: 0
(isadjacent pos4-2 pos3-2), layer: 0
(isadjacent pos4-2 pos4-1), layer: 0
(isadjacent pos4-3 pos5-3), layer: 0
(isadjacent pos4-3 pos4-4), layer: 0
(isadjacent pos4-3 pos3-3), layer: 0
(isadjacent pos4-3 pos4-2), layer: 0
(isadjacent pos4-4 pos5-4), layer: 0
(isadjacent pos4-4 pos4-5), layer: 0
(isadjacent pos4-4 pos3-4), layer: 0
(isadjacent pos4-4 pos4-3), layer: 0
(isadjacent pos4-5 pos5-5), layer: 0
(isadjacent pos4-5 pos4-6), layer: 0
(isadjacent pos4-5 pos3-5), layer: 0
(isadjacent pos4-5 pos4-4), layer: 0
(isadjacent pos4-6 pos5-6), layer: 0
(isadjacent pos4-6 pos3-6), layer: 0
(isadjacent pos4-6 pos4-5), layer: 0
(isadjacent pos5-0 pos5-1), layer: 0
(isadjacent pos5-0 pos4-0), layer: 0
(isadjacent pos5-1 pos5-2), layer: 0
(isadjacent pos5-1 pos4-1), layer: 0
(isadjacent pos5-1 pos5-0), layer: 0
(isadjacent pos5-2 pos5-3), layer: 0
(isadjacent pos5-2 pos4-2), layer: 0
(isadjacent pos5-2 pos5-1), layer: 0
(isadjacent pos5-3 pos5-4), layer: 0
(isadjacent pos5-3 pos4-3), layer: 0
(isadjacent pos5-3 pos5-2), layer: 0
(isadjacent pos5-4 pos5-5), layer: 0
(isadjacent pos5-4 pos4-4), layer: 0
(isadjacent pos5-4 pos5-3), layer: 0
(isadjacent pos5-5 pos5-6), layer: 0
(isadjacent pos5-5 pos4-5), layer: 0
(isadjacent pos5-5 pos5-4), layer: 0
(isadjacent pos5-6 pos4-6), layer: 0
(isadjacent pos5-6 pos5-5), layer: 0
(nextspawn pos4-5 dummypoint), layer: 0
(nextspawn pos5-0 pos3-5), layer: 0
(nextspawn pos3-5 pos5-5), layer: 0
(nextspawn pos5-5 pos1-1), layer: 0
(nextspawn pos1-1 pos4-6), layer: 0
(nextspawn pos4-6 pos3-1), layer: 0
(nextspawn pos3-1 pos0-5), layer: 0
(nextspawn pos0-5 pos2-0), layer: 0
(nextspawn pos2-0 pos4-5), layer: 0
