(at n1 c12 c12), layer: 0
(free c7 c13), layer: 0
(free c7 c14), layer: 0
(free c7 c15), layer: 0
(free c7 c16), layer: 0
(free c7 c17), layer: 0
(free c7 c18), layer: 0
(free c7 c19), layer: 0
(free c7 c20), layer: 0
(free c7 c21), layer: 0
(free c7 c22), layer: 0
(free c7 c23), layer: 0
(free c8 c1), layer: 0
(free c8 c2), layer: 0
(free c8 c3), layer: 0
(free c8 c4), layer: 0
(free c8 c5), layer: 0
(free c8 c6), layer: 0
(free c8 c7), layer: 0
(free c8 c8), layer: 0
(free c8 c9), layer: 0
(free c8 c10), layer: 0
(free c8 c11), layer: 0
(free c8 c12), layer: 0
(free c8 c13), layer: 0
(free c8 c14), layer: 0
(free c8 c15), layer: 0
(free c8 c16), layer: 0
(free c8 c17), layer: 0
(free c8 c18), layer: 0
(free c8 c19), layer: 0
(free c8 c20), layer: 0
(free c8 c21), layer: 0
(free c8 c22), layer: 0
(free c8 c23), layer: 0
(free c9 c1), layer: 0
(free c9 c2), layer: 0
(free c9 c3), layer: 0
(free c9 c4), layer: 0
(free c9 c5), layer: 0
(free c9 c6), layer: 0
(free c9 c7), layer: 0
(free c9 c8), layer: 0
(free c9 c9), layer: 0
(free c9 c10), layer: 0
(free c9 c11), layer: 0
(free c9 c12), layer: 0
(free c9 c13), layer: 0
(free c9 c14), layer: 0
(free c9 c15), layer: 0
(free c9 c16), layer: 0
(free c9 c17), layer: 0
(free c9 c18), layer: 0
(free c9 c19), layer: 0
(free c9 c20), layer: 0
(free c9 c21), layer: 0
(free c9 c22), layer: 0
(free c9 c23), layer: 0
(free c10 c1), layer: 0
(free c10 c2), layer: 0
(free c10 c3), layer: 0
(free c10 c4), layer: 0
(free c10 c5), layer: 0
(free c10 c6), layer: 0
(free c10 c7), layer: 0
(free c10 c8), layer: 0
(free c10 c9), layer: 0
(free c10 c10), layer: 0
(free c10 c11), layer: 0
(free c10 c12), layer: 0
(free c10 c13), layer: 0
(free c10 c14), layer: 0
(free c10 c15), layer: 0
(free c10 c16), layer: 0
(free c10 c17), layer: 0
(free c10 c18), layer: 0
(free c10 c19), layer: 0
(free c10 c20), layer: 0
(free c10 c21), layer: 0
(free c10 c22), layer: 0
(free c10 c23), layer: 0
(free c11 c1), layer: 0
(free c11 c2), layer: 0
(free c11 c3), layer: 0
(free c11 c4), layer: 0
(free c11 c5), layer: 0
(free c11 c6), layer: 0
(free c11 c7), layer: 0
(free c11 c8), layer: 0
(free c11 c9), layer: 0
(free c11 c10), layer: 0
(free c11 c11), layer: 0
(free c11 c12), layer: 0
(free c11 c13), layer: 0
(free c11 c14), layer: 0
(free c11 c15), layer: 0
(free c11 c16), layer: 0
(free c11 c17), layer: 0
(free c11 c18), layer: 0
(free c11 c19), layer: 0
(free c11 c20), layer: 0
(free c11 c21), layer: 0
(free c11 c22), layer: 0
(free c11 c23), layer: 0
(free c12 c1), layer: 0
(free c12 c2), layer: 0
(free c12 c3), layer: 0
(free c12 c4), layer: 0
(free c12 c5), layer: 0
(free c12 c6), layer: 0
(free c12 c7), layer: 0
(free c12 c8), layer: 0
(free c12 c9), layer: 0
(free c12 c10), layer: 0
(free c12 c11), layer: 0
(free c13 c1), layer: 0
(free c13 c2), layer: 0
(free c13 c3), layer: 0
(free c13 c4), layer: 0
(free c13 c5), layer: 0
(free c13 c6), layer: 0
(free c13 c7), layer: 0
(free c13 c8), layer: 0
(free c13 c9), layer: 0
(free c13 c10), layer: 0
(free c13 c11), layer: 0
(free c13 c12), layer: 0
(free c13 c13), layer: 0
(free c13 c14), layer: 0
(free c13 c15), layer: 0
(free c13 c16), layer: 0
(free c13 c17), layer: 0
(free c13 c18), layer: 0
(free c13 c19), layer: 0
(free c13 c20), layer: 0
(free c13 c21), layer: 0
(free c13 c22), layer: 0
(free c13 c23), layer: 0
(free c14 c1), layer: 0
(free c14 c2), layer: 0
(free c14 c3), layer: 0
(free c14 c4), layer: 0
(free c14 c5), layer: 0
(free c14 c6), layer: 0
(free c14 c7), layer: 0
(free c14 c8), layer: 0
(free c14 c9), layer: 0
(free c14 c10), layer: 0
(free c14 c11), layer: 0
(free c14 c12), layer: 0
(free c14 c13), layer: 0
(free c14 c14), layer: 0
(free c14 c15), layer: 0
(free c14 c16), layer: 0
(free c14 c17), layer: 0
(free c14 c18), layer: 0
(free c14 c19), layer: 0
(free c14 c20), layer: 0
(free c14 c21), layer: 0
(free c14 c22), layer: 0
(free c14 c23), layer: 0
(free c15 c1), layer: 0
(free c15 c2), layer: 0
(free c15 c3), layer: 0
(free c15 c4), layer: 0
(free c15 c5), layer: 0
(free c15 c6), layer: 0
(free c15 c7), layer: 0
(free c15 c8), layer: 0
(free c15 c9), layer: 0
(free c15 c10), layer: 0
(free c15 c11), layer: 0
(free c15 c12), layer: 0
(free c15 c13), layer: 0
(free c15 c14), layer: 0
(free c15 c15), layer: 0
(free c15 c16), layer: 0
(free c15 c17), layer: 0
(free c15 c18), layer: 0
(free c15 c19), layer: 0
(free c15 c20), layer: 0
(free c15 c21), layer: 0
(free c15 c22), layer: 0
(free c15 c23), layer: 0
(free c16 c1), layer: 0
(free c16 c2), layer: 0
(free c16 c3), layer: 0
(free c16 c4), layer: 0
(free c16 c5), layer: 0
(free c16 c6), layer: 0
(free c16 c7), layer: 0
(free c16 c8), layer: 0
(free c16 c9), layer: 0
(free c16 c10), layer: 0
(free c16 c11), layer: 0
(free c16 c12), layer: 0
(free c16 c13), layer: 0
(free c16 c14), layer: 0
(free c16 c15), layer: 0
(free c16 c16), layer: 0
(free c16 c17), layer: 0
(free c16 c18), layer: 0
(free c16 c19), layer: 0
(free c16 c20), layer: 0
(free c16 c21), layer: 0
(free c16 c22), layer: 0
(free c16 c23), layer: 0
(free c17 c1), layer: 0
(free c17 c2), layer: 0
(free c17 c3), layer: 0
(free c17 c4), layer: 0
(free c17 c5), layer: 0
(free c17 c6), layer: 0
(free c17 c7), layer: 0
(free c17 c8), layer: 0
(free c17 c9), layer: 0
(free c17 c10), layer: 0
(free c17 c11), layer: 0
(free c17 c12), layer: 0
(free c17 c13), layer: 0
(free c17 c14), layer: 0
(free c17 c15), layer: 0
(free c17 c16), layer: 0
(free c17 c17), layer: 0
(free c17 c18), layer: 0
(free c17 c19), layer: 0
(free c17 c20), layer: 0
(free c17 c21), layer: 0
(free c17 c22), layer: 0
(free c17 c23), layer: 0
(free c18 c1), layer: 0
(free c18 c2), layer: 0
(free c18 c3), layer: 0
(free c18 c4), layer: 0
(free c18 c5), layer: 0
(free c18 c6), layer: 0
(free c18 c7), layer: 0
(free c18 c8), layer: 0
(free c18 c9), layer: 0
(free c18 c10), layer: 0
(free c18 c11), layer: 0
(free c18 c12), layer: 0
(free c18 c13), layer: 0
(free c18 c14), layer: 0
(free c18 c15), layer: 0
(free c18 c16), layer: 0
(free c18 c17), layer: 0
(free c18 c18), layer: 0
(free c18 c19), layer: 0
(free c18 c20), layer: 0
(free c18 c21), layer: 0
(free c18 c22), layer: 0
(free c18 c23), layer: 0
(free c19 c1), layer: 0
(free c19 c2), layer: 0
(free c19 c3), layer: 0
(free c19 c4), layer: 0
(free c19 c5), layer: 0
(free c19 c6), layer: 0
(free c19 c7), layer: 0
(free c19 c8), layer: 0
(free c19 c9), layer: 0
(free c19 c10), layer: 0
(free c19 c11), layer: 0
(free c19 c12), layer: 0
(free c19 c13), layer: 0
(free c19 c14), layer: 0
(free c19 c15), layer: 0
(free c19 c16), layer: 0
(free c19 c17), layer: 0
(free c19 c18), layer: 0
(free c19 c19), layer: 0
(free c19 c20), layer: 0
(free c19 c21), layer: 0
(free c19 c22), layer: 0
(free c19 c23), layer: 0
(free c20 c1), layer: 0
(free c20 c2), layer: 0
(free c20 c3), layer: 0
(free c20 c4), layer: 0
(free c20 c5), layer: 0
(free c20 c6), layer: 0
(free c20 c7), layer: 0
(free c20 c8), layer: 0
(free c20 c9), layer: 0
(free c20 c10), layer: 0
(free c20 c11), layer: 0
(free c20 c12), layer: 0
(free c20 c13), layer: 0
(free c20 c14), layer: 0
(free c20 c15), layer: 0
(free c20 c16), layer: 0
(free c20 c17), layer: 0
(free c20 c18), layer: 0
(free c20 c19), layer: 0
(free c20 c20), layer: 0
(free c20 c21), layer: 0
(free c20 c22), layer: 0
(free c20 c23), layer: 0
(free c21 c1), layer: 0
(free c21 c2), layer: 0
(free c21 c3), layer: 0
(free c21 c4), layer: 0
(free c21 c5), layer: 0
(free c21 c6), layer: 0
(free c21 c7), layer: 0
(free c21 c8), layer: 0
(free c21 c9), layer: 0
(free c21 c10), layer: 0
(free c21 c11), layer: 0
(free c21 c12), layer: 0
(free c21 c13), layer: 0
(free c21 c14), layer: 0
(free c21 c15), layer: 0
(free c21 c16), layer: 0
(free c21 c17), layer: 0
(free c21 c18), layer: 0
(free c21 c19), layer: 0
(free c21 c20), layer: 0
(free c21 c21), layer: 0
(free c21 c22), layer: 0
(free c21 c23), layer: 0
(free c22 c1), layer: 0
(free c22 c2), layer: 0
(free c22 c3), layer: 0
(free c22 c4), layer: 0
(free c22 c5), layer: 0
(free c22 c6), layer: 0
(free c22 c7), layer: 0
(free c22 c8), layer: 0
(free c22 c9), layer: 0
(free c22 c10), layer: 0
(free c22 c11), layer: 0
(free c22 c12), layer: 0
(free c22 c13), layer: 0
(free c22 c14), layer: 0
(free c22 c15), layer: 0
(free c22 c16), layer: 0
(free c22 c17), layer: 0
(free c22 c18), layer: 0
(free c22 c19), layer: 0
(free c22 c20), layer: 0
(free c22 c21), layer: 0
(free c22 c22), layer: 0
(free c22 c23), layer: 0
(free c23 c1), layer: 0
(free c23 c2), layer: 0
(free c23 c3), layer: 0
(free c23 c4), layer: 0
(free c23 c5), layer: 0
(free c23 c6), layer: 0
(free c23 c7), layer: 0
(free c23 c8), layer: 0
(free c23 c9), layer: 0
(free c23 c10), layer: 0
(free c23 c11), layer: 0
(free c23 c12), layer: 0
(free c23 c13), layer: 0
(free c23 c14), layer: 0
(free c23 c15), layer: 0
(free c23 c16), layer: 0
(free c23 c17), layer: 0
(free c23 c18), layer: 0
(free c23 c19), layer: 0
(free c23 c20), layer: 0
(free c23 c21), layer: 0
(free c23 c22), layer: 0
(free c23 c23), layer: 0
(NOT-rotating), layer: 0
(heading n1 right), layer: 1
(node-first-pass-next n1 clockwise n1), layer: 1
(heading n2 right), layer: 1
(node-first-pass-next n2 clockwise n2), layer: 1
(heading n3 right), layer: 1
(node-first-pass-next n3 clockwise n3), layer: 1
(heading n4 right), layer: 1
(node-first-pass-next n4 clockwise n4), layer: 1
(heading n5 right), layer: 1
(node-first-pass-next n5 clockwise n5), layer: 1
(heading n6 right), layer: 1
(node-first-pass-next n6 clockwise n6), layer: 1
(heading n7 right), layer: 1
(node-first-pass-next n7 clockwise n7), layer: 1
(heading n8 right), layer: 1
(node-first-pass-next n8 clockwise n8), layer: 1
(heading n9 right), layer: 1
(node-first-pass-next n9 clockwise n9), layer: 1
(heading n10 right), layer: 1
(node-first-pass-next n10 clockwise n10), layer: 1
(heading n11 right), layer: 1
(node-first-pass-next n11 clockwise n11), layer: 1
(heading n1 left), layer: 1
(node-first-pass-next n1 counterclockwise n1), layer: 1
(heading n2 left), layer: 1
(node-first-pass-next n2 counterclockwise n2), layer: 1
(heading n3 left), layer: 1
(node-first-pass-next n3 counterclockwise n3), layer: 1
(heading n4 left), layer: 1
(node-first-pass-next n4 counterclockwise n4), layer: 1
(heading n5 left), layer: 1
(node-first-pass-next n5 counterclockwise n5), layer: 1
(heading n6 left), layer: 1
(node-first-pass-next n6 counterclockwise n6), layer: 1
(heading n7 left), layer: 1
(node-first-pass-next n7 counterclockwise n7), layer: 1
(heading n8 left), layer: 1
(node-first-pass-next n8 counterclockwise n8), layer: 1
(heading n9 left), layer: 1
(node-first-pass-next n9 counterclockwise n9), layer: 1
(heading n10 left), layer: 1
(node-first-pass-next n10 counterclockwise n10), layer: 1
(heading n11 left), layer: 1
(node-first-pass-next n11 counterclockwise n11), layer: 1
(heading n1 down), layer: 2
(heading n2 down), layer: 2
(heading n3 down), layer: 2
(heading n4 down), layer: 2
(heading n5 down), layer: 2
(heading n6 down), layer: 2
(heading n7 down), layer: 2
(heading n8 down), layer: 2
(heading n9 down), layer: 2
(heading n10 down), layer: 2
(heading n11 down), layer: 2
(node-first-pass-next n1 clockwise n2), layer: 2
(free c12 c13), layer: 2
(node-first-pass-next n2 clockwise n3), layer: 2
(free c12 c14), layer: 2
(node-first-pass-next n3 clockwise n4), layer: 2
(free c12 c15), layer: 2
(node-first-pass-next n4 clockwise n5), layer: 2
(free c12 c16), layer: 2
(node-first-pass-next n5 clockwise n6), layer: 2
(free c12 c17), layer: 2
(node-first-pass-next n6 clockwise n7), layer: 2
(free c12 c18), layer: 2
(node-first-pass-next n7 clockwise n8), layer: 2
(free c12 c19), layer: 2
(node-first-pass-next n8 clockwise n9), layer: 2
(free c12 c20), layer: 2
(node-first-pass-next n9 clockwise n10), layer: 2
(free c12 c21), layer: 2
(node-first-pass-next n10 clockwise n11), layer: 2
(free c12 c22), layer: 2
(node-first-pass-next n1 counterclockwise n2), layer: 2
(node-first-pass-next n2 counterclockwise n3), layer: 2
(node-first-pass-next n3 counterclockwise n4), layer: 2
(node-first-pass-next n4 counterclockwise n5), layer: 2
(node-first-pass-next n5 counterclockwise n6), layer: 2
(node-first-pass-next n6 counterclockwise n7), layer: 2
(node-first-pass-next n7 counterclockwise n8), layer: 2
(node-first-pass-next n8 counterclockwise n9), layer: 2
(node-first-pass-next n9 counterclockwise n10), layer: 2
(node-first-pass-next n10 counterclockwise n11), layer: 2
(free c12 c23), layer: 2
(node-second-pass-next n11), layer: 2
(next-direction up clockwise right), layer: 0
(next-direction up counterclockwise left), layer: 0
(next-direction down clockwise left), layer: 0
(next-direction down counterclockwise right), layer: 0
(next-direction left clockwise up), layer: 0
(next-direction left counterclockwise down), layer: 0
(next-direction right clockwise down), layer: 0
(next-direction right counterclockwise up), layer: 0
(coord-inc c1 c2), layer: 0
(coord-inc c2 c3), layer: 0
(coord-inc c3 c4), layer: 0
(coord-inc c4 c5), layer: 0
(coord-inc c5 c6), layer: 0
(coord-inc c6 c7), layer: 0
(coord-inc c7 c8), layer: 0
(coord-inc c8 c9), layer: 0
(coord-inc c9 c10), layer: 0
(coord-inc c10 c11), layer: 0
(coord-inc c11 c12), layer: 0
(coord-inc c12 c13), layer: 0
(coord-inc c13 c14), layer: 0
(coord-inc c14 c15), layer: 0
(coord-inc c15 c16), layer: 0
(coord-inc c16 c17), layer: 0
(coord-inc c17 c18), layer: 0
(coord-inc c18 c19), layer: 0
(coord-inc c19 c20), layer: 0
(coord-inc c20 c21), layer: 0
(coord-inc c21 c22), layer: 0
(coord-inc c22 c23), layer: 0
(connected n1 n2), layer: 0
(connected n2 n3), layer: 0
(connected n3 n4), layer: 0
(connected n4 n5), layer: 0
(connected n5 n6), layer: 0
(connected n6 n7), layer: 0
(connected n7 n8), layer: 0
(connected n8 n9), layer: 0
(connected n9 n10), layer: 0
(connected n10 n11), layer: 0
(connected n11 n12), layer: 0
(end-node n12), layer: 0
