(parked pr2), layer: 0
(NOT-base-obstacle x2 y5), layer: 0
(NOT-base-obstacle x2 y7), layer: 0
(NOT-base-obstacle x2 y8), layer: 0
(NOT-base-obstacle x3 y0), layer: 0
(NOT-base-obstacle x3 y2), layer: 0
(NOT-base-obstacle x3 y3), layer: 0
(NOT-base-obstacle x3 y5), layer: 0
(NOT-base-obstacle x3 y7), layer: 0
(NOT-base-obstacle x3 y8), layer: 0
(NOT-base-obstacle x4 y0), layer: 0
(NOT-base-obstacle x4 y5), layer: 0
(NOT-base-obstacle x4 y6), layer: 0
(NOT-base-obstacle x4 y7), layer: 0
(NOT-base-obstacle x4 y8), layer: 0
(NOT-base-obstacle x5 y0), layer: 0
(NOT-base-obstacle x5 y1), layer: 0
(NOT-base-obstacle x5 y2), layer: 0
(NOT-base-obstacle x5 y3), layer: 0
(NOT-base-obstacle x5 y4), layer: 0
(NOT-base-obstacle x5 y5), layer: 0
(NOT-base-obstacle x5 y7), layer: 0
(NOT-base-obstacle x5 y8), layer: 0
(NOT-base-obstacle x6 y0), layer: 0
(NOT-base-obstacle x6 y2), layer: 0
(NOT-base-obstacle x6 y3), layer: 0
(NOT-base-obstacle x6 y5), layer: 0
(NOT-base-obstacle x6 y6), layer: 0
(NOT-base-obstacle x6 y7), layer: 0
(NOT-base-obstacle x6 y8), layer: 0
(NOT-base-obstacle x7 y0), layer: 0
(NOT-base-obstacle x7 y1), layer: 0
(NOT-base-obstacle x7 y2), layer: 0
(NOT-base-obstacle x7 y3), layer: 0
(NOT-base-obstacle x7 y4), layer: 0
(NOT-base-obstacle x7 y5), layer: 0
(NOT-base-obstacle x7 y6), layer: 0
(NOT-base-obstacle x7 y7), layer: 0
(NOT-base-obstacle x7 y8), layer: 0
(NOT-base-obstacle x8 y0), layer: 0
(NOT-base-obstacle x8 y1), layer: 0
(NOT-base-obstacle x8 y2), layer: 0
(NOT-base-obstacle x8 y3), layer: 0
(NOT-base-obstacle x8 y4), layer: 0
(NOT-base-obstacle x8 y5), layer: 0
(NOT-base-obstacle x8 y6), layer: 0
(NOT-base-obstacle x8 y7), layer: 0
(NOT-base-obstacle x8 y8), layer: 0
(NOT-object-done pr2), layer: 0
(NOT-object-done cart), layer: 0
(NOT-object-done object0), layer: 0
(NOT-object-done object1), layer: 0
(NOT-object-done object2), layer: 0
(NOT-object-done object3), layer: 0
(NOT-object-done x0), layer: 0
(NOT-object-done x1), layer: 0
(NOT-object-done x2), layer: 0
(NOT-object-done x3), layer: 0
(NOT-object-done x4), layer: 0
(NOT-object-done x5), layer: 0
(NOT-object-done x6), layer: 0
(NOT-object-done x7), layer: 0
(NOT-object-done x8), layer: 0
(NOT-object-done y0), layer: 0
(NOT-object-done y1), layer: 0
(NOT-object-done y2), layer: 0
(NOT-object-done y3), layer: 0
(NOT-object-done y4), layer: 0
(NOT-object-done y5), layer: 0
(NOT-object-done y6), layer: 0
(NOT-object-done y7), layer: 0
(NOT-object-done y8), layer: 0
(NOT-object-done xrel-1), layer: 0
(NOT-object-done xrel0), layer: 0
(NOT-object-done xrel1), layer: 0
(NOT-object-done yrel-1), layer: 0
(NOT-object-done yrel0), layer: 0
(NOT-object-done yrel1), layer: 0
(NOT-gripper-obstacle x0 y0), layer: 0
(NOT-gripper-obstacle x0 y1), layer: 0
(NOT-gripper-obstacle x0 y2), layer: 0
(NOT-gripper-obstacle x0 y3), layer: 0
(NOT-gripper-obstacle x0 y4), layer: 0
(NOT-gripper-obstacle x0 y5), layer: 0
(NOT-gripper-obstacle x0 y6), layer: 0
(NOT-gripper-obstacle x0 y7), layer: 0
(NOT-gripper-obstacle x0 y8), layer: 0
(NOT-gripper-obstacle x1 y0), layer: 0
(NOT-gripper-obstacle x1 y2), layer: 0
(NOT-gripper-obstacle x1 y3), layer: 0
(NOT-gripper-obstacle x1 y5), layer: 0
(NOT-gripper-obstacle x1 y6), layer: 0
(NOT-gripper-obstacle x1 y7), layer: 0
(NOT-gripper-obstacle x1 y8), layer: 0
(NOT-gripper-obstacle x2 y0), layer: 0
(NOT-gripper-obstacle x2 y5), layer: 0
(NOT-gripper-obstacle x2 y6), layer: 0
(NOT-gripper-obstacle x2 y7), layer: 0
(NOT-gripper-obstacle x2 y8), layer: 0
(NOT-gripper-obstacle x3 y0), layer: 0
(NOT-gripper-obstacle x3 y2), layer: 0
(NOT-gripper-obstacle x3 y5), layer: 0
(NOT-gripper-obstacle x3 y6), layer: 0
(NOT-gripper-obstacle x3 y7), layer: 0
(NOT-gripper-obstacle x3 y8), layer: 0
(NOT-gripper-obstacle x4 y0), layer: 0
(NOT-gripper-obstacle x4 y5), layer: 0
(NOT-gripper-obstacle x4 y6), layer: 0
(NOT-gripper-obstacle x4 y7), layer: 0
(NOT-gripper-obstacle x4 y8), layer: 0
(NOT-gripper-obstacle x5 y0), layer: 0
(NOT-gripper-obstacle x5 y1), layer: 0
(NOT-gripper-obstacle x5 y2), layer: 0
(NOT-gripper-obstacle x5 y3), layer: 0
(NOT-gripper-obstacle x5 y4), layer: 0
(NOT-gripper-obstacle x5 y5), layer: 0
(NOT-gripper-obstacle x5 y6), layer: 0
(NOT-gripper-obstacle x5 y7), layer: 0
(NOT-gripper-obstacle x5 y8), layer: 0
(NOT-gripper-obstacle x6 y0), layer: 0
(NOT-gripper-obstacle x6 y2), layer: 0
(NOT-gripper-obstacle x6 y3), layer: 0
(NOT-gripper-obstacle x6 y4), layer: 0
(NOT-gripper-obstacle x6 y5), layer: 0
(NOT-gripper-obstacle x6 y6), layer: 0
(NOT-gripper-obstacle x6 y7), layer: 0
(NOT-gripper-obstacle x6 y8), layer: 0
(NOT-gripper-obstacle x7 y0), layer: 0
(NOT-gripper-obstacle x7 y1), layer: 0
(NOT-gripper-obstacle x7 y2), layer: 0
(NOT-gripper-obstacle x7 y3), layer: 0
(NOT-gripper-obstacle x7 y4), layer: 0
(NOT-gripper-obstacle x7 y5), layer: 0
(NOT-gripper-obstacle x7 y6), layer: 0
(NOT-gripper-obstacle x7 y7), layer: 0
(NOT-gripper-obstacle x7 y8), layer: 0
(NOT-gripper-obstacle x8 y0), layer: 0
(NOT-gripper-obstacle x8 y1), layer: 0
(NOT-gripper-obstacle x8 y2), layer: 0
(NOT-gripper-obstacle x8 y3), layer: 0
(NOT-gripper-obstacle x8 y4), layer: 0
(NOT-gripper-obstacle x8 y5), layer: 0
(NOT-gripper-obstacle x8 y6), layer: 0
(NOT-gripper-obstacle x8 y7), layer: 0
(NOT-gripper-obstacle x8 y8), layer: 0
(NOT-parked pr2), layer: 1
(gripper-rel pr2 xrel1 yrel0), layer: 1
(gripper-obstacle x1 y0), layer: 1
(gripper-rel pr2 xrel0 yrel1), layer: 1
(gripper-obstacle x0 y1), layer: 1
(base-pos pr2 x1 y0), layer: 2
(NOT-base-obstacle x0 y0), layer: 2
(base-obstacle x1 y0), layer: 2
(gripper-obstacle x0 y0), layer: 2
(pushing pr2 cart), layer: 2
(leftof x0 x1), layer: 0
(leftof x1 x2), layer: 0
(leftof x2 x3), layer: 0
(leftof x3 x4), layer: 0
(leftof x4 x5), layer: 0
(leftof x5 x6), layer: 0
(leftof x6 x7), layer: 0
(leftof x7 x8), layer: 0
(above y0 y1), layer: 0
(above y1 y2), layer: 0
(above y2 y3), layer: 0
(above y3 y4), layer: 0
(above y4 y5), layer: 0
(above y5 y6), layer: 0
(above y6 y7), layer: 0
(above y7 y8), layer: 0
(leftof-rel xrel-1 xrel0), layer: 0
(leftof-rel xrel0 xrel1), layer: 0
(above-rel yrel-1 yrel0), layer: 0
(above-rel yrel0 yrel1), layer: 0
(sum-x x0 xrel0 x0), layer: 0
(sum-x x0 xrel1 x1), layer: 0
(sum-x x1 xrel-1 x0), layer: 0
(sum-x x1 xrel0 x1), layer: 0
(sum-x x1 xrel1 x2), layer: 0
(sum-x x2 xrel-1 x1), layer: 0
(sum-x x2 xrel0 x2), layer: 0
(sum-x x2 xrel1 x3), layer: 0
(sum-x x3 xrel-1 x2), layer: 0
(sum-x x3 xrel0 x3), layer: 0
(sum-x x3 xrel1 x4), layer: 0
(sum-x x4 xrel-1 x3), layer: 0
(sum-x x4 xrel0 x4), layer: 0
(sum-x x4 xrel1 x5), layer: 0
(sum-x x5 xrel-1 x4), layer: 0
(sum-x x5 xrel0 x5), layer: 0
(sum-x x5 xrel1 x6), layer: 0
(sum-x x6 xrel-1 x5), layer: 0
(sum-x x6 xrel0 x6), layer: 0
(sum-x x6 xrel1 x7), layer: 0
(sum-x x7 xrel-1 x6), layer: 0
(sum-x x7 xrel0 x7), layer: 0
(sum-x x7 xrel1 x8), layer: 0
(sum-x x8 xrel-1 x7), layer: 0
(sum-x x8 xrel0 x8), layer: 0
(sum-y y0 yrel0 y0), layer: 0
(sum-y y0 yrel1 y1), layer: 0
(sum-y y1 yrel-1 y0), layer: 0
(sum-y y1 yrel0 y1), layer: 0
(sum-y y1 yrel1 y2), layer: 0
(sum-y y2 yrel-1 y1), layer: 0
(sum-y y2 yrel0 y2), layer: 0
(sum-y y2 yrel1 y3), layer: 0
(sum-y y3 yrel-1 y2), layer: 0
(sum-y y3 yrel0 y3), layer: 0
(sum-y y3 yrel1 y4), layer: 0
(sum-y y4 yrel-1 y3), layer: 0
(sum-y y4 yrel0 y4), layer: 0
(sum-y y4 yrel1 y5), layer: 0
(sum-y y5 yrel-1 y4), layer: 0
(sum-y y5 yrel0 y5), layer: 0
(sum-y y5 yrel1 y6), layer: 0
(sum-y y6 yrel-1 y5), layer: 0
(sum-y y6 yrel0 y6), layer: 0
(sum-y y6 yrel1 y7), layer: 0
(sum-y y7 yrel-1 y6), layer: 0
(sum-y y7 yrel0 y7), layer: 0
(sum-y y7 yrel1 y8), layer: 0
(sum-y y8 yrel-1 y7), layer: 0
(sum-y y8 yrel0 y8), layer: 0
(zerox-rel xrel0), layer: 0
(zeroy-rel yrel0), layer: 0
(object-goal object0 x2 y2), layer: 0
(object-goal object0 x5 y6), layer: 0
(object-goal object1 x2 y3), layer: 0
(object-goal object2 x3 y2), layer: 0
(object-goal object3 x3 y3), layer: 0
(surface x5 y6), layer: 0
(surface x2 y6), layer: 0
(surface x3 y6), layer: 0
(surface x6 y1), layer: 0
(surface x6 y4), layer: 0
(surface x2 y2), layer: 0
(surface x2 y3), layer: 0
(surface x3 y2), layer: 0
(surface x3 y3), layer: 0
