Diameter for additionofrohacrossgemdisubstitutedalkene: inf
Diameter for additionofrohacrossmonosubstitutedalkene: inf
Diameter for additionofrohacrosstetrasubstitutedalkene: inf
Diameter for additionofrohacrosstrisubstitutedalkene: inf
Diameter for additionofrohacrossvicdisubstitutedalkene: inf
Diameter for etherformationbysulfonatedisplacement: inf
Diameter for sulfonylationofalcohol: inf
Init-to-goal-distance c034 - h141: 0
Init-to-goal-distance c034 - h142: 0
Init-to-goal-distance c034 - h143: 0
Init-to-goal-distance c034 - h144: 0
Init-to-goal-distance c034 - o066: inf
Init-to-goal-distance c035 - c036: 0
Init-to-goal-distance c035 - c037: 0
Init-to-goal-distance c035 - c038: 0
Init-to-goal-distance c035 - h060: 0
Init-to-goal-distance c035 - h106: inf
Init-to-goal-distance c035 - h107: inf
Init-to-goal-distance c035 - h108: inf
Init-to-goal-distance c035 - h133: 0
Init-to-goal-distance c035 - h134: 0
Init-to-goal-distance c035 - h135: 0
Init-to-goal-distance c035 - h136: 0
Init-to-goal-distance c035 - h137: 0
Init-to-goal-distance c035 - h138: 0
Init-to-goal-distance c035 - h139: 0
Init-to-goal-distance c035 - h140: 0
Init-to-goal-distance c035 - h141: 0
Init-to-goal-distance c035 - h142: 0
Init-to-goal-distance c035 - h143: 0
Init-to-goal-distance c035 - h144: 0
Init-to-goal-distance c035 - o066: inf
Init-to-goal-distance c036 - c037: 0
Init-to-goal-distance c036 - c038: 0
Init-to-goal-distance c036 - h060: 0
Init-to-goal-distance c036 - h106: inf
Init-to-goal-distance c036 - h107: inf
Init-to-goal-distance c036 - h108: inf
Init-to-goal-distance c036 - h133: 0
Init-to-goal-distance c036 - h134: 0
Init-to-goal-distance c036 - h135: 0
Init-to-goal-distance c036 - h136: 0
Init-to-goal-distance c036 - h137: 0
Init-to-goal-distance c036 - h138: 0
Init-to-goal-distance c036 - h139: 0
Init-to-goal-distance c036 - h140: 0
Init-to-goal-distance c036 - h141: 0
Init-to-goal-distance c036 - h142: 0
Init-to-goal-distance c036 - h143: 0
Init-to-goal-distance c036 - h144: 0
Init-to-goal-distance c036 - o066: inf
Init-to-goal-distance c037 - c038: 0
Init-to-goal-distance c037 - h060: 0
Init-to-goal-distance c037 - h106: inf
Init-to-goal-distance c037 - h107: inf
Init-to-goal-distance c037 - h108: inf
Init-to-goal-distance c037 - h133: 0
Init-to-goal-distance c037 - h134: 0
Init-to-goal-distance c037 - h135: 0
Init-to-goal-distance c037 - h136: 0
Init-to-goal-distance c037 - h137: 0
Init-to-goal-distance c037 - h138: 0
Init-to-goal-distance c037 - h139: 0
Init-to-goal-distance c037 - h140: 0
Init-to-goal-distance c037 - h141: 0
Init-to-goal-distance c037 - h142: 0
Init-to-goal-distance c037 - h143: 0
Init-to-goal-distance c037 - h144: 0
Init-to-goal-distance c037 - o066: inf
Init-to-goal-distance c038 - h060: 0
Init-to-goal-distance c038 - h106: inf
Init-to-goal-distance c038 - h107: inf
Init-to-goal-distance c038 - h108: inf
Init-to-goal-distance c038 - h133: 0
Init-to-goal-distance c038 - h134: 0
Init-to-goal-distance c038 - h135: 0
Init-to-goal-distance c038 - h136: 0
Init-to-goal-distance c038 - h137: 0
Init-to-goal-distance c038 - h138: 0
Init-to-goal-distance c038 - h139: 0
Init-to-goal-distance c038 - h140: 0
Init-to-goal-distance c038 - h141: 0
Init-to-goal-distance c038 - h142: 0
Init-to-goal-distance c038 - h143: 0
Init-to-goal-distance c038 - h144: 0
Init-to-goal-distance c038 - o066: inf
Init-to-goal-distance h060 - h106: inf
Init-to-goal-distance h060 - h107: inf
Init-to-goal-distance h060 - h108: inf
Init-to-goal-distance h060 - h133: 0
Init-to-goal-distance h060 - h134: 0
Init-to-goal-distance h060 - h135: 0
Init-to-goal-distance h060 - h136: 0
Init-to-goal-distance h060 - h137: 0
Init-to-goal-distance h060 - h138: 0
Init-to-goal-distance h060 - h139: 0
Init-to-goal-distance h060 - h140: 0
Init-to-goal-distance h060 - h141: 0
Init-to-goal-distance h060 - h142: 0
Init-to-goal-distance h060 - h143: 0
Init-to-goal-distance h060 - h144: 0
Init-to-goal-distance h060 - o066: inf
Init-to-goal-distance h106 - h107: 0
Init-to-goal-distance h106 - h108: 0
Init-to-goal-distance h106 - h133: inf
Init-to-goal-distance h106 - h134: inf
Init-to-goal-distance h106 - h135: inf
Init-to-goal-distance h106 - h136: inf
Init-to-goal-distance h106 - h137: inf
Init-to-goal-distance h106 - h138: inf
Init-to-goal-distance h106 - h139: inf
Init-to-goal-distance h106 - h140: inf
Init-to-goal-distance h106 - h141: inf
Init-to-goal-distance h106 - h142: inf
Init-to-goal-distance h106 - h143: inf
Init-to-goal-distance h106 - h144: inf
Init-to-goal-distance h106 - o066: 0
Init-to-goal-distance h107 - h108: 0
Init-to-goal-distance h107 - h133: inf
Init-to-goal-distance h107 - h134: inf
Init-to-goal-distance h107 - h135: inf
Init-to-goal-distance h107 - h136: inf
Init-to-goal-distance h107 - h137: inf
Init-to-goal-distance h107 - h138: inf
Init-to-goal-distance h107 - h139: inf
Init-to-goal-distance h107 - h140: inf
Init-to-goal-distance h107 - h141: inf
Init-to-goal-distance h107 - h142: inf
Init-to-goal-distance h107 - h143: inf
Init-to-goal-distance h107 - h144: inf
Init-to-goal-distance h107 - o066: 0
Init-to-goal-distance h108 - h133: inf
Init-to-goal-distance h108 - h134: inf
Init-to-goal-distance h108 - h135: inf
Init-to-goal-distance h108 - h136: inf
Init-to-goal-distance h108 - h137: inf
Init-to-goal-distance h108 - h138: inf
Init-to-goal-distance h108 - h139: inf
Init-to-goal-distance h108 - h140: inf
Init-to-goal-distance h108 - h141: inf
Init-to-goal-distance h108 - h142: inf
Init-to-goal-distance h108 - h143: inf
Init-to-goal-distance h108 - h144: inf
Init-to-goal-distance h108 - o066: 0
Init-to-goal-distance h133 - h134: 0
Init-to-goal-distance h133 - h135: 0
Init-to-goal-distance h133 - h136: 0
Init-to-goal-distance h133 - h137: 0
Init-to-goal-distance h133 - h138: 0
Init-to-goal-distance h133 - h139: 0
Init-to-goal-distance h133 - h140: 0
Init-to-goal-distance h133 - h141: 0
Init-to-goal-distance h133 - h142: 0
Init-to-goal-distance h133 - h143: 0
Init-to-goal-distance h133 - h144: 0
Init-to-goal-distance h133 - o066: inf
Init-to-goal-distance h134 - h135: 0
Init-to-goal-distance h134 - h136: 0
Init-to-goal-distance h134 - h137: 0
Init-to-goal-distance h134 - h138: 0
Init-to-goal-distance h134 - h139: 0
Init-to-goal-distance h134 - h140: 0
Init-to-goal-distance h134 - h141: 0
Init-to-goal-distance h134 - h142: 0
Init-to-goal-distance h134 - h143: 0
Init-to-goal-distance h134 - h144: 0
Init-to-goal-distance h134 - o066: inf
Init-to-goal-distance h135 - h136: 0
Init-to-goal-distance h135 - h137: 0
Init-to-goal-distance h135 - h138: 0
Init-to-goal-distance h135 - h139: 0
Init-to-goal-distance h135 - h140: 0
Init-to-goal-distance h135 - h141: 0
Init-to-goal-distance h135 - h142: 0
Init-to-goal-distance h135 - h143: 0
Init-to-goal-distance h135 - h144: 0
Init-to-goal-distance h135 - o066: inf
Init-to-goal-distance h136 - h137: 0
Init-to-goal-distance h136 - h138: 0
Init-to-goal-distance h136 - h139: 0
Init-to-goal-distance h136 - h140: 0
Init-to-goal-distance h136 - h141: 0
Init-to-goal-distance h136 - h142: 0
Init-to-goal-distance h136 - h143: 0
Init-to-goal-distance h136 - h144: 0
Init-to-goal-distance h136 - o066: inf
Init-to-goal-distance h137 - h138: 0
Init-to-goal-distance h137 - h139: 0
Init-to-goal-distance h137 - h140: 0
Init-to-goal-distance h137 - h141: 0
Init-to-goal-distance h137 - h142: 0
Init-to-goal-distance h137 - h143: 0
Init-to-goal-distance h137 - h144: 0
Init-to-goal-distance h137 - o066: inf
Init-to-goal-distance h138 - h139: 0
Init-to-goal-distance h138 - h140: 0
Init-to-goal-distance h138 - h141: 0
Init-to-goal-distance h138 - h142: 0
Init-to-goal-distance h138 - h143: 0
Init-to-goal-distance h138 - h144: 0
Init-to-goal-distance h138 - o066: inf
Init-to-goal-distance h139 - h140: 0
Init-to-goal-distance h139 - h141: 0
Init-to-goal-distance h139 - h142: 0
Init-to-goal-distance h139 - h143: 0
Init-to-goal-distance h139 - h144: 0
Init-to-goal-distance h139 - o066: inf
Init-to-goal-distance h140 - h141: 0
Init-to-goal-distance h140 - h142: 0
Init-to-goal-distance h140 - h143: 0
Init-to-goal-distance h140 - h144: 0
Init-to-goal-distance h140 - o066: inf
Init-to-goal-distance h141 - h142: 0
Init-to-goal-distance h141 - h143: 0
Init-to-goal-distance h141 - h144: 0
Init-to-goal-distance h141 - o066: inf
Init-to-goal-distance h142 - h143: 0
Init-to-goal-distance h142 - h144: 0
Init-to-goal-distance h142 - o066: inf
Init-to-goal-distance h143 - h144: 0
Init-to-goal-distance h143 - o066: inf
Init-to-goal-distance h144 - o066: inf
