Domain: pebbling
Problem: pebbling-22
Require:
  :conditional-effects
  :disjunctive-preconditions
  :equality
  :existential-preconditions
  :negative-preconditions
  :strips
  :typing
  :universal-preconditions
Type:
  location - object
  pos-2-8 - location
  pos-2-9 - location
  pos-20-0 - location
  pos-20-1 - location
  pos-20-10 - location
  pos-20-11 - location
  pos-20-12 - location
  pos-20-13 - location
  pos-20-14 - location
  pos-20-15 - location
  pos-20-16 - location
  pos-20-17 - location
  pos-20-18 - location
  pos-20-19 - location
  pos-20-2 - location
  pos-20-20 - location
  pos-20-21 - location
  pos-20-3 - location
  pos-20-4 - location
  pos-20-5 - location
  pos-20-6 - location
  pos-20-7 - location
  pos-20-8 - location
  pos-20-9 - location
  pos-21-0 - location
  pos-21-1 - location
  pos-21-10 - location
  pos-21-11 - location
  pos-21-12 - location
  pos-21-13 - location
  pos-21-14 - location
  pos-21-15 - location
  pos-21-16 - location
  pos-21-17 - location
  pos-21-18 - location
  pos-21-19 - location
  pos-21-2 - location
  pos-21-20 - location
  pos-21-21 - location
  pos-21-3 - location
  pos-21-4 - location
  pos-21-5 - location
  pos-21-6 - location
  pos-21-7 - location
  pos-21-8 - location
  pos-21-9 - location
  pos-3-0 - location
  pos-3-1 - location
  pos-3-10 - location
  pos-3-11 - location
  pos-3-12 - location
  pos-3-13 - location
  pos-3-14 - location
  pos-3-15 - location
  pos-3-16 - location
  pos-3-17 - location
  pos-3-18 - location
  pos-3-19 - location
  pos-3-2 - location
  pos-3-20 - location
  pos-3-21 - location
  pos-3-3 - location
  pos-3-4 - location
  pos-3-5 - location
  pos-3-6 - location
  pos-3-7 - location
  pos-3-8 - location
  pos-3-9 - location
  pos-4-0 - location
  pos-4-1 - location
  pos-4-10 - location
  pos-4-11 - location
  pos-4-12 - location
  pos-4-13 - location
  pos-4-14 - location
  pos-4-15 - location
  pos-4-16 - location
  pos-4-17 - location
  pos-4-18 - location
  pos-4-19 - location
  pos-4-2 - location
  pos-4-20 - location
  pos-4-21 - location
  pos-4-3 - location
  pos-4-4 - location
  pos-4-5 - location
  pos-4-6 - location
  pos-4-7 - location
  pos-4-8 - location
  pos-4-9 - location
  pos-5-0 - location
  pos-5-1 - location
  pos-5-10 - location
  pos-5-11 - location
  pos-5-12 - location
  pos-5-13 - location
  pos-5-14 - location
  pos-5-15 - location
  pos-5-16 - location
  pos-5-17 - location
  pos-5-18 - location
  pos-5-19 - location
  pos-5-2 - location
  pos-5-20 - location
  pos-5-21 - location
  pos-5-3 - location
  pos-5-4 - location
  pos-5-5 - location
  pos-5-6 - location
  pos-5-7 - location
  pos-5-8 - location
  pos-5-9 - location
  pos-6-0 - location
  pos-6-1 - location
  pos-6-10 - location
  pos-6-11 - location
  pos-6-12 - location
  pos-6-13 - location
  pos-6-14 - location
  pos-6-15 - location
  pos-6-16 - location
  pos-6-17 - location
  pos-6-18 - location
  pos-6-19 - location
  pos-6-2 - location
  pos-6-20 - location
  pos-6-21 - location
  pos-6-3 - location
  pos-6-4 - location
  pos-6-5 - location
  pos-6-6 - location
  pos-6-7 - location
  pos-6-8 - location
  pos-6-9 - location
  pos-7-0 - location
  pos-7-1 - location
  pos-7-10 - location
  pos-7-11 - location
  pos-7-12 - location
  pos-7-13 - location
  pos-7-14 - location
  pos-7-15 - location
  pos-7-16 - location
  pos-7-17 - location
  pos-7-18 - location
  pos-7-19 - location
  pos-7-2 - location
  pos-7-20 - location
  pos-7-21 - location
  pos-7-3 - location
  pos-7-4 - location
  pos-7-5 - location
  pos-7-6 - location
  pos-7-7 - location
  pos-7-8 - location
  pos-7-9 - location
  pos-8-0 - location
  pos-8-1 - location
  pos-8-10 - location
  pos-8-11 - location
  pos-8-12 - location
  pos-8-13 - location
  pos-8-14 - location
  pos-8-15 - location
  pos-8-16 - location
  pos-8-17 - location
  pos-8-18 - location
  pos-8-19 - location
  pos-8-2 - location
  pos-8-20 - location
  pos-8-21 - location
  pos-8-3 - location
  pos-8-4 - location
  pos-8-5 - location
  pos-8-6 - location
  pos-8-7 - location
  pos-8-8 - location
  pos-8-9 - location
  pos-9-0 - location
  pos-9-1 - location
  pos-9-10 - location
  pos-9-11 - location
  pos-9-12 - location
  pos-9-13 - location
  pos-9-14 - location
  pos-9-15 - location
  pos-9-16 - location
  pos-9-17 - location
  pos-9-18 - location
  pos-9-19 - location
  pos-9-2 - location
  pos-9-20 - location
  pos-9-21 - location
  pos-9-3 - location
  pos-9-4 - location
  pos-9-5 - location
  pos-9-6 - location
  pos-9-7 - location
  pos-9-8 - location
  pos-9-9 - location
Predicate:
  (= object object) :eq
  (free location)
  (occupied location)
  (x-succ location location)
  (y-succ location location)
Function:
Action:
  move: ?from - location ?xsucc - location ?ysucc - location
      pre: (and (free ?xsucc) (free ?ysucc) (occupied ?from) (x-succ ?from ?xsucc) (y-succ ?from ?ysucc))
      eff: (and (free ?from) (not (free ?xsucc)) (not (free ?ysucc)) (not (occupied ?from)) (occupied ?xsucc) (occupied ?ysucc))
Init:
  (free pos-0-10)
  (free pos-0-11)
  (free pos-0-12)
  (free pos-0-13)
  (free pos-0-14)
  (free pos-0-15)
  (free pos-0-16)
  (free pos-0-17)
  (free pos-0-18)
  (free pos-0-19)
  (free pos-0-2)
  (free pos-0-20)
  (free pos-0-21)
  (free pos-0-3)
  (free pos-0-4)
  (free pos-0-5)
  (free pos-0-6)
  (free pos-0-7)
  (free pos-0-8)
  (free pos-0-9)
  (free pos-1-1)
  (free pos-1-10)
  (free pos-1-11)
  (free pos-1-12)
  (free pos-1-13)
  (free pos-1-14)
  (free pos-1-15)
  (free pos-1-16)
  (free pos-1-17)
  (free pos-1-18)
  (free pos-1-19)
  (free pos-1-2)
  (free pos-1-20)
  (free pos-1-21)
  (free pos-1-3)
  (free pos-1-4)
  (free pos-1-5)
  (free pos-1-6)
  (free pos-1-7)
  (free pos-1-8)
  (free pos-1-9)
  (free pos-10-0)
  (free pos-10-1)
  (free pos-10-10)
  (free pos-10-11)
  (free pos-10-12)
  (free pos-10-13)
  (free pos-10-14)
  (free pos-10-15)
  (free pos-10-16)
  (free pos-10-17)
  (free pos-10-18)
  (free pos-10-19)
  (free pos-10-2)
  (free pos-10-20)
  (free pos-10-21)
  (free pos-10-3)
  (free pos-10-4)
  (free pos-10-5)
  (free pos-10-6)
  (free pos-10-7)
  (free pos-10-8)
  (free pos-10-9)
  (free pos-11-0)
  (free pos-11-1)
  (free pos-11-10)
  (free pos-11-11)
  (free pos-11-12)
  (free pos-11-13)
  (free pos-11-14)
  (free pos-11-15)
  (free pos-11-16)
  (free pos-11-17)
  (free pos-11-18)
  (free pos-11-19)
  (free pos-11-2)
  (free pos-11-20)
  (free pos-11-21)
  (free pos-11-3)
  (free pos-11-4)
  (free pos-11-5)
  (free pos-11-6)
  (free pos-11-7)
  (free pos-11-8)
  (free pos-11-9)
  (free pos-12-0)
  (free pos-12-1)
  (free pos-12-10)
  (free pos-12-11)
  (free pos-12-12)
  (free pos-12-13)
  (free pos-12-14)
  (free pos-12-15)
  (free pos-12-16)
  (free pos-12-17)
  (free pos-12-18)
  (free pos-12-19)
  (free pos-12-2)
  (free pos-12-20)
  (free pos-12-21)
  (free pos-12-3)
  (free pos-12-4)
  (free pos-12-5)
  (free pos-12-6)
  (free pos-12-7)
  (free pos-12-8)
  (free pos-12-9)
  (free pos-13-0)
  (free pos-13-1)
  (free pos-13-10)
  (free pos-13-11)
  (free pos-13-12)
  (free pos-13-13)
  (free pos-13-14)
  (free pos-13-15)
  (free pos-13-16)
  (free pos-13-17)
  (free pos-13-18)
  (free pos-13-19)
  (free pos-13-2)
  (free pos-13-20)
  (free pos-13-21)
  (free pos-13-3)
  (free pos-13-4)
  (free pos-13-5)
  (free pos-13-6)
  (free pos-13-7)
  (free pos-13-8)
  (free pos-13-9)
  (free pos-14-0)
  (free pos-14-1)
  (free pos-14-10)
  (free pos-14-11)
  (free pos-14-12)
  (free pos-14-13)
  (free pos-14-14)
  (free pos-14-15)
  (free pos-14-16)
  (free pos-14-17)
  (free pos-14-18)
  (free pos-14-19)
  (free pos-14-2)
  (free pos-14-20)
  (free pos-14-21)
  (free pos-14-3)
  (free pos-14-4)
  (free pos-14-5)
  (free pos-14-6)
  (free pos-14-7)
  (free pos-14-8)
  (free pos-14-9)
  (free pos-15-0)
  (free pos-15-1)
  (free pos-15-10)
  (free pos-15-11)
  (free pos-15-12)
  (free pos-15-13)
  (free pos-15-14)
  (free pos-15-15)
  (free pos-15-16)
  (free pos-15-17)
  (free pos-15-18)
  (free pos-15-19)
  (free pos-15-2)
  (free pos-15-20)
  (free pos-15-21)
  (free pos-15-3)
  (free pos-15-4)
  (free pos-15-5)
  (free pos-15-6)
  (free pos-15-7)
  (free pos-15-8)
  (free pos-15-9)
  (free pos-16-0)
  (free pos-16-1)
  (free pos-16-10)
  (free pos-16-11)
  (free pos-16-12)
  (free pos-16-13)
  (free pos-16-14)
  (free pos-16-15)
  (free pos-16-16)
  (free pos-16-17)
  (free pos-16-18)
  (free pos-16-19)
  (free pos-16-2)
  (free pos-16-20)
  (free pos-16-21)
  (free pos-16-3)
  (free pos-16-4)
  (free pos-16-5)
  (free pos-16-6)
  (free pos-16-7)
  (free pos-16-8)
  (free pos-16-9)
  (free pos-17-0)
  (free pos-17-1)
  (free pos-17-10)
  (free pos-17-11)
  (free pos-17-12)
  (free pos-17-13)
  (free pos-17-14)
  (free pos-17-15)
  (free pos-17-16)
  (free pos-17-17)
  (free pos-17-18)
  (free pos-17-19)
  (free pos-17-2)
  (free pos-17-20)
  (free pos-17-21)
  (free pos-17-3)
  (free pos-17-4)
  (free pos-17-5)
  (free pos-17-6)
  (free pos-17-7)
  (free pos-17-8)
  (free pos-17-9)
  (free pos-18-0)
  (free pos-18-1)
  (free pos-18-10)
  (free pos-18-11)
  (free pos-18-12)
  (free pos-18-13)
  (free pos-18-14)
  (free pos-18-15)
  (free pos-18-16)
  (free pos-18-17)
  (free pos-18-18)
  (free pos-18-19)
  (free pos-18-2)
  (free pos-18-20)
  (free pos-18-21)
  (free pos-18-3)
  (free pos-18-4)
  (free pos-18-5)
  (free pos-18-6)
  (free pos-18-7)
  (free pos-18-8)
  (free pos-18-9)
  (free pos-19-0)
  (free pos-19-1)
  (free pos-19-10)
  (free pos-19-11)
  (free pos-19-12)
  (free pos-19-13)
  (free pos-19-14)
  (free pos-19-15)
  (free pos-19-16)
  (free pos-19-17)
  (free pos-19-18)
  (free pos-19-19)
  (free pos-19-2)
  (free pos-19-20)
  (free pos-19-21)
  (free pos-19-3)
  (free pos-19-4)
  (free pos-19-5)
  (free pos-19-6)
  (free pos-19-7)
  (free pos-19-8)
  (free pos-19-9)
  (free pos-2-0)
  (free pos-2-1)
  (free pos-2-10)
  (free pos-2-11)
  (free pos-2-12)
  (free pos-2-13)
  (free pos-2-14)
  (free pos-2-15)
  (free pos-2-16)
  (free pos-2-17)
  (free pos-2-18)
  (free pos-2-19)
  (free pos-2-2)
  (free pos-2-20)
  (free pos-2-21)
  (free pos-2-3)
  (free pos-2-4)
  (free pos-2-5)
  (free pos-2-6)
  (free pos-2-7)
  (free pos-2-8)
  (free pos-2-9)
  (free pos-20-0)
  (free pos-20-1)
  (free pos-20-10)
  (free pos-20-11)
  (free pos-20-12)
  (free pos-20-13)
  (free pos-20-14)
  (free pos-20-15)
  (free pos-20-16)
  (free pos-20-17)
  (free pos-20-18)
  (free pos-20-19)
  (free pos-20-2)
  (free pos-20-20)
  (free pos-20-21)
  (free pos-20-3)
  (free pos-20-4)
  (free pos-20-5)
  (free pos-20-6)
  (free pos-20-7)
  (free pos-20-8)
  (free pos-20-9)
  (free pos-21-0)
  (free pos-21-1)
  (free pos-21-10)
  (free pos-21-11)
  (free pos-21-12)
  (free pos-21-13)
  (free pos-21-14)
  (free pos-21-15)
  (free pos-21-16)
  (free pos-21-17)
  (free pos-21-18)
  (free pos-21-19)
  (free pos-21-2)
  (free pos-21-20)
  (free pos-21-21)
  (free pos-21-3)
  (free pos-21-4)
  (free pos-21-5)
  (free pos-21-6)
  (free pos-21-7)
  (free pos-21-8)
  (free pos-21-9)
  (free pos-3-0)
  (free pos-3-1)
  (free pos-3-10)
  (free pos-3-11)
  (free pos-3-12)
  (free pos-3-13)
  (free pos-3-14)
  (free pos-3-15)
  (free pos-3-16)
  (free pos-3-17)
  (free pos-3-18)
  (free pos-3-19)
  (free pos-3-2)
  (free pos-3-20)
  (free pos-3-21)
  (free pos-3-3)
  (free pos-3-4)
  (free pos-3-5)
  (free pos-3-6)
  (free pos-3-7)
  (free pos-3-8)
  (free pos-3-9)
  (free pos-4-0)
  (free pos-4-1)
  (free pos-4-10)
  (free pos-4-11)
  (free pos-4-12)
  (free pos-4-13)
  (free pos-4-14)
  (free pos-4-15)
  (free pos-4-16)
  (free pos-4-17)
  (free pos-4-18)
  (free pos-4-19)
  (free pos-4-2)
  (free pos-4-20)
  (free pos-4-21)
  (free pos-4-3)
  (free pos-4-4)
  (free pos-4-5)
  (free pos-4-6)
  (free pos-4-7)
  (free pos-4-8)
  (free pos-4-9)
  (free pos-5-0)
  (free pos-5-1)
  (free pos-5-10)
  (free pos-5-11)
  (free pos-5-12)
  (free pos-5-13)
  (free pos-5-14)
  (free pos-5-15)
  (free pos-5-16)
  (free pos-5-17)
  (free pos-5-18)
  (free pos-5-19)
  (free pos-5-2)
  (free pos-5-20)
  (free pos-5-21)
  (free pos-5-3)
  (free pos-5-4)
  (free pos-5-5)
  (free pos-5-6)
  (free pos-5-7)
  (free pos-5-8)
  (free pos-5-9)
  (free pos-6-0)
  (free pos-6-1)
  (free pos-6-10)
  (free pos-6-11)
  (free pos-6-12)
  (free pos-6-13)
  (free pos-6-14)
  (free pos-6-15)
  (free pos-6-16)
  (free pos-6-17)
  (free pos-6-18)
  (free pos-6-19)
  (free pos-6-2)
  (free pos-6-20)
  (free pos-6-21)
  (free pos-6-3)
  (free pos-6-4)
  (free pos-6-5)
  (free pos-6-6)
  (free pos-6-7)
  (free pos-6-8)
  (free pos-6-9)
  (free pos-7-0)
  (free pos-7-1)
  (free pos-7-10)
  (free pos-7-11)
  (free pos-7-12)
  (free pos-7-13)
  (free pos-7-14)
  (free pos-7-15)
  (free pos-7-16)
  (free pos-7-17)
  (free pos-7-18)
  (free pos-7-19)
  (free pos-7-2)
  (free pos-7-20)
  (free pos-7-21)
  (free pos-7-3)
  (free pos-7-4)
  (free pos-7-5)
  (free pos-7-6)
  (free pos-7-7)
  (free pos-7-8)
  (free pos-7-9)
  (free pos-8-0)
  (free pos-8-1)
  (free pos-8-10)
  (free pos-8-11)
  (free pos-8-12)
  (free pos-8-13)
  (free pos-8-14)
  (free pos-8-15)
  (free pos-8-16)
  (free pos-8-17)
  (free pos-8-18)
  (free pos-8-19)
  (free pos-8-2)
  (free pos-8-20)
  (free pos-8-21)
  (free pos-8-3)
  (free pos-8-4)
  (free pos-8-5)
  (free pos-8-6)
  (free pos-8-7)
  (free pos-8-8)
  (free pos-8-9)
  (free pos-9-0)
  (free pos-9-1)
  (free pos-9-10)
  (free pos-9-11)
  (free pos-9-12)
  (free pos-9-13)
  (free pos-9-14)
  (free pos-9-15)
  (free pos-9-16)
  (free pos-9-17)
  (free pos-9-18)
  (free pos-9-19)
  (free pos-9-2)
  (free pos-9-20)
  (free pos-9-21)
  (free pos-9-3)
  (free pos-9-4)
  (free pos-9-5)
  (free pos-9-6)
  (free pos-9-7)
  (free pos-9-8)
  (free pos-9-9)
  (occupied pos-0-0)
  (occupied pos-0-1)
  (occupied pos-1-0)
  (x-succ pos-0-0 pos-1-0)
  (x-succ pos-0-1 pos-1-1)
  (x-succ pos-0-10 pos-1-10)
  (x-succ pos-0-11 pos-1-11)
  (x-succ pos-0-12 pos-1-12)
  (x-succ pos-0-13 pos-1-13)
  (x-succ pos-0-14 pos-1-14)
  (x-succ pos-0-15 pos-1-15)
  (x-succ pos-0-16 pos-1-16)
  (x-succ pos-0-17 pos-1-17)
  (x-succ pos-0-18 pos-1-18)
  (x-succ pos-0-19 pos-1-19)
  (x-succ pos-0-2 pos-1-2)
  (x-succ pos-0-20 pos-1-20)
  (x-succ pos-0-21 pos-1-21)
  (x-succ pos-0-3 pos-1-3)
  (x-succ pos-0-4 pos-1-4)
  (x-succ pos-0-5 pos-1-5)
  (x-succ pos-0-6 pos-1-6)
  (x-succ pos-0-7 pos-1-7)
  (x-succ pos-0-8 pos-1-8)
  (x-succ pos-0-9 pos-1-9)
  (x-succ pos-1-0 pos-2-0)
  (x-succ pos-1-1 pos-2-1)
  (x-succ pos-1-10 pos-2-10)
  (x-succ pos-1-11 pos-2-11)
  (x-succ pos-1-12 pos-2-12)
  (x-succ pos-1-13 pos-2-13)
  (x-succ pos-1-14 pos-2-14)
  (x-succ pos-1-15 pos-2-15)
  (x-succ pos-1-16 pos-2-16)
  (x-succ pos-1-17 pos-2-17)
  (x-succ pos-1-18 pos-2-18)
  (x-succ pos-1-19 pos-2-19)
  (x-succ pos-1-2 pos-2-2)
  (x-succ pos-1-20 pos-2-20)
  (x-succ pos-1-21 pos-2-21)
  (x-succ pos-1-3 pos-2-3)
  (x-succ pos-1-4 pos-2-4)
  (x-succ pos-1-5 pos-2-5)
  (x-succ pos-1-6 pos-2-6)
  (x-succ pos-1-7 pos-2-7)
  (x-succ pos-1-8 pos-2-8)
  (x-succ pos-1-9 pos-2-9)
  (x-succ pos-10-0 pos-11-0)
  (x-succ pos-10-1 pos-11-1)
  (x-succ pos-10-10 pos-11-10)
  (x-succ pos-10-11 pos-11-11)
  (x-succ pos-10-12 pos-11-12)
  (x-succ pos-10-13 pos-11-13)
  (x-succ pos-10-14 pos-11-14)
  (x-succ pos-10-15 pos-11-15)
  (x-succ pos-10-16 pos-11-16)
  (x-succ pos-10-17 pos-11-17)
  (x-succ pos-10-18 pos-11-18)
  (x-succ pos-10-19 pos-11-19)
  (x-succ pos-10-2 pos-11-2)
  (x-succ pos-10-20 pos-11-20)
  (x-succ pos-10-21 pos-11-21)
  (x-succ pos-10-3 pos-11-3)
  (x-succ pos-10-4 pos-11-4)
  (x-succ pos-10-5 pos-11-5)
  (x-succ pos-10-6 pos-11-6)
  (x-succ pos-10-7 pos-11-7)
  (x-succ pos-10-8 pos-11-8)
  (x-succ pos-10-9 pos-11-9)
  (x-succ pos-11-0 pos-12-0)
  (x-succ pos-11-1 pos-12-1)
  (x-succ pos-11-10 pos-12-10)
  (x-succ pos-11-11 pos-12-11)
  (x-succ pos-11-12 pos-12-12)
  (x-succ pos-11-13 pos-12-13)
  (x-succ pos-11-14 pos-12-14)
  (x-succ pos-11-15 pos-12-15)
  (x-succ pos-11-16 pos-12-16)
  (x-succ pos-11-17 pos-12-17)
  (x-succ pos-11-18 pos-12-18)
  (x-succ pos-11-19 pos-12-19)
  (x-succ pos-11-2 pos-12-2)
  (x-succ pos-11-20 pos-12-20)
  (x-succ pos-11-21 pos-12-21)
  (x-succ pos-11-3 pos-12-3)
  (x-succ pos-11-4 pos-12-4)
  (x-succ pos-11-5 pos-12-5)
  (x-succ pos-11-6 pos-12-6)
  (x-succ pos-11-7 pos-12-7)
  (x-succ pos-11-8 pos-12-8)
  (x-succ pos-11-9 pos-12-9)
  (x-succ pos-12-0 pos-13-0)
  (x-succ pos-12-1 pos-13-1)
  (x-succ pos-12-10 pos-13-10)
  (x-succ pos-12-11 pos-13-11)
  (x-succ pos-12-12 pos-13-12)
  (x-succ pos-12-13 pos-13-13)
  (x-succ pos-12-14 pos-13-14)
  (x-succ pos-12-15 pos-13-15)
  (x-succ pos-12-16 pos-13-16)
  (x-succ pos-12-17 pos-13-17)
  (x-succ pos-12-18 pos-13-18)
  (x-succ pos-12-19 pos-13-19)
  (x-succ pos-12-2 pos-13-2)
  (x-succ pos-12-20 pos-13-20)
  (x-succ pos-12-21 pos-13-21)
  (x-succ pos-12-3 pos-13-3)
  (x-succ pos-12-4 pos-13-4)
  (x-succ pos-12-5 pos-13-5)
  (x-succ pos-12-6 pos-13-6)
  (x-succ pos-12-7 pos-13-7)
  (x-succ pos-12-8 pos-13-8)
  (x-succ pos-12-9 pos-13-9)
  (x-succ pos-13-0 pos-14-0)
  (x-succ pos-13-1 pos-14-1)
  (x-succ pos-13-10 pos-14-10)
  (x-succ pos-13-11 pos-14-11)
  (x-succ pos-13-12 pos-14-12)
  (x-succ pos-13-13 pos-14-13)
  (x-succ pos-13-14 pos-14-14)
  (x-succ pos-13-15 pos-14-15)
  (x-succ pos-13-16 pos-14-16)
  (x-succ pos-13-17 pos-14-17)
  (x-succ pos-13-18 pos-14-18)
  (x-succ pos-13-19 pos-14-19)
  (x-succ pos-13-2 pos-14-2)
  (x-succ pos-13-20 pos-14-20)
  (x-succ pos-13-21 pos-14-21)
  (x-succ pos-13-3 pos-14-3)
  (x-succ pos-13-4 pos-14-4)
  (x-succ pos-13-5 pos-14-5)
  (x-succ pos-13-6 pos-14-6)
  (x-succ pos-13-7 pos-14-7)
  (x-succ pos-13-8 pos-14-8)
  (x-succ pos-13-9 pos-14-9)
  (x-succ pos-14-0 pos-15-0)
  (x-succ pos-14-1 pos-15-1)
  (x-succ pos-14-10 pos-15-10)
  (x-succ pos-14-11 pos-15-11)
  (x-succ pos-14-12 pos-15-12)
  (x-succ pos-14-13 pos-15-13)
