(num-subs l0), layer: 0
(catalyzed-association-reaction cdk1p1p2 cdc25cp1p2 cdk1p2), layer: 0
(catalyzed-association-reaction cdk1p1p2 cdk7-cych cdk1p1p2p3), layer: 0
(association-reaction cdk1p1p2 cks1 cdk1p1p2-cks1), layer: 0
(association-reaction cdk1p1p2 gadd45 cdk1p1p2-gadd45), layer: 0
(catalyzed-association-reaction cdk1p1p2p3 cdc25cp1 cdk1p1p3), layer: 0
(catalyzed-association-reaction cdk1p1p2p3 cdc25cp1 cdk1p2p3), layer: 0
(catalyzed-association-reaction cdk1p1p2p3 cdc25cp1p2 cdk1p1p3), layer: 0
(catalyzed-association-reaction cdk1p1p2p3 cdc25cp1p2 cdk1p2p3), layer: 0
(association-reaction cdk1p1p2p3 cks1 cdk1p1p2p3-cks1), layer: 0
(catalyzed-association-reaction cdk1p1p2p3-cyca cdc25cp1 cdk1p1p3-cyca), layer: 0
(catalyzed-association-reaction cdk1p1p2p3-cyca cdc25cp1 cdk1p2p3-cyca), layer: 0
(catalyzed-association-reaction cdk1p1p2p3-cyca cdc25cp1p2 cdk1p1p3-cyca), layer: 0
(catalyzed-association-reaction cdk1p1p2p3-cyca cdc25cp1p2 cdk1p2p3-cyca), layer: 0
(association-reaction cdk1p1p2p3 cyca cdk1p1p2p3-cyca), layer: 0
(catalyzed-association-reaction cdk1p1p2p3-cycb cdc25cp1 cdk1p1p3-cycb), layer: 0
(catalyzed-association-reaction cdk1p1p2p3-cycb cdc25cp1 cdk1p2p3-cycb), layer: 0
(catalyzed-association-reaction cdk1p1p2p3-cycb cdc25cp1p2 cdk1p1p3-cycb), layer: 0
(catalyzed-association-reaction cdk1p1p2p3-cycb cdc25cp1p2 cdk1p2p3-cycb), layer: 0
(association-reaction cdk1p1p2p3 cycb cdk1p1p2p3-cycb), layer: 0
(association-reaction cdk1p1p2p3 gadd45 cdk1p1p2p3-gadd45), layer: 0
(catalyzed-association-reaction cdk1p1p3 cdc25cp1 cdk1p3), layer: 0
(catalyzed-association-reaction cdk1p1p3 cdc25cp1p2 cdk1p3), layer: 0
(association-reaction cdk1p1p3 cks1 cdk1p1p3-cks1), layer: 0
(catalyzed-association-reaction cdk1p1p3-cyca cdc25cp1 cdk1p3-cyca), layer: 0
(catalyzed-association-reaction cdk1p1p3-cyca cdc25cp1p2 cdk1p3-cyca), layer: 0
(association-reaction cdk1p1p3 cyca cdk1p1p3-cyca), layer: 0
(catalyzed-association-reaction cdk1p1p3-cyca wee1 cdk1p1p2p3-cyca), layer: 0
(catalyzed-association-reaction cdk1p1p3-cycb cdc25cp1 cdk1p3-cycb), layer: 0
(catalyzed-association-reaction cdk1p1p3-cycb cdc25cp1p2 cdk1p3-cycb), layer: 0
(association-reaction cdk1p1p3 cycb cdk1p1p3-cycb), layer: 0
(catalyzed-association-reaction cdk1p1p3-cycb wee1 cdk1p1p2p3-cycb), layer: 0
(association-reaction cdk1p1p3 gadd45 cdk1p1p3-gadd45), layer: 0
(catalyzed-association-reaction cdk1p2 cdc25cp1 cdk1), layer: 0
(catalyzed-association-reaction cdk1p2 cdc25cp1p2 cdk1), layer: 0
(catalyzed-association-reaction cdk1p2 cdk7-cych cdk1p2p3), layer: 0
(association-reaction cdk1p2 cks1 cdk1p2-cks1), layer: 0
(association-reaction cdk1p2 gadd45 cdk1p2-gadd45), layer: 0
(catalyzed-association-reaction cdk1p2p3 cdc25cp1 cdk1p3), layer: 0
(catalyzed-association-reaction cdk1p2p3 cdc25cp1p2 cdk1p3), layer: 0
(association-reaction cdk1p2p3 cks1 cdk1p2p3-cks1), layer: 0
(catalyzed-association-reaction cdk1p2p3-cyca cdc25cp1 cdk1p3-cyca), layer: 0
(catalyzed-association-reaction cdk1p2p3-cyca cdc25cp1p2 cdk1p3-cyca), layer: 0
(association-reaction cdk1p2p3 cyca cdk1p2p3-cyca), layer: 0
(catalyzed-association-reaction cdk1p2p3-cycb cdc25cp1 cdk1p3-cycb), layer: 0
(catalyzed-association-reaction cdk1p2p3-cycb cdc25cp1p2 cdk1p3-cycb), layer: 0
(association-reaction cdk1p2p3 cycb cdk1p2p3-cycb), layer: 0
(association-reaction cdk1p2p3 gadd45 cdk1p2p3-gadd45), layer: 0
(association-reaction cdk1p3 cks1 cdk1p3-cks1), layer: 0
(association-reaction cdk1p3 cyca cdk1p3-cyca), layer: 0
(catalyzed-association-reaction cdk1p3-cyca wee1 cdk1p2p3-cyca), layer: 0
(association-reaction cdk1p3 cycb cdk1p3-cycb), layer: 0
(catalyzed-association-reaction cdk1p3-cycb wee1 cdk1p2p3-cycb), layer: 0
(association-reaction cdk1p3 gadd45 cdk1p3-gadd45), layer: 0
(catalyzed-association-reaction cdk2 cdk7-cych cdk2p2), layer: 0
(association-reaction cdk2 cks1 cdk2-cks1), layer: 0
(association-reaction cdk2 cyca cdk2-cyca), layer: 0
(catalyzed-association-reaction cdk2-cyca cdk7-cych cdk2p2-cyca), layer: 0
(association-reaction cdk2-cyca e2f13 cdk2-cyca-e2f13), layer: 0
(association-reaction cdk2-cyca e2f13p1 cdk2-cyca-e2f13p1), layer: 0
(catalyzed-association-reaction cdk2-cyca wee1 cdk2p1-cyca), layer: 0
(catalyzed-association-reaction cdk2-cycb wee1 cdk2p1-cycb), layer: 0
(association-reaction cdk2 cyce cdk2-cyce), layer: 0
(catalyzed-association-reaction cdk2-cyce cdk7-cych cdk2p2-cyce), layer: 0
(association-reaction cdk2 cycep1 cdk2-cycep1), layer: 0
(catalyzed-association-reaction cdk2-cycep1 cdk7-cych cdk2p2-cycep1), layer: 0
(catalyzed-association-reaction cdk2p1 cdk7-cych cdk2p1p2), layer: 0
(association-reaction cdk2p1 cks1 cdk2p1-cks1), layer: 0
(association-reaction cdk2p1 cyca cdk2p1-cyca), layer: 0
(catalyzed-association-reaction cdk2p1-cyca cdk7-cych cdk2p1p2-cyca), layer: 0
(association-reaction cdk2p1-cyca e2f13 cdk2p1-cyca-e2f13), layer: 0
(association-reaction cdk2p1-cyca e2f13p1 cdk2p1-cyca-e2f13p1), layer: 0
(association-reaction cdk2p1 cyce cdk2p1-cyce), layer: 0
(catalyzed-association-reaction cdk2p1-cyce cdk7-cych cdk2p1p2-cyce), layer: 0
(association-reaction cdk2p1 cycep1 cdk2p1-cycep1), layer: 0
(catalyzed-association-reaction cdk2p1-cycep1 cdk7-cych cdk2p1p2-cycep1), layer: 0
(association-reaction cdk2p1p2 cks1 cdk2p1p2-cks1), layer: 0
(association-reaction cdk2p1p2 cyca cdk2p1p2-cyca), layer: 0
(association-reaction cdk2p1p2-cyca e2f13 cdk2p1p2-cyca-e2f13), layer: 0
(association-reaction cdk2p1p2-cyca e2f13p1 cdk2p1p2-cyca-e2f13p1), layer: 0
(association-reaction cdk2p1p2 cyce cdk2p1p2-cyce), layer: 0
(association-reaction cdk2p1p2 cycep1 cdk2p1p2-cycep1), layer: 0
(association-reaction cdk2p2 cks1 cdk2p2-cks1), layer: 0
(association-reaction cdk2p2 cyca cdk2p2-cyca), layer: 0
(association-reaction cdk2p2-cyca e2f13 cdk2p2-cyca-e2f13), layer: 0
(association-reaction cdk2p2-cyca e2f13p1 cdk2p2-cyca-e2f13p1), layer: 0
(catalyzed-association-reaction cdk2p2-cyca wee1 cdk2p1p2-cyca), layer: 0
(association-reaction cdk2p2 cyce cdk2p2-cyce), layer: 0
(association-reaction cdk2p2 cycep1 cdk2p2-cycep1), layer: 0
(catalyzed-association-reaction cdk46p1 cdk7-cych cdk46p1p2), layer: 0
(association-reaction cdk46p1 cycd cdk46p1-cycd), layer: 0
(catalyzed-association-reaction cdk46p1-cycd cdk7-cych cdk46p1p2-cycd), layer: 0
(association-reaction cdk46p1 cycdp1 cdk46p1-cycdp1), layer: 0
(catalyzed-association-reaction cdk46p1-cycdp1 cdk7-cych cdk46p1p2-cycdp1), layer: 0
(association-reaction cdk46p1p2 cycd cdk46p1p2-cycd), layer: 0
(association-reaction cdk46p1p2 cycdp1 cdk46p1p2-cycdp1), layer: 0
(catalyzed-association-reaction cdk7 cdk7-cych cdk7p1), layer: 0
(association-reaction cdk7 cych cdk7-cych), layer: 0
(catalyzed-association-reaction cdk7-cych cdk7-cych cdk7p1-cych), layer: 0
(association-reaction cdk7p1 cych cdk7p1-cych), layer: 0
(association-reaction cebp prb cebp-prb), layer: 0
(association-reaction cebp prbp1 cebp-prbp1), layer: 0
(association-reaction cebp prbp1p2 cebp-prbp1p2), layer: 0
(association-reaction cebp prbp2 cebp-prbp2), layer: 0
(association-reaction c-myc ap2 c-myc-ap2), layer: 0
(catalyzed-association-reaction cyca skp2p1-skp1 skp2p1-skp1), layer: 0
(catalyzed-association-reaction cyca skp2p1-skp1p1 skp2p1-skp1p1), layer: 0
(catalyzed-association-reaction cyca skp2-skp1 skp2-skp1), layer: 0
(catalyzed-association-reaction cyca skp2-skp1p1 skp2-skp1p1), layer: 0
(catalyzed-association-reaction cyce cdk2p2-cyce cycep1), layer: 0
(catalyzed-association-reaction cyce cdk2p2-cycep1 cycep1), layer: 0
(catalyzed-association-reaction dp12 cdk2p2-cyca dp12p1), layer: 0
(catalyzed-association-reaction e2f13 cdk2p2-cyca e2f13p1), layer: 0
(synthesis-reaction e2f13-dp12-ge2 c-myc), layer: 0
(synthesis-reaction e2f13-dp12-ge2 cyca), layer: 0
(synthesis-reaction e2f13-dp12-ge2 cycd), layer: 0
(synthesis-reaction e2f13-dp12-ge2 cycdp1), layer: 0
(synthesis-reaction e2f13-dp12-ge2 cyce), layer: 0
(synthesis-reaction e2f13-dp12-ge2 cycep1), layer: 0
(association-reaction e2f13-dp12 ge2 e2f13-dp12-ge2), layer: 0
(synthesis-reaction e2f13-dp12-ge2 p107), layer: 0
(synthesis-reaction e2f13-dp12-ge2 p107p1), layer: 0
(synthesis-reaction e2f13-dp12-ge2 p19arf), layer: 0
(synthesis-reaction e2f13-dp12-ge2 pol), layer: 0
(association-reaction e2f1 dp12 e2f1-dp12), layer: 0
(association-reaction e2f3 dp12 e2f3-dp12), layer: 0
(association-reaction e2f4 dp12 e2f4-dp12), layer: 0
(synthesis-reaction e2f4-dp12-ge2 c-myc), layer: 0
(synthesis-reaction e2f4-dp12-ge2 cyca), layer: 0
(synthesis-reaction e2f4-dp12-ge2 cycd), layer: 0
(synthesis-reaction e2f4-dp12-ge2 cycdp1), layer: 0
(synthesis-reaction e2f4-dp12-ge2 cyce), layer: 0
(synthesis-reaction e2f4-dp12-ge2 cycep1), layer: 0
(association-reaction e2f4-dp12 ge2 e2f4-dp12-ge2), layer: 0
(synthesis-reaction e2f4-dp12-ge2 p107), layer: 0
(synthesis-reaction e2f4-dp12-ge2 p107p1), layer: 0
(synthesis-reaction e2f4-dp12-ge2 p19arf), layer: 0
(synthesis-reaction e2f4-dp12-ge2 pol), layer: 0
(association-reaction e2f6 dp12 e2f6-dp12), layer: 0
(association-reaction e2f6-dp12 ge2 e2f6-dp12-ge2), layer: 0
(association-reaction hbp1 p130 hbp1-p130), layer: 0
(association-reaction hdac1-p107-e2f4p1-dp12 ge2 hdac1-p107-e2f4p1-dp12-ge2), layer: 0
(association-reaction hdac1-p130-e2f4p1-dp12 ge2 hdac1-p130-e2f4p1-dp12-ge2), layer: 0
(association-reaction hdac1-prbp1-e2f13p1-dp12 ge2 hdac1-prbp1-e2f13p1-dp12-ge2), layer: 0
(association-reaction hdac1-prbp1-e2f4-dp12 ge2 hdac1-prbp1-e2f4-dp12-ge2), layer: 0
(association-reaction m1433 cdc25cp1p2 m1433-cdc25cp1p2), layer: 0
(association-reaction m1433 cdc25cp2 m1433-cdc25cp2), layer: 0
(association-reaction mdm2 e2f13-dp12 mdm2-e2f13-dp12), layer: 0
(association-reaction mdm2 e2f13p1-dp12p1 mdm2-e2f13p1-dp12p1), layer: 0
(association-reaction mdm2 prb mdm2-prb), layer: 0
(association-reaction mdm2 prbp1 mdm2-prbp1), layer: 0
(association-reaction mdm2 prbp1p2 mdm2-prbp1p2), layer: 0
(association-reaction mdm2 prbp2 mdm2-prbp2), layer: 0
(association-reaction p107-e2f4-dp12 ge2 p107-e2f4-dp12-ge2), layer: 0
(association-reaction p107 e2f4-dp12 p107-e2f4-dp12), layer: 0
(association-reaction p107-e2f4-dp12p1 ge2 p107-e2f4-dp12p1-ge2), layer: 0
(association-reaction p107 e2f4-dp12p1 p107-e2f4-dp12p1), layer: 0
(association-reaction p130-e2f4-dp12 ge2 p130-e2f4-dp12-ge2), layer: 0
(association-reaction p130 e2f4-dp12 p130-e2f4-dp12), layer: 0
(association-reaction p130-e2f4-dp12p1 ge2 p130-e2f4-dp12p1-ge2), layer: 0
(association-reaction p130 e2f4-dp12p1 p130-e2f4-dp12p1), layer: 0
(association-reaction p16 cdk46p1 p16-cdk46p1), layer: 0
(association-reaction p16 cdk46p1p2 p16-cdk46p1p2), layer: 0
(association-reaction p16 cdk7 p16-cdk7), layer: 0
(association-reaction p16 cdk7p1 p16-cdk7p1), layer: 0
(association-reaction p21 cdk2-cyca p21-cdk2-cyca), layer: 0
(association-reaction p21 cdk2-cycep1 p21-cdk2-cycep1), layer: 0
(association-reaction p21 cdk2-cyce p21-cdk2-cyce), layer: 0
(association-reaction p21 cdk2p1-cyca p21-cdk2p1-cyca), layer: 0
(association-reaction p21 cdk2p1-cycep1 p21-cdk2p1-cycep1), layer: 0
(association-reaction p21 cdk2p1-cyce p21-cdk2p1-cyce), layer: 0
(association-reaction p21 cdk2p1p2-cyca p21-cdk2p1p2-cyca), layer: 0
(association-reaction p21 cdk2p1p2-cycep1 p21-cdk2p1p2-cycep1), layer: 0
(association-reaction p21 cdk2p1p2-cyce p21-cdk2p1p2-cyce), layer: 0
(association-reaction p21 cdk2p2-cyca p21-cdk2p2-cyca), layer: 0
(association-reaction p21 cdk2p2-cycep1 p21-cdk2p2-cycep1), layer: 0
(association-reaction p21 cdk2p2-cyce p21-cdk2p2-cyce), layer: 0
(association-reaction p21 cdk46p1-cycdp1 p21-cdk46p1-cycdp1), layer: 0
(association-reaction p21 cdk46p1-cycd p21-cdk46p1-cycd), layer: 0
(association-reaction p21 cdk46p1p2-cycdp1 p21-cdk46p1p2-cycdp1), layer: 0
(association-reaction p21 cdk46p1p2-cycd p21-cdk46p1p2-cycd), layer: 0
(association-reaction p21 gadd45 p21-gadd45), layer: 0
(association-reaction p27 cdk2-cyca p27-cdk2-cyca), layer: 0
(association-reaction p27 cdk2-cycep1 p27-cdk2-cycep1), layer: 0
(association-reaction p27 cdk2-cyce p27-cdk2-cyce), layer: 0
(association-reaction p27 cdk2p1-cyca p27-cdk2p1-cyca), layer: 0
(association-reaction p27 cdk2p1-cycep1 p27-cdk2p1-cycep1), layer: 0
(association-reaction p27 cdk2p1-cyce p27-cdk2p1-cyce), layer: 0
(association-reaction p27 cdk2p1p2-cyca p27-cdk2p1p2-cyca), layer: 0
(association-reaction p27 cdk2p1p2-cycep1 p27-cdk2p1p2-cycep1), layer: 0
(association-reaction p27 cdk2p1p2-cyce p27-cdk2p1p2-cyce), layer: 0
(association-reaction p27 cdk2p2-cyca p27-cdk2p2-cyca), layer: 0
(association-reaction p27 cdk2p2-cycep1 p27-cdk2p2-cycep1), layer: 0
(catalyzed-association-reaction p27 cdk2p2-cycep1 p27p1), layer: 0
(association-reaction p27 cdk2p2-cyce p27-cdk2p2-cyce), layer: 0
(catalyzed-association-reaction p27 cdk2p2-cyce p27p1), layer: 0
(association-reaction p27 cdk46p1-cycdp1 p27-cdk46p1-cycdp1), layer: 0
(association-reaction p27 cdk46p1-cycd p27-cdk46p1-cycd), layer: 0
(association-reaction p27 cdk46p1p2-cycdp1 p27-cdk46p1p2-cycdp1), layer: 0
(association-reaction p27 cdk46p1p2-cycd p27-cdk46p1p2-cycd), layer: 0
(association-reaction p27p1 cdk2-cyca p27p1-cdk2-cyca), layer: 0
(association-reaction p27p1 cdk2-cycep1 p27p1-cdk2-cycep1), layer: 0
(association-reaction p27p1 cdk2-cyce p27p1-cdk2-cyce), layer: 0
(association-reaction p27p1 cdk2p1-cyca p27p1-cdk2p1-cyca), layer: 0
(association-reaction p27p1 cdk2p1-cycep1 p27p1-cdk2p1-cycep1), layer: 0
(association-reaction p27p1 cdk2p1-cyce p27p1-cdk2p1-cyce), layer: 0
(association-reaction p27p1 cdk2p1p2-cyca p27p1-cdk2p1p2-cyca), layer: 0
(association-reaction p27p1 cdk2p1p2-cycep1 p27p1-cdk2p1p2-cycep1), layer: 0
(association-reaction p27p1 cdk2p1p2-cyce p27p1-cdk2p1p2-cyce), layer: 0
(association-reaction p27p1 cdk2p2-cyca p27p1-cdk2p2-cyca), layer: 0
(association-reaction p27p1 cdk2p2-cycep1 p27p1-cdk2p2-cycep1), layer: 0
(association-reaction p27p1 cdk2p2-cyce p27p1-cdk2p2-cyce), layer: 0
(association-reaction p27p1 cdk46p1-cycdp1 p27p1-cdk46p1-cycdp1), layer: 0
(association-reaction p27p1 cdk46p1-cycd p27p1-cdk46p1-cycd), layer: 0
(association-reaction p27p1 cdk46p1p2-cycdp1 p27p1-cdk46p1p2-cycdp1), layer: 0
(association-reaction p27p1 cdk46p1p2-cycd p27p1-cdk46p1p2-cycd), layer: 0
(synthesis-reaction p53 c-fos), layer: 0
(association-reaction p53 dp12p1 p53-dp12p1), layer: 0
(association-reaction p53 dp12 p53-dp12), layer: 0
(synthesis-reaction p53 gadd45), layer: 0
(synthesis-reaction p53 mdm2), layer: 0
(synthesis-reaction p53p1 c-fos), layer: 0
(association-reaction p53p1 dp12p1 p53p1-dp12p1), layer: 0
(association-reaction p53p1 dp12 p53p1-dp12), layer: 0
(synthesis-reaction p53p1 gadd45), layer: 0
(synthesis-reaction p53p1 mdm2), layer: 0
(synthesis-reaction p53p1 p21), layer: 0
(synthesis-reaction p53 p21), layer: 0
(association-reaction p57 cdk2-cyca p57-cdk2-cyca), layer: 0
(association-reaction p57 cdk2-cycep1 p57-cdk2-cycep1), layer: 0
(association-reaction p57 cdk2-cyce p57-cdk2-cyce), layer: 0
(association-reaction p57 cdk2p1-cyca p57-cdk2p1-cyca), layer: 0
(association-reaction p57 cdk2p1-cycep1 p57-cdk2p1-cycep1), layer: 0
(association-reaction p57 cdk2p1-cyce p57-cdk2p1-cyce), layer: 0
(association-reaction p57 cdk2p1p2-cyca p57-cdk2p1p2-cyca), layer: 0
(association-reaction p57 cdk2p1p2-cycep1 p57-cdk2p1p2-cycep1), layer: 0
(association-reaction p57 cdk2p1p2-cyce p57-cdk2p1p2-cyce), layer: 0
(association-reaction p57 cdk2p2-cyca p57-cdk2p2-cyca), layer: 0
(association-reaction p57 cdk2p2-cycep1 p57-cdk2p2-cycep1), layer: 0
