(cube1 red yellow green), layer: 0
(cube4 blue orange yellow), layer: 1
(cube3 blue white red), layer: 1
(edge78 red yellow), layer: 1
(edge48 white green), layer: 1
(edge34 blue red), layer: 1
(edge37 yellow orange), layer: 1
(cube7 green red yellow), layer: 2
(cube7 green orange white), layer: 2
(cube7 orange blue white), layer: 2
(cube7 blue white orange), layer: 2
(cube7 yellow green red), layer: 2
(cube8 green orange yellow), layer: 2
(cube8 orange blue yellow), layer: 2
(cube8 red yellow blue), layer: 2
(cube8 orange yellow green), layer: 2
(cube8 yellow blue red), layer: 2
(cube6 blue red white), layer: 2
(cube6 white orange blue), layer: 2
(cube6 orange white green), layer: 2
(cube6 white green orange), layer: 2
(cube6 white blue red), layer: 2
(cube5 yellow orange blue), layer: 2
(cube5 red white green), layer: 2
(cube5 yellow green orange), layer: 2
(cube5 blue yellow orange), layer: 2
(cube5 white green red), layer: 2
(edge78 red green), layer: 2
(edge78 white orange), layer: 2
(edge78 yellow red), layer: 2
(edge68 green yellow), layer: 2
(edge68 red yellow), layer: 2
(edge68 blue red), layer: 2
(edge56 green white), layer: 2
(edge56 red blue), layer: 2
(edge56 white red), layer: 2
(edge57 orange white), layer: 2
(edge57 red white), layer: 2
(edge57 green orange), layer: 2
(cube6 green red yellow), layer: 2
(cube6 green orange white), layer: 2
(cube6 blue white orange), layer: 2
(cube6 yellow green red), layer: 2
(cube8 red white green), layer: 2
(cube8 yellow green orange), layer: 2
(cube8 blue yellow orange), layer: 2
(cube8 white green red), layer: 2
(cube7 blue red white), layer: 2
(cube7 white orange blue), layer: 2
(cube7 white green orange), layer: 2
(cube7 white blue red), layer: 2
(cube5 green orange yellow), layer: 2
(cube5 orange blue yellow), layer: 2
(cube5 red yellow blue), layer: 2
(cube5 yellow blue red), layer: 2
(edge56 white orange), layer: 2
(edge56 yellow red), layer: 2
(edge57 red yellow), layer: 2
(edge57 blue red), layer: 2
(edge78 red blue), layer: 2
(edge78 white red), layer: 2
(edge68 orange white), layer: 2
(edge68 red white), layer: 2
(cube2 blue red yellow), layer: 2
(cube2 green orange yellow), layer: 2
(cube2 red white green), layer: 2
(cube2 yellow green orange), layer: 2
(cube2 yellow blue red), layer: 2
(cube1 green red yellow), layer: 2
(cube1 green orange white), layer: 2
(cube1 red white blue), layer: 2
(cube1 white green orange), layer: 2
(cube1 white blue red), layer: 2
(cube3 orange blue yellow), layer: 2
(cube3 green red white), layer: 2
(cube3 red yellow blue), layer: 2
(cube3 blue yellow orange), layer: 2
(cube3 white green red), layer: 2
(cube4 blue red white), layer: 2
(cube4 white orange blue), layer: 2
(cube4 red yellow green), layer: 2
(cube4 blue white orange), layer: 2
(cube4 yellow green red), layer: 2
(edge12 orange yellow), layer: 2
(edge12 white orange), layer: 2
(edge12 yellow red), layer: 2
(edge13 red yellow), layer: 2
(edge13 yellow blue), layer: 2
(edge13 blue red), layer: 2
(edge34 blue white), layer: 2
(edge34 red blue), layer: 2
(edge34 white red), layer: 2
(edge24 orange white), layer: 2
(edge24 red white), layer: 2
(edge24 blue orange), layer: 2
(cube3 green orange yellow), layer: 2
(cube3 red white green), layer: 2
(cube3 yellow green orange), layer: 2
(cube3 yellow blue red), layer: 2
(cube4 green red yellow), layer: 2
(cube4 green orange white), layer: 2
(cube4 white green orange), layer: 2
(cube4 white blue red), layer: 2
(cube2 orange blue yellow), layer: 2
(cube2 red yellow blue), layer: 2
(cube2 blue yellow orange), layer: 2
(cube2 white green red), layer: 2
(cube1 blue red white), layer: 2
(cube1 white orange blue), layer: 2
(cube1 blue white orange), layer: 2
(cube1 yellow green red), layer: 2
(edge34 white orange), layer: 2
(edge34 yellow red), layer: 2
(edge24 red yellow), layer: 2
(edge24 blue red), layer: 2
(edge12 red blue), layer: 2
(edge12 white red), layer: 2
(edge13 orange white), layer: 2
(edge13 red white), layer: 2
(cube6 red white blue), layer: 2
(cube8 green red white), layer: 2
(cube4 orange blue white), layer: 2
(cube2 yellow orange blue), layer: 2
(edge68 yellow blue), layer: 2
(edge68 white blue), layer: 2
(edge68 green red), layer: 2
(edge48 green white), layer: 2
(edge48 red green), layer: 2
(edge48 white red), layer: 2
(edge24 white green), layer: 2
(edge24 yellow orange), layer: 2
(edge24 green orange), layer: 2
(edge26 orange yellow), layer: 2
(edge26 blue white), layer: 2
(edge26 red blue), layer: 2
(edge24 white blue), layer: 2
(edge24 green red), layer: 2
(edge26 green white), layer: 2
(edge26 red green), layer: 2
(edge68 white green), layer: 2
(edge68 yellow orange), layer: 2
(edge48 orange yellow), layer: 2
(edge48 blue white), layer: 2
(cube3 orange yellow green), layer: 2
(cube1 orange white green), layer: 2
(cube5 blue red yellow), layer: 2
(cube7 red yellow green), layer: 2
(edge13 green yellow), layer: 2
(edge13 white blue), layer: 2
(edge13 green red), layer: 2
(edge15 green white), layer: 2
(edge15 red green), layer: 2
(edge15 yellow red), layer: 2
(edge57 white green), layer: 2
(edge57 yellow orange), layer: 2
(edge57 blue orange), layer: 2
(edge37 orange yellow), layer: 2
(edge37 blue white), layer: 2
(edge37 white orange), layer: 2
(edge57 white blue), layer: 2
(edge57 green red), layer: 2
(edge37 green white), layer: 2
(edge37 red green), layer: 2
(edge13 white green), layer: 2
(edge13 yellow orange), layer: 2
(edge15 orange yellow), layer: 2
(edge15 blue white), layer: 2
(cube5 green red white), layer: 2
(cube6 red yellow green), layer: 2
(cube2 orange yellow green), layer: 2
(cube1 orange blue white), layer: 2
(edge56 yellow green), layer: 2
(edge56 blue white), layer: 2
(edge56 orange blue), layer: 2
(edge26 yellow green), layer: 2
(edge26 white orange), layer: 2
(edge26 orange green), layer: 2
(edge12 blue yellow), layer: 2
(edge12 orange green), layer: 2
(edge12 red green), layer: 2
(edge15 white red), layer: 2
(edge15 blue yellow), layer: 2
(edge15 orange blue), layer: 2
(edge12 yellow green), layer: 2
(edge12 orange blue), layer: 2
(edge15 yellow green), layer: 2
(edge15 orange green), layer: 2
(edge56 blue yellow), layer: 2
(edge56 orange green), layer: 2
(edge26 blue yellow), layer: 2
(edge26 orange blue), layer: 2
(cube4 orange white green), layer: 2
(cube3 yellow orange blue), layer: 2
(cube7 red white blue), layer: 2
(cube8 blue red yellow), layer: 2
(edge34 yellow green), layer: 2
(edge34 green white), layer: 2
(edge34 orange blue), layer: 2
(edge37 yellow green), layer: 2
(edge37 orange green), layer: 2
(edge37 red blue), layer: 2
(edge78 blue yellow), layer: 2
(edge78 orange yellow), layer: 2
(edge78 orange green), layer: 2
(edge48 yellow red), layer: 2
(edge48 blue yellow), layer: 2
(edge48 orange blue), layer: 2
(edge78 yellow green), layer: 2
(edge78 orange blue), layer: 2
(edge48 yellow green), layer: 2
(edge48 orange green), layer: 2
(edge34 blue yellow), layer: 2
(edge34 orange green), layer: 2
(edge37 blue yellow), layer: 2
(edge37 orange blue), layer: 2
