(at n1 c8 c8), layer: 0
(free c9 c8), layer: 0
(free c9 c9), layer: 0
(free c9 c10), layer: 0
(free c9 c11), layer: 0
(free c9 c12), layer: 0
(free c9 c13), layer: 0
(free c9 c14), layer: 0
(free c9 c15), layer: 0
(free c10 c1), layer: 0
(free c10 c2), layer: 0
(free c10 c3), layer: 0
(free c10 c4), layer: 0
(free c10 c5), layer: 0
(free c10 c6), layer: 0
(free c10 c7), layer: 0
(free c10 c8), layer: 0
(free c10 c9), layer: 0
(free c10 c10), layer: 0
(free c10 c11), layer: 0
(free c10 c12), layer: 0
(free c10 c13), layer: 0
(free c10 c14), layer: 0
(free c10 c15), layer: 0
(free c11 c1), layer: 0
(free c11 c2), layer: 0
(free c11 c3), layer: 0
(free c11 c4), layer: 0
(free c11 c5), layer: 0
(free c11 c6), layer: 0
(free c11 c7), layer: 0
(free c11 c8), layer: 0
(free c11 c9), layer: 0
(free c11 c10), layer: 0
(free c11 c11), layer: 0
(free c11 c12), layer: 0
(free c11 c13), layer: 0
(free c11 c14), layer: 0
(free c11 c15), layer: 0
(free c12 c1), layer: 0
(free c12 c2), layer: 0
(free c12 c3), layer: 0
(free c12 c4), layer: 0
(free c12 c5), layer: 0
(free c12 c6), layer: 0
(free c12 c7), layer: 0
(free c12 c8), layer: 0
(free c12 c9), layer: 0
(free c12 c10), layer: 0
(free c12 c11), layer: 0
(free c12 c12), layer: 0
(free c12 c13), layer: 0
(free c12 c14), layer: 0
(free c12 c15), layer: 0
(free c13 c1), layer: 0
(free c13 c2), layer: 0
(free c13 c3), layer: 0
(free c13 c4), layer: 0
(free c13 c5), layer: 0
(free c13 c6), layer: 0
(free c13 c7), layer: 0
(free c13 c8), layer: 0
(free c13 c9), layer: 0
(free c13 c10), layer: 0
(free c13 c11), layer: 0
(free c13 c12), layer: 0
(free c13 c13), layer: 0
(free c13 c14), layer: 0
(free c13 c15), layer: 0
(free c14 c1), layer: 0
(free c14 c2), layer: 0
(free c14 c3), layer: 0
(free c14 c4), layer: 0
(free c14 c5), layer: 0
(free c14 c6), layer: 0
(free c14 c7), layer: 0
(free c14 c8), layer: 0
(free c14 c9), layer: 0
(free c14 c10), layer: 0
(free c14 c11), layer: 0
(free c14 c12), layer: 0
(free c14 c13), layer: 0
(free c14 c14), layer: 0
(free c14 c15), layer: 0
(free c15 c1), layer: 0
(free c15 c2), layer: 0
(free c15 c3), layer: 0
(free c15 c4), layer: 0
(free c15 c5), layer: 0
(free c15 c6), layer: 0
(free c15 c7), layer: 0
(free c15 c8), layer: 0
(free c15 c9), layer: 0
(free c15 c10), layer: 0
(free c15 c11), layer: 0
(free c15 c12), layer: 0
(free c15 c13), layer: 0
(free c15 c14), layer: 0
(free c15 c15), layer: 0
(NOT-rotating), layer: 0
(heading n1 right), layer: 1
(node-first-pass-next n1 clockwise n1), layer: 1
(heading n2 right), layer: 1
(node-first-pass-next n2 clockwise n2), layer: 1
(heading n3 right), layer: 1
(node-first-pass-next n3 clockwise n3), layer: 1
(heading n4 right), layer: 1
(node-first-pass-next n4 clockwise n4), layer: 1
(heading n5 right), layer: 1
(node-first-pass-next n5 clockwise n5), layer: 1
(heading n6 right), layer: 1
(node-first-pass-next n6 clockwise n6), layer: 1
(heading n7 right), layer: 1
(node-first-pass-next n7 clockwise n7), layer: 1
(heading n1 left), layer: 1
(node-first-pass-next n1 counterclockwise n1), layer: 1
(heading n2 left), layer: 1
(node-first-pass-next n2 counterclockwise n2), layer: 1
(heading n3 left), layer: 1
(node-first-pass-next n3 counterclockwise n3), layer: 1
(heading n4 left), layer: 1
(node-first-pass-next n4 counterclockwise n4), layer: 1
(heading n5 left), layer: 1
(node-first-pass-next n5 counterclockwise n5), layer: 1
(heading n6 left), layer: 1
(node-first-pass-next n6 counterclockwise n6), layer: 1
(heading n7 left), layer: 1
(node-first-pass-next n7 counterclockwise n7), layer: 1
(heading n1 down), layer: 2
(heading n2 down), layer: 2
(heading n3 down), layer: 2
(heading n4 down), layer: 2
(heading n5 down), layer: 2
(heading n6 down), layer: 2
(heading n7 down), layer: 2
(node-first-pass-next n1 clockwise n2), layer: 2
(free c8 c9), layer: 2
(node-first-pass-next n2 clockwise n3), layer: 2
(free c8 c10), layer: 2
(node-first-pass-next n3 clockwise n4), layer: 2
(free c8 c11), layer: 2
(node-first-pass-next n4 clockwise n5), layer: 2
(free c8 c12), layer: 2
(node-first-pass-next n5 clockwise n6), layer: 2
(free c8 c13), layer: 2
(node-first-pass-next n6 clockwise n7), layer: 2
(free c8 c14), layer: 2
(node-first-pass-next n1 counterclockwise n2), layer: 2
(node-first-pass-next n2 counterclockwise n3), layer: 2
(node-first-pass-next n3 counterclockwise n4), layer: 2
(node-first-pass-next n4 counterclockwise n5), layer: 2
(node-first-pass-next n5 counterclockwise n6), layer: 2
(node-first-pass-next n6 counterclockwise n7), layer: 2
(free c8 c15), layer: 2
(node-second-pass-next n7), layer: 2
(next-direction up clockwise right), layer: 0
(next-direction up counterclockwise left), layer: 0
(next-direction down clockwise left), layer: 0
(next-direction down counterclockwise right), layer: 0
(next-direction left clockwise up), layer: 0
(next-direction left counterclockwise down), layer: 0
(next-direction right clockwise down), layer: 0
(next-direction right counterclockwise up), layer: 0
(coord-inc c1 c2), layer: 0
(coord-inc c2 c3), layer: 0
(coord-inc c3 c4), layer: 0
(coord-inc c4 c5), layer: 0
(coord-inc c5 c6), layer: 0
(coord-inc c6 c7), layer: 0
(coord-inc c7 c8), layer: 0
(coord-inc c8 c9), layer: 0
(coord-inc c9 c10), layer: 0
(coord-inc c10 c11), layer: 0
(coord-inc c11 c12), layer: 0
(coord-inc c12 c13), layer: 0
(coord-inc c13 c14), layer: 0
(coord-inc c14 c15), layer: 0
(connected n1 n2), layer: 0
(connected n2 n3), layer: 0
(connected n3 n4), layer: 0
(connected n4 n5), layer: 0
(connected n5 n6), layer: 0
(connected n6 n7), layer: 0
(connected n7 n8), layer: 0
(end-node n8), layer: 0
