Diameter for move: inf
Diameter for pick: inf
Diameter for drop: inf
Init-to-goal-distance ball17 - ball14: 0
Init-to-goal-distance ball17 - ball13: 0
Init-to-goal-distance ball17 - ball12: 0
Init-to-goal-distance ball17 - ball11: 0
Init-to-goal-distance ball17 - ball10: 0
Init-to-goal-distance ball17 - ball9: 0
Init-to-goal-distance ball17 - ball8: 0
Init-to-goal-distance ball17 - ball7: 0
Init-to-goal-distance ball17 - ball6: 0
Init-to-goal-distance ball17 - ball5: 0
Init-to-goal-distance ball17 - ball4: 0
Init-to-goal-distance ball17 - ball3: 0
Init-to-goal-distance ball17 - ball2: 0
Init-to-goal-distance ball17 - ball1: 0
Init-to-goal-distance ball16 - ball15: 0
Init-to-goal-distance ball16 - ball14: 0
Init-to-goal-distance ball16 - ball13: 0
Init-to-goal-distance ball16 - ball12: 0
Init-to-goal-distance ball16 - ball11: 0
Init-to-goal-distance ball16 - ball10: 0
Init-to-goal-distance ball16 - ball9: 0
Init-to-goal-distance ball16 - ball8: 0
Init-to-goal-distance ball16 - ball7: 0
Init-to-goal-distance ball16 - ball6: 0
Init-to-goal-distance ball16 - ball5: 0
Init-to-goal-distance ball16 - ball4: 0
Init-to-goal-distance ball16 - ball3: 0
Init-to-goal-distance ball16 - ball2: 0
Init-to-goal-distance ball16 - ball1: 0
Init-to-goal-distance ball15 - ball14: 0
Init-to-goal-distance ball15 - ball13: 0
Init-to-goal-distance ball15 - ball12: 0
Init-to-goal-distance ball15 - ball11: 0
Init-to-goal-distance ball15 - ball10: 0
Init-to-goal-distance ball15 - ball9: 0
Init-to-goal-distance ball15 - ball8: 0
Init-to-goal-distance ball15 - ball7: 0
Init-to-goal-distance ball15 - ball6: 0
Init-to-goal-distance ball15 - ball5: 0
Init-to-goal-distance ball15 - ball4: 0
Init-to-goal-distance ball15 - ball3: 0
Init-to-goal-distance ball15 - ball2: 0
Init-to-goal-distance ball15 - ball1: 0
Init-to-goal-distance ball14 - ball13: 0
Init-to-goal-distance ball14 - ball12: 0
Init-to-goal-distance ball14 - ball11: 0
Init-to-goal-distance ball14 - ball10: 0
Init-to-goal-distance ball14 - ball9: 0
Init-to-goal-distance ball14 - ball8: 0
Init-to-goal-distance ball14 - ball7: 0
Init-to-goal-distance ball14 - ball6: 0
Init-to-goal-distance ball14 - ball5: 0
Init-to-goal-distance ball14 - ball4: 0
Init-to-goal-distance ball14 - ball3: 0
Init-to-goal-distance ball14 - ball2: 0
Init-to-goal-distance ball14 - ball1: 0
Init-to-goal-distance ball13 - ball12: 0
Init-to-goal-distance ball13 - ball11: 0
Init-to-goal-distance ball13 - ball10: 0
Init-to-goal-distance ball13 - ball9: 0
Init-to-goal-distance ball13 - ball8: 0
Init-to-goal-distance ball13 - ball7: 0
Init-to-goal-distance ball13 - ball6: 0
Init-to-goal-distance ball13 - ball5: 0
Init-to-goal-distance ball13 - ball4: 0
Init-to-goal-distance ball13 - ball3: 0
Init-to-goal-distance ball13 - ball2: 0
Init-to-goal-distance ball13 - ball1: 0
Init-to-goal-distance ball12 - ball11: 0
Init-to-goal-distance ball12 - ball10: 0
Init-to-goal-distance ball12 - ball9: 0
Init-to-goal-distance ball12 - ball8: 0
Init-to-goal-distance ball12 - ball7: 0
Init-to-goal-distance ball12 - ball6: 0
Init-to-goal-distance ball12 - ball5: 0
Init-to-goal-distance ball12 - ball4: 0
Init-to-goal-distance ball12 - ball3: 0
Init-to-goal-distance ball12 - ball2: 0
Init-to-goal-distance ball12 - ball1: 0
Init-to-goal-distance ball11 - ball10: 0
Init-to-goal-distance ball11 - ball9: 0
Init-to-goal-distance ball11 - ball8: 0
Init-to-goal-distance ball11 - ball7: 0
Init-to-goal-distance ball11 - ball6: 0
Init-to-goal-distance ball11 - ball5: 0
Init-to-goal-distance ball11 - ball4: 0
Init-to-goal-distance ball11 - ball3: 0
Init-to-goal-distance ball11 - ball2: 0
Init-to-goal-distance ball11 - ball1: 0
Init-to-goal-distance ball10 - ball9: 0
Init-to-goal-distance ball10 - ball8: 0
Init-to-goal-distance ball10 - ball7: 0
Init-to-goal-distance ball10 - ball6: 0
Init-to-goal-distance ball10 - ball5: 0
Init-to-goal-distance ball10 - ball4: 0
Init-to-goal-distance ball10 - ball3: 0
Init-to-goal-distance ball10 - ball2: 0
Init-to-goal-distance ball10 - ball1: 0
Init-to-goal-distance ball9 - ball8: 0
Init-to-goal-distance ball9 - ball7: 0
Init-to-goal-distance ball9 - ball6: 0
Init-to-goal-distance ball9 - ball5: 0
Init-to-goal-distance ball9 - ball4: 0
Init-to-goal-distance ball9 - ball3: 0
Init-to-goal-distance ball9 - ball2: 0
Init-to-goal-distance ball9 - ball1: 0
Init-to-goal-distance ball8 - ball7: 0
Init-to-goal-distance ball8 - ball6: 0
Init-to-goal-distance ball8 - ball5: 0
Init-to-goal-distance ball8 - ball4: 0
Init-to-goal-distance ball8 - ball3: 0
Init-to-goal-distance ball8 - ball2: 0
Init-to-goal-distance ball8 - ball1: 0
Init-to-goal-distance ball7 - ball6: 0
Init-to-goal-distance ball7 - ball5: 0
Init-to-goal-distance ball7 - ball4: 0
Init-to-goal-distance ball7 - ball3: 0
Init-to-goal-distance ball7 - ball2: 0
Init-to-goal-distance ball7 - ball1: 0
Init-to-goal-distance ball6 - ball5: 0
Init-to-goal-distance ball6 - ball4: 0
Init-to-goal-distance ball6 - ball3: 0
Init-to-goal-distance ball6 - ball2: 0
Init-to-goal-distance ball6 - ball1: 0
Init-to-goal-distance ball5 - ball4: 0
Init-to-goal-distance ball5 - ball3: 0
Init-to-goal-distance ball5 - ball2: 0
Init-to-goal-distance ball5 - ball1: 0
Init-to-goal-distance ball4 - ball3: 0
Init-to-goal-distance ball4 - ball2: 0
Init-to-goal-distance ball4 - ball1: 0
Init-to-goal-distance ball3 - ball2: 0
Init-to-goal-distance ball3 - ball1: 0
Init-to-goal-distance ball2 - ball1: 0
