(free cell-1-2), layer: 0
(free cell-8-15), layer: 0
(free cell-8-16), layer: 0
(free cell-9-1), layer: 0
(free cell-9-2), layer: 0
(free cell-9-3), layer: 0
(free cell-9-4), layer: 0
(free cell-9-5), layer: 0
(free cell-9-6), layer: 0
(free cell-9-7), layer: 0
(free cell-9-8), layer: 0
(free cell-9-9), layer: 0
(free cell-9-10), layer: 0
(free cell-9-11), layer: 0
(free cell-9-12), layer: 0
(free cell-9-13), layer: 0
(free cell-9-14), layer: 0
(free cell-9-15), layer: 0
(free cell-9-16), layer: 0
(free cell-10-1), layer: 0
(free cell-10-2), layer: 0
(free cell-10-3), layer: 0
(free cell-10-4), layer: 0
(free cell-10-5), layer: 0
(free cell-10-6), layer: 0
(free cell-10-7), layer: 0
(free cell-10-8), layer: 0
(free cell-10-9), layer: 0
(free cell-10-10), layer: 0
(free cell-10-11), layer: 0
(free cell-10-12), layer: 0
(free cell-10-13), layer: 0
(free cell-10-14), layer: 0
(free cell-10-15), layer: 0
(free cell-10-16), layer: 0
(free cell-11-1), layer: 0
(free cell-11-2), layer: 0
(free cell-11-3), layer: 0
(free cell-11-4), layer: 0
(free cell-11-5), layer: 0
(free cell-11-6), layer: 0
(free cell-11-7), layer: 0
(free cell-11-8), layer: 0
(free cell-11-9), layer: 0
(free cell-11-10), layer: 0
(free cell-11-11), layer: 0
(free cell-11-12), layer: 0
(free cell-11-13), layer: 0
(free cell-11-14), layer: 0
(free cell-11-15), layer: 0
(free cell-11-16), layer: 0
(free cell-12-1), layer: 0
(free cell-12-2), layer: 0
(free cell-12-3), layer: 0
(free cell-12-4), layer: 0
(free cell-12-5), layer: 0
(free cell-12-6), layer: 0
(free cell-12-7), layer: 0
(free cell-12-8), layer: 0
(free cell-12-9), layer: 0
(free cell-12-10), layer: 0
(free cell-12-11), layer: 0
(free cell-12-12), layer: 0
(free cell-12-13), layer: 0
(free cell-12-14), layer: 0
(free cell-12-15), layer: 0
(free cell-12-16), layer: 0
(free cell-13-1), layer: 0
(free cell-13-2), layer: 0
(free cell-13-3), layer: 0
(free cell-13-4), layer: 0
(free cell-13-5), layer: 0
(free cell-13-6), layer: 0
(free cell-13-7), layer: 0
(free cell-13-8), layer: 0
(free cell-13-9), layer: 0
(free cell-13-10), layer: 0
(free cell-13-11), layer: 0
(free cell-13-12), layer: 0
(free cell-13-13), layer: 0
(free cell-13-14), layer: 0
(free cell-13-15), layer: 0
(free cell-13-16), layer: 0
(free cell-14-1), layer: 0
(free cell-14-2), layer: 0
(free cell-14-3), layer: 0
(free cell-14-4), layer: 0
(free cell-14-5), layer: 0
(free cell-14-6), layer: 0
(free cell-14-7), layer: 0
(free cell-14-8), layer: 0
(free cell-14-9), layer: 0
(free cell-14-10), layer: 0
(free cell-14-11), layer: 0
(free cell-14-12), layer: 0
(free cell-14-13), layer: 0
(free cell-14-14), layer: 0
(free cell-14-15), layer: 0
(free cell-14-16), layer: 0
(free cell-15-1), layer: 0
(free cell-15-2), layer: 0
(free cell-15-3), layer: 0
(free cell-15-4), layer: 0
(free cell-15-5), layer: 0
(free cell-15-6), layer: 0
(free cell-15-7), layer: 0
(free cell-15-8), layer: 0
(free cell-15-9), layer: 0
(free cell-15-10), layer: 0
(free cell-15-11), layer: 0
(free cell-15-12), layer: 0
(free cell-15-13), layer: 0
(free cell-15-14), layer: 0
(free cell-15-15), layer: 0
(free cell-15-16), layer: 0
(free cell-16-2), layer: 0
(free cell-16-3), layer: 0
(free cell-16-4), layer: 0
(free cell-16-5), layer: 0
(free cell-16-6), layer: 0
(free cell-16-7), layer: 0
(free cell-16-8), layer: 0
(free cell-16-9), layer: 0
(free cell-16-10), layer: 0
(free cell-16-11), layer: 0
(free cell-16-12), layer: 0
(free cell-16-13), layer: 0
(free cell-16-14), layer: 0
(free cell-16-15), layer: 0
(at robot-1 cell-1-1), layer: 0
(at robot-2 cell-1-16), layer: 0
(at robot-3 cell-16-1), layer: 0
(at robot-4 cell-16-16), layer: 0
(nothing-is-moving), layer: 0
(NOT-free cell-1-1), layer: 0
(NOT-free cell-1-16), layer: 0
(NOT-free cell-16-1), layer: 0
(NOT-free cell-16-16), layer: 0
(is-moving robot-2 west), layer: 1
(is-moving robot-2 east), layer: 1
(is-moving robot-2 north), layer: 1
(is-moving robot-2 south), layer: 1
(is-moving robot-3 west), layer: 1
(is-moving robot-3 east), layer: 1
(is-moving robot-3 north), layer: 1
(is-moving robot-3 south), layer: 1
(is-moving robot-1 west), layer: 1
(is-moving robot-1 east), layer: 1
(is-moving robot-1 north), layer: 1
(is-moving robot-1 south), layer: 1
(is-moving robot-4 west), layer: 1
(is-moving robot-4 east), layer: 1
(is-moving robot-4 north), layer: 1
(is-moving robot-4 south), layer: 1
(at robot-2 cell-2-16), layer: 2
(free cell-1-16), layer: 2
(NOT-free cell-2-16), layer: 2
(at robot-2 cell-1-15), layer: 2
(NOT-free cell-1-15), layer: 2
(at robot-3 cell-15-1), layer: 2
(free cell-16-1), layer: 2
(NOT-free cell-15-1), layer: 2
(at robot-3 cell-16-2), layer: 2
(NOT-free cell-16-2), layer: 2
(at robot-1 cell-2-1), layer: 2
(free cell-1-1), layer: 2
(NOT-free cell-2-1), layer: 2
(at robot-1 cell-1-2), layer: 2
(NOT-free cell-1-2), layer: 2
(at robot-4 cell-15-16), layer: 2
(free cell-16-16), layer: 2
(NOT-free cell-15-16), layer: 2
(at robot-4 cell-16-15), layer: 2
(NOT-free cell-16-15), layer: 2
(next cell-1-1 cell-1-2 south), layer: 0
(next cell-1-2 cell-1-3 south), layer: 0
(next cell-1-3 cell-1-4 south), layer: 0
(next cell-1-4 cell-1-5 south), layer: 0
(next cell-1-5 cell-1-6 south), layer: 0
(next cell-1-6 cell-1-7 south), layer: 0
(next cell-1-7 cell-1-8 south), layer: 0
(next cell-1-8 cell-1-9 south), layer: 0
(next cell-1-9 cell-1-10 south), layer: 0
(next cell-1-10 cell-1-11 south), layer: 0
(next cell-1-11 cell-1-12 south), layer: 0
(next cell-1-12 cell-1-13 south), layer: 0
(next cell-1-13 cell-1-14 south), layer: 0
(next cell-1-14 cell-1-15 south), layer: 0
(next cell-1-15 cell-1-16 south), layer: 0
(next cell-2-1 cell-2-2 south), layer: 0
(next cell-2-2 cell-2-3 south), layer: 0
(next cell-2-3 cell-2-4 south), layer: 0
(next cell-2-4 cell-2-5 south), layer: 0
(next cell-2-5 cell-2-6 south), layer: 0
(next cell-2-6 cell-2-7 south), layer: 0
(next cell-2-7 cell-2-8 south), layer: 0
(next cell-2-8 cell-2-9 south), layer: 0
(next cell-2-9 cell-2-10 south), layer: 0
(next cell-2-10 cell-2-11 south), layer: 0
(next cell-2-11 cell-2-12 south), layer: 0
(next cell-2-12 cell-2-13 south), layer: 0
(next cell-2-13 cell-2-14 south), layer: 0
(next cell-2-14 cell-2-15 south), layer: 0
(next cell-2-15 cell-2-16 south), layer: 0
(next cell-3-1 cell-3-2 south), layer: 0
(next cell-3-2 cell-3-3 south), layer: 0
(next cell-3-3 cell-3-4 south), layer: 0
(next cell-3-4 cell-3-5 south), layer: 0
(next cell-3-5 cell-3-6 south), layer: 0
(next cell-3-6 cell-3-7 south), layer: 0
(next cell-3-7 cell-3-8 south), layer: 0
(next cell-3-8 cell-3-9 south), layer: 0
(next cell-3-9 cell-3-10 south), layer: 0
(next cell-3-10 cell-3-11 south), layer: 0
(next cell-3-11 cell-3-12 south), layer: 0
(next cell-3-12 cell-3-13 south), layer: 0
(next cell-3-13 cell-3-14 south), layer: 0
(next cell-3-14 cell-3-15 south), layer: 0
(next cell-3-15 cell-3-16 south), layer: 0
(next cell-4-1 cell-4-2 south), layer: 0
(next cell-4-2 cell-4-3 south), layer: 0
(next cell-4-3 cell-4-4 south), layer: 0
(next cell-4-4 cell-4-5 south), layer: 0
(next cell-4-5 cell-4-6 south), layer: 0
(next cell-4-6 cell-4-7 south), layer: 0
(next cell-4-7 cell-4-8 south), layer: 0
(next cell-4-8 cell-4-9 south), layer: 0
(next cell-4-9 cell-4-10 south), layer: 0
(next cell-4-10 cell-4-11 south), layer: 0
(next cell-4-11 cell-4-12 south), layer: 0
(next cell-4-12 cell-4-13 south), layer: 0
(next cell-4-13 cell-4-14 south), layer: 0
(next cell-4-14 cell-4-15 south), layer: 0
(next cell-4-15 cell-4-16 south), layer: 0
(next cell-5-1 cell-5-2 south), layer: 0
(next cell-5-2 cell-5-3 south), layer: 0
(next cell-5-3 cell-5-4 south), layer: 0
(next cell-5-4 cell-5-5 south), layer: 0
(next cell-5-5 cell-5-6 south), layer: 0
(next cell-5-6 cell-5-7 south), layer: 0
(next cell-5-7 cell-5-8 south), layer: 0
(next cell-5-8 cell-5-9 south), layer: 0
(next cell-5-9 cell-5-10 south), layer: 0
(next cell-5-10 cell-5-11 south), layer: 0
(next cell-5-11 cell-5-12 south), layer: 0
(next cell-5-12 cell-5-13 south), layer: 0
(next cell-5-13 cell-5-14 south), layer: 0
(next cell-5-14 cell-5-15 south), layer: 0
(next cell-5-15 cell-5-16 south), layer: 0
(next cell-6-1 cell-6-2 south), layer: 0
(next cell-6-2 cell-6-3 south), layer: 0
(next cell-6-3 cell-6-4 south), layer: 0
(next cell-6-4 cell-6-5 south), layer: 0
(next cell-6-5 cell-6-6 south), layer: 0
(next cell-6-6 cell-6-7 south), layer: 0
(next cell-6-7 cell-6-8 south), layer: 0
(next cell-6-8 cell-6-9 south), layer: 0
(next cell-6-9 cell-6-10 south), layer: 0
(next cell-6-10 cell-6-11 south), layer: 0
(next cell-6-11 cell-6-12 south), layer: 0
(next cell-6-12 cell-6-13 south), layer: 0
(next cell-6-13 cell-6-14 south), layer: 0
(next cell-6-14 cell-6-15 south), layer: 0
(next cell-6-15 cell-6-16 south), layer: 0
(next cell-7-1 cell-7-2 south), layer: 0
(next cell-7-2 cell-7-3 south), layer: 0
(next cell-7-3 cell-7-4 south), layer: 0
(next cell-7-4 cell-7-5 south), layer: 0
(next cell-7-5 cell-7-6 south), layer: 0
(next cell-7-6 cell-7-7 south), layer: 0
(next cell-7-7 cell-7-8 south), layer: 0
(next cell-7-8 cell-7-9 south), layer: 0
(next cell-7-9 cell-7-10 south), layer: 0
(next cell-7-10 cell-7-11 south), layer: 0
(next cell-7-11 cell-7-12 south), layer: 0
(next cell-7-12 cell-7-13 south), layer: 0
(next cell-7-13 cell-7-14 south), layer: 0
(next cell-7-14 cell-7-15 south), layer: 0
(next cell-7-15 cell-7-16 south), layer: 0
(next cell-8-1 cell-8-2 south), layer: 0
(next cell-8-2 cell-8-3 south), layer: 0
(next cell-8-3 cell-8-4 south), layer: 0
(next cell-8-4 cell-8-5 south), layer: 0
(next cell-8-5 cell-8-6 south), layer: 0
(next cell-8-6 cell-8-7 south), layer: 0
(next cell-8-7 cell-8-8 south), layer: 0
(next cell-8-8 cell-8-9 south), layer: 0
(next cell-8-9 cell-8-10 south), layer: 0
(next cell-8-10 cell-8-11 south), layer: 0
(next cell-8-11 cell-8-12 south), layer: 0
(next cell-8-12 cell-8-13 south), layer: 0
(next cell-8-13 cell-8-14 south), layer: 0
(next cell-8-14 cell-8-15 south), layer: 0
(next cell-8-15 cell-8-16 south), layer: 0
(next cell-9-1 cell-9-2 south), layer: 0
(next cell-9-2 cell-9-3 south), layer: 0
(next cell-9-3 cell-9-4 south), layer: 0
(next cell-9-4 cell-9-5 south), layer: 0
(next cell-9-5 cell-9-6 south), layer: 0
(next cell-9-6 cell-9-7 south), layer: 0
(next cell-9-7 cell-9-8 south), layer: 0
(next cell-9-8 cell-9-9 south), layer: 0
(next cell-9-9 cell-9-10 south), layer: 0
(next cell-9-10 cell-9-11 south), layer: 0
(next cell-9-11 cell-9-12 south), layer: 0
(next cell-9-12 cell-9-13 south), layer: 0
(next cell-9-13 cell-9-14 south), layer: 0
(next cell-9-14 cell-9-15 south), layer: 0
(next cell-9-15 cell-9-16 south), layer: 0
(next cell-10-1 cell-10-2 south), layer: 0
(next cell-10-2 cell-10-3 south), layer: 0
(next cell-10-3 cell-10-4 south), layer: 0
(next cell-10-4 cell-10-5 south), layer: 0
(next cell-10-5 cell-10-6 south), layer: 0
(next cell-10-6 cell-10-7 south), layer: 0
(next cell-10-7 cell-10-8 south), layer: 0
(next cell-10-8 cell-10-9 south), layer: 0
(next cell-10-9 cell-10-10 south), layer: 0
(next cell-10-10 cell-10-11 south), layer: 0
(next cell-10-11 cell-10-12 south), layer: 0
(next cell-10-12 cell-10-13 south), layer: 0
(next cell-10-13 cell-10-14 south), layer: 0
(next cell-10-14 cell-10-15 south), layer: 0
(next cell-10-15 cell-10-16 south), layer: 0
(next cell-11-1 cell-11-2 south), layer: 0
(next cell-11-2 cell-11-3 south), layer: 0
(next cell-11-3 cell-11-4 south), layer: 0
(next cell-11-4 cell-11-5 south), layer: 0
(next cell-11-5 cell-11-6 south), layer: 0
(next cell-11-6 cell-11-7 south), layer: 0
(next cell-11-7 cell-11-8 south), layer: 0
(next cell-11-8 cell-11-9 south), layer: 0
(next cell-11-9 cell-11-10 south), layer: 0
(next cell-11-10 cell-11-11 south), layer: 0
(next cell-11-11 cell-11-12 south), layer: 0
(next cell-11-12 cell-11-13 south), layer: 0
(next cell-11-13 cell-11-14 south), layer: 0
(next cell-11-14 cell-11-15 south), layer: 0
(next cell-11-15 cell-11-16 south), layer: 0
(next cell-12-1 cell-12-2 south), layer: 0
(next cell-12-2 cell-12-3 south), layer: 0
(next cell-12-3 cell-12-4 south), layer: 0
(next cell-12-4 cell-12-5 south), layer: 0
(next cell-12-5 cell-12-6 south), layer: 0
(next cell-12-6 cell-12-7 south), layer: 0
(next cell-12-7 cell-12-8 south), layer: 0
(next cell-12-8 cell-12-9 south), layer: 0
(next cell-12-9 cell-12-10 south), layer: 0
(next cell-12-10 cell-12-11 south), layer: 0
(next cell-12-11 cell-12-12 south), layer: 0
(next cell-12-12 cell-12-13 south), layer: 0
(next cell-12-13 cell-12-14 south), layer: 0
(next cell-12-14 cell-12-15 south), layer: 0
(next cell-12-15 cell-12-16 south), layer: 0
(next cell-13-1 cell-13-2 south), layer: 0
(next cell-13-2 cell-13-3 south), layer: 0
(next cell-13-3 cell-13-4 south), layer: 0
(next cell-13-4 cell-13-5 south), layer: 0
(next cell-13-5 cell-13-6 south), layer: 0
(next cell-13-6 cell-13-7 south), layer: 0
(next cell-13-7 cell-13-8 south), layer: 0
(next cell-13-8 cell-13-9 south), layer: 0
(next cell-13-9 cell-13-10 south), layer: 0
(next cell-13-10 cell-13-11 south), layer: 0
(next cell-13-11 cell-13-12 south), layer: 0
(next cell-13-12 cell-13-13 south), layer: 0
(next cell-13-13 cell-13-14 south), layer: 0
(next cell-13-14 cell-13-15 south), layer: 0
(next cell-13-15 cell-13-16 south), layer: 0
(next cell-14-1 cell-14-2 south), layer: 0
(next cell-14-2 cell-14-3 south), layer: 0
(next cell-14-3 cell-14-4 south), layer: 0
(next cell-14-4 cell-14-5 south), layer: 0
(next cell-14-5 cell-14-6 south), layer: 0
(next cell-14-6 cell-14-7 south), layer: 0
(next cell-14-7 cell-14-8 south), layer: 0
(next cell-14-8 cell-14-9 south), layer: 0
(next cell-14-9 cell-14-10 south), layer: 0
(next cell-14-10 cell-14-11 south), layer: 0
(next cell-14-11 cell-14-12 south), layer: 0
(next cell-14-12 cell-14-13 south), layer: 0
(next cell-14-13 cell-14-14 south), layer: 0
(next cell-14-14 cell-14-15 south), layer: 0
(next cell-14-15 cell-14-16 south), layer: 0
(next cell-15-1 cell-15-2 south), layer: 0
(next cell-15-2 cell-15-3 south), layer: 0
(next cell-15-3 cell-15-4 south), layer: 0
(next cell-15-4 cell-15-5 south), layer: 0
(next cell-15-5 cell-15-6 south), layer: 0
(next cell-15-6 cell-15-7 south), layer: 0
(next cell-15-7 cell-15-8 south), layer: 0
(next cell-15-8 cell-15-9 south), layer: 0
(next cell-15-9 cell-15-10 south), layer: 0
(next cell-15-10 cell-15-11 south), layer: 0
(next cell-15-11 cell-15-12 south), layer: 0
(next cell-15-12 cell-15-13 south), layer: 0
(next cell-15-13 cell-15-14 south), layer: 0
(next cell-15-14 cell-15-15 south), layer: 0
(next cell-15-15 cell-15-16 south), layer: 0
(next cell-16-1 cell-16-2 south), layer: 0
(next cell-16-2 cell-16-3 south), layer: 0
(next cell-16-3 cell-16-4 south), layer: 0
(next cell-16-4 cell-16-5 south), layer: 0
(next cell-16-5 cell-16-6 south), layer: 0
(next cell-16-6 cell-16-7 south), layer: 0
(next cell-16-7 cell-16-8 south), layer: 0
(next cell-16-8 cell-16-9 south), layer: 0
(next cell-16-9 cell-16-10 south), layer: 0
(next cell-16-10 cell-16-11 south), layer: 0
(next cell-16-11 cell-16-12 south), layer: 0
(next cell-16-12 cell-16-13 south), layer: 0
(next cell-16-13 cell-16-14 south), layer: 0
(next cell-16-14 cell-16-15 south), layer: 0
(next cell-16-15 cell-16-16 south), layer: 0
(next cell-1-16 cell-1-15 north), layer: 0
(next cell-1-15 cell-1-14 north), layer: 0
(next cell-1-14 cell-1-13 north), layer: 0
(next cell-1-13 cell-1-12 north), layer: 0
(next cell-1-12 cell-1-11 north), layer: 0
(next cell-1-11 cell-1-10 north), layer: 0
(next cell-1-10 cell-1-9 north), layer: 0
(next cell-1-9 cell-1-8 north), layer: 0
(next cell-1-8 cell-1-7 north), layer: 0
(next cell-1-7 cell-1-6 north), layer: 0
(next cell-1-6 cell-1-5 north), layer: 0
(next cell-1-5 cell-1-4 north), layer: 0
(next cell-1-4 cell-1-3 north), layer: 0
(next cell-1-3 cell-1-2 north), layer: 0
(next cell-1-2 cell-1-1 north), layer: 0
(next cell-2-16 cell-2-15 north), layer: 0
(next cell-2-15 cell-2-14 north), layer: 0
(next cell-2-14 cell-2-13 north), layer: 0
(next cell-2-13 cell-2-12 north), layer: 0
(next cell-2-12 cell-2-11 north), layer: 0
(next cell-2-11 cell-2-10 north), layer: 0
(next cell-2-10 cell-2-9 north), layer: 0
(next cell-2-9 cell-2-8 north), layer: 0
(next cell-2-8 cell-2-7 north), layer: 0
(next cell-2-7 cell-2-6 north), layer: 0
(next cell-2-6 cell-2-5 north), layer: 0
(next cell-2-5 cell-2-4 north), layer: 0
(next cell-2-4 cell-2-3 north), layer: 0
(next cell-2-3 cell-2-2 north), layer: 0
(next cell-2-2 cell-2-1 north), layer: 0
(next cell-3-16 cell-3-15 north), layer: 0
(next cell-3-15 cell-3-14 north), layer: 0
(next cell-3-14 cell-3-13 north), layer: 0
(next cell-3-13 cell-3-12 north), layer: 0
(next cell-3-12 cell-3-11 north), layer: 0
(next cell-3-11 cell-3-10 north), layer: 0
(next cell-3-10 cell-3-9 north), layer: 0
(next cell-3-9 cell-3-8 north), layer: 0
(next cell-3-8 cell-3-7 north), layer: 0
(next cell-3-7 cell-3-6 north), layer: 0
(next cell-3-6 cell-3-5 north), layer: 0
(next cell-3-5 cell-3-4 north), layer: 0
(next cell-3-4 cell-3-3 north), layer: 0
(next cell-3-3 cell-3-2 north), layer: 0
(next cell-3-2 cell-3-1 north), layer: 0
(next cell-4-16 cell-4-15 north), layer: 0
(next cell-4-15 cell-4-14 north), layer: 0
(next cell-4-14 cell-4-13 north), layer: 0
(next cell-4-13 cell-4-12 north), layer: 0
(next cell-4-12 cell-4-11 north), layer: 0
(next cell-4-11 cell-4-10 north), layer: 0
(next cell-4-10 cell-4-9 north), layer: 0
(next cell-4-9 cell-4-8 north), layer: 0
(next cell-4-8 cell-4-7 north), layer: 0
(next cell-4-7 cell-4-6 north), layer: 0
(next cell-4-6 cell-4-5 north), layer: 0
(next cell-4-5 cell-4-4 north), layer: 0
(next cell-4-4 cell-4-3 north), layer: 0
(next cell-4-3 cell-4-2 north), layer: 0
(next cell-4-2 cell-4-1 north), layer: 0
(next cell-5-16 cell-5-15 north), layer: 0
(next cell-5-15 cell-5-14 north), layer: 0
(next cell-5-14 cell-5-13 north), layer: 0
(next cell-5-13 cell-5-12 north), layer: 0
(next cell-5-12 cell-5-11 north), layer: 0
(next cell-5-11 cell-5-10 north), layer: 0
(next cell-5-10 cell-5-9 north), layer: 0
(next cell-5-9 cell-5-8 north), layer: 0
(next cell-5-8 cell-5-7 north), layer: 0
(next cell-5-7 cell-5-6 north), layer: 0
(next cell-5-6 cell-5-5 north), layer: 0
(next cell-5-5 cell-5-4 north), layer: 0
(next cell-5-4 cell-5-3 north), layer: 0
(next cell-5-3 cell-5-2 north), layer: 0
(next cell-5-2 cell-5-1 north), layer: 0
(next cell-6-16 cell-6-15 north), layer: 0
(next cell-6-15 cell-6-14 north), layer: 0
(next cell-6-14 cell-6-13 north), layer: 0
(next cell-6-13 cell-6-12 north), layer: 0
(next cell-6-12 cell-6-11 north), layer: 0
(next cell-6-11 cell-6-10 north), layer: 0
(next cell-6-10 cell-6-9 north), layer: 0
(next cell-6-9 cell-6-8 north), layer: 0
(next cell-6-8 cell-6-7 north), layer: 0
(next cell-6-7 cell-6-6 north), layer: 0
(next cell-6-6 cell-6-5 north), layer: 0
(next cell-6-5 cell-6-4 north), layer: 0
(next cell-6-4 cell-6-3 north), layer: 0
(next cell-6-3 cell-6-2 north), layer: 0
(next cell-6-2 cell-6-1 north), layer: 0
(next cell-7-16 cell-7-15 north), layer: 0
(next cell-7-15 cell-7-14 north), layer: 0
(next cell-7-14 cell-7-13 north), layer: 0
(next cell-7-13 cell-7-12 north), layer: 0
(next cell-7-12 cell-7-11 north), layer: 0
(next cell-7-11 cell-7-10 north), layer: 0
(next cell-7-10 cell-7-9 north), layer: 0
(next cell-7-9 cell-7-8 north), layer: 0
(next cell-7-8 cell-7-7 north), layer: 0
(next cell-7-7 cell-7-6 north), layer: 0
(next cell-7-6 cell-7-5 north), layer: 0
(next cell-7-5 cell-7-4 north), layer: 0
(next cell-7-4 cell-7-3 north), layer: 0
(next cell-7-3 cell-7-2 north), layer: 0
(next cell-7-2 cell-7-1 north), layer: 0
(next cell-8-16 cell-8-15 north), layer: 0
(next cell-8-15 cell-8-14 north), layer: 0
(next cell-8-14 cell-8-13 north), layer: 0
(next cell-8-13 cell-8-12 north), layer: 0
(next cell-8-12 cell-8-11 north), layer: 0
(next cell-8-11 cell-8-10 north), layer: 0
(next cell-8-10 cell-8-9 north), layer: 0
(next cell-8-9 cell-8-8 north), layer: 0
(next cell-8-8 cell-8-7 north), layer: 0
(next cell-8-7 cell-8-6 north), layer: 0
(next cell-8-6 cell-8-5 north), layer: 0
(next cell-8-5 cell-8-4 north), layer: 0
(next cell-8-4 cell-8-3 north), layer: 0
(next cell-8-3 cell-8-2 north), layer: 0
(next cell-8-2 cell-8-1 north), layer: 0
(next cell-9-16 cell-9-15 north), layer: 0
(next cell-9-15 cell-9-14 north), layer: 0
(next cell-9-14 cell-9-13 north), layer: 0
(next cell-9-13 cell-9-12 north), layer: 0
(next cell-9-12 cell-9-11 north), layer: 0
(next cell-9-11 cell-9-10 north), layer: 0
(next cell-9-10 cell-9-9 north), layer: 0
(next cell-9-9 cell-9-8 north), layer: 0
(next cell-9-8 cell-9-7 north), layer: 0
(next cell-9-7 cell-9-6 north), layer: 0
(next cell-9-6 cell-9-5 north), layer: 0
(next cell-9-5 cell-9-4 north), layer: 0
(next cell-9-4 cell-9-3 north), layer: 0
(next cell-9-3 cell-9-2 north), layer: 0
(next cell-9-2 cell-9-1 north), layer: 0
(next cell-10-16 cell-10-15 north), layer: 0
(next cell-10-15 cell-10-14 north), layer: 0
(next cell-10-14 cell-10-13 north), layer: 0
(next cell-10-13 cell-10-12 north), layer: 0
(next cell-10-12 cell-10-11 north), layer: 0
(next cell-10-11 cell-10-10 north), layer: 0
(next cell-10-10 cell-10-9 north), layer: 0
(next cell-10-9 cell-10-8 north), layer: 0
(next cell-10-8 cell-10-7 north), layer: 0
(next cell-10-7 cell-10-6 north), layer: 0
(next cell-10-6 cell-10-5 north), layer: 0
(next cell-10-5 cell-10-4 north), layer: 0
(next cell-10-4 cell-10-3 north), layer: 0
(next cell-10-3 cell-10-2 north), layer: 0
(next cell-10-2 cell-10-1 north), layer: 0
