(robot-pos pos-0-0), layer: 0
(NOT-painted pos-5-6), layer: 0
(NOT-painted pos-6-0), layer: 0
(NOT-painted pos-6-1), layer: 0
(NOT-painted pos-6-2), layer: 0
(NOT-painted pos-6-3), layer: 0
(NOT-painted pos-6-4), layer: 0
(NOT-painted pos-6-5), layer: 0
(NOT-painted pos-6-6), layer: 0
(NOT-available pos-0-0), layer: 0
(NOT-available pos-0-1), layer: 0
(NOT-available pos-0-2), layer: 0
(NOT-available pos-0-3), layer: 0
(NOT-available pos-0-5), layer: 0
(NOT-available pos-0-6), layer: 0
(NOT-available pos-1-1), layer: 0
(NOT-available pos-1-2), layer: 0
(NOT-available pos-1-3), layer: 0
(NOT-available pos-1-4), layer: 0
(NOT-available pos-1-5), layer: 0
(NOT-available pos-1-6), layer: 0
(NOT-available pos-2-0), layer: 0
(NOT-available pos-2-1), layer: 0
(NOT-available pos-2-2), layer: 0
(NOT-available pos-2-3), layer: 0
(NOT-available pos-2-4), layer: 0
(NOT-available pos-2-5), layer: 0
(NOT-available pos-2-6), layer: 0
(NOT-available pos-3-1), layer: 0
(NOT-available pos-3-4), layer: 0
(NOT-available pos-3-5), layer: 0
(NOT-available pos-4-3), layer: 0
(NOT-available pos-4-4), layer: 0
(NOT-available pos-4-5), layer: 0
(NOT-available pos-5-1), layer: 0
(NOT-available pos-5-4), layer: 0
(NOT-available pos-5-5), layer: 0
(NOT-available pos-6-0), layer: 0
(NOT-available pos-6-1), layer: 0
(NOT-available pos-6-2), layer: 0
(NOT-available pos-6-4), layer: 0
(NOT-available pos-6-5), layer: 0
(NOT-available pos-6-6), layer: 0
(NOT-part-of pos-0-1 g0), layer: 0
(NOT-part-of pos-0-3 g0), layer: 0
(NOT-part-of pos-0-4 g0), layer: 0
(NOT-part-of pos-0-5 g0), layer: 0
(NOT-part-of pos-0-6 g0), layer: 0
(NOT-part-of pos-1-0 g0), layer: 0
(NOT-part-of pos-1-1 g0), layer: 0
(NOT-part-of pos-1-2 g0), layer: 0
(NOT-part-of pos-1-3 g0), layer: 0
(NOT-part-of pos-1-4 g0), layer: 0
(NOT-part-of pos-1-5 g0), layer: 0
(NOT-part-of pos-1-6 g0), layer: 0
(NOT-part-of pos-2-0 g0), layer: 0
(NOT-part-of pos-2-1 g0), layer: 0
(NOT-part-of pos-2-2 g0), layer: 0
(NOT-part-of pos-2-3 g0), layer: 0
(NOT-part-of pos-2-4 g0), layer: 0
(NOT-part-of pos-2-5 g0), layer: 0
(NOT-part-of pos-2-6 g0), layer: 0
(NOT-part-of pos-3-0 g0), layer: 0
(NOT-part-of pos-3-1 g0), layer: 0
(NOT-part-of pos-3-2 g0), layer: 0
(NOT-part-of pos-3-3 g0), layer: 0
(NOT-part-of pos-3-4 g0), layer: 0
(NOT-part-of pos-3-5 g0), layer: 0
(NOT-part-of pos-3-6 g0), layer: 0
(NOT-part-of pos-4-0 g0), layer: 0
(NOT-part-of pos-4-1 g0), layer: 0
(NOT-part-of pos-4-2 g0), layer: 0
(NOT-part-of pos-4-3 g0), layer: 0
(NOT-part-of pos-4-4 g0), layer: 0
(NOT-part-of pos-4-5 g0), layer: 0
(NOT-part-of pos-4-6 g0), layer: 0
(NOT-part-of pos-5-0 g0), layer: 0
(NOT-part-of pos-5-1 g0), layer: 0
(NOT-part-of pos-5-2 g0), layer: 0
(NOT-part-of pos-5-3 g0), layer: 0
(NOT-part-of pos-5-4 g0), layer: 0
(NOT-part-of pos-5-5 g0), layer: 0
(NOT-part-of pos-5-6 g0), layer: 0
(NOT-part-of pos-6-0 g0), layer: 0
(NOT-part-of pos-6-1 g0), layer: 0
(NOT-part-of pos-6-2 g0), layer: 0
(NOT-part-of pos-6-3 g0), layer: 0
(NOT-part-of pos-6-4 g0), layer: 0
(NOT-part-of pos-6-5 g0), layer: 0
(NOT-part-of pos-6-6 g0), layer: 0
(NOT-part-of pos-0-0 g1), layer: 0
(NOT-part-of pos-0-1 g1), layer: 0
(NOT-part-of pos-0-2 g1), layer: 0
(NOT-part-of pos-0-3 g1), layer: 0
(NOT-part-of pos-0-4 g1), layer: 0
(NOT-part-of pos-0-5 g1), layer: 0
(NOT-part-of pos-0-6 g1), layer: 0
(NOT-part-of pos-1-0 g1), layer: 0
(NOT-part-of pos-1-1 g1), layer: 0
(NOT-part-of pos-1-2 g1), layer: 0
(NOT-part-of pos-1-3 g1), layer: 0
(NOT-part-of pos-1-4 g1), layer: 0
(NOT-part-of pos-1-5 g1), layer: 0
(NOT-part-of pos-1-6 g1), layer: 0
(NOT-part-of pos-2-1 g1), layer: 0
(NOT-part-of pos-2-3 g1), layer: 0
(NOT-part-of pos-2-4 g1), layer: 0
(NOT-part-of pos-2-5 g1), layer: 0
(NOT-part-of pos-2-6 g1), layer: 0
(NOT-part-of pos-3-0 g1), layer: 0
(NOT-part-of pos-3-2 g1), layer: 0
(NOT-part-of pos-3-3 g1), layer: 0
(NOT-part-of pos-3-4 g1), layer: 0
(NOT-part-of pos-3-5 g1), layer: 0
(NOT-part-of pos-3-6 g1), layer: 0
(NOT-part-of pos-4-0 g1), layer: 0
(NOT-part-of pos-4-1 g1), layer: 0
(NOT-part-of pos-4-2 g1), layer: 0
(NOT-part-of pos-4-3 g1), layer: 0
(NOT-part-of pos-4-4 g1), layer: 0
(NOT-part-of pos-4-5 g1), layer: 0
(NOT-part-of pos-4-6 g1), layer: 0
(NOT-part-of pos-5-0 g1), layer: 0
(NOT-part-of pos-5-1 g1), layer: 0
(NOT-part-of pos-5-2 g1), layer: 0
(NOT-part-of pos-5-3 g1), layer: 0
(NOT-part-of pos-5-4 g1), layer: 0
(NOT-part-of pos-5-5 g1), layer: 0
(NOT-part-of pos-5-6 g1), layer: 0
(NOT-part-of pos-6-0 g1), layer: 0
(NOT-part-of pos-6-1 g1), layer: 0
(NOT-part-of pos-6-2 g1), layer: 0
(NOT-part-of pos-6-3 g1), layer: 0
(NOT-part-of pos-6-4 g1), layer: 0
(NOT-part-of pos-6-5 g1), layer: 0
(NOT-part-of pos-6-6 g1), layer: 0
(NOT-part-of pos-0-0 g2), layer: 0
(NOT-part-of pos-0-1 g2), layer: 0
(NOT-part-of pos-0-2 g2), layer: 0
(NOT-part-of pos-0-3 g2), layer: 0
(NOT-part-of pos-0-4 g2), layer: 0
(NOT-part-of pos-0-5 g2), layer: 0
(NOT-part-of pos-0-6 g2), layer: 0
(NOT-part-of pos-1-0 g2), layer: 0
(NOT-part-of pos-1-1 g2), layer: 0
(NOT-part-of pos-1-2 g2), layer: 0
(NOT-part-of pos-1-3 g2), layer: 0
(NOT-part-of pos-1-4 g2), layer: 0
(NOT-part-of pos-1-5 g2), layer: 0
(NOT-part-of pos-1-6 g2), layer: 0
(NOT-part-of pos-2-0 g2), layer: 0
(NOT-part-of pos-2-1 g2), layer: 0
(NOT-part-of pos-2-2 g2), layer: 0
(NOT-part-of pos-2-3 g2), layer: 0
(NOT-part-of pos-2-4 g2), layer: 0
(NOT-part-of pos-2-5 g2), layer: 0
(NOT-part-of pos-2-6 g2), layer: 0
(NOT-part-of pos-3-0 g2), layer: 0
(NOT-part-of pos-3-1 g2), layer: 0
(NOT-part-of pos-3-2 g2), layer: 0
(NOT-part-of pos-3-3 g2), layer: 0
(NOT-part-of pos-3-4 g2), layer: 0
(NOT-part-of pos-3-5 g2), layer: 0
(NOT-part-of pos-3-6 g2), layer: 0
(NOT-part-of pos-4-0 g2), layer: 0
(NOT-part-of pos-4-1 g2), layer: 0
(NOT-part-of pos-4-2 g2), layer: 0
(NOT-part-of pos-4-3 g2), layer: 0
(NOT-part-of pos-4-4 g2), layer: 0
(NOT-part-of pos-4-5 g2), layer: 0
(NOT-part-of pos-4-6 g2), layer: 0
(NOT-part-of pos-5-0 g2), layer: 0
(NOT-part-of pos-5-2 g2), layer: 0
(NOT-part-of pos-5-3 g2), layer: 0
(NOT-part-of pos-5-4 g2), layer: 0
(NOT-part-of pos-5-5 g2), layer: 0
(NOT-part-of pos-5-6 g2), layer: 0
(NOT-part-of pos-6-1 g2), layer: 0
(NOT-part-of pos-6-3 g2), layer: 0
(NOT-part-of pos-6-4 g2), layer: 0
(NOT-part-of pos-6-5 g2), layer: 0
(NOT-part-of pos-6-6 g2), layer: 0
(NOT-part-of pos-0-0 g3), layer: 0
(NOT-part-of pos-0-1 g3), layer: 0
(NOT-part-of pos-0-2 g3), layer: 0
(NOT-part-of pos-0-4 g3), layer: 0
(NOT-part-of pos-0-5 g3), layer: 0
(NOT-part-of pos-0-6 g3), layer: 0
(NOT-part-of pos-1-0 g3), layer: 0
(NOT-part-of pos-1-1 g3), layer: 0
(NOT-part-of pos-1-3 g3), layer: 0
(NOT-part-of pos-1-5 g3), layer: 0
(NOT-part-of pos-1-6 g3), layer: 0
(NOT-part-of pos-2-0 g3), layer: 0
(NOT-part-of pos-2-1 g3), layer: 0
(NOT-part-of pos-2-2 g3), layer: 0
(NOT-part-of pos-2-4 g3), layer: 0
(NOT-part-of pos-2-5 g3), layer: 0
(NOT-part-of pos-2-6 g3), layer: 0
(NOT-part-of pos-3-0 g3), layer: 0
(NOT-part-of pos-3-1 g3), layer: 0
(NOT-part-of pos-3-2 g3), layer: 0
(NOT-part-of pos-3-3 g3), layer: 0
(NOT-part-of pos-3-4 g3), layer: 0
(NOT-part-of pos-3-5 g3), layer: 0
(NOT-part-of pos-3-6 g3), layer: 0
(NOT-part-of pos-4-0 g3), layer: 0
(NOT-part-of pos-4-1 g3), layer: 0
(NOT-part-of pos-4-2 g3), layer: 0
(NOT-part-of pos-4-3 g3), layer: 0
(NOT-part-of pos-4-4 g3), layer: 0
(NOT-part-of pos-4-5 g3), layer: 0
(NOT-part-of pos-4-6 g3), layer: 0
(NOT-part-of pos-5-0 g3), layer: 0
(NOT-part-of pos-5-1 g3), layer: 0
(NOT-part-of pos-5-2 g3), layer: 0
(NOT-part-of pos-5-3 g3), layer: 0
(NOT-part-of pos-5-4 g3), layer: 0
(NOT-part-of pos-5-5 g3), layer: 0
(NOT-part-of pos-5-6 g3), layer: 0
(NOT-part-of pos-6-0 g3), layer: 0
(NOT-part-of pos-6-1 g3), layer: 0
(NOT-part-of pos-6-2 g3), layer: 0
(NOT-part-of pos-6-3 g3), layer: 0
(NOT-part-of pos-6-4 g3), layer: 0
(NOT-part-of pos-6-5 g3), layer: 0
(NOT-part-of pos-6-6 g3), layer: 0
(NOT-part-of pos-0-0 g4), layer: 0
(NOT-part-of pos-0-1 g4), layer: 0
(NOT-part-of pos-0-2 g4), layer: 0
(NOT-part-of pos-0-3 g4), layer: 0
(NOT-part-of pos-0-4 g4), layer: 0
(NOT-part-of pos-0-5 g4), layer: 0
(NOT-part-of pos-0-6 g4), layer: 0
(NOT-part-of pos-1-0 g4), layer: 0
(NOT-part-of pos-1-1 g4), layer: 0
(NOT-part-of pos-1-2 g4), layer: 0
(NOT-part-of pos-1-3 g4), layer: 0
(NOT-part-of pos-1-4 g4), layer: 0
(NOT-part-of pos-1-5 g4), layer: 0
(NOT-part-of pos-1-6 g4), layer: 0
(NOT-part-of pos-2-0 g4), layer: 0
(NOT-part-of pos-2-1 g4), layer: 0
(NOT-part-of pos-2-2 g4), layer: 0
(NOT-part-of pos-2-3 g4), layer: 0
(NOT-part-of pos-2-4 g4), layer: 0
(NOT-part-of pos-2-5 g4), layer: 0
(NOT-part-of pos-2-6 g4), layer: 0
(NOT-part-of pos-3-0 g4), layer: 0
(NOT-part-of pos-3-1 g4), layer: 0
(NOT-part-of pos-3-2 g4), layer: 0
(NOT-part-of pos-3-3 g4), layer: 0
(NOT-part-of pos-3-5 g4), layer: 0
(NOT-part-of pos-3-6 g4), layer: 0
(NOT-part-of pos-4-0 g4), layer: 0
(NOT-part-of pos-4-1 g4), layer: 0
(NOT-part-of pos-4-2 g4), layer: 0
(NOT-part-of pos-4-4 g4), layer: 0
(NOT-part-of pos-4-6 g4), layer: 0
(NOT-part-of pos-5-0 g4), layer: 0
(NOT-part-of pos-5-1 g4), layer: 0
(NOT-part-of pos-5-2 g4), layer: 0
(NOT-part-of pos-5-3 g4), layer: 0
(NOT-part-of pos-5-5 g4), layer: 0
(NOT-part-of pos-5-6 g4), layer: 0
(NOT-part-of pos-6-0 g4), layer: 0
(NOT-part-of pos-6-1 g4), layer: 0
(NOT-part-of pos-6-2 g4), layer: 0
(NOT-part-of pos-6-3 g4), layer: 0
(NOT-part-of pos-6-4 g4), layer: 0
(NOT-part-of pos-6-5 g4), layer: 0
(NOT-part-of pos-6-6 g4), layer: 0
(NOT-part-of pos-0-0 g5), layer: 0
(NOT-part-of pos-0-1 g5), layer: 0
(NOT-part-of pos-0-2 g5), layer: 0
(NOT-part-of pos-0-3 g5), layer: 0
(NOT-part-of pos-0-4 g5), layer: 0
(NOT-part-of pos-0-5 g5), layer: 0
(NOT-part-of pos-0-6 g5), layer: 0
(NOT-part-of pos-1-0 g5), layer: 0
(NOT-part-of pos-1-1 g5), layer: 0
(NOT-part-of pos-1-2 g5), layer: 0
(NOT-part-of pos-1-3 g5), layer: 0
(NOT-part-of pos-1-4 g5), layer: 0
(NOT-part-of pos-1-6 g5), layer: 0
(NOT-part-of pos-2-0 g5), layer: 0
(NOT-part-of pos-2-1 g5), layer: 0
(NOT-part-of pos-2-2 g5), layer: 0
(NOT-part-of pos-2-3 g5), layer: 0
(NOT-part-of pos-2-5 g5), layer: 0
(NOT-part-of pos-3-0 g5), layer: 0
(NOT-part-of pos-3-1 g5), layer: 0
(NOT-part-of pos-3-2 g5), layer: 0
(NOT-part-of pos-3-3 g5), layer: 0
(NOT-part-of pos-3-4 g5), layer: 0
(NOT-part-of pos-3-6 g5), layer: 0
(NOT-part-of pos-4-0 g5), layer: 0
(NOT-part-of pos-4-1 g5), layer: 0
(NOT-part-of pos-4-2 g5), layer: 0
(NOT-part-of pos-4-3 g5), layer: 0
(NOT-part-of pos-4-4 g5), layer: 0
(NOT-part-of pos-4-5 g5), layer: 0
(NOT-part-of pos-4-6 g5), layer: 0
(NOT-part-of pos-5-0 g5), layer: 0
(NOT-part-of pos-5-1 g5), layer: 0
(NOT-part-of pos-5-2 g5), layer: 0
(NOT-part-of pos-5-3 g5), layer: 0
(NOT-part-of pos-5-4 g5), layer: 0
(NOT-part-of pos-5-5 g5), layer: 0
(NOT-part-of pos-5-6 g5), layer: 0
(NOT-part-of pos-6-0 g5), layer: 0
(NOT-part-of pos-6-1 g5), layer: 0
(NOT-part-of pos-6-2 g5), layer: 0
(NOT-part-of pos-6-3 g5), layer: 0
(NOT-part-of pos-6-4 g5), layer: 0
(NOT-part-of pos-6-5 g5), layer: 0
(NOT-part-of pos-6-6 g5), layer: 0
(NOT-part-of pos-0-0 g6), layer: 0
(NOT-part-of pos-0-1 g6), layer: 0
(NOT-part-of pos-0-2 g6), layer: 0
(NOT-part-of pos-0-3 g6), layer: 0
(NOT-part-of pos-0-4 g6), layer: 0
(NOT-part-of pos-0-5 g6), layer: 0
(NOT-part-of pos-0-6 g6), layer: 0
(NOT-part-of pos-1-0 g6), layer: 0
(NOT-part-of pos-1-1 g6), layer: 0
(NOT-part-of pos-1-2 g6), layer: 0
(NOT-part-of pos-1-3 g6), layer: 0
(NOT-part-of pos-1-4 g6), layer: 0
(NOT-part-of pos-1-5 g6), layer: 0
(NOT-part-of pos-1-6 g6), layer: 0
(NOT-part-of pos-2-0 g6), layer: 0
(NOT-part-of pos-2-1 g6), layer: 0
(NOT-part-of pos-2-2 g6), layer: 0
(NOT-part-of pos-2-3 g6), layer: 0
(NOT-part-of pos-2-4 g6), layer: 0
(NOT-part-of pos-2-5 g6), layer: 0
(NOT-part-of pos-2-6 g6), layer: 0
(NOT-part-of pos-3-0 g6), layer: 0
(NOT-part-of pos-3-1 g6), layer: 0
(NOT-part-of pos-3-2 g6), layer: 0
(NOT-part-of pos-3-3 g6), layer: 0
(NOT-part-of pos-3-4 g6), layer: 0
(NOT-part-of pos-3-5 g6), layer: 0
(NOT-part-of pos-3-6 g6), layer: 0
(NOT-part-of pos-4-0 g6), layer: 0
(NOT-part-of pos-4-1 g6), layer: 0
(NOT-part-of pos-4-2 g6), layer: 0
(NOT-part-of pos-4-3 g6), layer: 0
(NOT-part-of pos-4-4 g6), layer: 0
(NOT-part-of pos-4-5 g6), layer: 0
(NOT-part-of pos-4-6 g6), layer: 0
(NOT-part-of pos-5-0 g6), layer: 0
(NOT-part-of pos-5-1 g6), layer: 0
(NOT-part-of pos-5-2 g6), layer: 0
(NOT-part-of pos-5-3 g6), layer: 0
(NOT-part-of pos-5-4 g6), layer: 0
(NOT-part-of pos-5-6 g6), layer: 0
(NOT-part-of pos-6-0 g6), layer: 0
(NOT-part-of pos-6-1 g6), layer: 0
(NOT-part-of pos-6-2 g6), layer: 0
(NOT-part-of pos-6-3 g6), layer: 0
(NOT-part-of pos-6-5 g6), layer: 0
(NOT-part-of pos-0-0 g7), layer: 0
(NOT-part-of pos-0-1 g7), layer: 0
(NOT-part-of pos-0-2 g7), layer: 0
(NOT-part-of pos-0-3 g7), layer: 0
(NOT-part-of pos-0-4 g7), layer: 0
(NOT-part-of pos-0-6 g7), layer: 0
(NOT-part-of pos-1-0 g7), layer: 0
(NOT-part-of pos-1-1 g7), layer: 0
(NOT-part-of pos-1-2 g7), layer: 0
(NOT-part-of pos-1-3 g7), layer: 0
(NOT-part-of pos-1-4 g7), layer: 0
(NOT-part-of pos-1-5 g7), layer: 0
(NOT-part-of pos-2-0 g7), layer: 0
(NOT-part-of pos-2-1 g7), layer: 0
(NOT-part-of pos-2-2 g7), layer: 0
(NOT-part-of pos-2-3 g7), layer: 0
(NOT-part-of pos-2-4 g7), layer: 0
(NOT-part-of pos-2-5 g7), layer: 0
(NOT-part-of pos-2-6 g7), layer: 0
(NOT-part-of pos-3-0 g7), layer: 0
(NOT-part-of pos-3-1 g7), layer: 0
(NOT-part-of pos-3-2 g7), layer: 0
(NOT-part-of pos-3-3 g7), layer: 0
(NOT-part-of pos-3-4 g7), layer: 0
(NOT-part-of pos-3-5 g7), layer: 0
(NOT-part-of pos-3-6 g7), layer: 0
(NOT-part-of pos-4-0 g7), layer: 0
(NOT-part-of pos-4-1 g7), layer: 0
(NOT-part-of pos-4-2 g7), layer: 0
(NOT-part-of pos-4-3 g7), layer: 0
(NOT-part-of pos-4-4 g7), layer: 0
(NOT-part-of pos-4-5 g7), layer: 0
(NOT-part-of pos-4-6 g7), layer: 0
(NOT-part-of pos-5-0 g7), layer: 0
(NOT-part-of pos-5-1 g7), layer: 0
(NOT-part-of pos-5-2 g7), layer: 0
(NOT-part-of pos-5-3 g7), layer: 0
(NOT-part-of pos-5-4 g7), layer: 0
(NOT-part-of pos-5-5 g7), layer: 0
(NOT-part-of pos-5-6 g7), layer: 0
(NOT-part-of pos-6-0 g7), layer: 0
(NOT-part-of pos-6-1 g7), layer: 0
(NOT-part-of pos-6-2 g7), layer: 0
(NOT-part-of pos-6-3 g7), layer: 0
(NOT-part-of pos-6-4 g7), layer: 0
(NOT-part-of pos-6-5 g7), layer: 0
(NOT-part-of pos-6-6 g7), layer: 0
(NOT-blocked pos-0-0), layer: 0
(NOT-blocked pos-0-1), layer: 0
(NOT-blocked pos-0-2), layer: 0
(NOT-blocked pos-0-3), layer: 0
(NOT-blocked pos-0-4), layer: 0
(NOT-blocked pos-0-5), layer: 0
(NOT-blocked pos-0-6), layer: 0
(NOT-blocked pos-1-0), layer: 0
(NOT-blocked pos-1-2), layer: 0
(NOT-blocked pos-1-3), layer: 0
(NOT-blocked pos-1-4), layer: 0
(NOT-blocked pos-1-5), layer: 0
(NOT-blocked pos-1-6), layer: 0
(NOT-blocked pos-2-0), layer: 0
(NOT-blocked pos-2-1), layer: 0
(NOT-blocked pos-2-2), layer: 0
(NOT-blocked pos-2-3), layer: 0
(NOT-blocked pos-2-4), layer: 0
(NOT-blocked pos-2-5), layer: 0
(NOT-blocked pos-2-6), layer: 0
(NOT-blocked pos-3-0), layer: 0
(NOT-blocked pos-3-1), layer: 0
(NOT-blocked pos-3-2), layer: 0
(NOT-blocked pos-3-3), layer: 0
(NOT-blocked pos-3-4), layer: 0
(NOT-blocked pos-3-5), layer: 0
(NOT-blocked pos-3-6), layer: 0
(NOT-blocked pos-4-0), layer: 0
(NOT-blocked pos-4-1), layer: 0
(NOT-blocked pos-4-2), layer: 0
(NOT-blocked pos-4-3), layer: 0
(NOT-blocked pos-4-4), layer: 0
(NOT-blocked pos-4-5), layer: 0
(NOT-blocked pos-4-6), layer: 0
(NOT-blocked pos-5-0), layer: 0
(NOT-blocked pos-5-1), layer: 0
(NOT-blocked pos-5-2), layer: 0
(NOT-blocked pos-5-3), layer: 0
(NOT-blocked pos-5-4), layer: 0
(NOT-blocked pos-5-5), layer: 0
(NOT-blocked pos-5-6), layer: 0
(NOT-blocked pos-6-0), layer: 0
(NOT-blocked pos-6-1), layer: 0
(NOT-blocked pos-6-2), layer: 0
(NOT-blocked pos-6-3), layer: 0
(NOT-blocked pos-6-4), layer: 0
(NOT-blocked pos-6-5), layer: 0
(NOT-blocked pos-6-6), layer: 0
(robot-pos pos-1-0), layer: 1
(robot-pos pos-0-1), layer: 1
(robot-pos pos-1-1), layer: 2
(robot-pos pos-0-2), layer: 2
(robot-pos pos-2-0), layer: 2
(painting g0), layer: 2
(remaining-cells g0 n0), layer: 2
(next n0 n1), layer: 0
(next n1 n2), layer: 0
(next n2 n3), layer: 0
(next n3 n4), layer: 0
(connected pos-0-0 pos-1-0), layer: 0
(connected pos-0-0 pos-0-1), layer: 0
(connected pos-0-1 pos-1-1), layer: 0
(connected pos-0-1 pos-0-2), layer: 0
(connected pos-0-1 pos-0-0), layer: 0
(connected pos-0-2 pos-1-2), layer: 0
(connected pos-0-2 pos-0-3), layer: 0
(connected pos-0-2 pos-0-1), layer: 0
(connected pos-0-3 pos-1-3), layer: 0
(connected pos-0-3 pos-0-4), layer: 0
(connected pos-0-3 pos-0-2), layer: 0
(connected pos-0-4 pos-1-4), layer: 0
(connected pos-0-4 pos-0-5), layer: 0
(connected pos-0-4 pos-0-3), layer: 0
(connected pos-0-5 pos-1-5), layer: 0
(connected pos-0-5 pos-0-6), layer: 0
(connected pos-0-5 pos-0-4), layer: 0
(connected pos-0-6 pos-1-6), layer: 0
(connected pos-0-6 pos-0-5), layer: 0
(connected pos-1-0 pos-2-0), layer: 0
(connected pos-1-0 pos-1-1), layer: 0
(connected pos-1-0 pos-0-0), layer: 0
(connected pos-1-1 pos-2-1), layer: 0
(connected pos-1-1 pos-1-2), layer: 0
(connected pos-1-1 pos-0-1), layer: 0
(connected pos-1-1 pos-1-0), layer: 0
(connected pos-1-2 pos-2-2), layer: 0
(connected pos-1-2 pos-1-3), layer: 0
(connected pos-1-2 pos-0-2), layer: 0
(connected pos-1-2 pos-1-1), layer: 0
(connected pos-1-3 pos-2-3), layer: 0
(connected pos-1-3 pos-1-4), layer: 0
(connected pos-1-3 pos-0-3), layer: 0
(connected pos-1-3 pos-1-2), layer: 0
(connected pos-1-4 pos-2-4), layer: 0
(connected pos-1-4 pos-1-5), layer: 0
(connected pos-1-4 pos-0-4), layer: 0
(connected pos-1-4 pos-1-3), layer: 0
(connected pos-1-5 pos-2-5), layer: 0
(connected pos-1-5 pos-1-6), layer: 0
(connected pos-1-5 pos-0-5), layer: 0
(connected pos-1-5 pos-1-4), layer: 0
(connected pos-1-6 pos-2-6), layer: 0
(connected pos-1-6 pos-0-6), layer: 0
(connected pos-1-6 pos-1-5), layer: 0
(connected pos-2-0 pos-3-0), layer: 0
(connected pos-2-0 pos-2-1), layer: 0
(connected pos-2-0 pos-1-0), layer: 0
(connected pos-2-1 pos-3-1), layer: 0
(connected pos-2-1 pos-2-2), layer: 0
(connected pos-2-1 pos-1-1), layer: 0
(connected pos-2-1 pos-2-0), layer: 0
(connected pos-2-2 pos-3-2), layer: 0
(connected pos-2-2 pos-2-3), layer: 0
(connected pos-2-2 pos-1-2), layer: 0
(connected pos-2-2 pos-2-1), layer: 0
(connected pos-2-3 pos-3-3), layer: 0
(connected pos-2-3 pos-2-4), layer: 0
(connected pos-2-3 pos-1-3), layer: 0
(connected pos-2-3 pos-2-2), layer: 0
(connected pos-2-4 pos-3-4), layer: 0
(connected pos-2-4 pos-2-5), layer: 0
(connected pos-2-4 pos-1-4), layer: 0
(connected pos-2-4 pos-2-3), layer: 0
(connected pos-2-5 pos-3-5), layer: 0
(connected pos-2-5 pos-2-6), layer: 0
(connected pos-2-5 pos-1-5), layer: 0
(connected pos-2-5 pos-2-4), layer: 0
(connected pos-2-6 pos-3-6), layer: 0
(connected pos-2-6 pos-1-6), layer: 0
(connected pos-2-6 pos-2-5), layer: 0
(connected pos-3-0 pos-4-0), layer: 0
(connected pos-3-0 pos-3-1), layer: 0
(connected pos-3-0 pos-2-0), layer: 0
(connected pos-3-1 pos-4-1), layer: 0
(connected pos-3-1 pos-3-2), layer: 0
(connected pos-3-1 pos-2-1), layer: 0
(connected pos-3-1 pos-3-0), layer: 0
(connected pos-3-2 pos-4-2), layer: 0
(connected pos-3-2 pos-3-3), layer: 0
(connected pos-3-2 pos-2-2), layer: 0
(connected pos-3-2 pos-3-1), layer: 0
(connected pos-3-3 pos-4-3), layer: 0
(connected pos-3-3 pos-3-4), layer: 0
