(at truck1 l3), layer: 0
(delivered package3 l2 t6), layer: 2
(delivered package3 l2 t7), layer: 2
(delivered package3 l2 t8), layer: 2
(delivered package3 l2 t9), layer: 2
(delivered package3 l2 t10), layer: 2
(delivered package3 l2 t11), layer: 2
(delivered package3 l2 t12), layer: 2
(delivered package4 l4 t1), layer: 2
(at-destination package4 l4), layer: 2
(delivered package4 l4 t2), layer: 2
(delivered package4 l4 t3), layer: 2
(delivered package4 l4 t4), layer: 2
(delivered package4 l4 t5), layer: 2
(delivered package4 l4 t6), layer: 2
(delivered package4 l4 t7), layer: 2
(delivered package4 l4 t8), layer: 2
(delivered package4 l4 t9), layer: 2
(delivered package4 l4 t10), layer: 2
(delivered package4 l4 t11), layer: 2
(delivered package4 l4 t12), layer: 2
(delivered package5 l4 t1), layer: 2
(at-destination package5 l4), layer: 2
(delivered package5 l4 t2), layer: 2
(delivered package5 l4 t3), layer: 2
(delivered package5 l4 t4), layer: 2
(delivered package5 l4 t5), layer: 2
(delivered package5 l4 t6), layer: 2
(delivered package5 l4 t7), layer: 2
(delivered package5 l4 t8), layer: 2
(delivered package5 l4 t9), layer: 2
(delivered package5 l4 t10), layer: 2
(delivered package5 l4 t11), layer: 2
(delivered package5 l4 t12), layer: 2
(delivered package6 l4 t1), layer: 2
(at-destination package6 l4), layer: 2
(delivered package6 l4 t2), layer: 2
(delivered package6 l4 t3), layer: 2
(delivered package6 l4 t4), layer: 2
(delivered package6 l4 t5), layer: 2
(delivered package6 l4 t6), layer: 2
(delivered package6 l4 t7), layer: 2
(delivered package6 l4 t8), layer: 2
(delivered package6 l4 t9), layer: 2
(delivered package6 l4 t10), layer: 2
(delivered package6 l4 t11), layer: 2
(delivered package6 l4 t12), layer: 2
(delivered package7 l2 t1), layer: 2
(at-destination package7 l2), layer: 2
(delivered package7 l2 t2), layer: 2
(delivered package7 l2 t3), layer: 2
(delivered package7 l2 t4), layer: 2
(delivered package7 l2 t5), layer: 2
(delivered package7 l2 t6), layer: 2
(delivered package7 l2 t7), layer: 2
(delivered package7 l2 t8), layer: 2
(delivered package7 l2 t9), layer: 2
(delivered package7 l2 t10), layer: 2
(delivered package7 l2 t11), layer: 2
(delivered package7 l2 t12), layer: 2
(delivered package8 l2 t1), layer: 2
(at-destination package8 l2), layer: 2
(delivered package8 l2 t2), layer: 2
(delivered package8 l2 t3), layer: 2
(delivered package8 l2 t4), layer: 2
(delivered package8 l2 t5), layer: 2
(delivered package8 l2 t6), layer: 2
(delivered package8 l2 t7), layer: 2
(delivered package8 l2 t8), layer: 2
(delivered package8 l2 t9), layer: 2
(delivered package8 l2 t10), layer: 2
(delivered package8 l2 t11), layer: 2
(delivered package8 l2 t12), layer: 2
(delivered package9 l2 t1), layer: 2
(at-destination package9 l2), layer: 2
(delivered package9 l2 t2), layer: 2
(delivered package9 l2 t3), layer: 2
(delivered package9 l2 t4), layer: 2
(delivered package9 l2 t5), layer: 2
(delivered package9 l2 t6), layer: 2
(delivered package9 l2 t7), layer: 2
(delivered package9 l2 t8), layer: 2
(delivered package9 l2 t9), layer: 2
(delivered package9 l2 t10), layer: 2
(delivered package9 l2 t11), layer: 2
(delivered package9 l2 t12), layer: 2
(in package1 truck1 a2), layer: 2
(in package2 truck1 a2), layer: 2
(in package3 truck1 a2), layer: 2
(in package7 truck1 a2), layer: 2
(in package8 truck1 a2), layer: 2
(in package9 truck1 a2), layer: 2
(in package4 truck1 a2), layer: 2
(in package5 truck1 a2), layer: 2
(in package6 truck1 a2), layer: 2
(in package1 truck1 a3), layer: 2
(in package2 truck1 a3), layer: 2
(in package3 truck1 a3), layer: 2
(in package7 truck1 a3), layer: 2
(in package8 truck1 a3), layer: 2
(in package9 truck1 a3), layer: 2
(in package4 truck1 a3), layer: 2
(in package5 truck1 a3), layer: 2
(in package6 truck1 a3), layer: 2
(closer a1 a2), layer: 0
(closer a1 a3), layer: 0
(closer a2 a3), layer: 0
(connected l1 l2), layer: 0
(connected l1 l3), layer: 0
(connected l1 l4), layer: 0
(connected l2 l1), layer: 0
(connected l2 l3), layer: 0
(connected l2 l4), layer: 0
(connected l3 l1), layer: 0
(connected l3 l2), layer: 0
(connected l3 l4), layer: 0
(connected l4 l1), layer: 0
(connected l4 l2), layer: 0
(connected l4 l3), layer: 0
(le t1 t1), layer: 0
(le t1 t2), layer: 0
(le t1 t3), layer: 0
(le t1 t4), layer: 0
(le t1 t5), layer: 0
(le t1 t6), layer: 0
(le t1 t7), layer: 0
(le t1 t8), layer: 0
(le t1 t9), layer: 0
(le t1 t10), layer: 0
(le t1 t11), layer: 0
(le t1 t12), layer: 0
(le t2 t2), layer: 0
(le t2 t3), layer: 0
(le t2 t4), layer: 0
(le t2 t5), layer: 0
(le t2 t6), layer: 0
(le t2 t7), layer: 0
(le t2 t8), layer: 0
(le t2 t9), layer: 0
(le t2 t10), layer: 0
(le t2 t11), layer: 0
(le t2 t12), layer: 0
(le t3 t3), layer: 0
(le t3 t4), layer: 0
(le t3 t5), layer: 0
(le t3 t6), layer: 0
(le t3 t7), layer: 0
(le t3 t8), layer: 0
(le t3 t9), layer: 0
(le t3 t10), layer: 0
(le t3 t11), layer: 0
(le t3 t12), layer: 0
(le t4 t4), layer: 0
(le t4 t5), layer: 0
(le t4 t6), layer: 0
(le t4 t7), layer: 0
(le t4 t8), layer: 0
(le t4 t9), layer: 0
(le t4 t10), layer: 0
(le t4 t11), layer: 0
(le t4 t12), layer: 0
(le t5 t5), layer: 0
(le t5 t6), layer: 0
(le t5 t7), layer: 0
(le t5 t8), layer: 0
(le t5 t9), layer: 0
(le t5 t10), layer: 0
(le t5 t11), layer: 0
(le t5 t12), layer: 0
(le t6 t6), layer: 0
(le t6 t7), layer: 0
(le t6 t8), layer: 0
(le t6 t9), layer: 0
(le t6 t10), layer: 0
(le t6 t11), layer: 0
(le t6 t12), layer: 0
(le t7 t7), layer: 0
(le t7 t8), layer: 0
(le t7 t9), layer: 0
(le t7 t10), layer: 0
(le t7 t11), layer: 0
(le t7 t12), layer: 0
(le t8 t8), layer: 0
(le t8 t9), layer: 0
(le t8 t10), layer: 0
(le t8 t11), layer: 0
(le t8 t12), layer: 0
(le t9 t9), layer: 0
(le t9 t10), layer: 0
(le t9 t11), layer: 0
(le t9 t12), layer: 0
(le t10 t10), layer: 0
(le t10 t11), layer: 0
(le t10 t12), layer: 0
(le t11 t11), layer: 0
(le t11 t12), layer: 0
(le t12 t12), layer: 0
(next t0 t1), layer: 0
(next t1 t2), layer: 0
(next t2 t3), layer: 0
(next t3 t4), layer: 0
(next t4 t5), layer: 0
(next t5 t6), layer: 0
(next t6 t7), layer: 0
(next t7 t8), layer: 0
(next t8 t9), layer: 0
(next t9 t10), layer: 0
(next t10 t11), layer: 0
(next t11 t12), layer: 0
