Diameter for drive: inf
Diameter for pickup-documents: 1
Diameter for deposit-documents: inf
Init-to-goal-distance document4 - document14: 2
Init-to-goal-distance document4 - document16: 2
Init-to-goal-distance document4 - document19: 2
Init-to-goal-distance document4 - document20: 2
Init-to-goal-distance document4 - document21: 2
Init-to-goal-distance document4 - document23: 2
Init-to-goal-distance document4 - document24: 2
Init-to-goal-distance document4 - document25: 2
Init-to-goal-distance document4 - document26: 2
Init-to-goal-distance document4 - document27: 3
Init-to-goal-distance document4 - document28: 3
Init-to-goal-distance document4 - document30: 3
Init-to-goal-distance document4 - depot: 2
Init-to-goal-distance document7 - document9: 0
Init-to-goal-distance document7 - document13: 0
Init-to-goal-distance document7 - document14: 1
Init-to-goal-distance document7 - document16: 1
Init-to-goal-distance document7 - document19: 2
Init-to-goal-distance document7 - document20: 2
Init-to-goal-distance document7 - document21: 2
Init-to-goal-distance document7 - document23: 2
Init-to-goal-distance document7 - document24: 2
Init-to-goal-distance document7 - document25: 2
Init-to-goal-distance document7 - document26: 2
Init-to-goal-distance document7 - document27: 4
Init-to-goal-distance document7 - document28: 4
Init-to-goal-distance document7 - document30: 4
Init-to-goal-distance document7 - depot: 3
Init-to-goal-distance document9 - document13: 0
Init-to-goal-distance document9 - document14: 1
Init-to-goal-distance document9 - document16: 1
Init-to-goal-distance document9 - document19: 2
Init-to-goal-distance document9 - document20: 2
Init-to-goal-distance document9 - document21: 2
Init-to-goal-distance document9 - document23: 2
Init-to-goal-distance document9 - document24: 2
Init-to-goal-distance document9 - document25: 2
Init-to-goal-distance document9 - document26: 2
Init-to-goal-distance document9 - document27: 4
Init-to-goal-distance document9 - document28: 4
Init-to-goal-distance document9 - document30: 4
Init-to-goal-distance document9 - depot: 3
Init-to-goal-distance document13 - document14: 1
Init-to-goal-distance document13 - document16: 1
Init-to-goal-distance document13 - document19: 2
Init-to-goal-distance document13 - document20: 2
Init-to-goal-distance document13 - document21: 2
Init-to-goal-distance document13 - document23: 2
Init-to-goal-distance document13 - document24: 2
Init-to-goal-distance document13 - document25: 2
Init-to-goal-distance document13 - document26: 2
Init-to-goal-distance document13 - document27: 4
Init-to-goal-distance document13 - document28: 4
Init-to-goal-distance document13 - document30: 4
Init-to-goal-distance document13 - depot: 3
Init-to-goal-distance document14 - document16: 0
Init-to-goal-distance document14 - document19: 2
Init-to-goal-distance document14 - document20: 2
Init-to-goal-distance document14 - document21: 2
Init-to-goal-distance document14 - document23: 2
Init-to-goal-distance document14 - document24: 2
Init-to-goal-distance document14 - document25: 2
Init-to-goal-distance document14 - document26: 2
Init-to-goal-distance document14 - document27: 3
Init-to-goal-distance document14 - document28: 3
Init-to-goal-distance document14 - document30: 3
Init-to-goal-distance document14 - depot: 2
Init-to-goal-distance document16 - document19: 2
Init-to-goal-distance document16 - document20: 2
Init-to-goal-distance document16 - document21: 2
Init-to-goal-distance document16 - document23: 2
Init-to-goal-distance document16 - document24: 2
Init-to-goal-distance document16 - document25: 2
Init-to-goal-distance document16 - document26: 2
Init-to-goal-distance document16 - document27: 3
Init-to-goal-distance document16 - document28: 3
Init-to-goal-distance document16 - document30: 3
Init-to-goal-distance document16 - depot: 2
Init-to-goal-distance document19 - document20: 0
Init-to-goal-distance document19 - document21: 0
Init-to-goal-distance document19 - document23: 0
Init-to-goal-distance document19 - document24: 2
Init-to-goal-distance document19 - document25: 2
Init-to-goal-distance document19 - document26: 2
Init-to-goal-distance document19 - document27: 4
Init-to-goal-distance document19 - document28: 4
Init-to-goal-distance document19 - document30: 4
Init-to-goal-distance document19 - depot: 3
Init-to-goal-distance document20 - document21: 0
Init-to-goal-distance document20 - document23: 0
Init-to-goal-distance document20 - document24: 2
Init-to-goal-distance document20 - document25: 2
Init-to-goal-distance document20 - document26: 2
Init-to-goal-distance document20 - document27: 4
Init-to-goal-distance document20 - document28: 4
Init-to-goal-distance document20 - document30: 4
Init-to-goal-distance document20 - depot: 3
Init-to-goal-distance document21 - document23: 0
Init-to-goal-distance document21 - document24: 2
Init-to-goal-distance document21 - document25: 2
Init-to-goal-distance document21 - document26: 2
Init-to-goal-distance document21 - document27: 4
Init-to-goal-distance document21 - document28: 4
Init-to-goal-distance document21 - document30: 4
Init-to-goal-distance document21 - depot: 3
Init-to-goal-distance document23 - document24: 2
Init-to-goal-distance document23 - document25: 2
Init-to-goal-distance document23 - document26: 2
Init-to-goal-distance document23 - document27: 4
Init-to-goal-distance document23 - document28: 4
Init-to-goal-distance document23 - document30: 4
Init-to-goal-distance document23 - depot: 3
Init-to-goal-distance document24 - document25: 0
Init-to-goal-distance document24 - document26: 0
Init-to-goal-distance document24 - document27: 3
Init-to-goal-distance document24 - document28: 3
Init-to-goal-distance document24 - document30: 3
Init-to-goal-distance document24 - depot: 2
Init-to-goal-distance document25 - document26: 0
Init-to-goal-distance document25 - document27: 3
Init-to-goal-distance document25 - document28: 3
Init-to-goal-distance document25 - document30: 3
Init-to-goal-distance document25 - depot: 2
Init-to-goal-distance document26 - document27: 3
Init-to-goal-distance document26 - document28: 3
Init-to-goal-distance document26 - document30: 3
Init-to-goal-distance document26 - depot: 2
Init-to-goal-distance document27 - document28: 0
Init-to-goal-distance document27 - document30: 0
Init-to-goal-distance document27 - depot: 1
Init-to-goal-distance document28 - document30: 0
Init-to-goal-distance document28 - depot: 1
Init-to-goal-distance document30 - depot: 1
