(stacks-avail n0), layer: 0
(started o9), layer: 2
(started o10), layer: 2
(started o11), layer: 2
(started o12), layer: 2
(started o13), layer: 2
(started o14), layer: 2
(started o15), layer: 2
(started o16), layer: 2
(started o17), layer: 2
(started o18), layer: 2
(started o19), layer: 2
(started o20), layer: 2
(started o21), layer: 2
(started o22), layer: 2
(started o23), layer: 2
(started o24), layer: 2
(started o25), layer: 2
(started o26), layer: 2
(started o27), layer: 2
(started o28), layer: 2
(started o29), layer: 2
(started o30), layer: 2
(started o31), layer: 2
(started o32), layer: 2
(started o33), layer: 2
(started o34), layer: 2
(started o35), layer: 2
(next-count n0 n1), layer: 0
(next-count n1 n2), layer: 0
(next-count n2 n3), layer: 0
(next-count n3 n4), layer: 0
(next-count n4 n5), layer: 0
(next-count n5 n6), layer: 0
(next-count n6 n7), layer: 0
(next-count n7 n8), layer: 0
(next-count n8 n9), layer: 0
(next-count n9 n10), layer: 0
(next-count n10 n11), layer: 0
(next-count n11 n12), layer: 0
(next-count n12 n13), layer: 0
(next-count n13 n14), layer: 0
(next-count n14 n15), layer: 0
(next-count n15 n16), layer: 0
(next-count n16 n17), layer: 0
(next-count n17 n18), layer: 0
(next-count n18 n19), layer: 0
(next-count n19 n20), layer: 0
(next-count n20 n21), layer: 0
(next-count n21 n22), layer: 0
(next-count n22 n23), layer: 0
(next-count n23 n24), layer: 0
(next-count n24 n25), layer: 0
(next-count n25 n26), layer: 0
(next-count n26 n27), layer: 0
(next-count n27 n28), layer: 0
(next-count n28 n29), layer: 0
(next-count n29 n30), layer: 0
(next-count n30 n31), layer: 0
(next-count n31 n32), layer: 0
(next-count n32 n33), layer: 0
(next-count n33 n34), layer: 0
(next-count n34 n35), layer: 0
(includes o1 p18), layer: 0
(includes o1 p21), layer: 0
(includes o1 p35), layer: 0
(includes o2 p1), layer: 0
(includes o2 p8), layer: 0
(includes o2 p11), layer: 0
(includes o2 p19), layer: 0
(includes o2 p31), layer: 0
(includes o2 p34), layer: 0
(includes o3 p12), layer: 0
(includes o3 p17), layer: 0
(includes o3 p18), layer: 0
(includes o3 p22), layer: 0
(includes o3 p29), layer: 0
(includes o4 p4), layer: 0
(includes o4 p30), layer: 0
(includes o5 p2), layer: 0
(includes o5 p16), layer: 0
(includes o5 p17), layer: 0
(includes o5 p18), layer: 0
(includes o5 p32), layer: 0
(includes o5 p34), layer: 0
(includes o6 p9), layer: 0
(includes o6 p12), layer: 0
(includes o6 p17), layer: 0
(includes o6 p23), layer: 0
(includes o6 p30), layer: 0
(includes o6 p33), layer: 0
(includes o7 p3), layer: 0
(includes o7 p13), layer: 0
(includes o7 p24), layer: 0
(includes o7 p26), layer: 0
(includes o8 p14), layer: 0
(includes o8 p16), layer: 0
(includes o8 p22), layer: 0
(includes o8 p34), layer: 0
(includes o9 p13), layer: 0
(includes o9 p19), layer: 0
(includes o9 p31), layer: 0
(includes o10 p3), layer: 0
(includes o10 p4), layer: 0
(includes o11 p12), layer: 0
(includes o11 p17), layer: 0
(includes o11 p23), layer: 0
(includes o11 p27), layer: 0
(includes o11 p30), layer: 0
(includes o11 p33), layer: 0
(includes o12 p4), layer: 0
(includes o12 p6), layer: 0
(includes o12 p19), layer: 0
(includes o12 p21), layer: 0
(includes o12 p32), layer: 0
(includes o13 p2), layer: 0
(includes o13 p3), layer: 0
(includes o13 p11), layer: 0
(includes o13 p26), layer: 0
(includes o14 p10), layer: 0
(includes o14 p16), layer: 0
(includes o14 p20), layer: 0
(includes o14 p22), layer: 0
(includes o15 p4), layer: 0
(includes o15 p9), layer: 0
(includes o15 p18), layer: 0
(includes o15 p21), layer: 0
(includes o16 p1), layer: 0
(includes o16 p2), layer: 0
(includes o16 p3), layer: 0
(includes o16 p8), layer: 0
(includes o16 p21), layer: 0
(includes o16 p33), layer: 0
(includes o17 p2), layer: 0
(includes o17 p34), layer: 0
(includes o18 p27), layer: 0
(includes o18 p30), layer: 0
(includes o19 p1), layer: 0
(includes o19 p2), layer: 0
(includes o19 p6), layer: 0
(includes o19 p8), layer: 0
(includes o19 p22), layer: 0
(includes o19 p24), layer: 0
(includes o19 p25), layer: 0
(includes o19 p26), layer: 0
(includes o19 p28), layer: 0
(includes o19 p29), layer: 0
(includes o19 p32), layer: 0
(includes o19 p35), layer: 0
(includes o20 p16), layer: 0
(includes o20 p17), layer: 0
(includes o20 p23), layer: 0
(includes o20 p27), layer: 0
(includes o21 p2), layer: 0
(includes o21 p4), layer: 0
(includes o21 p22), layer: 0
(includes o21 p28), layer: 0
(includes o21 p29), layer: 0
(includes o22 p1), layer: 0
(includes o22 p5), layer: 0
(includes o22 p12), layer: 0
(includes o22 p16), layer: 0
(includes o22 p27), layer: 0
(includes o23 p8), layer: 0
(includes o23 p28), layer: 0
(includes o24 p18), layer: 0
(includes o24 p22), layer: 0
(includes o25 p6), layer: 0
(includes o25 p14), layer: 0
(includes o25 p21), layer: 0
(includes o25 p22), layer: 0
(includes o26 p3), layer: 0
(includes o26 p19), layer: 0
(includes o26 p26), layer: 0
(includes o26 p35), layer: 0
(includes o27 p6), layer: 0
(includes o27 p16), layer: 0
(includes o27 p23), layer: 0
(includes o28 p3), layer: 0
(includes o28 p25), layer: 0
(includes o28 p26), layer: 0
(includes o28 p28), layer: 0
(includes o28 p32), layer: 0
(includes o29 p8), layer: 0
(includes o29 p26), layer: 0
(includes o30 p13), layer: 0
(includes o31 p25), layer: 0
(includes o32 p15), layer: 0
(includes o32 p28), layer: 0
(includes o33 p7), layer: 0
(includes o34 p8), layer: 0
(includes o34 p13), layer: 0
(includes o34 p20), layer: 0
(includes o34 p27), layer: 0
(includes o34 p29), layer: 0
(includes o35 p25), layer: 0
(includes o35 p29), layer: 0
