(cube1 red white blue), layer: 0
(edge78 yellow blue), layer: 2
(edge78 yellow orange), layer: 2
(edge78 white orange), layer: 2
(edge48 yellow orange), layer: 2
(edge48 blue red), layer: 2
(edge48 red yellow), layer: 2
(edge78 blue red), layer: 2
(edge78 green red), layer: 2
(edge48 white orange), layer: 2
(edge48 green red), layer: 2
(edge34 yellow orange), layer: 2
(edge34 white orange), layer: 2
(edge37 yellow orange), layer: 2
(edge37 blue red), layer: 2
