(card-at card0 pos0 pos0), layer: 0
(NOT-robot-at card15), layer: 0
(NOT-robot-at card16), layer: 0
(NOT-robot-at card17), layer: 0
(NOT-robot-at card18), layer: 0
(NOT-robot-at card19), layer: 0
(NOT-robot-at card20), layer: 0
(NOT-robot-at card21), layer: 0
(NOT-robot-at card22), layer: 0
(NOT-robot-at card23), layer: 0
(NOT-robot-at card24), layer: 0
(NOT-robot-at card25), layer: 0
(NOT-robot-at card26), layer: 0
(NOT-robot-at card27), layer: 0
(NOT-robot-at card28), layer: 0
(NOT-robot-at card29), layer: 0
(NOT-robot-at card30), layer: 0
(NOT-robot-at card31), layer: 0
(NOT-robot-at card32), layer: 0
(NOT-robot-at card33), layer: 0
(NOT-robot-at card34), layer: 0
(NOT-robot-at card35), layer: 0
(NOT-cards-moving), layer: 0
(NOT-cards-moving-west), layer: 0
(NOT-cards-moving-east), layer: 0
(NOT-cards-moving-south), layer: 0
(NOT-cards-moving-north), layer: 0
(robot-at card1), layer: 1
(robot-at card6), layer: 1
(cards-moving), layer: 1
(cards-moving-west), layer: 1
(new-headtail-card card6), layer: 1
(next-moving-card card7), layer: 1
(new-headtail-card card12), layer: 1
(next-moving-card card13), layer: 1
(new-headtail-card card23), layer: 1
(next-moving-card card18), layer: 1
(new-headtail-card card24), layer: 1
(next-moving-card card25), layer: 1
(new-headtail-card card30), layer: 1
(next-moving-card card31), layer: 1
(cards-moving-east), layer: 1
(new-headtail-card card5), layer: 1
(next-moving-card card4), layer: 1
(new-headtail-card card11), layer: 1
(next-moving-card card10), layer: 1
(new-headtail-card card17), layer: 1
(next-moving-card card16), layer: 1
(new-headtail-card card22), layer: 1
(next-moving-card card21), layer: 1
(new-headtail-card card29), layer: 1
(next-moving-card card28), layer: 1
(new-headtail-card card35), layer: 1
(next-moving-card card34), layer: 1
(cards-moving-north), layer: 1
(new-headtail-card card1), layer: 1
(new-headtail-card card2), layer: 1
(next-moving-card card8), layer: 1
(new-headtail-card card3), layer: 1
(next-moving-card card9), layer: 1
(new-headtail-card card4), layer: 1
(next-moving-card card11), layer: 1
(cards-moving-south), layer: 1
(next-moving-card card24), layer: 1
(new-headtail-card card31), layer: 1
(new-headtail-card card32), layer: 1
(next-moving-card card26), layer: 1
(new-headtail-card card33), layer: 1
(next-moving-card card27), layer: 1
(new-headtail-card card34), layer: 1
(next-moving-card card29), layer: 1
(NOT-robot-at card0), layer: 1
(robot-at card7), layer: 2
(robot-at card12), layer: 2
(new-headtail-card card0), layer: 2
(next-moving-card card1), layer: 2
(card-at card4 pos3 pos0), layer: 2
(next-moving-card card5), layer: 2
(card-at card7 pos0 pos1), layer: 2
(card-at card8 pos1 pos1), layer: 2
(card-at card9 pos2 pos1), layer: 2
(card-at card10 pos3 pos1), layer: 2
(card-at card13 pos0 pos2), layer: 2
(next-moving-card card14), layer: 2
(card-at card16 pos3 pos2), layer: 2
(next-moving-card card17), layer: 2
(card-at card18 pos0 pos3), layer: 2
(next-moving-card card19), layer: 2
(card-at card21 pos3 pos3), layer: 2
(next-moving-card card22), layer: 2
(card-at card25 pos0 pos4), layer: 2
(card-at card26 pos1 pos4), layer: 2
(card-at card27 pos2 pos4), layer: 2
(card-at card28 pos3 pos4), layer: 2
(card-at card31 pos0 pos5), layer: 2
(next-moving-card card32), layer: 2
(card-at card34 pos3 pos5), layer: 2
(next-moving-card card35), layer: 2
(card-at card11 pos4 pos1), layer: 2
(card-at card6 pos5 pos1), layer: 2
(card-at card12 pos5 pos1), layer: 2
(card-at card23 pos5 pos1), layer: 2
(card-at card24 pos5 pos1), layer: 2
(card-at card30 pos5 pos1), layer: 2
(card-at card5 pos5 pos1), layer: 2
(card-at card17 pos5 pos1), layer: 2
(card-at card22 pos5 pos1), layer: 2
(card-at card29 pos5 pos1), layer: 2
(card-at card35 pos5 pos1), layer: 2
(card-at card1 pos5 pos1), layer: 2
(card-at card2 pos5 pos1), layer: 2
(card-at card3 pos5 pos1), layer: 2
(card-at card4 pos5 pos1), layer: 2
(card-at card31 pos5 pos1), layer: 2
(card-at card32 pos5 pos1), layer: 2
(card-at card33 pos5 pos1), layer: 2
(card-at card34 pos5 pos1), layer: 2
(card-at card29 pos4 pos4), layer: 2
(card-at card6 pos5 pos4), layer: 2
(card-at card12 pos5 pos4), layer: 2
(card-at card23 pos5 pos4), layer: 2
(card-at card24 pos5 pos4), layer: 2
(card-at card30 pos5 pos4), layer: 2
(card-at card5 pos5 pos4), layer: 2
(card-at card11 pos5 pos4), layer: 2
(card-at card17 pos5 pos4), layer: 2
(card-at card22 pos5 pos4), layer: 2
(card-at card35 pos5 pos4), layer: 2
(card-at card1 pos5 pos4), layer: 2
(card-at card2 pos5 pos4), layer: 2
(card-at card3 pos5 pos4), layer: 2
(card-at card4 pos5 pos4), layer: 2
(card-at card31 pos5 pos4), layer: 2
(card-at card32 pos5 pos4), layer: 2
(card-at card33 pos5 pos4), layer: 2
(card-at card34 pos5 pos4), layer: 2
(card-at card4 pos5 pos0), layer: 2
(next-moving-card card3), layer: 2
(card-at card7 pos2 pos1), layer: 2
(next-moving-card card6), layer: 2
(card-at card8 pos3 pos1), layer: 2
(card-at card9 pos4 pos1), layer: 2
(card-at card10 pos5 pos1), layer: 2
(card-at card13 pos2 pos2), layer: 2
(next-moving-card card12), layer: 2
(card-at card16 pos5 pos2), layer: 2
(next-moving-card card15), layer: 2
(card-at card18 pos2 pos3), layer: 2
(next-moving-card card23), layer: 2
(card-at card21 pos5 pos3), layer: 2
(next-moving-card card20), layer: 2
(card-at card25 pos2 pos4), layer: 2
(card-at card26 pos3 pos4), layer: 2
(card-at card27 pos4 pos4), layer: 2
(card-at card28 pos5 pos4), layer: 2
(card-at card31 pos2 pos5), layer: 2
(next-moving-card card30), layer: 2
(card-at card34 pos5 pos5), layer: 2
(next-moving-card card33), layer: 2
(card-at card24 pos1 pos4), layer: 2
(card-at card6 pos0 pos4), layer: 2
(card-at card12 pos0 pos4), layer: 2
(card-at card23 pos0 pos4), layer: 2
(card-at card30 pos0 pos4), layer: 2
(card-at card5 pos0 pos4), layer: 2
(card-at card11 pos0 pos4), layer: 2
(card-at card17 pos0 pos4), layer: 2
(card-at card22 pos0 pos4), layer: 2
(card-at card29 pos0 pos4), layer: 2
(card-at card35 pos0 pos4), layer: 2
(card-at card1 pos0 pos4), layer: 2
(card-at card2 pos0 pos4), layer: 2
(card-at card3 pos0 pos4), layer: 2
(card-at card4 pos0 pos4), layer: 2
(card-at card31 pos0 pos4), layer: 2
(card-at card32 pos0 pos4), layer: 2
(card-at card33 pos0 pos4), layer: 2
(card-at card34 pos0 pos4), layer: 2
(card-at card7 pos1 pos0), layer: 2
(card-at card8 pos2 pos0), layer: 2
(card-at card9 pos3 pos0), layer: 2
(card-at card10 pos4 pos0), layer: 2
(card-at card11 pos5 pos0), layer: 2
(card-at card13 pos1 pos1), layer: 2
(card-at card16 pos4 pos1), layer: 2
(card-at card18 pos1 pos2), layer: 2
(card-at card21 pos4 pos2), layer: 2
(card-at card24 pos0 pos3), layer: 2
(card-at card25 pos1 pos3), layer: 2
(card-at card26 pos2 pos3), layer: 2
(card-at card27 pos3 pos3), layer: 2
(card-at card28 pos4 pos3), layer: 2
(card-at card29 pos5 pos3), layer: 2
(card-at card31 pos1 pos4), layer: 2
(card-at card6 pos1 pos5), layer: 2
(card-at card12 pos1 pos5), layer: 2
(card-at card23 pos1 pos5), layer: 2
(card-at card24 pos1 pos5), layer: 2
(card-at card30 pos1 pos5), layer: 2
(card-at card5 pos1 pos5), layer: 2
(card-at card11 pos1 pos5), layer: 2
(card-at card17 pos1 pos5), layer: 2
(card-at card22 pos1 pos5), layer: 2
(card-at card29 pos1 pos5), layer: 2
(card-at card35 pos1 pos5), layer: 2
(card-at card1 pos1 pos5), layer: 2
(card-at card2 pos1 pos5), layer: 2
(card-at card3 pos1 pos5), layer: 2
(card-at card4 pos1 pos5), layer: 2
(card-at card32 pos1 pos5), layer: 2
(card-at card33 pos1 pos5), layer: 2
(card-at card34 pos1 pos5), layer: 2
(card-at card34 pos4 pos4), layer: 2
(card-at card6 pos4 pos5), layer: 2
(card-at card12 pos4 pos5), layer: 2
(card-at card23 pos4 pos5), layer: 2
(card-at card24 pos4 pos5), layer: 2
(card-at card30 pos4 pos5), layer: 2
(card-at card5 pos4 pos5), layer: 2
(card-at card11 pos4 pos5), layer: 2
(card-at card17 pos4 pos5), layer: 2
(card-at card22 pos4 pos5), layer: 2
(card-at card29 pos4 pos5), layer: 2
(card-at card35 pos4 pos5), layer: 2
(card-at card1 pos4 pos5), layer: 2
(card-at card2 pos4 pos5), layer: 2
(card-at card3 pos4 pos5), layer: 2
(card-at card4 pos4 pos5), layer: 2
(card-at card31 pos4 pos5), layer: 2
(card-at card32 pos4 pos5), layer: 2
(card-at card33 pos4 pos5), layer: 2
(card-at card7 pos1 pos2), layer: 2
(card-at card8 pos2 pos2), layer: 2
(next-moving-card card2), layer: 2
(card-at card9 pos3 pos2), layer: 2
(card-at card10 pos4 pos2), layer: 2
(card-at card11 pos5 pos2), layer: 2
(card-at card13 pos1 pos3), layer: 2
(card-at card16 pos4 pos3), layer: 2
(card-at card18 pos1 pos4), layer: 2
(card-at card21 pos4 pos4), layer: 2
(card-at card24 pos0 pos5), layer: 2
(card-at card25 pos1 pos5), layer: 2
(card-at card26 pos2 pos5), layer: 2
(card-at card27 pos3 pos5), layer: 2
(card-at card28 pos4 pos5), layer: 2
(card-at card29 pos5 pos5), layer: 2
(card-at card4 pos4 pos1), layer: 2
(card-at card6 pos4 pos0), layer: 2
(card-at card12 pos4 pos0), layer: 2
(card-at card23 pos4 pos0), layer: 2
(card-at card24 pos4 pos0), layer: 2
(card-at card30 pos4 pos0), layer: 2
(card-at card5 pos4 pos0), layer: 2
(card-at card11 pos4 pos0), layer: 2
(card-at card17 pos4 pos0), layer: 2
(card-at card22 pos4 pos0), layer: 2
(card-at card29 pos4 pos0), layer: 2
(card-at card35 pos4 pos0), layer: 2
(card-at card1 pos4 pos0), layer: 2
(card-at card2 pos4 pos0), layer: 2
(card-at card3 pos4 pos0), layer: 2
(card-at card31 pos4 pos0), layer: 2
(card-at card32 pos4 pos0), layer: 2
(card-at card33 pos4 pos0), layer: 2
(card-at card34 pos4 pos0), layer: 2
(max-pos pos5), layer: 0
(min-pos pos0), layer: 0
(next pos1 pos0), layer: 0
(next pos2 pos1), layer: 0
(next pos3 pos2), layer: 0
(next pos4 pos3), layer: 0
(next pos5 pos4), layer: 0
(blocked card0 n), layer: 0
(blocked card0 w), layer: 0
(blocked card1 e), layer: 0
(blocked card1 s), layer: 0
(blocked card2 w), layer: 0
(blocked card3 e), layer: 0
(blocked card3 s), layer: 0
(blocked card5 e), layer: 0
(blocked card6 w), layer: 0
(blocked card7 n), layer: 0
(blocked card7 e), layer: 0
(blocked card8 e), layer: 0
(blocked card8 s), layer: 0
(blocked card9 w), layer: 0
(blocked card10 w), layer: 0
(blocked card11 n), layer: 0
(blocked card11 e), layer: 0
(blocked card12 s), layer: 0
(blocked card12 w), layer: 0
(blocked card13 n), layer: 0
(blocked card13 e), layer: 0
(blocked card14 n), layer: 0
(blocked card14 s), layer: 0
(blocked card15 n), layer: 0
(blocked card15 e), layer: 0
(blocked card16 e), layer: 0
(blocked card16 s), layer: 0
(blocked card17 n), layer: 0
(blocked card17 e), layer: 0
(blocked card23 e), layer: 0
(blocked card23 s), layer: 0
(blocked card18 n), layer: 0
(blocked card18 s), layer: 0
(blocked card19 w), layer: 0
(blocked card20 n), layer: 0
(blocked card20 e), layer: 0
(blocked card21 s), layer: 0
(blocked card21 w), layer: 0
(blocked card22 n), layer: 0
(blocked card22 e), layer: 0
(blocked card24 n), layer: 0
(blocked card24 w), layer: 0
(blocked card25 e), layer: 0
(blocked card26 n), layer: 0
(blocked card26 e), layer: 0
(blocked card27 n), layer: 0
(blocked card27 s), layer: 0
(blocked card28 n), layer: 0
(blocked card28 w), layer: 0
(blocked card29 n), layer: 0
(blocked card29 e), layer: 0
(blocked card30 s), layer: 0
(blocked card30 w), layer: 0
(blocked card31 n), layer: 0
(blocked card32 n), layer: 0
(blocked card32 s), layer: 0
(blocked card33 s), layer: 0
(blocked card34 n), layer: 0
(blocked card34 s), layer: 0
(blocked card35 e), layer: 0
