(at-curb car_04), layer: 0
(behind-car car_13 car_10), layer: 2
(behind-car car_13 car_05), layer: 2
(behind-car car_13 car_16), layer: 2
(behind-car car_13 car_15), layer: 2
(behind-car car_09 car_04), layer: 2
(behind-car car_09 car_03), layer: 2
(behind-car car_09 car_17), layer: 2
(behind-car car_09 car_10), layer: 2
(behind-car car_09 car_05), layer: 2
(behind-car car_09 car_16), layer: 2
(behind-car car_09 car_15), layer: 2
(behind-car car_00 car_04), layer: 2
(behind-car car_00 car_02), layer: 2
(behind-car car_00 car_17), layer: 2
(behind-car car_00 car_10), layer: 2
(behind-car car_00 car_05), layer: 2
(behind-car car_00 car_16), layer: 2
(behind-car car_00 car_15), layer: 2
(behind-car car_11 car_04), layer: 2
(behind-car car_11 car_02), layer: 2
(behind-car car_11 car_03), layer: 2
(behind-car car_11 car_10), layer: 2
(behind-car car_11 car_05), layer: 2
(behind-car car_11 car_16), layer: 2
(behind-car car_11 car_15), layer: 2
(behind-car car_14 car_04), layer: 2
(behind-car car_14 car_02), layer: 2
(behind-car car_14 car_03), layer: 2
(behind-car car_14 car_17), layer: 2
(behind-car car_14 car_05), layer: 2
(behind-car car_14 car_16), layer: 2
(behind-car car_14 car_15), layer: 2
(behind-car car_08 car_04), layer: 2
(behind-car car_08 car_02), layer: 2
(behind-car car_08 car_03), layer: 2
(behind-car car_08 car_17), layer: 2
(behind-car car_08 car_10), layer: 2
(behind-car car_08 car_16), layer: 2
(behind-car car_08 car_15), layer: 2
(behind-car car_06 car_04), layer: 2
(behind-car car_06 car_02), layer: 2
(behind-car car_06 car_03), layer: 2
(behind-car car_06 car_17), layer: 2
(behind-car car_06 car_10), layer: 2
(behind-car car_06 car_05), layer: 2
(behind-car car_06 car_15), layer: 2
(behind-car car_12 car_04), layer: 2
(behind-car car_12 car_02), layer: 2
(behind-car car_12 car_03), layer: 2
(behind-car car_12 car_17), layer: 2
(behind-car car_12 car_10), layer: 2
(behind-car car_12 car_05), layer: 2
(behind-car car_12 car_16), layer: 2
