(open_action act_labor), layer: 0
(next2_num num10 num12), layer: 0
(next2_num num11 num13), layer: 0
(next2_num num12 num14), layer: 0
(next2_num num13 num15), layer: 0
(next2_num num14 num16), layer: 0
(next_stage stage1 stage2), layer: 0
(next_stage stage2 stage3), layer: 0
(next_stage stage3 stage4), layer: 0
(next_round round1 round2), layer: 0
(next_round round2 round3), layer: 0
(next_round round3 round4), layer: 0
(next_round round4 round5), layer: 0
(next_round round5 round6), layer: 0
(next_round round6 round7), layer: 0
(next_round round7 round8), layer: 0
(next_round round8 round9), layer: 0
(next_round round9 round10), layer: 0
(next_worker worker4 worker3), layer: 0
(next_worker worker3 worker2), layer: 0
(next_worker worker2 worker1), layer: 0
(next_worker worker1 noworker), layer: 0
(category_round round1 tnormal), layer: 0
(category_round round2 tnormal), layer: 0
(category_round round3 tnormal), layer: 0
(category_round round4 tharvest), layer: 0
(category_round round5 tnormal), layer: 0
(category_round round6 tnormal), layer: 0
(category_round round7 tharvest), layer: 0
(category_round round8 tnormal), layer: 0
(category_round round9 tharvest), layer: 0
(category_round round10 tnormal), layer: 0
(drawcard_round act_family round1), layer: 0
(drawcard_round act_sheep round2), layer: 0
(drawcard_round act_sow round3), layer: 0
(drawcard_round act_fences round4), layer: 0
(drawcard_round act_boar round5), layer: 0
(drawcard_round act_improve round6), layer: 0
(drawcard_round act_cattle round7), layer: 0
(drawcard_round act_carrot round8), layer: 0
(drawcard_round void round9), layer: 0
(drawcard_round void round10), layer: 0
(food_required worker2 num4), layer: 0
(food_required worker2 num5), layer: 0
(food_required worker3 num6), layer: 0
(food_required worker3 num7), layer: 0
(food_required worker4 num8), layer: 0
(food_required worker4 num9), layer: 0
(supply_resource act_wood wood), layer: 0
(supply_resource act_clay clay), layer: 0
(supply_resource act_reed reed), layer: 0
(supply_resource act_stone stone), layer: 0
