(at tray1 kitchen), layer: 0
(at_kitchen_sandwich sandw11), layer: 1
(no_gluten_sandwich sandw11), layer: 1
(at_kitchen_sandwich sandw12), layer: 1
(no_gluten_sandwich sandw12), layer: 1
(at_kitchen_sandwich sandw13), layer: 1
(no_gluten_sandwich sandw13), layer: 1
(at_kitchen_sandwich sandw14), layer: 1
(no_gluten_sandwich sandw14), layer: 1
(at_kitchen_sandwich sandw15), layer: 1
(no_gluten_sandwich sandw15), layer: 1
(at_kitchen_sandwich sandw16), layer: 1
(no_gluten_sandwich sandw16), layer: 1
(at_kitchen_sandwich sandw17), layer: 1
(no_gluten_sandwich sandw17), layer: 1
(at_kitchen_sandwich sandw18), layer: 1
(no_gluten_sandwich sandw18), layer: 1
(at_kitchen_sandwich sandw19), layer: 1
(no_gluten_sandwich sandw19), layer: 1
(at_kitchen_sandwich sandw20), layer: 1
(no_gluten_sandwich sandw20), layer: 1
(at tray1 table1), layer: 1
(at tray1 table2), layer: 1
(at tray1 table3), layer: 1
(at tray2 table1), layer: 1
(at tray2 table2), layer: 1
(at tray2 table3), layer: 1
(at tray3 table1), layer: 1
(at tray3 table2), layer: 1
(at tray3 table3), layer: 1
(ontray sandw1 tray1), layer: 2
(ontray sandw1 tray2), layer: 2
(ontray sandw1 tray3), layer: 2
(ontray sandw2 tray1), layer: 2
(ontray sandw2 tray2), layer: 2
(ontray sandw2 tray3), layer: 2
(ontray sandw3 tray1), layer: 2
(ontray sandw3 tray2), layer: 2
(ontray sandw3 tray3), layer: 2
(ontray sandw4 tray1), layer: 2
(ontray sandw4 tray2), layer: 2
(ontray sandw4 tray3), layer: 2
(ontray sandw5 tray1), layer: 2
(ontray sandw5 tray2), layer: 2
(ontray sandw5 tray3), layer: 2
(ontray sandw6 tray1), layer: 2
(ontray sandw6 tray2), layer: 2
(ontray sandw6 tray3), layer: 2
(ontray sandw7 tray1), layer: 2
(ontray sandw7 tray2), layer: 2
(ontray sandw7 tray3), layer: 2
(ontray sandw8 tray1), layer: 2
(ontray sandw8 tray2), layer: 2
(ontray sandw8 tray3), layer: 2
(ontray sandw9 tray1), layer: 2
(ontray sandw9 tray2), layer: 2
(ontray sandw9 tray3), layer: 2
(ontray sandw10 tray1), layer: 2
(ontray sandw10 tray2), layer: 2
(ontray sandw10 tray3), layer: 2
(ontray sandw11 tray1), layer: 2
(ontray sandw11 tray2), layer: 2
(ontray sandw11 tray3), layer: 2
(ontray sandw12 tray1), layer: 2
(ontray sandw12 tray2), layer: 2
(ontray sandw12 tray3), layer: 2
(ontray sandw13 tray1), layer: 2
(ontray sandw13 tray2), layer: 2
(ontray sandw13 tray3), layer: 2
(ontray sandw14 tray1), layer: 2
(ontray sandw14 tray2), layer: 2
(ontray sandw14 tray3), layer: 2
(ontray sandw15 tray1), layer: 2
(ontray sandw15 tray2), layer: 2
(ontray sandw15 tray3), layer: 2
(ontray sandw16 tray1), layer: 2
(ontray sandw16 tray2), layer: 2
(ontray sandw16 tray3), layer: 2
(ontray sandw17 tray1), layer: 2
(ontray sandw17 tray2), layer: 2
(ontray sandw17 tray3), layer: 2
(ontray sandw18 tray1), layer: 2
(ontray sandw18 tray2), layer: 2
(ontray sandw18 tray3), layer: 2
(ontray sandw19 tray1), layer: 2
(ontray sandw19 tray2), layer: 2
(ontray sandw19 tray3), layer: 2
(ontray sandw20 tray1), layer: 2
(ontray sandw20 tray2), layer: 2
(ontray sandw20 tray3), layer: 2
(no_gluten_bread bread9), layer: 0
(no_gluten_bread bread3), layer: 0
(no_gluten_bread bread13), layer: 0
(no_gluten_bread bread12), layer: 0
(no_gluten_bread bread6), layer: 0
(no_gluten_bread bread7), layer: 0
(no_gluten_content content4), layer: 0
(no_gluten_content content15), layer: 0
(no_gluten_content content14), layer: 0
(no_gluten_content content9), layer: 0
(no_gluten_content content3), layer: 0
(no_gluten_content content10), layer: 0
(allergic_gluten child2), layer: 0
(allergic_gluten child11), layer: 0
(allergic_gluten child5), layer: 0
(allergic_gluten child15), layer: 0
(allergic_gluten child10), layer: 0
(allergic_gluten child3), layer: 0
(not_allergic_gluten child12), layer: 0
(not_allergic_gluten child1), layer: 0
(not_allergic_gluten child4), layer: 0
(not_allergic_gluten child14), layer: 0
(not_allergic_gluten child6), layer: 0
(not_allergic_gluten child7), layer: 0
(not_allergic_gluten child8), layer: 0
(not_allergic_gluten child9), layer: 0
(not_allergic_gluten child13), layer: 0
(waiting child1 table1), layer: 0
(waiting child2 table2), layer: 0
(waiting child3 table2), layer: 0
(waiting child4 table1), layer: 0
(waiting child5 table2), layer: 0
(waiting child6 table1), layer: 0
(waiting child7 table1), layer: 0
(waiting child8 table3), layer: 0
(waiting child9 table3), layer: 0
(waiting child10 table2), layer: 0
(waiting child11 table3), layer: 0
(waiting child12 table2), layer: 0
(waiting child13 table2), layer: 0
(waiting child14 table2), layer: 0
(waiting child15 table2), layer: 0
