(robot-at robot1 tile_4-4), layer: 0
(painted tile_0-3 black), layer: 2
(painted tile_1-2 black), layer: 2
(painted tile_1-4 black), layer: 2
(painted tile_2-4 black), layer: 2
(painted tile_3-5 black), layer: 2
(painted tile_0-3 white), layer: 2
(painted tile_1-2 white), layer: 2
(painted tile_1-3 white), layer: 2
(painted tile_1-4 white), layer: 2
(robot-at robot1 tile_6-4), layer: 2
(robot-at robot2 tile_4-3), layer: 2
(robot-at robot1 tile_5-5), layer: 2
(robot-at robot2 tile_3-4), layer: 2
(robot-at robot1 tile_5-3), layer: 2
(robot-at robot2 tile_3-2), layer: 2
(robot-at robot1 tile_2-4), layer: 2
(robot-at robot2 tile_0-3), layer: 2
(robot-at robot1 tile_3-5), layer: 2
(robot-at robot2 tile_1-4), layer: 2
(robot-at robot1 tile_3-3), layer: 2
(robot-at robot2 tile_1-2), layer: 2
(robot-at robot2 tile_2-5), layer: 2
(robot-at robot1 tile_4-2), layer: 2
(robot-at robot2 tile_2-1), layer: 2
(available-color white), layer: 0
(available-color black), layer: 0
(up tile_1-1 tile_0-1), layer: 0
(up tile_1-2 tile_0-2), layer: 0
(up tile_1-3 tile_0-3), layer: 0
(up tile_1-4 tile_0-4), layer: 0
(up tile_1-5 tile_0-5), layer: 0
(up tile_2-1 tile_1-1), layer: 0
(up tile_2-2 tile_1-2), layer: 0
(up tile_2-3 tile_1-3), layer: 0
(up tile_2-4 tile_1-4), layer: 0
(up tile_2-5 tile_1-5), layer: 0
(up tile_3-1 tile_2-1), layer: 0
(up tile_3-2 tile_2-2), layer: 0
(up tile_3-3 tile_2-3), layer: 0
(up tile_3-4 tile_2-4), layer: 0
(up tile_3-5 tile_2-5), layer: 0
(up tile_4-1 tile_3-1), layer: 0
(up tile_4-2 tile_3-2), layer: 0
(up tile_4-3 tile_3-3), layer: 0
(up tile_4-4 tile_3-4), layer: 0
(up tile_4-5 tile_3-5), layer: 0
(up tile_5-1 tile_4-1), layer: 0
(up tile_5-2 tile_4-2), layer: 0
(up tile_5-3 tile_4-3), layer: 0
(up tile_5-4 tile_4-4), layer: 0
(up tile_5-5 tile_4-5), layer: 0
(up tile_6-1 tile_5-1), layer: 0
(up tile_6-2 tile_5-2), layer: 0
(up tile_6-3 tile_5-3), layer: 0
(up tile_6-4 tile_5-4), layer: 0
(up tile_6-5 tile_5-5), layer: 0
(down tile_0-1 tile_1-1), layer: 0
(down tile_0-2 tile_1-2), layer: 0
(down tile_0-3 tile_1-3), layer: 0
(down tile_0-4 tile_1-4), layer: 0
(down tile_0-5 tile_1-5), layer: 0
(down tile_1-1 tile_2-1), layer: 0
(down tile_1-2 tile_2-2), layer: 0
(down tile_1-3 tile_2-3), layer: 0
(down tile_1-4 tile_2-4), layer: 0
(down tile_1-5 tile_2-5), layer: 0
(down tile_2-1 tile_3-1), layer: 0
(down tile_2-2 tile_3-2), layer: 0
(down tile_2-3 tile_3-3), layer: 0
(down tile_2-4 tile_3-4), layer: 0
(down tile_2-5 tile_3-5), layer: 0
(down tile_3-1 tile_4-1), layer: 0
(down tile_3-2 tile_4-2), layer: 0
(down tile_3-3 tile_4-3), layer: 0
(down tile_3-4 tile_4-4), layer: 0
(down tile_3-5 tile_4-5), layer: 0
(down tile_4-1 tile_5-1), layer: 0
(down tile_4-2 tile_5-2), layer: 0
(down tile_4-3 tile_5-3), layer: 0
(down tile_4-4 tile_5-4), layer: 0
(down tile_4-5 tile_5-5), layer: 0
(down tile_5-1 tile_6-1), layer: 0
(down tile_5-2 tile_6-2), layer: 0
(down tile_5-3 tile_6-3), layer: 0
(down tile_5-4 tile_6-4), layer: 0
(down tile_5-5 tile_6-5), layer: 0
(right tile_0-2 tile_0-1), layer: 0
(right tile_0-3 tile_0-2), layer: 0
(right tile_0-4 tile_0-3), layer: 0
(right tile_0-5 tile_0-4), layer: 0
(right tile_1-2 tile_1-1), layer: 0
(right tile_1-3 tile_1-2), layer: 0
(right tile_1-4 tile_1-3), layer: 0
(right tile_1-5 tile_1-4), layer: 0
(right tile_2-2 tile_2-1), layer: 0
(right tile_2-3 tile_2-2), layer: 0
(right tile_2-4 tile_2-3), layer: 0
(right tile_2-5 tile_2-4), layer: 0
(right tile_3-2 tile_3-1), layer: 0
(right tile_3-3 tile_3-2), layer: 0
(right tile_3-4 tile_3-3), layer: 0
(right tile_3-5 tile_3-4), layer: 0
(right tile_4-2 tile_4-1), layer: 0
(right tile_4-3 tile_4-2), layer: 0
(right tile_4-4 tile_4-3), layer: 0
(right tile_4-5 tile_4-4), layer: 0
(right tile_5-2 tile_5-1), layer: 0
(right tile_5-3 tile_5-2), layer: 0
(right tile_5-4 tile_5-3), layer: 0
(right tile_5-5 tile_5-4), layer: 0
(right tile_6-2 tile_6-1), layer: 0
(right tile_6-3 tile_6-2), layer: 0
(right tile_6-4 tile_6-3), layer: 0
(right tile_6-5 tile_6-4), layer: 0
(left tile_0-1 tile_0-2), layer: 0
(left tile_0-2 tile_0-3), layer: 0
(left tile_0-3 tile_0-4), layer: 0
(left tile_0-4 tile_0-5), layer: 0
(left tile_1-1 tile_1-2), layer: 0
(left tile_1-2 tile_1-3), layer: 0
(left tile_1-3 tile_1-4), layer: 0
(left tile_1-4 tile_1-5), layer: 0
(left tile_2-1 tile_2-2), layer: 0
(left tile_2-2 tile_2-3), layer: 0
(left tile_2-3 tile_2-4), layer: 0
(left tile_2-4 tile_2-5), layer: 0
(left tile_3-1 tile_3-2), layer: 0
(left tile_3-2 tile_3-3), layer: 0
(left tile_3-3 tile_3-4), layer: 0
(left tile_3-4 tile_3-5), layer: 0
(left tile_4-1 tile_4-2), layer: 0
(left tile_4-2 tile_4-3), layer: 0
(left tile_4-3 tile_4-4), layer: 0
(left tile_4-4 tile_4-5), layer: 0
(left tile_5-1 tile_5-2), layer: 0
(left tile_5-2 tile_5-3), layer: 0
(left tile_5-3 tile_5-4), layer: 0
(left tile_5-4 tile_5-5), layer: 0
(left tile_6-1 tile_6-2), layer: 0
(left tile_6-2 tile_6-3), layer: 0
(left tile_6-3 tile_6-4), layer: 0
(left tile_6-4 tile_6-5), layer: 0
