Diameter for drive: 2
Diameter for pick-up: 5
Diameter for drop: 5
Init-to-goal-distance city-loc-13 - city-loc-16: 0
Init-to-goal-distance city-loc-13 - city-loc-17: 0
Init-to-goal-distance city-loc-13 - city-loc-18: 0
Init-to-goal-distance city-loc-13 - city-loc-23: 0
Init-to-goal-distance city-loc-13 - city-loc-27: 0
Init-to-goal-distance city-loc-13 - city-loc-32: 0
Init-to-goal-distance city-loc-13 - city-loc-39: 0
Init-to-goal-distance city-loc-13 - city-loc-40: 0
Init-to-goal-distance city-loc-13 - city-loc-41: 0
Init-to-goal-distance city-loc-13 - city-loc-42: 0
Init-to-goal-distance city-loc-13 - city-loc-43: 0
Init-to-goal-distance city-loc-13 - city-loc-44: 0
Init-to-goal-distance city-loc-13 - package-bag2: 0
Init-to-goal-distance city-loc-13 - package-bag5: -1
Init-to-goal-distance city-loc-13 - package-bag6: -1
Init-to-goal-distance city-loc-13 - package-bag7: -1
Init-to-goal-distance city-loc-13 - package-bag8: 0
Init-to-goal-distance city-loc-13 - package-bag9: -1
Init-to-goal-distance city-loc-13 - package-bag10: -1
Init-to-goal-distance city-loc-13 - package-bag11: -1
Init-to-goal-distance city-loc-13 - package-bag12: -1
Init-to-goal-distance city-loc-13 - package-bag13: -1
Init-to-goal-distance city-loc-13 - package-bag14: -1
Init-to-goal-distance city-loc-13 - package-bag15: -1
Init-to-goal-distance city-loc-13 - package-bag16: -1
Init-to-goal-distance city-loc-13 - package-bag17: -1
Init-to-goal-distance city-loc-13 - package-bag18: -1
Init-to-goal-distance city-loc-14 - city-loc-15: 0
Init-to-goal-distance city-loc-14 - city-loc-16: 0
Init-to-goal-distance city-loc-14 - city-loc-17: 0
Init-to-goal-distance city-loc-14 - city-loc-18: 0
Init-to-goal-distance city-loc-14 - city-loc-23: 0
Init-to-goal-distance city-loc-14 - city-loc-27: 0
Init-to-goal-distance city-loc-14 - city-loc-32: 0
Init-to-goal-distance city-loc-14 - city-loc-39: 0
Init-to-goal-distance city-loc-14 - city-loc-40: 0
Init-to-goal-distance city-loc-14 - city-loc-41: 0
Init-to-goal-distance city-loc-14 - city-loc-42: 0
Init-to-goal-distance city-loc-14 - city-loc-43: 0
Init-to-goal-distance city-loc-14 - city-loc-44: 0
Init-to-goal-distance city-loc-14 - package-bag2: 0
Init-to-goal-distance city-loc-14 - package-bag5: -1
Init-to-goal-distance city-loc-14 - package-bag6: -1
Init-to-goal-distance city-loc-14 - package-bag7: -1
Init-to-goal-distance city-loc-14 - package-bag8: -1
Init-to-goal-distance city-loc-14 - package-bag9: -1
Init-to-goal-distance city-loc-14 - package-bag10: -1
Init-to-goal-distance city-loc-14 - package-bag11: -1
Init-to-goal-distance city-loc-14 - package-bag12: -1
Init-to-goal-distance city-loc-14 - package-bag13: -1
Init-to-goal-distance city-loc-14 - package-bag14: -1
Init-to-goal-distance city-loc-14 - package-bag15: -1
Init-to-goal-distance city-loc-14 - package-bag16: -1
Init-to-goal-distance city-loc-14 - package-bag17: -1
Init-to-goal-distance city-loc-14 - package-bag18: -1
Init-to-goal-distance city-loc-15 - city-loc-16: 0
Init-to-goal-distance city-loc-15 - city-loc-17: 0
Init-to-goal-distance city-loc-15 - city-loc-18: -1, w/ static: 0
Init-to-goal-distance city-loc-15 - city-loc-23: 0
Init-to-goal-distance city-loc-15 - city-loc-27: 0
Init-to-goal-distance city-loc-15 - city-loc-32: 0
Init-to-goal-distance city-loc-15 - city-loc-39: 0
Init-to-goal-distance city-loc-15 - city-loc-40: 0
Init-to-goal-distance city-loc-15 - city-loc-41: -1, w/ static: 0
Init-to-goal-distance city-loc-15 - city-loc-42: 0
Init-to-goal-distance city-loc-15 - city-loc-43: 0
Init-to-goal-distance city-loc-15 - city-loc-44: 0
Init-to-goal-distance city-loc-15 - package-bag2: -1
Init-to-goal-distance city-loc-15 - package-bag5: -1
Init-to-goal-distance city-loc-15 - package-bag6: -1
Init-to-goal-distance city-loc-15 - package-bag7: -1
Init-to-goal-distance city-loc-15 - package-bag8: -1
Init-to-goal-distance city-loc-15 - package-bag9: -1
Init-to-goal-distance city-loc-15 - package-bag10: -1
Init-to-goal-distance city-loc-15 - package-bag11: -1
Init-to-goal-distance city-loc-15 - package-bag12: -1
Init-to-goal-distance city-loc-15 - package-bag13: -1
Init-to-goal-distance city-loc-15 - package-bag14: 0
Init-to-goal-distance city-loc-15 - package-bag15: -1
Init-to-goal-distance city-loc-15 - package-bag16: -1
Init-to-goal-distance city-loc-15 - package-bag17: -1
Init-to-goal-distance city-loc-15 - package-bag18: -1
Init-to-goal-distance city-loc-16 - city-loc-17: -1, w/ static: 0
Init-to-goal-distance city-loc-16 - city-loc-18: 0
Init-to-goal-distance city-loc-16 - city-loc-23: 0
Init-to-goal-distance city-loc-16 - city-loc-27: 0
Init-to-goal-distance city-loc-16 - city-loc-32: 0
Init-to-goal-distance city-loc-16 - city-loc-39: 0
Init-to-goal-distance city-loc-16 - city-loc-40: 0
Init-to-goal-distance city-loc-16 - city-loc-41: 0
Init-to-goal-distance city-loc-16 - city-loc-42: 0
Init-to-goal-distance city-loc-16 - city-loc-43: 0
Init-to-goal-distance city-loc-16 - city-loc-44: 0
Init-to-goal-distance city-loc-16 - package-bag2: -1
Init-to-goal-distance city-loc-16 - package-bag5: -1
Init-to-goal-distance city-loc-16 - package-bag6: -1
Init-to-goal-distance city-loc-16 - package-bag7: -1
Init-to-goal-distance city-loc-16 - package-bag8: -1
Init-to-goal-distance city-loc-16 - package-bag9: -1
Init-to-goal-distance city-loc-16 - package-bag10: -1
Init-to-goal-distance city-loc-16 - package-bag11: -1
Init-to-goal-distance city-loc-16 - package-bag12: 0
Init-to-goal-distance city-loc-16 - package-bag13: -1
Init-to-goal-distance city-loc-16 - package-bag14: -1
Init-to-goal-distance city-loc-16 - package-bag15: -1
Init-to-goal-distance city-loc-16 - package-bag16: -1
Init-to-goal-distance city-loc-16 - package-bag17: -1
Init-to-goal-distance city-loc-16 - package-bag18: -1
Init-to-goal-distance city-loc-17 - city-loc-18: 0
Init-to-goal-distance city-loc-17 - city-loc-23: 0
Init-to-goal-distance city-loc-17 - city-loc-27: 0
Init-to-goal-distance city-loc-17 - city-loc-32: 0
Init-to-goal-distance city-loc-17 - city-loc-39: 0
Init-to-goal-distance city-loc-17 - city-loc-40: 0
Init-to-goal-distance city-loc-17 - city-loc-41: 0
Init-to-goal-distance city-loc-17 - city-loc-42: 0
Init-to-goal-distance city-loc-17 - city-loc-43: -1, w/ static: 0
Init-to-goal-distance city-loc-17 - city-loc-44: 0
Init-to-goal-distance city-loc-17 - package-bag2: -1
Init-to-goal-distance city-loc-17 - package-bag5: -1
Init-to-goal-distance city-loc-17 - package-bag6: -1
Init-to-goal-distance city-loc-17 - package-bag7: -1
Init-to-goal-distance city-loc-17 - package-bag8: -1
Init-to-goal-distance city-loc-17 - package-bag9: -1
Init-to-goal-distance city-loc-17 - package-bag10: -1
Init-to-goal-distance city-loc-17 - package-bag11: -1
Init-to-goal-distance city-loc-17 - package-bag12: -1
Init-to-goal-distance city-loc-17 - package-bag13: -1
Init-to-goal-distance city-loc-17 - package-bag14: -1
Init-to-goal-distance city-loc-17 - package-bag15: -1
Init-to-goal-distance city-loc-17 - package-bag16: -1
Init-to-goal-distance city-loc-17 - package-bag17: 0
Init-to-goal-distance city-loc-17 - package-bag18: -1
Init-to-goal-distance city-loc-18 - city-loc-23: 0
Init-to-goal-distance city-loc-18 - city-loc-27: 0
Init-to-goal-distance city-loc-18 - city-loc-32: 0
Init-to-goal-distance city-loc-18 - city-loc-39: 0
Init-to-goal-distance city-loc-18 - city-loc-40: -1, w/ static: 0
Init-to-goal-distance city-loc-18 - city-loc-41: -1, w/ static: 0
Init-to-goal-distance city-loc-18 - city-loc-42: 0
Init-to-goal-distance city-loc-18 - city-loc-43: 0
Init-to-goal-distance city-loc-18 - city-loc-44: 0
Init-to-goal-distance city-loc-18 - package-bag2: -1
Init-to-goal-distance city-loc-18 - package-bag5: 0
Init-to-goal-distance city-loc-18 - package-bag6: -1
Init-to-goal-distance city-loc-18 - package-bag7: -1
Init-to-goal-distance city-loc-18 - package-bag8: -1
Init-to-goal-distance city-loc-18 - package-bag9: -1
Init-to-goal-distance city-loc-18 - package-bag10: -1
Init-to-goal-distance city-loc-18 - package-bag11: -1
Init-to-goal-distance city-loc-18 - package-bag12: -1
Init-to-goal-distance city-loc-18 - package-bag13: -1
Init-to-goal-distance city-loc-18 - package-bag14: -1
Init-to-goal-distance city-loc-18 - package-bag15: -1
Init-to-goal-distance city-loc-18 - package-bag16: -1
Init-to-goal-distance city-loc-18 - package-bag17: -1
Init-to-goal-distance city-loc-18 - package-bag18: -1
Init-to-goal-distance city-loc-23 - city-loc-27: 0
Init-to-goal-distance city-loc-23 - city-loc-32: 0
Init-to-goal-distance city-loc-23 - city-loc-39: 0
Init-to-goal-distance city-loc-23 - city-loc-40: 0
Init-to-goal-distance city-loc-23 - city-loc-41: 0
Init-to-goal-distance city-loc-23 - city-loc-42: 0
Init-to-goal-distance city-loc-23 - city-loc-43: 0
Init-to-goal-distance city-loc-23 - city-loc-44: 0
Init-to-goal-distance city-loc-23 - package-bag2: -1
Init-to-goal-distance city-loc-23 - package-bag5: -1
Init-to-goal-distance city-loc-23 - package-bag6: -1
Init-to-goal-distance city-loc-23 - package-bag7: -1
Init-to-goal-distance city-loc-23 - package-bag8: -1
Init-to-goal-distance city-loc-23 - package-bag9: -1
Init-to-goal-distance city-loc-23 - package-bag10: -1
Init-to-goal-distance city-loc-23 - package-bag11: -1
Init-to-goal-distance city-loc-23 - package-bag12: -1
Init-to-goal-distance city-loc-23 - package-bag13: -1
Init-to-goal-distance city-loc-23 - package-bag14: -1
Init-to-goal-distance city-loc-23 - package-bag15: -1
Init-to-goal-distance city-loc-23 - package-bag16: -1
Init-to-goal-distance city-loc-23 - package-bag17: -1
Init-to-goal-distance city-loc-23 - package-bag18: 0
Init-to-goal-distance city-loc-27 - city-loc-32: 0
Init-to-goal-distance city-loc-27 - city-loc-39: 0
Init-to-goal-distance city-loc-27 - city-loc-40: 0
Init-to-goal-distance city-loc-27 - city-loc-41: 0
Init-to-goal-distance city-loc-27 - city-loc-42: 0
Init-to-goal-distance city-loc-27 - city-loc-43: 0
Init-to-goal-distance city-loc-27 - city-loc-44: 0
Init-to-goal-distance city-loc-27 - package-bag2: -1
Init-to-goal-distance city-loc-27 - package-bag5: -1
Init-to-goal-distance city-loc-27 - package-bag6: -1
Init-to-goal-distance city-loc-27 - package-bag7: 0
Init-to-goal-distance city-loc-27 - package-bag8: -1
Init-to-goal-distance city-loc-27 - package-bag9: -1
Init-to-goal-distance city-loc-27 - package-bag10: -1
Init-to-goal-distance city-loc-27 - package-bag11: -1
Init-to-goal-distance city-loc-27 - package-bag12: -1
Init-to-goal-distance city-loc-27 - package-bag13: -1
Init-to-goal-distance city-loc-27 - package-bag14: -1
Init-to-goal-distance city-loc-27 - package-bag15: -1
Init-to-goal-distance city-loc-27 - package-bag16: -1
Init-to-goal-distance city-loc-27 - package-bag17: -1
Init-to-goal-distance city-loc-27 - package-bag18: -1
Init-to-goal-distance city-loc-32 - city-loc-39: 0
Init-to-goal-distance city-loc-32 - city-loc-40: 0
Init-to-goal-distance city-loc-32 - city-loc-41: 0
Init-to-goal-distance city-loc-32 - city-loc-42: 0
Init-to-goal-distance city-loc-32 - city-loc-43: 0
Init-to-goal-distance city-loc-32 - city-loc-44: -1, w/ static: 0
Init-to-goal-distance city-loc-32 - package-bag2: 0
Init-to-goal-distance city-loc-32 - package-bag5: -1
Init-to-goal-distance city-loc-32 - package-bag6: -1
Init-to-goal-distance city-loc-32 - package-bag7: -1
Init-to-goal-distance city-loc-32 - package-bag8: -1
Init-to-goal-distance city-loc-32 - package-bag9: -1
Init-to-goal-distance city-loc-32 - package-bag10: -1
Init-to-goal-distance city-loc-32 - package-bag11: -1
Init-to-goal-distance city-loc-32 - package-bag12: -1
Init-to-goal-distance city-loc-32 - package-bag13: -1
Init-to-goal-distance city-loc-32 - package-bag14: -1
Init-to-goal-distance city-loc-32 - package-bag15: -1
Init-to-goal-distance city-loc-32 - package-bag16: -1
Init-to-goal-distance city-loc-32 - package-bag17: -1
Init-to-goal-distance city-loc-32 - package-bag18: -1
Init-to-goal-distance city-loc-34 - city-loc-37: 0
Init-to-goal-distance city-loc-34 - package-bag3: -1
Init-to-goal-distance city-loc-34 - package-bag4: 0
Init-to-goal-distance city-loc-37 - package-bag3: 0
Init-to-goal-distance city-loc-37 - package-bag4: -1
Init-to-goal-distance city-loc-39 - city-loc-40: -1, w/ static: 0
Init-to-goal-distance city-loc-39 - city-loc-41: -1, w/ static: 0
Init-to-goal-distance city-loc-39 - city-loc-42: 0
Init-to-goal-distance city-loc-39 - city-loc-43: 0
Init-to-goal-distance city-loc-39 - city-loc-44: 0
Init-to-goal-distance city-loc-39 - package-bag2: -1
Init-to-goal-distance city-loc-39 - package-bag5: -1
Init-to-goal-distance city-loc-39 - package-bag6: -1
Init-to-goal-distance city-loc-39 - package-bag7: -1
Init-to-goal-distance city-loc-39 - package-bag8: -1
Init-to-goal-distance city-loc-39 - package-bag9: 0
Init-to-goal-distance city-loc-39 - package-bag10: -1
Init-to-goal-distance city-loc-39 - package-bag11: -1
Init-to-goal-distance city-loc-39 - package-bag12: -1
Init-to-goal-distance city-loc-39 - package-bag13: -1
Init-to-goal-distance city-loc-39 - package-bag14: -1
Init-to-goal-distance city-loc-39 - package-bag15: -1
Init-to-goal-distance city-loc-39 - package-bag16: -1
Init-to-goal-distance city-loc-39 - package-bag17: -1
Init-to-goal-distance city-loc-39 - package-bag18: -1
Init-to-goal-distance city-loc-40 - city-loc-41: 0
Init-to-goal-distance city-loc-40 - city-loc-42: 0
Init-to-goal-distance city-loc-40 - city-loc-43: 0
Init-to-goal-distance city-loc-40 - city-loc-44: 0
Init-to-goal-distance city-loc-40 - package-bag2: -1
Init-to-goal-distance city-loc-40 - package-bag5: -1
Init-to-goal-distance city-loc-40 - package-bag6: -1
Init-to-goal-distance city-loc-40 - package-bag7: -1
Init-to-goal-distance city-loc-40 - package-bag8: -1
Init-to-goal-distance city-loc-40 - package-bag9: -1
Init-to-goal-distance city-loc-40 - package-bag10: 0
Init-to-goal-distance city-loc-40 - package-bag11: -1
Init-to-goal-distance city-loc-40 - package-bag12: -1
Init-to-goal-distance city-loc-40 - package-bag13: -1
Init-to-goal-distance city-loc-40 - package-bag14: -1
Init-to-goal-distance city-loc-40 - package-bag15: -1
Init-to-goal-distance city-loc-40 - package-bag16: -1
Init-to-goal-distance city-loc-40 - package-bag17: -1
Init-to-goal-distance city-loc-40 - package-bag18: -1
Init-to-goal-distance city-loc-41 - city-loc-42: 0
Init-to-goal-distance city-loc-41 - city-loc-43: 0
Init-to-goal-distance city-loc-41 - city-loc-44: 0
Init-to-goal-distance city-loc-41 - package-bag2: -1
Init-to-goal-distance city-loc-41 - package-bag5: -1
Init-to-goal-distance city-loc-41 - package-bag6: -1
Init-to-goal-distance city-loc-41 - package-bag7: -1
Init-to-goal-distance city-loc-41 - package-bag8: -1
Init-to-goal-distance city-loc-41 - package-bag9: -1
Init-to-goal-distance city-loc-41 - package-bag10: -1
Init-to-goal-distance city-loc-41 - package-bag11: -1
Init-to-goal-distance city-loc-41 - package-bag12: -1
Init-to-goal-distance city-loc-41 - package-bag13: -1
Init-to-goal-distance city-loc-41 - package-bag14: -1
Init-to-goal-distance city-loc-41 - package-bag15: -1
Init-to-goal-distance city-loc-41 - package-bag16: 0
Init-to-goal-distance city-loc-41 - package-bag17: -1
Init-to-goal-distance city-loc-41 - package-bag18: -1
Init-to-goal-distance city-loc-42 - city-loc-43: 0
Init-to-goal-distance city-loc-42 - city-loc-44: 0
Init-to-goal-distance city-loc-42 - package-bag2: -1
Init-to-goal-distance city-loc-42 - package-bag5: -1
Init-to-goal-distance city-loc-42 - package-bag6: -1
Init-to-goal-distance city-loc-42 - package-bag7: -1
Init-to-goal-distance city-loc-42 - package-bag8: -1
Init-to-goal-distance city-loc-42 - package-bag9: -1
Init-to-goal-distance city-loc-42 - package-bag10: -1
Init-to-goal-distance city-loc-42 - package-bag11: -1
Init-to-goal-distance city-loc-42 - package-bag12: -1
Init-to-goal-distance city-loc-42 - package-bag13: 0
Init-to-goal-distance city-loc-42 - package-bag14: -1
Init-to-goal-distance city-loc-42 - package-bag15: -1
Init-to-goal-distance city-loc-42 - package-bag16: -1
Init-to-goal-distance city-loc-42 - package-bag17: -1
Init-to-goal-distance city-loc-42 - package-bag18: -1
Init-to-goal-distance city-loc-43 - city-loc-44: 0
Init-to-goal-distance city-loc-43 - package-bag2: -1
Init-to-goal-distance city-loc-43 - package-bag5: 0
Init-to-goal-distance city-loc-43 - package-bag6: -1
Init-to-goal-distance city-loc-43 - package-bag7: -1
Init-to-goal-distance city-loc-43 - package-bag8: -1
Init-to-goal-distance city-loc-43 - package-bag9: -1
Init-to-goal-distance city-loc-43 - package-bag10: -1
Init-to-goal-distance city-loc-43 - package-bag11: -1
Init-to-goal-distance city-loc-43 - package-bag12: -1
Init-to-goal-distance city-loc-43 - package-bag13: -1
Init-to-goal-distance city-loc-43 - package-bag14: -1
Init-to-goal-distance city-loc-43 - package-bag15: -1
Init-to-goal-distance city-loc-43 - package-bag16: -1
Init-to-goal-distance city-loc-43 - package-bag17: -1
Init-to-goal-distance city-loc-43 - package-bag18: -1
Init-to-goal-distance city-loc-44 - package-bag2: -1
Init-to-goal-distance city-loc-44 - package-bag5: -1
Init-to-goal-distance city-loc-44 - package-bag6: -1
Init-to-goal-distance city-loc-44 - package-bag7: -1
Init-to-goal-distance city-loc-44 - package-bag8: -1
Init-to-goal-distance city-loc-44 - package-bag9: -1
Init-to-goal-distance city-loc-44 - package-bag10: -1
Init-to-goal-distance city-loc-44 - package-bag11: -1
Init-to-goal-distance city-loc-44 - package-bag12: -1
Init-to-goal-distance city-loc-44 - package-bag13: -1
Init-to-goal-distance city-loc-44 - package-bag14: -1
Init-to-goal-distance city-loc-44 - package-bag15: 0
Init-to-goal-distance city-loc-44 - package-bag16: -1
Init-to-goal-distance city-loc-44 - package-bag17: -1
Init-to-goal-distance city-loc-44 - package-bag18: -1
Init-to-goal-distance package-bag2 - package-bag5: 0
Init-to-goal-distance package-bag2 - package-bag6: 0
Init-to-goal-distance package-bag2 - package-bag7: 0
Init-to-goal-distance package-bag2 - package-bag8: 0
Init-to-goal-distance package-bag2 - package-bag9: 0
Init-to-goal-distance package-bag2 - package-bag10: 0
Init-to-goal-distance package-bag2 - package-bag11: 0
Init-to-goal-distance package-bag2 - package-bag12: 0
Init-to-goal-distance package-bag2 - package-bag13: 0
Init-to-goal-distance package-bag2 - package-bag14: 0
Init-to-goal-distance package-bag2 - package-bag15: 0
Init-to-goal-distance package-bag2 - package-bag16: 0
Init-to-goal-distance package-bag2 - package-bag17: 0
Init-to-goal-distance package-bag2 - package-bag18: 0
Init-to-goal-distance package-bag3 - package-bag4: 0
Init-to-goal-distance package-bag5 - package-bag6: 0
Init-to-goal-distance package-bag5 - package-bag7: 0
Init-to-goal-distance package-bag5 - package-bag8: 0
Init-to-goal-distance package-bag5 - package-bag9: 0
Init-to-goal-distance package-bag5 - package-bag10: 0
Init-to-goal-distance package-bag5 - package-bag11: 0
Init-to-goal-distance package-bag5 - package-bag12: 0
Init-to-goal-distance package-bag5 - package-bag13: 0
Init-to-goal-distance package-bag5 - package-bag14: 0
Init-to-goal-distance package-bag5 - package-bag15: 0
Init-to-goal-distance package-bag5 - package-bag16: 0
Init-to-goal-distance package-bag5 - package-bag17: 0
Init-to-goal-distance package-bag5 - package-bag18: 0
Init-to-goal-distance package-bag6 - package-bag7: 0
Init-to-goal-distance package-bag6 - package-bag8: 0
Init-to-goal-distance package-bag6 - package-bag9: 0
Init-to-goal-distance package-bag6 - package-bag10: 0
Init-to-goal-distance package-bag6 - package-bag11: 0
Init-to-goal-distance package-bag6 - package-bag12: 0
Init-to-goal-distance package-bag6 - package-bag13: 0
Init-to-goal-distance package-bag6 - package-bag14: 0
Init-to-goal-distance package-bag6 - package-bag15: 0
Init-to-goal-distance package-bag6 - package-bag16: 0
Init-to-goal-distance package-bag6 - package-bag17: 0
Init-to-goal-distance package-bag6 - package-bag18: 0
Init-to-goal-distance package-bag7 - package-bag8: 0
Init-to-goal-distance package-bag7 - package-bag9: 0
Init-to-goal-distance package-bag7 - package-bag10: 0
Init-to-goal-distance package-bag7 - package-bag11: 0
Init-to-goal-distance package-bag7 - package-bag12: 0
Init-to-goal-distance package-bag7 - package-bag13: 0
Init-to-goal-distance package-bag7 - package-bag14: 0
Init-to-goal-distance package-bag7 - package-bag15: 0
Init-to-goal-distance package-bag7 - package-bag16: 0
Init-to-goal-distance package-bag7 - package-bag17: 0
Init-to-goal-distance package-bag7 - package-bag18: 0
Init-to-goal-distance package-bag8 - package-bag9: 0
Init-to-goal-distance package-bag8 - package-bag10: 0
Init-to-goal-distance package-bag8 - package-bag11: 0
Init-to-goal-distance package-bag8 - package-bag12: 0
Init-to-goal-distance package-bag8 - package-bag13: 0
Init-to-goal-distance package-bag8 - package-bag14: 0
Init-to-goal-distance package-bag8 - package-bag15: 0
Init-to-goal-distance package-bag8 - package-bag16: 0
Init-to-goal-distance package-bag8 - package-bag17: 0
Init-to-goal-distance package-bag8 - package-bag18: 0
Init-to-goal-distance package-bag9 - package-bag10: 0
Init-to-goal-distance package-bag9 - package-bag11: 0
Init-to-goal-distance package-bag9 - package-bag12: 0
Init-to-goal-distance package-bag9 - package-bag13: 0
Init-to-goal-distance package-bag9 - package-bag14: 0
Init-to-goal-distance package-bag9 - package-bag15: 0
Init-to-goal-distance package-bag9 - package-bag16: 0
Init-to-goal-distance package-bag9 - package-bag17: 0
Init-to-goal-distance package-bag9 - package-bag18: 0
Init-to-goal-distance package-bag10 - package-bag11: 0
Init-to-goal-distance package-bag10 - package-bag12: 0
Init-to-goal-distance package-bag10 - package-bag13: 0
Init-to-goal-distance package-bag10 - package-bag14: 0
Init-to-goal-distance package-bag10 - package-bag15: 0
Init-to-goal-distance package-bag10 - package-bag16: 0
Init-to-goal-distance package-bag10 - package-bag17: 0
