Domain: openstacks-sequencedstrips-nonadl
Problem: os-sequencedstrips-p50_3
Require: 200ff
Type[4]:
    [0]: object, parent: -1
    [1]: order, parent: 0
    [2]: product, parent: 0
    [3]: count, parent: 0
Obj-by-Type:
    [0]: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150
    [1]: 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99
    [2]: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
    [3]: 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150
Obj[151]:
    [0]: p1, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [19]: p20, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [20]: p21, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [21]: p22, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [22]: p23, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [23]: p24, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [24]: p25, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [25]: p26, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [26]: p27, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [27]: p28, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [28]: p29, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [29]: p30, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [30]: p31, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [31]: p32, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [32]: p33, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [33]: p34, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [34]: p35, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [35]: p36, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [36]: p37, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [37]: p38, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [38]: p39, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [39]: p40, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [40]: p41, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [41]: p42, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [42]: p43, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [43]: p44, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [44]: p45, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [45]: p46, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [46]: p47, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [47]: p48, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [48]: p49, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [49]: p50, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [50]: o1, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [51]: o2, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [52]: o3, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [53]: o4, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [54]: o5, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [55]: o6, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [56]: o7, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [57]: o8, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [58]: o9, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [59]: o10, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [60]: o11, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [61]: o12, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [62]: o13, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [63]: o14, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [64]: o15, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [65]: o16, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [66]: o17, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [67]: o18, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [68]: o19, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [69]: o20, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [70]: o21, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [71]: o22, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [72]: o23, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [73]: o24, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [74]: o25, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [75]: o26, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [76]: o27, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [77]: o28, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [78]: o29, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [79]: o30, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [80]: o31, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [81]: o32, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [82]: o33, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [83]: o34, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [84]: o35, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [85]: o36, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [86]: o37, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [87]: o38, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [88]: o39, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [89]: o40, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [90]: o41, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [91]: o42, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [92]: o43, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [93]: o44, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [94]: o45, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [95]: o46, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [96]: o47, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [97]: o48, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [98]: o49, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [99]: o50, type: 1, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [100]: n0, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [101]: n1, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [102]: n2, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [103]: n3, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [104]: n4, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [105]: n5, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [106]: n6, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [107]: n7, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [108]: n8, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [109]: n9, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [110]: n10, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [111]: n11, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [112]: n12, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [113]: n13, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [114]: n14, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [115]: n15, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [116]: n16, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [117]: n17, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [118]: n18, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [119]: n19, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [120]: n20, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [121]: n21, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [122]: n22, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [123]: n23, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [124]: n24, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [125]: n25, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [126]: n26, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [127]: n27, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [128]: n28, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [129]: n29, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [130]: n30, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [131]: n31, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [132]: n32, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [133]: n33, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [134]: n34, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [135]: n35, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [136]: n36, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [137]: n37, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [138]: n38, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [139]: n39, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [140]: n40, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [141]: n41, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [142]: n42, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [143]: n43, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [144]: n44, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [145]: n45, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [146]: n46, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [147]: n47, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [148]: n48, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [149]: n49, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [150]: n50, type: 3, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
Predicate[9]:
    =: 0 0 :: is-private: 0, owner-param: -1, read: 0, write: 0
    includes: 1 2 :: is-private: 0, owner-param: -1, read: 0, write: 0
    waiting: 1 :: is-private: 0, owner-param: -1, read: 1, write: 1
    started: 1 :: is-private: 0, owner-param: -1, read: 1, write: 1
    shipped: 1 :: is-private: 0, owner-param: -1, read: 0, write: 1
    made: 2 :: is-private: 0, owner-param: -1, read: 1, write: 1, neg-of: 8
    stacks-avail: 3 :: is-private: 0, owner-param: -1, read: 1, write: 1
    next-count: 3 3 :: is-private: 0, owner-param: -1, read: 1, write: 0
    NOT-made: 2 :: is-private: 0, owner-param: -1, read: 1, write: 1, neg-of: 5
Function[1]:
    total-cost: :: is-private: 0, owner-param: -1, read: 0, write: 0
Action[102]:
    open-new-stack: ?open:3 ?new-open:3
        pre: (and (RW:stacks-avail ?open) (R:next-count ?open ?new-open))
        eff: (and (N:RW:stacks-avail ?open) (RW:stacks-avail ?new-open) (increase (total-cost) 1))
    start-order: ?o:1 ?avail:3 ?new-avail:3
        pre: (and (RW:waiting ?o) (RW:stacks-avail ?avail) (R:next-count ?new-avail ?avail))
        eff: (and (N:RW:waiting ?o) (RW:started ?o) (N:RW:stacks-avail ?avail) (RW:stacks-avail ?new-avail))
    make-product-p1: 
        pre: (and (RW:NOT-made p1) (RW:started o6) (RW:started o23) (RW:started o25) (RW:started o42))
        eff: (and (RW:made p1) (N:RW:NOT-made p1))
    make-product-p2: 
        pre: (and (RW:NOT-made p2) (RW:started o28) (RW:started o32) (RW:started o34))
        eff: (and (RW:made p2) (N:RW:NOT-made p2))
    make-product-p3: 
        pre: (and (RW:NOT-made p3) (RW:started o15) (RW:started o32) (RW:started o34) (RW:started o43) (RW:started o44))
        eff: (and (RW:made p3) (N:RW:NOT-made p3))
    make-product-p4: 
        pre: (and (RW:NOT-made p4) (RW:started o2) (RW:started o8) (RW:started o20) (RW:started o39))
        eff: (and (RW:made p4) (N:RW:NOT-made p4))
    make-product-p5: 
        pre: (and (RW:NOT-made p5) (RW:started o7) (RW:started o11) (RW:started o37))
        eff: (and (RW:made p5) (N:RW:NOT-made p5))
    make-product-p6: 
        pre: (and (RW:NOT-made p6) (RW:started o5) (RW:started o28) (RW:started o36) (RW:started o47))
        eff: (and (RW:made p6) (N:RW:NOT-made p6))
    make-product-p7: 
        pre: (and (RW:NOT-made p7) (RW:started o13) (RW:started o22) (RW:started o29) (RW:started o34) (RW:started o45) (RW:started o48))
        eff: (and (RW:made p7) (N:RW:NOT-made p7))
    make-product-p8: 
        pre: (and (RW:NOT-made p8) (RW:started o1) (RW:started o13) (RW:started o32))
        eff: (and (RW:made p8) (N:RW:NOT-made p8))
    make-product-p9: 
        pre: (and (RW:NOT-made p9) (RW:started o2) (RW:started o4) (RW:started o9) (RW:started o10) (RW:started o14) (RW:started o16) (RW:started o17) (RW:started o26) (RW:started o37) (RW:started o46))
        eff: (and (RW:made p9) (N:RW:NOT-made p9))
    make-product-p10: 
        pre: (and (RW:NOT-made p10) (RW:started o6) (RW:started o8) (RW:started o25) (RW:started o46))
        eff: (and (RW:made p10) (N:RW:NOT-made p10))
    make-product-p11: 
        pre: (and (RW:NOT-made p11) (RW:started o3) (RW:started o18) (RW:started o27) (RW:started o39))
        eff: (and (RW:made p11) (N:RW:NOT-made p11))
    make-product-p12: 
        pre: (and (RW:NOT-made p12) (RW:started o12) (RW:started o15) (RW:started o28) (RW:started o29) (RW:started o41) (RW:started o47) (RW:started o49))
        eff: (and (RW:made p12) (N:RW:NOT-made p12))
    make-product-p13: 
        pre: (and (RW:NOT-made p13) (RW:started o7) (RW:started o45))
        eff: (and (RW:made p13) (N:RW:NOT-made p13))
    make-product-p14: 
        pre: (and (RW:NOT-made p14) (RW:started o31) (RW:started o33) (RW:started o36) (RW:started o49))
        eff: (and (RW:made p14) (N:RW:NOT-made p14))
    make-product-p15: 
        pre: (and (RW:NOT-made p15) (RW:started o3) (RW:started o4) (RW:started o8) (RW:started o18) (RW:started o37))
        eff: (and (RW:made p15) (N:RW:NOT-made p15))
    make-product-p16: 
        pre: (and (RW:NOT-made p16) (RW:started o6) (RW:started o13) (RW:started o29) (RW:started o33) (RW:started o43))
        eff: (and (RW:made p16) (N:RW:NOT-made p16))
    make-product-p17: 
        pre: (and (RW:NOT-made p17) (RW:started o4) (RW:started o7) (RW:started o10) (RW:started o14) (RW:started o20) (RW:started o22) (RW:started o25) (RW:started o26) (RW:started o40))
        eff: (and (RW:made p17) (N:RW:NOT-made p17))
    make-product-p18: 
        pre: (and (RW:NOT-made p18) (RW:started o3) (RW:started o4) (RW:started o9) (RW:started o14) (RW:started o17) (RW:started o25) (RW:started o48))
        eff: (and (RW:made p18) (N:RW:NOT-made p18))
    make-product-p19: 
        pre: (and (RW:NOT-made p19) (RW:started o4) (RW:started o26) (RW:started o27) (RW:started o42))
        eff: (and (RW:made p19) (N:RW:NOT-made p19))
    make-product-p20: 
        pre: (and (RW:NOT-made p20) (RW:started o19) (RW:started o31) (RW:started o40) (RW:started o50))
        eff: (and (RW:made p20) (N:RW:NOT-made p20))
    make-product-p21: 
        pre: (and (RW:NOT-made p21) (RW:started o25) (RW:started o30))
        eff: (and (RW:made p21) (N:RW:NOT-made p21))
    make-product-p22: 
        pre: (and (RW:NOT-made p22) (RW:started o9) (RW:started o14) (RW:started o26) (RW:started o40))
        eff: (and (RW:made p22) (N:RW:NOT-made p22))
    make-product-p23: 
        pre: (and (RW:NOT-made p23) (RW:started o13) (RW:started o15) (RW:started o19) (RW:started o29) (RW:started o34) (RW:started o41) (RW:started o47))
        eff: (and (RW:made p23) (N:RW:NOT-made p23))
    make-product-p24: 
        pre: (and (RW:NOT-made p24) (RW:started o24) (RW:started o46))
        eff: (and (RW:made p24) (N:RW:NOT-made p24))
    make-product-p25: 
        pre: (and (RW:NOT-made p25) (RW:started o10) (RW:started o13) (RW:started o14) (RW:started o16) (RW:started o22) (RW:started o37) (RW:started o40) (RW:started o42))
        eff: (and (RW:made p25) (N:RW:NOT-made p25))
    make-product-p26: 
        pre: (and (RW:NOT-made p26) (RW:started o22) (RW:started o28) (RW:started o43) (RW:started o50))
        eff: (and (RW:made p26) (N:RW:NOT-made p26))
    make-product-p27: 
        pre: (and (RW:NOT-made p27) (RW:started o34) (RW:started o36) (RW:started o38) (RW:started o49))
        eff: (and (RW:made p27) (N:RW:NOT-made p27))
    make-product-p28: 
        pre: (and (RW:NOT-made p28) (RW:started o12) (RW:started o13) (RW:started o15) (RW:started o29) (RW:started o32) (RW:started o45))
        eff: (and (RW:made p28) (N:RW:NOT-made p28))
    make-product-p29: 
        pre: (and (RW:NOT-made p29) (RW:started o41))
        eff: (and (RW:made p29) (N:RW:NOT-made p29))
    make-product-p30: 
        pre: (and (RW:NOT-made p30) (RW:started o16) (RW:started o25) (RW:started o36) (RW:started o43))
        eff: (and (RW:made p30) (N:RW:NOT-made p30))
    make-product-p31: 
        pre: (and (RW:NOT-made p31) (RW:started o15) (RW:started o20) (RW:started o50))
        eff: (and (RW:made p31) (N:RW:NOT-made p31))
    make-product-p32: 
        pre: (and (RW:NOT-made p32) (RW:started o12) (RW:started o15) (RW:started o33) (RW:started o38))
        eff: (and (RW:made p32) (N:RW:NOT-made p32))
    make-product-p33: 
        pre: (and (RW:NOT-made p33) (RW:started o10) (RW:started o42))
        eff: (and (RW:made p33) (N:RW:NOT-made p33))
    make-product-p34: 
        pre: (and (RW:NOT-made p34) (RW:started o3) (RW:started o8) (RW:started o10) (RW:started o19) (RW:started o25) (RW:started o33) (RW:started o45))
        eff: (and (RW:made p34) (N:RW:NOT-made p34))
    make-product-p35: 
        pre: (and (RW:NOT-made p35) (RW:started o11) (RW:started o18) (RW:started o26))
        eff: (and (RW:made p35) (N:RW:NOT-made p35))
    make-product-p36: 
        pre: (and (RW:NOT-made p36) (RW:started o1) (RW:started o21) (RW:started o36) (RW:started o47))
        eff: (and (RW:made p36) (N:RW:NOT-made p36))
    make-product-p37: 
        pre: (and (RW:NOT-made p37) (RW:started o44))
        eff: (and (RW:made p37) (N:RW:NOT-made p37))
    make-product-p38: 
        pre: (and (RW:NOT-made p38) (RW:started o3) (RW:started o4) (RW:started o11) (RW:started o22) (RW:started o37))
        eff: (and (RW:made p38) (N:RW:NOT-made p38))
    make-product-p39: 
        pre: (and (RW:NOT-made p39) (RW:started o1) (RW:started o16) (RW:started o19) (RW:started o33) (RW:started o34))
        eff: (and (RW:made p39) (N:RW:NOT-made p39))
    make-product-p40: 
        pre: (and (RW:NOT-made p40) (RW:started o25) (RW:started o27) (RW:started o42) (RW:started o50))
        eff: (and (RW:made p40) (N:RW:NOT-made p40))
    make-product-p41: 
        pre: (and (RW:NOT-made p41) (RW:started o24) (RW:started o29) (RW:started o40) (RW:started o44) (RW:started o46))
        eff: (and (RW:made p41) (N:RW:NOT-made p41))
    make-product-p42: 
        pre: (and (RW:NOT-made p42) (RW:started o9) (RW:started o17) (RW:started o20) (RW:started o40))
        eff: (and (RW:made p42) (N:RW:NOT-made p42))
    make-product-p43: 
        pre: (and (RW:NOT-made p43) (RW:started o1) (RW:started o19) (RW:started o20))
        eff: (and (RW:made p43) (N:RW:NOT-made p43))
    make-product-p44: 
        pre: (and (RW:NOT-made p44) (RW:started o9) (RW:started o24) (RW:started o29) (RW:started o47) (RW:started o50))
        eff: (and (RW:made p44) (N:RW:NOT-made p44))
    make-product-p45: 
        pre: (and (RW:NOT-made p45) (RW:started o1) (RW:started o19) (RW:started o43) (RW:started o47))
        eff: (and (RW:made p45) (N:RW:NOT-made p45))
    make-product-p46: 
        pre: (and (RW:NOT-made p46) (RW:started o4) (RW:started o17) (RW:started o42))
        eff: (and (RW:made p46) (N:RW:NOT-made p46))
    make-product-p47: 
        pre: (and (RW:NOT-made p47) (RW:started o19) (RW:started o27) (RW:started o34) (RW:started o41) (RW:started o47) (RW:started o49))
        eff: (and (RW:made p47) (N:RW:NOT-made p47))
    make-product-p48: 
        pre: (and (RW:NOT-made p48) (RW:started o2) (RW:started o8) (RW:started o11) (RW:started o26))
        eff: (and (RW:made p48) (N:RW:NOT-made p48))
    make-product-p49: 
        pre: (and (RW:NOT-made p49) (RW:started o21))
        eff: (and (RW:made p49) (N:RW:NOT-made p49))
    make-product-p50: 
        pre: (and (RW:NOT-made p50) (RW:started o1) (RW:started o9) (RW:started o15) (RW:started o28) (RW:started o34) (RW:started o35) (RW:started o36) (RW:started o46) (RW:started o47))
        eff: (and (RW:made p50) (N:RW:NOT-made p50))
    ship-order-o1: ?avail:3 ?new-avail:3
        pre: (and (RW:started o1) (RW:made p8) (RW:made p36) (RW:made p39) (RW:made p43) (RW:made p45) (RW:made p50) (RW:stacks-avail ?avail) (R:next-count ?avail ?new-avail))
        eff: (and (N:RW:started o1) (W:shipped o1) (N:RW:stacks-avail ?avail) (RW:stacks-avail ?new-avail))
    ship-order-o2: ?avail:3 ?new-avail:3
        pre: (and (RW:started o2) (RW:made p4) (RW:made p9) (RW:made p48) (RW:stacks-avail ?avail) (R:next-count ?avail ?new-avail))
        eff: (and (N:RW:started o2) (W:shipped o2) (N:RW:stacks-avail ?avail) (RW:stacks-avail ?new-avail))
    ship-order-o3: ?avail:3 ?new-avail:3
        pre: (and (RW:started o3) (RW:made p11) (RW:made p15) (RW:made p18) (RW:made p34) (RW:made p38) (RW:stacks-avail ?avail) (R:next-count ?avail ?new-avail))
        eff: (and (N:RW:started o3) (W:shipped o3) (N:RW:stacks-avail ?avail) (RW:stacks-avail ?new-avail))
    ship-order-o4: ?avail:3 ?new-avail:3
        pre: (and (RW:started o4) (RW:made p9) (RW:made p15) (RW:made p17) (RW:made p18) (RW:made p19) (RW:made p38) (RW:made p46) (RW:stacks-avail ?avail) (R:next-count ?avail ?new-avail))
        eff: (and (N:RW:started o4) (W:shipped o4) (N:RW:stacks-avail ?avail) (RW:stacks-avail ?new-avail))
    ship-order-o5: ?avail:3 ?new-avail:3
        pre: (and (RW:started o5) (RW:made p6) (RW:stacks-avail ?avail) (R:next-count ?avail ?new-avail))
