(home c0), layer: 0
(value ha n1), layer: 0
(value s0 n0), layer: 0
(value s2 n2), layer: 0
(value s3 n3), layer: 0
(value s4 n4), layer: 0
(value s5 n5), layer: 0
(value s6 n6), layer: 0
(value s7 n7), layer: 0
(value s8 n8), layer: 0
(value s9 n9), layer: 0
(value sa n1), layer: 0
(successor n1 n0), layer: 0
(successor n10 n9), layer: 0
(successor n11 n10), layer: 0
(successor n12 n11), layer: 0
(successor n13 n12), layer: 0
(successor n2 n1), layer: 0
(successor n3 n2), layer: 0
(successor n4 n3), layer: 0
(successor n5 n4), layer: 0
(successor n6 n5), layer: 0
(successor n7 n6), layer: 0
(successor n8 n7), layer: 0
(successor n9 n8), layer: 0
(suit c0 c), layer: 0
(suit c2 c), layer: 0
(suit c3 c), layer: 0
(suit c4 c), layer: 0
(suit c5 c), layer: 0
(suit c6 c), layer: 0
(suit c7 c), layer: 0
(suit c8 c), layer: 0
(suit c9 c), layer: 0
(suit ca c), layer: 0
(suit d0 d), layer: 0
(suit d2 d), layer: 0
(suit d3 d), layer: 0
(suit d4 d), layer: 0
(suit d5 d), layer: 0
(suit d6 d), layer: 0
(suit d7 d), layer: 0
(suit d8 d), layer: 0
(suit d9 d), layer: 0
(suit da d), layer: 0
(suit h0 h), layer: 0
(suit h2 h), layer: 0
(suit h3 h), layer: 0
(suit h4 h), layer: 0
(suit h5 h), layer: 0
(suit h6 h), layer: 0
(suit h7 h), layer: 0
(suit h8 h), layer: 0
(suit h9 h), layer: 0
(suit ha h), layer: 0
(suit s0 s), layer: 0
(suit s2 s), layer: 0
(suit s3 s), layer: 0
(suit s4 s), layer: 0
(suit s5 s), layer: 0
(suit s6 s), layer: 0
(suit s7 s), layer: 0
(suit s8 s), layer: 0
(suit s9 s), layer: 0
(suit sa s), layer: 0
(canstack c2 d3), layer: 0
(canstack c2 h3), layer: 0
(canstack c3 d4), layer: 0
(canstack c3 h4), layer: 0
(canstack c4 d5), layer: 0
(canstack c4 h5), layer: 0
(canstack c5 d6), layer: 0
(canstack c5 h6), layer: 0
(canstack c6 d7), layer: 0
(canstack c6 h7), layer: 0
(canstack c7 d8), layer: 0
(canstack c7 h8), layer: 0
(canstack c8 d9), layer: 0
(canstack c8 h9), layer: 0
(canstack ca d2), layer: 0
(canstack ca h2), layer: 0
(canstack d2 c3), layer: 0
(canstack d2 s3), layer: 0
(canstack d3 c4), layer: 0
(canstack d3 s4), layer: 0
(canstack d4 c5), layer: 0
(canstack d4 s5), layer: 0
(canstack d5 c6), layer: 0
(canstack d5 s6), layer: 0
(canstack d6 c7), layer: 0
(canstack d6 s7), layer: 0
(canstack d7 c8), layer: 0
(canstack d7 s8), layer: 0
(canstack d8 c9), layer: 0
(canstack d8 s9), layer: 0
(canstack da c2), layer: 0
(canstack da s2), layer: 0
(canstack h2 c3), layer: 0
(canstack h2 s3), layer: 0
(canstack h3 c4), layer: 0
(canstack h3 s4), layer: 0
(canstack h4 c5), layer: 0
(canstack h4 s5), layer: 0
(canstack h5 c6), layer: 0
(canstack h5 s6), layer: 0
(canstack h6 c7), layer: 0
(canstack h6 s7), layer: 0
(canstack h7 c8), layer: 0
(canstack h7 s8), layer: 0
(canstack h8 c9), layer: 0
(canstack h8 s9), layer: 0
(canstack ha c2), layer: 0
(canstack ha s2), layer: 0
(canstack s2 d3), layer: 0
(canstack s2 h3), layer: 0
(canstack s3 d4), layer: 0
(canstack s3 h4), layer: 0
(canstack s4 d5), layer: 0
(canstack s4 h5), layer: 0
(canstack s5 d6), layer: 0
(canstack s5 h6), layer: 0
(canstack s6 d7), layer: 0
(canstack s6 h7), layer: 0
(canstack s7 d8), layer: 0
(canstack s7 h8), layer: 0
(canstack s8 d9), layer: 0
(canstack s8 h9), layer: 0
(canstack sa d2), layer: 0
(canstack sa h2), layer: 0
