Fact[166]:
  (NOT-initialized p0)
  (NOT-initialized p1)
  (NOT-initialized p10)
  (NOT-initialized p11)
  (NOT-initialized p12)
  (NOT-initialized p13)
  (NOT-initialized p2)
  (NOT-initialized p3)
  (NOT-initialized p4)
  (NOT-initialized p5)
  (NOT-initialized p6)
  (NOT-initialized p7)
  (NOT-initialized p8)
  (NOT-initialized p9)
  (NOT-occupied_pqubit p0)
  (NOT-occupied_pqubit p1)
  (NOT-occupied_pqubit p10)
  (NOT-occupied_pqubit p12)
  (NOT-occupied_pqubit p2)
  (NOT-occupied_pqubit p3)
  (NOT-occupied_pqubit p4)
  (NOT-occupied_pqubit p6)
  (NOT-occupied_pqubit p8)
  (NOT-occupied_pqubit p9)
  (NOT-rcnot l0_l4_i3)
  (NOT-rcnot l0_l4_i42)
  (NOT-rcnot l0_l4_i46)
  (NOT-rcnot l0_l4_i7)
  (NOT-rcnot l1_l4_i1)
  (NOT-rcnot l1_l4_i40)
  (NOT-rcnot l1_l4_i44)
  (NOT-rcnot l1_l4_i5)
  (NOT-rcnot l2_l5_i13)
  (NOT-rcnot l2_l5_i17)
  (NOT-rcnot l2_l5_i36)
  (NOT-rcnot l2_l5_i50)
  (NOT-rcnot l3_l5_i28)
  (NOT-rcnot l3_l5_i30)
  (NOT-rcnot l3_l6_i23)
  (NOT-rcnot l3_l6_i27)
  (NOT-rcnot l4_l5_i11)
  (NOT-rcnot l4_l5_i15)
  (NOT-rcnot l4_l5_i34)
  (NOT-rcnot l4_l5_i38)
  (NOT-rcnot l5_l6_i21)
  (NOT-rcnot l5_l6_i25)
  (rcnot l1_l4_i44)
  (rcnot l1_l4_i5)
  (rcnot l2_l5_i13)
  (rcnot l2_l5_i17)
  (rcnot l2_l5_i36)
  (rcnot l2_l5_i50)
  (rcnot l3_l5_i28)
  (rcnot l3_l5_i30)
  (rcnot l3_l6_i23)
  (rcnot l3_l6_i27)
  (rcnot l4_l5_i11)
  (rcnot l4_l5_i15)
  (rcnot l4_l5_i34)
  (rcnot l4_l5_i38)
  (rcnot l5_l6_i21)
  (rcnot l5_l6_i25)
Op[1278]:
  (apply_cnot_l0_l4_i3 p1 p0), cost: 1
    pre: (NOT-initialized p1) (NOT-rcnot l1_l4_i1) (mapped l4 p0) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p1)
    del: (NOT-initialized p1) (NOT-occupied_pqubit p1) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p1 p2), cost: 1
    pre: (NOT-initialized p1) (NOT-rcnot l1_l4_i1) (mapped l4 p2) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p1)
    del: (NOT-initialized p1) (NOT-occupied_pqubit p1) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p11 p10), cost: 1
    pre: (NOT-initialized p11) (NOT-rcnot l1_l4_i1) (mapped l4 p10) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p11)
    del: (NOT-initialized p11) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p11 p12), cost: 1
    pre: (NOT-initialized p11) (NOT-rcnot l1_l4_i1) (mapped l4 p12) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p11)
    del: (NOT-initialized p11) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p11 p3), cost: 1
    pre: (NOT-initialized p11) (NOT-rcnot l1_l4_i1) (mapped l4 p3) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p11)
    del: (NOT-initialized p11) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p12 p2), cost: 1
    pre: (NOT-initialized p12) (NOT-rcnot l1_l4_i1) (mapped l4 p2) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p12)
    del: (NOT-initialized p12) (NOT-occupied_pqubit p12) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p13 p1), cost: 1
    pre: (NOT-initialized p13) (NOT-rcnot l1_l4_i1) (mapped l4 p1) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p13)
    del: (NOT-initialized p13) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p13 p12), cost: 1
    pre: (NOT-initialized p13) (NOT-rcnot l1_l4_i1) (mapped l4 p12) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p13)
    del: (NOT-initialized p13) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p2 p3), cost: 1
    pre: (NOT-initialized p2) (NOT-rcnot l1_l4_i1) (mapped l4 p3) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p2)
    del: (NOT-initialized p2) (NOT-occupied_pqubit p2) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p4 p10), cost: 1
    pre: (NOT-initialized p4) (NOT-rcnot l1_l4_i1) (mapped l4 p10) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p4)
    del: (NOT-initialized p4) (NOT-occupied_pqubit p4) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p4 p3), cost: 1
    pre: (NOT-initialized p4) (NOT-rcnot l1_l4_i1) (mapped l4 p3) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p4)
    del: (NOT-initialized p4) (NOT-occupied_pqubit p4) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p5 p4), cost: 1
    pre: (NOT-initialized p5) (NOT-rcnot l1_l4_i1) (mapped l4 p4) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p5)
    del: (NOT-initialized p5) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p5 p6), cost: 1
    pre: (NOT-initialized p5) (NOT-rcnot l1_l4_i1) (mapped l4 p6) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p5)
    del: (NOT-initialized p5) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p5 p9), cost: 1
    pre: (NOT-initialized p5) (NOT-rcnot l1_l4_i1) (mapped l4 p9) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p5)
    del: (NOT-initialized p5) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p6 p8), cost: 1
    pre: (NOT-initialized p6) (NOT-rcnot l1_l4_i1) (mapped l4 p8) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p6)
    del: (NOT-initialized p6) (NOT-occupied_pqubit p6) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p7 p8), cost: 1
    pre: (NOT-initialized p7) (NOT-rcnot l1_l4_i1) (mapped l4 p8) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p7)
    del: (NOT-initialized p7) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p9 p10), cost: 1
    pre: (NOT-initialized p9) (NOT-rcnot l1_l4_i1) (mapped l4 p10) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p9)
    del: (NOT-initialized p9) (NOT-occupied_pqubit p9) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i3 p9 p8), cost: 1
    pre: (NOT-initialized p9) (NOT-rcnot l1_l4_i1) (mapped l4 p8) (rcnot l0_l4_i3)
    add: (NOT-rcnot l0_l4_i3) (mapped l0 p9)
    del: (NOT-initialized p9) (NOT-occupied_pqubit p9) (rcnot l0_l4_i3)
  (apply_cnot_l0_l4_i42 p1 p0), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p1) (mapped l4 p0) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p1 p2), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p1) (mapped l4 p2) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p11 p10), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p11) (mapped l4 p10) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p11 p12), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p11) (mapped l4 p12) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p11 p3), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p11) (mapped l4 p3) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p12 p2), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p12) (mapped l4 p2) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p13 p1), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p13) (mapped l4 p1) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p13 p12), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p13) (mapped l4 p12) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p2 p3), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p2) (mapped l4 p3) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p4 p10), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p4) (mapped l4 p10) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p4 p3), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p4) (mapped l4 p3) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p5 p4), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p5) (mapped l4 p4) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p5 p6), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p5) (mapped l4 p6) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p5 p9), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p5) (mapped l4 p9) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p6 p8), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p6) (mapped l4 p8) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p7 p8), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p7) (mapped l4 p8) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p9 p10), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p9) (mapped l4 p10) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i42 p9 p8), cost: 1
    pre: (NOT-rcnot l0_l4_i7) (NOT-rcnot l1_l4_i40) (mapped l0 p9) (mapped l4 p8) (rcnot l0_l4_i42)
    add: (NOT-rcnot l0_l4_i42)
    del: (rcnot l0_l4_i42)
  (apply_cnot_l0_l4_i46 p1 p0), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p1) (mapped l4 p0) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p1 p2), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p1) (mapped l4 p2) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p11 p10), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p11) (mapped l4 p10) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p11 p12), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p11) (mapped l4 p12) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p11 p3), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p11) (mapped l4 p3) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p12 p2), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p12) (mapped l4 p2) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p13 p1), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p13) (mapped l4 p1) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p13 p12), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p13) (mapped l4 p12) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p2 p3), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p2) (mapped l4 p3) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p4 p10), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p4) (mapped l4 p10) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p4 p3), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p4) (mapped l4 p3) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p5 p4), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p5) (mapped l4 p4) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p5 p6), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p5) (mapped l4 p6) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p5 p9), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p5) (mapped l4 p9) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p6 p8), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p6) (mapped l4 p8) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p7 p8), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p7) (mapped l4 p8) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p9 p10), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p9) (mapped l4 p10) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i46 p9 p8), cost: 1
    pre: (NOT-rcnot l0_l4_i42) (NOT-rcnot l1_l4_i44) (mapped l0 p9) (mapped l4 p8) (rcnot l0_l4_i46)
    add: (NOT-rcnot l0_l4_i46)
    del: (rcnot l0_l4_i46)
  (apply_cnot_l0_l4_i7 p1 p0), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p1) (mapped l4 p0) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p1 p2), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p1) (mapped l4 p2) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p11 p10), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p11) (mapped l4 p10) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p11 p12), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p11) (mapped l4 p12) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p11 p3), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p11) (mapped l4 p3) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p12 p2), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p12) (mapped l4 p2) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p13 p1), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p13) (mapped l4 p1) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p13 p12), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p13) (mapped l4 p12) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p2 p3), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p2) (mapped l4 p3) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p4 p10), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p4) (mapped l4 p10) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p4 p3), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p4) (mapped l4 p3) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p5 p4), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p5) (mapped l4 p4) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p5 p6), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p5) (mapped l4 p6) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p5 p9), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p5) (mapped l4 p9) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p6 p8), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p6) (mapped l4 p8) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p7 p8), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p7) (mapped l4 p8) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p9 p10), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p9) (mapped l4 p10) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l0_l4_i7 p9 p8), cost: 1
    pre: (NOT-rcnot l0_l4_i3) (NOT-rcnot l1_l4_i5) (mapped l0 p9) (mapped l4 p8) (rcnot l0_l4_i7)
    add: (NOT-rcnot l0_l4_i7)
    del: (rcnot l0_l4_i7)
  (apply_cnot_l1_l4_i1 p1 p0), cost: 1
    pre: (NOT-initialized p0) (NOT-initialized p1) (rcnot l1_l4_i1)
    add: (NOT-rcnot l1_l4_i1) (mapped l1 p1) (mapped l4 p0)
    del: (NOT-initialized p0) (NOT-initialized p1) (NOT-occupied_pqubit p0) (NOT-occupied_pqubit p1) (rcnot l1_l4_i1)
