Mutex groups: 457
 (NOT-rcnot l1_l4_i5) (rcnot l1_l4_i1)
 (NOT-rcnot l1_l4_i5) (rcnot l1_l4_i5)
 (NOT-rcnot l2_l5_i13) (rcnot l0_l4_i3)
 (NOT-rcnot l2_l5_i13) (rcnot l0_l4_i7)
 (NOT-rcnot l2_l5_i13) (rcnot l1_l4_i1)
 (NOT-rcnot l2_l5_i13) (rcnot l1_l4_i5)
 (NOT-rcnot l2_l5_i13) (rcnot l2_l5_i13)
 (NOT-rcnot l2_l5_i13) (rcnot l4_l5_i11)
 (NOT-rcnot l2_l5_i17) (rcnot l0_l4_i3)
 (NOT-rcnot l2_l5_i17) (rcnot l0_l4_i7)
 (NOT-rcnot l2_l5_i17) (rcnot l1_l4_i1)
 (NOT-rcnot l2_l5_i17) (rcnot l1_l4_i5)
 (NOT-rcnot l2_l5_i17) (rcnot l2_l5_i13)
 (NOT-rcnot l2_l5_i17) (rcnot l2_l5_i17)
 (NOT-rcnot l2_l5_i17) (rcnot l4_l5_i11)
 (NOT-rcnot l2_l5_i17) (rcnot l4_l5_i15)
 (NOT-rcnot l2_l5_i36) (rcnot l0_l4_i3)
 (NOT-rcnot l2_l5_i36) (rcnot l0_l4_i7)
 (NOT-rcnot l2_l5_i36) (rcnot l1_l4_i1)
 (NOT-rcnot l2_l5_i36) (rcnot l1_l4_i5)
 (NOT-rcnot l2_l5_i36) (rcnot l2_l5_i13)
 (NOT-rcnot l2_l5_i36) (rcnot l2_l5_i17)
 (NOT-rcnot l2_l5_i36) (rcnot l2_l5_i36)
 (NOT-rcnot l2_l5_i36) (rcnot l3_l5_i28)
 (NOT-rcnot l2_l5_i36) (rcnot l3_l5_i30)
 (NOT-rcnot l2_l5_i36) (rcnot l3_l6_i23)
 (NOT-rcnot l2_l5_i36) (rcnot l3_l6_i27)
 (NOT-rcnot l2_l5_i36) (rcnot l4_l5_i11)
 (NOT-rcnot l2_l5_i36) (rcnot l4_l5_i15)
 (NOT-rcnot l2_l5_i36) (rcnot l4_l5_i34)
 (NOT-rcnot l2_l5_i36) (rcnot l5_l6_i21)
 (NOT-rcnot l2_l5_i36) (rcnot l5_l6_i25)
 (NOT-rcnot l2_l5_i50) (rcnot l0_l4_i3)
 (NOT-rcnot l2_l5_i50) (rcnot l0_l4_i7)
 (NOT-rcnot l2_l5_i50) (rcnot l1_l4_i1)
 (NOT-rcnot l2_l5_i50) (rcnot l1_l4_i5)
 (NOT-rcnot l2_l5_i50) (rcnot l2_l5_i13)
 (NOT-rcnot l2_l5_i50) (rcnot l2_l5_i17)
 (NOT-rcnot l2_l5_i50) (rcnot l2_l5_i36)
 (NOT-rcnot l2_l5_i50) (rcnot l2_l5_i50)
 (NOT-rcnot l2_l5_i50) (rcnot l3_l5_i28)
 (NOT-rcnot l2_l5_i50) (rcnot l3_l5_i30)
 (NOT-rcnot l2_l5_i50) (rcnot l3_l6_i23)
 (NOT-rcnot l2_l5_i50) (rcnot l3_l6_i27)
 (NOT-rcnot l2_l5_i50) (rcnot l4_l5_i11)
 (NOT-rcnot l2_l5_i50) (rcnot l4_l5_i15)
 (NOT-rcnot l2_l5_i50) (rcnot l4_l5_i34)
 (NOT-rcnot l2_l5_i50) (rcnot l4_l5_i38)
 (NOT-rcnot l2_l5_i50) (rcnot l5_l6_i21)
 (NOT-rcnot l2_l5_i50) (rcnot l5_l6_i25)
 (NOT-rcnot l3_l5_i28) (rcnot l0_l4_i3)
 (NOT-rcnot l3_l5_i28) (rcnot l0_l4_i7)
 (NOT-rcnot l3_l5_i28) (rcnot l1_l4_i1)
 (NOT-rcnot l3_l5_i28) (rcnot l1_l4_i5)
 (NOT-rcnot l3_l5_i28) (rcnot l2_l5_i13)
 (NOT-rcnot l3_l5_i28) (rcnot l2_l5_i17)
 (NOT-rcnot l3_l5_i28) (rcnot l3_l5_i28)
 (NOT-rcnot l3_l5_i28) (rcnot l3_l6_i23)
 (NOT-rcnot l3_l5_i28) (rcnot l3_l6_i27)
 (NOT-rcnot l3_l5_i28) (rcnot l4_l5_i11)
 (NOT-rcnot l3_l5_i28) (rcnot l4_l5_i15)
 (NOT-rcnot l3_l5_i28) (rcnot l5_l6_i21)
 (NOT-rcnot l3_l5_i28) (rcnot l5_l6_i25)
 (NOT-rcnot l3_l5_i30) (rcnot l0_l4_i3)
 (NOT-rcnot l3_l5_i30) (rcnot l0_l4_i7)
 (NOT-rcnot l3_l5_i30) (rcnot l1_l4_i1)
 (NOT-rcnot l3_l5_i30) (rcnot l1_l4_i5)
 (NOT-rcnot l3_l5_i30) (rcnot l2_l5_i13)
 (NOT-rcnot l3_l5_i30) (rcnot l2_l5_i17)
 (NOT-rcnot l3_l5_i30) (rcnot l3_l5_i28)
 (NOT-rcnot l3_l5_i30) (rcnot l3_l5_i30)
 (NOT-rcnot l3_l5_i30) (rcnot l3_l6_i23)
 (NOT-rcnot l3_l5_i30) (rcnot l3_l6_i27)
 (NOT-rcnot l3_l5_i30) (rcnot l4_l5_i11)
 (NOT-rcnot l3_l5_i30) (rcnot l4_l5_i15)
 (NOT-rcnot l3_l5_i30) (rcnot l5_l6_i21)
 (NOT-rcnot l3_l5_i30) (rcnot l5_l6_i25)
 (NOT-rcnot l3_l6_i23) (rcnot l0_l4_i3)
 (NOT-rcnot l3_l6_i23) (rcnot l0_l4_i7)
 (NOT-rcnot l3_l6_i23) (rcnot l1_l4_i1)
 (NOT-rcnot l3_l6_i23) (rcnot l1_l4_i5)
 (NOT-rcnot l3_l6_i23) (rcnot l2_l5_i13)
 (NOT-rcnot l3_l6_i23) (rcnot l2_l5_i17)
 (NOT-rcnot l3_l6_i23) (rcnot l3_l6_i23)
 (NOT-rcnot l3_l6_i23) (rcnot l4_l5_i11)
 (NOT-rcnot l3_l6_i23) (rcnot l4_l5_i15)
 (NOT-rcnot l3_l6_i23) (rcnot l5_l6_i21)
 (NOT-rcnot l3_l6_i27) (rcnot l0_l4_i3)
 (NOT-rcnot l3_l6_i27) (rcnot l0_l4_i7)
 (NOT-rcnot l3_l6_i27) (rcnot l1_l4_i1)
 (NOT-rcnot l3_l6_i27) (rcnot l1_l4_i5)
 (NOT-rcnot l3_l6_i27) (rcnot l2_l5_i13)
 (NOT-rcnot l3_l6_i27) (rcnot l2_l5_i17)
 (NOT-rcnot l3_l6_i27) (rcnot l3_l6_i23)
 (NOT-rcnot l3_l6_i27) (rcnot l3_l6_i27)
 (NOT-rcnot l3_l6_i27) (rcnot l4_l5_i11)
 (NOT-rcnot l3_l6_i27) (rcnot l4_l5_i15)
 (NOT-rcnot l3_l6_i27) (rcnot l5_l6_i21)
 (NOT-rcnot l3_l6_i27) (rcnot l5_l6_i25)
 (NOT-rcnot l4_l5_i11) (rcnot l0_l4_i3)
 (NOT-rcnot l4_l5_i11) (rcnot l0_l4_i7)
 (NOT-rcnot l4_l5_i11) (rcnot l1_l4_i1)
 (NOT-rcnot l4_l5_i11) (rcnot l1_l4_i5)
 (NOT-rcnot l4_l5_i11) (rcnot l4_l5_i11)
 (NOT-rcnot l4_l5_i15) (rcnot l0_l4_i3)
 (NOT-rcnot l4_l5_i15) (rcnot l0_l4_i7)
 (NOT-rcnot l4_l5_i15) (rcnot l1_l4_i1)
 (NOT-rcnot l4_l5_i15) (rcnot l1_l4_i5)
 (NOT-rcnot l4_l5_i15) (rcnot l2_l5_i13)
 (NOT-rcnot l4_l5_i15) (rcnot l4_l5_i11)
 (NOT-rcnot l4_l5_i15) (rcnot l4_l5_i15)
 (NOT-rcnot l4_l5_i34) (rcnot l0_l4_i3)
 (NOT-rcnot l4_l5_i34) (rcnot l0_l4_i7)
 (NOT-rcnot l4_l5_i34) (rcnot l1_l4_i1)
 (NOT-rcnot l4_l5_i34) (rcnot l1_l4_i5)
 (NOT-rcnot l4_l5_i34) (rcnot l2_l5_i13)
 (NOT-rcnot l4_l5_i34) (rcnot l2_l5_i17)
 (NOT-rcnot l4_l5_i34) (rcnot l3_l5_i28)
 (NOT-rcnot l4_l5_i34) (rcnot l3_l5_i30)
 (NOT-rcnot l4_l5_i34) (rcnot l3_l6_i23)
 (NOT-rcnot l4_l5_i34) (rcnot l3_l6_i27)
 (NOT-rcnot l4_l5_i34) (rcnot l4_l5_i11)
 (NOT-rcnot l4_l5_i34) (rcnot l4_l5_i15)
 (NOT-rcnot l4_l5_i34) (rcnot l4_l5_i34)
 (NOT-rcnot l4_l5_i34) (rcnot l5_l6_i21)
 (NOT-rcnot l4_l5_i34) (rcnot l5_l6_i25)
 (NOT-rcnot l4_l5_i38) (rcnot l0_l4_i3)
 (NOT-rcnot l4_l5_i38) (rcnot l0_l4_i7)
 (NOT-rcnot l4_l5_i38) (rcnot l1_l4_i1)
 (NOT-rcnot l4_l5_i38) (rcnot l1_l4_i5)
 (NOT-rcnot l4_l5_i38) (rcnot l2_l5_i13)
 (NOT-rcnot l4_l5_i38) (rcnot l2_l5_i17)
 (NOT-rcnot l4_l5_i38) (rcnot l2_l5_i36)
 (NOT-rcnot l4_l5_i38) (rcnot l3_l5_i28)
 (NOT-rcnot l4_l5_i38) (rcnot l3_l5_i30)
 (NOT-rcnot l4_l5_i38) (rcnot l3_l6_i23)
 (NOT-rcnot l4_l5_i38) (rcnot l3_l6_i27)
 (NOT-rcnot l4_l5_i38) (rcnot l4_l5_i11)
 (NOT-rcnot l4_l5_i38) (rcnot l4_l5_i15)
 (NOT-rcnot l4_l5_i38) (rcnot l4_l5_i34)
 (NOT-rcnot l4_l5_i38) (rcnot l4_l5_i38)
 (NOT-rcnot l4_l5_i38) (rcnot l5_l6_i21)
 (NOT-rcnot l4_l5_i38) (rcnot l5_l6_i25)
 (NOT-rcnot l5_l6_i21) (rcnot l0_l4_i3)
 (NOT-rcnot l5_l6_i21) (rcnot l0_l4_i7)
 (NOT-rcnot l5_l6_i21) (rcnot l1_l4_i1)
 (NOT-rcnot l5_l6_i21) (rcnot l1_l4_i5)
 (NOT-rcnot l5_l6_i21) (rcnot l2_l5_i13)
 (NOT-rcnot l5_l6_i21) (rcnot l2_l5_i17)
 (NOT-rcnot l5_l6_i21) (rcnot l4_l5_i11)
 (NOT-rcnot l5_l6_i21) (rcnot l4_l5_i15)
 (NOT-rcnot l5_l6_i21) (rcnot l5_l6_i21)
 (NOT-rcnot l5_l6_i25) (rcnot l0_l4_i3)
 (NOT-rcnot l5_l6_i25) (rcnot l0_l4_i7)
 (NOT-rcnot l5_l6_i25) (rcnot l1_l4_i1)
 (NOT-rcnot l5_l6_i25) (rcnot l1_l4_i5)
 (NOT-rcnot l5_l6_i25) (rcnot l2_l5_i13)
 (NOT-rcnot l5_l6_i25) (rcnot l2_l5_i17)
 (NOT-rcnot l5_l6_i25) (rcnot l3_l6_i23)
 (NOT-rcnot l5_l6_i25) (rcnot l4_l5_i11)
 (NOT-rcnot l5_l6_i25) (rcnot l4_l5_i15)
 (NOT-rcnot l5_l6_i25) (rcnot l5_l6_i21)
 (NOT-rcnot l5_l6_i25) (rcnot l5_l6_i25)
 (NOT-initialized p1) (mapped l0 p0) (mapped l0 p1)
 (NOT-initialized p1) (mapped l1 p0) (mapped l1 p1)
 (NOT-initialized p1) (mapped l2 p0) (mapped l2 p1)
 (NOT-initialized p1) (mapped l3 p0) (mapped l3 p1)
 (NOT-initialized p1) (mapped l4 p0) (mapped l4 p1)
 (NOT-initialized p1) (mapped l5 p0) (mapped l5 p1)
 (NOT-initialized p1) (mapped l6 p0) (mapped l6 p1)
 (NOT-initialized p8) (mapped l0 p7) (mapped l0 p8)
 (NOT-initialized p8) (mapped l1 p7) (mapped l1 p8)
 (NOT-initialized p8) (mapped l2 p7) (mapped l2 p8)
 (NOT-initialized p8) (mapped l3 p7) (mapped l3 p8)
 (NOT-initialized p8) (mapped l4 p7) (mapped l4 p8)
 (NOT-initialized p8) (mapped l5 p7) (mapped l5 p8)
 (NOT-initialized p8) (mapped l6 p7) (mapped l6 p8)
 (NOT-occupied_pqubit p8) (mapped l0 p7) (mapped l0 p8)
 (NOT-occupied_pqubit p8) (mapped l1 p7) (mapped l1 p8)
 (NOT-occupied_pqubit p8) (mapped l2 p7) (mapped l2 p8)
 (NOT-occupied_pqubit p8) (mapped l3 p7) (mapped l3 p8)
 (NOT-occupied_pqubit p8) (mapped l4 p7) (mapped l4 p8)
 (NOT-occupied_pqubit p8) (mapped l5 p7) (mapped l5 p8)
 (NOT-occupied_pqubit p8) (mapped l6 p7) (mapped l6 p8)
 (mapped l3 p0) (mapped l6 p0) (rcnot l2_l5_i17)
 (mapped l3 p0) (mapped l6 p0) (rcnot l4_l5_i15)
 (mapped l3 p0) (mapped l6 p0) (rcnot l5_l6_i21)
 (mapped l3 p1) (mapped l6 p1) (rcnot l2_l5_i17)
 (mapped l3 p1) (mapped l6 p1) (rcnot l4_l5_i15)
 (mapped l3 p1) (mapped l6 p1) (rcnot l5_l6_i21)
 (mapped l3 p10) (mapped l6 p10) (rcnot l2_l5_i17)
 (mapped l3 p10) (mapped l6 p10) (rcnot l4_l5_i15)
 (mapped l3 p10) (mapped l6 p10) (rcnot l5_l6_i21)
 (mapped l3 p11) (mapped l6 p11) (rcnot l2_l5_i17)
 (mapped l3 p11) (mapped l6 p11) (rcnot l4_l5_i15)
 (mapped l3 p11) (mapped l6 p11) (rcnot l5_l6_i21)
 (mapped l3 p12) (mapped l6 p12) (rcnot l2_l5_i17)
 (mapped l3 p12) (mapped l6 p12) (rcnot l4_l5_i15)
 (mapped l3 p12) (mapped l6 p12) (rcnot l5_l6_i21)
 (mapped l3 p13) (mapped l6 p13) (rcnot l2_l5_i17)
 (mapped l3 p13) (mapped l6 p13) (rcnot l4_l5_i15)
 (mapped l3 p13) (mapped l6 p13) (rcnot l5_l6_i21)
 (mapped l3 p2) (mapped l6 p2) (rcnot l2_l5_i17)
 (mapped l3 p2) (mapped l6 p2) (rcnot l4_l5_i15)
 (mapped l3 p2) (mapped l6 p2) (rcnot l5_l6_i21)
 (mapped l3 p3) (mapped l6 p3) (rcnot l2_l5_i17)
 (mapped l3 p3) (mapped l6 p3) (rcnot l4_l5_i15)
 (mapped l3 p3) (mapped l6 p3) (rcnot l5_l6_i21)
 (mapped l3 p4) (mapped l6 p4) (rcnot l2_l5_i17)
 (mapped l3 p4) (mapped l6 p4) (rcnot l4_l5_i15)
 (mapped l3 p4) (mapped l6 p4) (rcnot l5_l6_i21)
 (mapped l3 p5) (mapped l6 p5) (rcnot l2_l5_i17)
 (mapped l3 p5) (mapped l6 p5) (rcnot l4_l5_i15)
 (mapped l3 p5) (mapped l6 p5) (rcnot l5_l6_i21)
 (mapped l3 p6) (mapped l6 p6) (rcnot l2_l5_i17)
 (mapped l3 p6) (mapped l6 p6) (rcnot l4_l5_i15)
 (mapped l3 p6) (mapped l6 p6) (rcnot l5_l6_i21)
 (mapped l3 p7) (mapped l6 p7) (rcnot l2_l5_i17)
 (mapped l3 p7) (mapped l6 p7) (rcnot l4_l5_i15)
 (mapped l3 p7) (mapped l6 p7) (rcnot l5_l6_i21)
 (mapped l3 p8) (mapped l6 p8) (rcnot l2_l5_i17)
 (mapped l3 p8) (mapped l6 p8) (rcnot l4_l5_i15)
 (mapped l3 p8) (mapped l6 p8) (rcnot l5_l6_i21)
 (mapped l3 p9) (mapped l6 p9) (rcnot l2_l5_i17)
 (mapped l3 p9) (mapped l6 p9) (rcnot l4_l5_i15)
 (mapped l3 p9) (mapped l6 p9) (rcnot l5_l6_i21)
 (mapped l2 p0) (mapped l3 p0) (mapped l6 p0) (rcnot l2_l5_i13)
 (mapped l2 p1) (mapped l3 p1) (mapped l6 p1) (rcnot l2_l5_i13)
 (mapped l2 p10) (mapped l3 p10) (mapped l6 p10) (rcnot l2_l5_i13)
 (mapped l2 p11) (mapped l3 p11) (mapped l6 p11) (rcnot l2_l5_i13)
 (mapped l2 p12) (mapped l3 p12) (mapped l6 p12) (rcnot l2_l5_i13)
 (mapped l2 p13) (mapped l3 p13) (mapped l6 p13) (rcnot l2_l5_i13)
 (mapped l2 p2) (mapped l3 p2) (mapped l6 p2) (rcnot l2_l5_i13)
 (mapped l2 p3) (mapped l3 p3) (mapped l6 p3) (rcnot l2_l5_i13)
 (mapped l2 p4) (mapped l3 p4) (mapped l6 p4) (rcnot l2_l5_i13)
 (mapped l2 p5) (mapped l3 p5) (mapped l6 p5) (rcnot l2_l5_i13)
 (mapped l2 p6) (mapped l3 p6) (mapped l6 p6) (rcnot l2_l5_i13)
 (mapped l2 p7) (mapped l3 p7) (mapped l6 p7) (rcnot l2_l5_i13)
 (mapped l2 p8) (mapped l3 p8) (mapped l6 p8) (rcnot l2_l5_i13)
 (mapped l2 p9) (mapped l3 p9) (mapped l6 p9) (rcnot l2_l5_i13)
 (mapped l2 p0) (mapped l3 p0) (mapped l5 p0) (mapped l6 p0) (rcnot l0_l4_i7)
 (mapped l2 p0) (mapped l3 p0) (mapped l5 p0) (mapped l6 p0) (rcnot l1_l4_i5)
 (mapped l2 p0) (mapped l3 p0) (mapped l5 p0) (mapped l6 p0) (rcnot l4_l5_i11)
 (mapped l2 p1) (mapped l3 p1) (mapped l5 p1) (mapped l6 p1) (rcnot l0_l4_i7)
 (mapped l2 p1) (mapped l3 p1) (mapped l5 p1) (mapped l6 p1) (rcnot l1_l4_i5)
 (mapped l2 p1) (mapped l3 p1) (mapped l5 p1) (mapped l6 p1) (rcnot l4_l5_i11)
 (mapped l2 p10) (mapped l3 p10) (mapped l5 p10) (mapped l6 p10) (rcnot l0_l4_i7)
 (mapped l2 p10) (mapped l3 p10) (mapped l5 p10) (mapped l6 p10) (rcnot l1_l4_i5)
 (mapped l2 p10) (mapped l3 p10) (mapped l5 p10) (mapped l6 p10) (rcnot l4_l5_i11)
 (mapped l2 p11) (mapped l3 p11) (mapped l5 p11) (mapped l6 p11) (rcnot l0_l4_i7)
 (mapped l2 p11) (mapped l3 p11) (mapped l5 p11) (mapped l6 p11) (rcnot l1_l4_i5)
 (mapped l2 p11) (mapped l3 p11) (mapped l5 p11) (mapped l6 p11) (rcnot l4_l5_i11)
 (mapped l2 p12) (mapped l3 p12) (mapped l5 p12) (mapped l6 p12) (rcnot l0_l4_i7)
 (mapped l2 p12) (mapped l3 p12) (mapped l5 p12) (mapped l6 p12) (rcnot l1_l4_i5)
 (mapped l2 p12) (mapped l3 p12) (mapped l5 p12) (mapped l6 p12) (rcnot l4_l5_i11)
 (mapped l2 p13) (mapped l3 p13) (mapped l5 p13) (mapped l6 p13) (rcnot l0_l4_i7)
 (mapped l2 p13) (mapped l3 p13) (mapped l5 p13) (mapped l6 p13) (rcnot l1_l4_i5)
 (mapped l2 p13) (mapped l3 p13) (mapped l5 p13) (mapped l6 p13) (rcnot l4_l5_i11)
 (mapped l2 p2) (mapped l3 p2) (mapped l5 p2) (mapped l6 p2) (rcnot l0_l4_i7)
 (mapped l2 p2) (mapped l3 p2) (mapped l5 p2) (mapped l6 p2) (rcnot l1_l4_i5)
 (mapped l2 p2) (mapped l3 p2) (mapped l5 p2) (mapped l6 p2) (rcnot l4_l5_i11)
 (mapped l2 p3) (mapped l3 p3) (mapped l5 p3) (mapped l6 p3) (rcnot l0_l4_i7)
 (mapped l2 p3) (mapped l3 p3) (mapped l5 p3) (mapped l6 p3) (rcnot l1_l4_i5)
 (mapped l2 p3) (mapped l3 p3) (mapped l5 p3) (mapped l6 p3) (rcnot l4_l5_i11)
 (mapped l2 p4) (mapped l3 p4) (mapped l5 p4) (mapped l6 p4) (rcnot l0_l4_i7)
 (mapped l2 p4) (mapped l3 p4) (mapped l5 p4) (mapped l6 p4) (rcnot l1_l4_i5)
 (mapped l2 p4) (mapped l3 p4) (mapped l5 p4) (mapped l6 p4) (rcnot l4_l5_i11)
 (mapped l2 p5) (mapped l3 p5) (mapped l5 p5) (mapped l6 p5) (rcnot l0_l4_i7)
 (mapped l2 p5) (mapped l3 p5) (mapped l5 p5) (mapped l6 p5) (rcnot l1_l4_i5)
 (mapped l2 p5) (mapped l3 p5) (mapped l5 p5) (mapped l6 p5) (rcnot l4_l5_i11)
 (mapped l2 p6) (mapped l3 p6) (mapped l5 p6) (mapped l6 p6) (rcnot l0_l4_i7)
 (mapped l2 p6) (mapped l3 p6) (mapped l5 p6) (mapped l6 p6) (rcnot l1_l4_i5)
 (mapped l2 p6) (mapped l3 p6) (mapped l5 p6) (mapped l6 p6) (rcnot l4_l5_i11)
 (mapped l2 p7) (mapped l3 p7) (mapped l5 p7) (mapped l6 p7) (rcnot l0_l4_i7)
 (mapped l2 p7) (mapped l3 p7) (mapped l5 p7) (mapped l6 p7) (rcnot l1_l4_i5)
 (mapped l2 p7) (mapped l3 p7) (mapped l5 p7) (mapped l6 p7) (rcnot l4_l5_i11)
 (mapped l2 p8) (mapped l3 p8) (mapped l5 p8) (mapped l6 p8) (rcnot l0_l4_i7)
 (mapped l2 p8) (mapped l3 p8) (mapped l5 p8) (mapped l6 p8) (rcnot l1_l4_i5)
 (mapped l2 p8) (mapped l3 p8) (mapped l5 p8) (mapped l6 p8) (rcnot l4_l5_i11)
 (mapped l2 p9) (mapped l3 p9) (mapped l5 p9) (mapped l6 p9) (rcnot l0_l4_i7)
 (mapped l2 p9) (mapped l3 p9) (mapped l5 p9) (mapped l6 p9) (rcnot l1_l4_i5)
 (mapped l2 p9) (mapped l3 p9) (mapped l5 p9) (mapped l6 p9) (rcnot l4_l5_i11)
 (mapped l0 p0) (mapped l2 p0) (mapped l3 p0) (mapped l5 p0) (mapped l6 p0) (rcnot l0_l4_i3)
 (mapped l0 p1) (mapped l2 p1) (mapped l3 p1) (mapped l5 p1) (mapped l6 p1) (rcnot l0_l4_i3)
 (mapped l0 p10) (mapped l2 p10) (mapped l3 p10) (mapped l5 p10) (mapped l6 p10) (rcnot l0_l4_i3)
 (mapped l0 p11) (mapped l2 p11) (mapped l3 p11) (mapped l5 p11) (mapped l6 p11) (rcnot l0_l4_i3)
