Diameter for do-immersion-varnish: inf
Diameter for do-spray-varnish: inf
Diameter for do-glaze: inf
Diameter for do-grind: 3
Diameter for do-plane: 2
Diameter for load-highspeed-saw: inf
Diameter for unload-highspeed-saw: 1
Diameter for cut-board-small: inf
Diameter for cut-board-medium: inf
Diameter for cut-board-large: inf
Diameter for do-saw-small: inf
Diameter for do-saw-medium: inf
Diameter for do-saw-large: inf
Init-to-goal-distance black - p6: inf
Init-to-goal-distance black - p7: inf
Init-to-goal-distance black - p8: inf
Init-to-goal-distance black - p9: inf
Init-to-goal-distance black - p10: inf
Init-to-goal-distance black - p11: inf
Init-to-goal-distance white - green: -4, w/ static: 0
Init-to-goal-distance white - red: -2, w/ static: 0
Init-to-goal-distance white - teak: inf
Init-to-goal-distance white - mahogany: inf
Init-to-goal-distance white - walnut: inf
Init-to-goal-distance white - p0: inf
Init-to-goal-distance white - p1: inf
Init-to-goal-distance white - p2: inf
Init-to-goal-distance white - p3: inf
Init-to-goal-distance white - p4: inf
Init-to-goal-distance white - p5: inf
Init-to-goal-distance white - p6: inf
Init-to-goal-distance white - p7: inf
Init-to-goal-distance white - p8: inf
Init-to-goal-distance white - p9: inf
Init-to-goal-distance white - p10: inf
Init-to-goal-distance white - p11: inf
Init-to-goal-distance green - red: -4, w/ static: 0
Init-to-goal-distance green - teak: inf
Init-to-goal-distance green - mahogany: inf
Init-to-goal-distance green - walnut: inf
Init-to-goal-distance green - p0: inf
Init-to-goal-distance green - p1: inf
Init-to-goal-distance green - p2: inf
Init-to-goal-distance green - p3: inf
Init-to-goal-distance green - p4: inf
Init-to-goal-distance green - p5: inf
Init-to-goal-distance green - p6: inf
Init-to-goal-distance green - p7: inf
Init-to-goal-distance green - p8: inf
Init-to-goal-distance green - p9: inf
Init-to-goal-distance green - p10: inf
Init-to-goal-distance green - p11: inf
Init-to-goal-distance red - teak: inf
Init-to-goal-distance red - mahogany: inf
Init-to-goal-distance red - walnut: inf
Init-to-goal-distance red - p0: inf
Init-to-goal-distance red - p1: inf
Init-to-goal-distance red - p2: inf
Init-to-goal-distance red - p3: inf
Init-to-goal-distance red - p4: inf
Init-to-goal-distance red - p5: inf
Init-to-goal-distance red - p6: inf
Init-to-goal-distance red - p7: inf
Init-to-goal-distance red - p8: inf
Init-to-goal-distance red - p9: inf
Init-to-goal-distance red - p10: inf
Init-to-goal-distance red - p11: inf
Init-to-goal-distance teak - mahogany: 0
Init-to-goal-distance teak - walnut: 0
Init-to-goal-distance teak - p0: -2, w/ static: 0
Init-to-goal-distance teak - p1: inf
Init-to-goal-distance teak - p2: inf
Init-to-goal-distance teak - p3: 0
Init-to-goal-distance teak - p4: inf
Init-to-goal-distance teak - p5: inf
Init-to-goal-distance teak - p6: inf
Init-to-goal-distance teak - p7: inf
Init-to-goal-distance teak - p8: inf
Init-to-goal-distance teak - p9: inf
Init-to-goal-distance teak - p10: inf
Init-to-goal-distance teak - p11: inf
Init-to-goal-distance mahogany - walnut: 0
Init-to-goal-distance mahogany - p0: 2
Init-to-goal-distance mahogany - p1: inf
Init-to-goal-distance mahogany - p2: inf
Init-to-goal-distance mahogany - p3: 2
Init-to-goal-distance mahogany - p4: inf
Init-to-goal-distance mahogany - p5: inf
Init-to-goal-distance mahogany - p6: inf
Init-to-goal-distance mahogany - p7: inf
Init-to-goal-distance mahogany - p8: inf
Init-to-goal-distance mahogany - p9: inf
Init-to-goal-distance mahogany - p10: inf
Init-to-goal-distance mahogany - p11: inf
Init-to-goal-distance walnut - p0: 6
Init-to-goal-distance walnut - p1: inf
Init-to-goal-distance walnut - p2: inf
Init-to-goal-distance walnut - p3: 2
Init-to-goal-distance walnut - p4: inf
Init-to-goal-distance walnut - p5: inf
Init-to-goal-distance walnut - p6: inf
Init-to-goal-distance walnut - p7: inf
Init-to-goal-distance walnut - p8: inf
Init-to-goal-distance walnut - p9: inf
Init-to-goal-distance walnut - p10: inf
Init-to-goal-distance walnut - p11: inf
Init-to-goal-distance p0 - p1: inf
Init-to-goal-distance p0 - p2: inf
Init-to-goal-distance p0 - p3: -2, w/ static: 0
Init-to-goal-distance p0 - p4: inf
Init-to-goal-distance p0 - p5: inf
Init-to-goal-distance p0 - p6: inf
Init-to-goal-distance p0 - p7: inf
Init-to-goal-distance p0 - p8: inf
Init-to-goal-distance p0 - p9: inf
Init-to-goal-distance p0 - p10: inf
Init-to-goal-distance p0 - p11: inf
Init-to-goal-distance p1 - p2: 0
Init-to-goal-distance p1 - p3: inf
Init-to-goal-distance p1 - p4: inf
Init-to-goal-distance p1 - p5: inf
Init-to-goal-distance p1 - p6: 0
Init-to-goal-distance p1 - p7: -4, w/ static: 0
Init-to-goal-distance p1 - p8: 0
Init-to-goal-distance p1 - p9: inf
Init-to-goal-distance p1 - p10: inf
Init-to-goal-distance p1 - p11: 0
Init-to-goal-distance p2 - p3: inf
Init-to-goal-distance p2 - p4: inf
Init-to-goal-distance p2 - p5: inf
Init-to-goal-distance p2 - p6: 0
Init-to-goal-distance p2 - p7: -4, w/ static: 0
Init-to-goal-distance p2 - p8: -2, w/ static: 0
Init-to-goal-distance p2 - p9: inf
Init-to-goal-distance p2 - p10: inf
Init-to-goal-distance p2 - p11: -2, w/ static: 0
Init-to-goal-distance p3 - p4: inf
Init-to-goal-distance p3 - p5: inf
Init-to-goal-distance p3 - p6: inf
Init-to-goal-distance p3 - p7: inf
Init-to-goal-distance p3 - p8: inf
Init-to-goal-distance p3 - p9: inf
Init-to-goal-distance p3 - p10: inf
Init-to-goal-distance p3 - p11: inf
Init-to-goal-distance p4 - p5: 0
Init-to-goal-distance p4 - p6: inf
Init-to-goal-distance p4 - p7: inf
Init-to-goal-distance p4 - p8: inf
Init-to-goal-distance p4 - p9: 0
Init-to-goal-distance p4 - p10: 0
Init-to-goal-distance p4 - p11: inf
Init-to-goal-distance p5 - p6: inf
Init-to-goal-distance p5 - p7: inf
Init-to-goal-distance p5 - p8: inf
Init-to-goal-distance p5 - p9: -2, w/ static: 0
Init-to-goal-distance p5 - p10: 0
Init-to-goal-distance p5 - p11: inf
Init-to-goal-distance p6 - p7: -2, w/ static: 0
Init-to-goal-distance p6 - p8: -2, w/ static: 0
Init-to-goal-distance p6 - p9: inf
Init-to-goal-distance p6 - p10: inf
Init-to-goal-distance p6 - p11: -2, w/ static: 0
Init-to-goal-distance p7 - p8: -4, w/ static: 0
Init-to-goal-distance p7 - p9: inf
Init-to-goal-distance p7 - p10: inf
Init-to-goal-distance p7 - p11: -2, w/ static: 0
Init-to-goal-distance p8 - p9: inf
Init-to-goal-distance p8 - p10: inf
Init-to-goal-distance p8 - p11: 0
Init-to-goal-distance p9 - p10: 0
Init-to-goal-distance p9 - p11: inf
Init-to-goal-distance p10 - p11: inf
