(clear f0-0f), layer: 0
(connected f3-3f f2-3f), layer: 0
(connected f3-0f f4-0f), layer: 0
(connected f4-0f f3-0f), layer: 0
(connected f3-1f f4-1f), layer: 0
(connected f4-1f f3-1f), layer: 0
(connected f3-2f f4-2f), layer: 0
(connected f4-2f f3-2f), layer: 0
(connected f3-3f f4-3f), layer: 0
(connected f4-3f f3-3f), layer: 0
(connected f4-0f f5-0f), layer: 0
(connected f5-0f f4-0f), layer: 0
(connected f4-1f f5-1f), layer: 0
(connected f5-1f f4-1f), layer: 0
(connected f4-2f f5-2f), layer: 0
(connected f5-2f f4-2f), layer: 0
(connected f4-3f f5-3f), layer: 0
(connected f5-3f f4-3f), layer: 0
