(on card-d2-s0-v5 card-d0-s0-v5), layer: 0
(NOT-currently-dealing), layer: 0
(NOT-currently-collecting-deck), layer: 0
(NOT-movable card-d0-s0-v0), layer: 0
(NOT-movable card-d0-s0-v1), layer: 0
(NOT-movable card-d0-s0-v2), layer: 0
(NOT-movable card-d0-s0-v3), layer: 0
(NOT-movable card-d0-s0-v4), layer: 0
(NOT-movable card-d0-s0-v5), layer: 0
(NOT-movable card-d0-s0-v6), layer: 0
(NOT-movable card-d0-s0-v7), layer: 0
(NOT-movable card-d0-s0-v8), layer: 0
(NOT-movable card-d1-s0-v0), layer: 0
(NOT-movable card-d1-s0-v1), layer: 0
(NOT-movable card-d1-s0-v2), layer: 0
(NOT-movable card-d1-s0-v3), layer: 0
(NOT-movable card-d1-s0-v4), layer: 0
(NOT-movable card-d1-s0-v5), layer: 0
(NOT-movable card-d1-s0-v6), layer: 0
(NOT-movable card-d1-s0-v7), layer: 0
(NOT-movable card-d1-s0-v8), layer: 0
(NOT-movable card-d2-s0-v0), layer: 0
(NOT-movable card-d2-s0-v2), layer: 0
(NOT-movable card-d2-s0-v4), layer: 0
(NOT-movable card-d2-s0-v5), layer: 0
(NOT-movable card-d2-s0-v6), layer: 0
(NOT-movable card-d2-s0-v7), layer: 0
(NOT-movable card-d2-s0-v8), layer: 0
(NOT-movable card-d3-s0-v0), layer: 0
(NOT-movable card-d3-s0-v3), layer: 0
(NOT-movable card-d3-s0-v4), layer: 0
(NOT-movable card-d3-s0-v7), layer: 0
(NOT-movable card-d3-s0-v8), layer: 0
(NOT-currently-updating-unmovable), layer: 0
(NOT-currently-updating-movable), layer: 0
(NOT-currently-updating-part-of-tableau), layer: 0
(currently-dealing), layer: 1
(on card-d3-s0-v2 card-d2-s0-v3), layer: 1
(clear card-d3-s0-v7), layer: 1
(make-part-of-tableau card-d3-s0-v2 pile-1), layer: 1
(currently-updating-part-of-tableau), layer: 1
(on card-d2-s0-v1 card-d3-s0-v2), layer: 1
(clear card-d1-s0-v6), layer: 1
(make-part-of-tableau card-d2-s0-v1 pile-4), layer: 1
(on card-d3-s0-v1 card-d3-s0-v2), layer: 1
(clear card-d0-s0-v7), layer: 1
(make-part-of-tableau card-d3-s0-v1 pile-4), layer: 1
(on card-d3-s0-v5 card-d3-s0-v6), layer: 1
(clear card-d0-s0-v1), layer: 1
(make-part-of-tableau card-d3-s0-v5 pile-5), layer: 1
(make-movable card-d3-s0-v7), layer: 1
(currently-updating-movable), layer: 1
(make-movable card-d1-s0-v6), layer: 1
(make-movable card-d0-s0-v7), layer: 1
(make-movable card-d0-s0-v1), layer: 1
(on card-d2-s0-v6 card-d0-s0-v1), layer: 2
(clear card-d1-s0-v0), layer: 2
(in-play card-d2-s0-v6), layer: 2
(part-of-tableau card-d2-s0-v6 pile-0), layer: 2
(movable card-d2-s0-v6), layer: 2
(on card-d2-s0-v6 card-d3-s0-v5), layer: 2
(on card-d3-s0-v6 card-d3-s0-v7), layer: 2
(clear card-d1-s0-v3), layer: 2
(make-part-of-tableau card-d3-s0-v6 pile-4), layer: 2
(on card-d3-s0-v5 card-d1-s0-v6), layer: 2
(make-part-of-tableau card-d3-s0-v5 pile-3), layer: 2
(on card-d3-s0-v6 card-d0-s0-v7), layer: 2
(make-part-of-tableau card-d3-s0-v6 pile-2), layer: 2
(part-of-tableau card-d3-s0-v2 pile-1), layer: 2
(make-part-of-tableau card-d2-s0-v1 pile-1), layer: 2
(make-part-of-tableau card-d3-s0-v1 pile-1), layer: 2
(part-of-tableau card-d2-s0-v1 pile-4), layer: 2
(part-of-tableau card-d3-s0-v1 pile-4), layer: 2
(part-of-tableau card-d3-s0-v5 pile-5), layer: 2
(movable card-d0-s0-v1), layer: 2
(movable card-d0-s0-v7), layer: 2
(movable card-d1-s0-v6), layer: 2
(movable card-d3-s0-v7), layer: 2
(make-unmovable card-d0-s0-v1), layer: 2
(currently-updating-unmovable), layer: 2
(make-unmovable card-d3-s0-v5), layer: 2
(make-movable card-d1-s0-v3), layer: 2
(can-continue-group card-d0-s0-v0 card-d0-s0-v1), layer: 0
(can-continue-group card-d0-s0-v1 card-d0-s0-v2), layer: 0
(can-continue-group card-d0-s0-v2 card-d0-s0-v3), layer: 0
(can-continue-group card-d0-s0-v3 card-d0-s0-v4), layer: 0
(can-continue-group card-d0-s0-v4 card-d0-s0-v5), layer: 0
(can-continue-group card-d0-s0-v5 card-d0-s0-v6), layer: 0
(can-continue-group card-d0-s0-v6 card-d0-s0-v7), layer: 0
(can-continue-group card-d0-s0-v7 card-d0-s0-v8), layer: 0
(can-continue-group card-d0-s0-v0 card-d1-s0-v1), layer: 0
(can-continue-group card-d0-s0-v1 card-d1-s0-v2), layer: 0
(can-continue-group card-d0-s0-v2 card-d1-s0-v3), layer: 0
(can-continue-group card-d0-s0-v3 card-d1-s0-v4), layer: 0
(can-continue-group card-d0-s0-v4 card-d1-s0-v5), layer: 0
(can-continue-group card-d0-s0-v5 card-d1-s0-v6), layer: 0
(can-continue-group card-d0-s0-v6 card-d1-s0-v7), layer: 0
(can-continue-group card-d0-s0-v7 card-d1-s0-v8), layer: 0
(can-continue-group card-d0-s0-v0 card-d2-s0-v1), layer: 0
(can-continue-group card-d0-s0-v1 card-d2-s0-v2), layer: 0
(can-continue-group card-d0-s0-v2 card-d2-s0-v3), layer: 0
(can-continue-group card-d0-s0-v3 card-d2-s0-v4), layer: 0
(can-continue-group card-d0-s0-v4 card-d2-s0-v5), layer: 0
(can-continue-group card-d0-s0-v5 card-d2-s0-v6), layer: 0
(can-continue-group card-d0-s0-v6 card-d2-s0-v7), layer: 0
(can-continue-group card-d0-s0-v7 card-d2-s0-v8), layer: 0
(can-continue-group card-d0-s0-v0 card-d3-s0-v1), layer: 0
(can-continue-group card-d0-s0-v1 card-d3-s0-v2), layer: 0
(can-continue-group card-d0-s0-v2 card-d3-s0-v3), layer: 0
(can-continue-group card-d0-s0-v3 card-d3-s0-v4), layer: 0
(can-continue-group card-d0-s0-v4 card-d3-s0-v5), layer: 0
(can-continue-group card-d0-s0-v5 card-d3-s0-v6), layer: 0
(can-continue-group card-d0-s0-v6 card-d3-s0-v7), layer: 0
(can-continue-group card-d0-s0-v7 card-d3-s0-v8), layer: 0
(can-continue-group card-d1-s0-v0 card-d0-s0-v1), layer: 0
(can-continue-group card-d1-s0-v1 card-d0-s0-v2), layer: 0
(can-continue-group card-d1-s0-v2 card-d0-s0-v3), layer: 0
(can-continue-group card-d1-s0-v3 card-d0-s0-v4), layer: 0
(can-continue-group card-d1-s0-v4 card-d0-s0-v5), layer: 0
(can-continue-group card-d1-s0-v5 card-d0-s0-v6), layer: 0
(can-continue-group card-d1-s0-v6 card-d0-s0-v7), layer: 0
(can-continue-group card-d1-s0-v7 card-d0-s0-v8), layer: 0
(can-continue-group card-d1-s0-v0 card-d1-s0-v1), layer: 0
(can-continue-group card-d1-s0-v1 card-d1-s0-v2), layer: 0
(can-continue-group card-d1-s0-v2 card-d1-s0-v3), layer: 0
(can-continue-group card-d1-s0-v3 card-d1-s0-v4), layer: 0
(can-continue-group card-d1-s0-v4 card-d1-s0-v5), layer: 0
(can-continue-group card-d1-s0-v5 card-d1-s0-v6), layer: 0
(can-continue-group card-d1-s0-v6 card-d1-s0-v7), layer: 0
(can-continue-group card-d1-s0-v7 card-d1-s0-v8), layer: 0
(can-continue-group card-d1-s0-v0 card-d2-s0-v1), layer: 0
(can-continue-group card-d1-s0-v1 card-d2-s0-v2), layer: 0
(can-continue-group card-d1-s0-v2 card-d2-s0-v3), layer: 0
(can-continue-group card-d1-s0-v3 card-d2-s0-v4), layer: 0
(can-continue-group card-d1-s0-v4 card-d2-s0-v5), layer: 0
(can-continue-group card-d1-s0-v5 card-d2-s0-v6), layer: 0
(can-continue-group card-d1-s0-v6 card-d2-s0-v7), layer: 0
(can-continue-group card-d1-s0-v7 card-d2-s0-v8), layer: 0
(can-continue-group card-d1-s0-v0 card-d3-s0-v1), layer: 0
(can-continue-group card-d1-s0-v1 card-d3-s0-v2), layer: 0
(can-continue-group card-d1-s0-v2 card-d3-s0-v3), layer: 0
(can-continue-group card-d1-s0-v3 card-d3-s0-v4), layer: 0
(can-continue-group card-d1-s0-v4 card-d3-s0-v5), layer: 0
(can-continue-group card-d1-s0-v5 card-d3-s0-v6), layer: 0
(can-continue-group card-d1-s0-v6 card-d3-s0-v7), layer: 0
(can-continue-group card-d1-s0-v7 card-d3-s0-v8), layer: 0
(can-continue-group card-d2-s0-v0 card-d0-s0-v1), layer: 0
(can-continue-group card-d2-s0-v1 card-d0-s0-v2), layer: 0
(can-continue-group card-d2-s0-v2 card-d0-s0-v3), layer: 0
(can-continue-group card-d2-s0-v3 card-d0-s0-v4), layer: 0
(can-continue-group card-d2-s0-v4 card-d0-s0-v5), layer: 0
(can-continue-group card-d2-s0-v5 card-d0-s0-v6), layer: 0
(can-continue-group card-d2-s0-v6 card-d0-s0-v7), layer: 0
(can-continue-group card-d2-s0-v7 card-d0-s0-v8), layer: 0
(can-continue-group card-d2-s0-v0 card-d1-s0-v1), layer: 0
(can-continue-group card-d2-s0-v1 card-d1-s0-v2), layer: 0
(can-continue-group card-d2-s0-v2 card-d1-s0-v3), layer: 0
(can-continue-group card-d2-s0-v3 card-d1-s0-v4), layer: 0
(can-continue-group card-d2-s0-v4 card-d1-s0-v5), layer: 0
(can-continue-group card-d2-s0-v5 card-d1-s0-v6), layer: 0
(can-continue-group card-d2-s0-v6 card-d1-s0-v7), layer: 0
(can-continue-group card-d2-s0-v7 card-d1-s0-v8), layer: 0
(can-continue-group card-d2-s0-v0 card-d2-s0-v1), layer: 0
(can-continue-group card-d2-s0-v1 card-d2-s0-v2), layer: 0
(can-continue-group card-d2-s0-v2 card-d2-s0-v3), layer: 0
(can-continue-group card-d2-s0-v3 card-d2-s0-v4), layer: 0
(can-continue-group card-d2-s0-v4 card-d2-s0-v5), layer: 0
(can-continue-group card-d2-s0-v5 card-d2-s0-v6), layer: 0
(can-continue-group card-d2-s0-v6 card-d2-s0-v7), layer: 0
(can-continue-group card-d2-s0-v7 card-d2-s0-v8), layer: 0
(can-continue-group card-d2-s0-v0 card-d3-s0-v1), layer: 0
(can-continue-group card-d2-s0-v1 card-d3-s0-v2), layer: 0
(can-continue-group card-d2-s0-v2 card-d3-s0-v3), layer: 0
(can-continue-group card-d2-s0-v3 card-d3-s0-v4), layer: 0
(can-continue-group card-d2-s0-v4 card-d3-s0-v5), layer: 0
(can-continue-group card-d2-s0-v5 card-d3-s0-v6), layer: 0
(can-continue-group card-d2-s0-v6 card-d3-s0-v7), layer: 0
(can-continue-group card-d2-s0-v7 card-d3-s0-v8), layer: 0
(can-continue-group card-d3-s0-v0 card-d0-s0-v1), layer: 0
(can-continue-group card-d3-s0-v1 card-d0-s0-v2), layer: 0
(can-continue-group card-d3-s0-v2 card-d0-s0-v3), layer: 0
(can-continue-group card-d3-s0-v3 card-d0-s0-v4), layer: 0
(can-continue-group card-d3-s0-v4 card-d0-s0-v5), layer: 0
(can-continue-group card-d3-s0-v5 card-d0-s0-v6), layer: 0
(can-continue-group card-d3-s0-v6 card-d0-s0-v7), layer: 0
(can-continue-group card-d3-s0-v7 card-d0-s0-v8), layer: 0
(can-continue-group card-d3-s0-v0 card-d1-s0-v1), layer: 0
(can-continue-group card-d3-s0-v1 card-d1-s0-v2), layer: 0
(can-continue-group card-d3-s0-v2 card-d1-s0-v3), layer: 0
(can-continue-group card-d3-s0-v3 card-d1-s0-v4), layer: 0
(can-continue-group card-d3-s0-v4 card-d1-s0-v5), layer: 0
(can-continue-group card-d3-s0-v5 card-d1-s0-v6), layer: 0
(can-continue-group card-d3-s0-v6 card-d1-s0-v7), layer: 0
(can-continue-group card-d3-s0-v7 card-d1-s0-v8), layer: 0
(can-continue-group card-d3-s0-v0 card-d2-s0-v1), layer: 0
(can-continue-group card-d3-s0-v1 card-d2-s0-v2), layer: 0
(can-continue-group card-d3-s0-v2 card-d2-s0-v3), layer: 0
(can-continue-group card-d3-s0-v3 card-d2-s0-v4), layer: 0
(can-continue-group card-d3-s0-v4 card-d2-s0-v5), layer: 0
(can-continue-group card-d3-s0-v5 card-d2-s0-v6), layer: 0
(can-continue-group card-d3-s0-v6 card-d2-s0-v7), layer: 0
(can-continue-group card-d3-s0-v7 card-d2-s0-v8), layer: 0
(can-continue-group card-d3-s0-v0 card-d3-s0-v1), layer: 0
(can-continue-group card-d3-s0-v1 card-d3-s0-v2), layer: 0
(can-continue-group card-d3-s0-v2 card-d3-s0-v3), layer: 0
(can-continue-group card-d3-s0-v3 card-d3-s0-v4), layer: 0
(can-continue-group card-d3-s0-v4 card-d3-s0-v5), layer: 0
(can-continue-group card-d3-s0-v5 card-d3-s0-v6), layer: 0
(can-continue-group card-d3-s0-v6 card-d3-s0-v7), layer: 0
(can-continue-group card-d3-s0-v7 card-d3-s0-v8), layer: 0
(can-be-placed-on card-d0-s0-v0 card-d0-s0-v1), layer: 0
(can-be-placed-on card-d0-s0-v1 card-d0-s0-v2), layer: 0
(can-be-placed-on card-d0-s0-v2 card-d0-s0-v3), layer: 0
(can-be-placed-on card-d0-s0-v3 card-d0-s0-v4), layer: 0
(can-be-placed-on card-d0-s0-v4 card-d0-s0-v5), layer: 0
(can-be-placed-on card-d0-s0-v5 card-d0-s0-v6), layer: 0
(can-be-placed-on card-d0-s0-v6 card-d0-s0-v7), layer: 0
(can-be-placed-on card-d0-s0-v7 card-d0-s0-v8), layer: 0
(can-be-placed-on card-d0-s0-v0 card-d1-s0-v1), layer: 0
(can-be-placed-on card-d0-s0-v1 card-d1-s0-v2), layer: 0
(can-be-placed-on card-d0-s0-v2 card-d1-s0-v3), layer: 0
(can-be-placed-on card-d0-s0-v3 card-d1-s0-v4), layer: 0
(can-be-placed-on card-d0-s0-v4 card-d1-s0-v5), layer: 0
(can-be-placed-on card-d0-s0-v5 card-d1-s0-v6), layer: 0
(can-be-placed-on card-d0-s0-v6 card-d1-s0-v7), layer: 0
(can-be-placed-on card-d0-s0-v7 card-d1-s0-v8), layer: 0
(can-be-placed-on card-d0-s0-v0 card-d2-s0-v1), layer: 0
(can-be-placed-on card-d0-s0-v1 card-d2-s0-v2), layer: 0
(can-be-placed-on card-d0-s0-v2 card-d2-s0-v3), layer: 0
(can-be-placed-on card-d0-s0-v3 card-d2-s0-v4), layer: 0
(can-be-placed-on card-d0-s0-v4 card-d2-s0-v5), layer: 0
(can-be-placed-on card-d0-s0-v5 card-d2-s0-v6), layer: 0
(can-be-placed-on card-d0-s0-v6 card-d2-s0-v7), layer: 0
(can-be-placed-on card-d0-s0-v7 card-d2-s0-v8), layer: 0
(can-be-placed-on card-d0-s0-v0 card-d3-s0-v1), layer: 0
(can-be-placed-on card-d0-s0-v1 card-d3-s0-v2), layer: 0
(can-be-placed-on card-d0-s0-v2 card-d3-s0-v3), layer: 0
(can-be-placed-on card-d0-s0-v3 card-d3-s0-v4), layer: 0
(can-be-placed-on card-d0-s0-v4 card-d3-s0-v5), layer: 0
(can-be-placed-on card-d0-s0-v5 card-d3-s0-v6), layer: 0
(can-be-placed-on card-d0-s0-v6 card-d3-s0-v7), layer: 0
(can-be-placed-on card-d0-s0-v7 card-d3-s0-v8), layer: 0
(can-be-placed-on card-d1-s0-v0 card-d0-s0-v1), layer: 0
(can-be-placed-on card-d1-s0-v1 card-d0-s0-v2), layer: 0
(can-be-placed-on card-d1-s0-v2 card-d0-s0-v3), layer: 0
(can-be-placed-on card-d1-s0-v3 card-d0-s0-v4), layer: 0
(can-be-placed-on card-d1-s0-v4 card-d0-s0-v5), layer: 0
(can-be-placed-on card-d1-s0-v5 card-d0-s0-v6), layer: 0
(can-be-placed-on card-d1-s0-v6 card-d0-s0-v7), layer: 0
(can-be-placed-on card-d1-s0-v7 card-d0-s0-v8), layer: 0
(can-be-placed-on card-d1-s0-v0 card-d1-s0-v1), layer: 0
(can-be-placed-on card-d1-s0-v1 card-d1-s0-v2), layer: 0
(can-be-placed-on card-d1-s0-v2 card-d1-s0-v3), layer: 0
(can-be-placed-on card-d1-s0-v3 card-d1-s0-v4), layer: 0
(can-be-placed-on card-d1-s0-v4 card-d1-s0-v5), layer: 0
(can-be-placed-on card-d1-s0-v5 card-d1-s0-v6), layer: 0
(can-be-placed-on card-d1-s0-v6 card-d1-s0-v7), layer: 0
(can-be-placed-on card-d1-s0-v7 card-d1-s0-v8), layer: 0
(can-be-placed-on card-d1-s0-v0 card-d2-s0-v1), layer: 0
(can-be-placed-on card-d1-s0-v1 card-d2-s0-v2), layer: 0
(can-be-placed-on card-d1-s0-v2 card-d2-s0-v3), layer: 0
(can-be-placed-on card-d1-s0-v3 card-d2-s0-v4), layer: 0
(can-be-placed-on card-d1-s0-v4 card-d2-s0-v5), layer: 0
(can-be-placed-on card-d1-s0-v5 card-d2-s0-v6), layer: 0
(can-be-placed-on card-d1-s0-v6 card-d2-s0-v7), layer: 0
(can-be-placed-on card-d1-s0-v7 card-d2-s0-v8), layer: 0
(can-be-placed-on card-d1-s0-v0 card-d3-s0-v1), layer: 0
(can-be-placed-on card-d1-s0-v1 card-d3-s0-v2), layer: 0
(can-be-placed-on card-d1-s0-v2 card-d3-s0-v3), layer: 0
(can-be-placed-on card-d1-s0-v3 card-d3-s0-v4), layer: 0
(can-be-placed-on card-d1-s0-v4 card-d3-s0-v5), layer: 0
(can-be-placed-on card-d1-s0-v5 card-d3-s0-v6), layer: 0
(can-be-placed-on card-d1-s0-v6 card-d3-s0-v7), layer: 0
(can-be-placed-on card-d1-s0-v7 card-d3-s0-v8), layer: 0
(can-be-placed-on card-d2-s0-v0 card-d0-s0-v1), layer: 0
(can-be-placed-on card-d2-s0-v1 card-d0-s0-v2), layer: 0
(can-be-placed-on card-d2-s0-v2 card-d0-s0-v3), layer: 0
(can-be-placed-on card-d2-s0-v3 card-d0-s0-v4), layer: 0
(can-be-placed-on card-d2-s0-v4 card-d0-s0-v5), layer: 0
(can-be-placed-on card-d2-s0-v5 card-d0-s0-v6), layer: 0
(can-be-placed-on card-d2-s0-v6 card-d0-s0-v7), layer: 0
(can-be-placed-on card-d2-s0-v7 card-d0-s0-v8), layer: 0
(can-be-placed-on card-d2-s0-v0 card-d1-s0-v1), layer: 0
(can-be-placed-on card-d2-s0-v1 card-d1-s0-v2), layer: 0
(can-be-placed-on card-d2-s0-v2 card-d1-s0-v3), layer: 0
(can-be-placed-on card-d2-s0-v3 card-d1-s0-v4), layer: 0
(can-be-placed-on card-d2-s0-v4 card-d1-s0-v5), layer: 0
(can-be-placed-on card-d2-s0-v5 card-d1-s0-v6), layer: 0
(can-be-placed-on card-d2-s0-v6 card-d1-s0-v7), layer: 0
(can-be-placed-on card-d2-s0-v7 card-d1-s0-v8), layer: 0
(can-be-placed-on card-d2-s0-v0 card-d2-s0-v1), layer: 0
(can-be-placed-on card-d2-s0-v1 card-d2-s0-v2), layer: 0
(can-be-placed-on card-d2-s0-v2 card-d2-s0-v3), layer: 0
(can-be-placed-on card-d2-s0-v3 card-d2-s0-v4), layer: 0
(can-be-placed-on card-d2-s0-v4 card-d2-s0-v5), layer: 0
(can-be-placed-on card-d2-s0-v5 card-d2-s0-v6), layer: 0
(can-be-placed-on card-d2-s0-v6 card-d2-s0-v7), layer: 0
(can-be-placed-on card-d2-s0-v7 card-d2-s0-v8), layer: 0
(can-be-placed-on card-d2-s0-v0 card-d3-s0-v1), layer: 0
(can-be-placed-on card-d2-s0-v1 card-d3-s0-v2), layer: 0
(can-be-placed-on card-d2-s0-v2 card-d3-s0-v3), layer: 0
(can-be-placed-on card-d2-s0-v3 card-d3-s0-v4), layer: 0
(can-be-placed-on card-d2-s0-v4 card-d3-s0-v5), layer: 0
(can-be-placed-on card-d2-s0-v5 card-d3-s0-v6), layer: 0
(can-be-placed-on card-d2-s0-v6 card-d3-s0-v7), layer: 0
(can-be-placed-on card-d2-s0-v7 card-d3-s0-v8), layer: 0
(can-be-placed-on card-d3-s0-v0 card-d0-s0-v1), layer: 0
(can-be-placed-on card-d3-s0-v1 card-d0-s0-v2), layer: 0
(can-be-placed-on card-d3-s0-v2 card-d0-s0-v3), layer: 0
(can-be-placed-on card-d3-s0-v3 card-d0-s0-v4), layer: 0
(can-be-placed-on card-d3-s0-v4 card-d0-s0-v5), layer: 0
(can-be-placed-on card-d3-s0-v5 card-d0-s0-v6), layer: 0
(can-be-placed-on card-d3-s0-v6 card-d0-s0-v7), layer: 0
(can-be-placed-on card-d3-s0-v7 card-d0-s0-v8), layer: 0
(can-be-placed-on card-d3-s0-v0 card-d1-s0-v1), layer: 0
(can-be-placed-on card-d3-s0-v1 card-d1-s0-v2), layer: 0
(can-be-placed-on card-d3-s0-v2 card-d1-s0-v3), layer: 0
(can-be-placed-on card-d3-s0-v3 card-d1-s0-v4), layer: 0
(can-be-placed-on card-d3-s0-v4 card-d1-s0-v5), layer: 0
(can-be-placed-on card-d3-s0-v5 card-d1-s0-v6), layer: 0
(can-be-placed-on card-d3-s0-v6 card-d1-s0-v7), layer: 0
(can-be-placed-on card-d3-s0-v7 card-d1-s0-v8), layer: 0
(can-be-placed-on card-d3-s0-v0 card-d2-s0-v1), layer: 0
(can-be-placed-on card-d3-s0-v1 card-d2-s0-v2), layer: 0
(can-be-placed-on card-d3-s0-v2 card-d2-s0-v3), layer: 0
(can-be-placed-on card-d3-s0-v3 card-d2-s0-v4), layer: 0
(can-be-placed-on card-d3-s0-v4 card-d2-s0-v5), layer: 0
(can-be-placed-on card-d3-s0-v5 card-d2-s0-v6), layer: 0
(can-be-placed-on card-d3-s0-v6 card-d2-s0-v7), layer: 0
(can-be-placed-on card-d3-s0-v7 card-d2-s0-v8), layer: 0
(can-be-placed-on card-d3-s0-v0 card-d3-s0-v1), layer: 0
(can-be-placed-on card-d3-s0-v1 card-d3-s0-v2), layer: 0
(can-be-placed-on card-d3-s0-v2 card-d3-s0-v3), layer: 0
(can-be-placed-on card-d3-s0-v3 card-d3-s0-v4), layer: 0
(can-be-placed-on card-d3-s0-v4 card-d3-s0-v5), layer: 0
(can-be-placed-on card-d3-s0-v5 card-d3-s0-v6), layer: 0
(can-be-placed-on card-d3-s0-v6 card-d3-s0-v7), layer: 0
(can-be-placed-on card-d3-s0-v7 card-d3-s0-v8), layer: 0
(is-ace card-d0-s0-v0), layer: 0
(is-ace card-d1-s0-v0), layer: 0
