(empty highspeed-saw0), layer: 0
(surface-condition p9 smooth), layer: 1
(surface-condition p10 smooth), layer: 1
(wood p4 walnut), layer: 1
(boardsize b3 s9), layer: 1
(wood p5 walnut), layer: 1
(wood p9 walnut), layer: 1
(wood p10 walnut), layer: 1
(boardsize b4 s1), layer: 1
(available p1), layer: 1
(wood p1 teak), layer: 1
(surface-condition p1 rough), layer: 1
(colour p1 natural), layer: 1
(treatment p1 untreated), layer: 1
(boardsize b0 s3), layer: 1
(available p2), layer: 1
(wood p2 teak), layer: 1
(surface-condition p2 rough), layer: 1
(colour p2 natural), layer: 1
(treatment p2 untreated), layer: 1
(available p6), layer: 1
(wood p6 teak), layer: 1
(surface-condition p6 rough), layer: 1
(colour p6 natural), layer: 1
(treatment p6 untreated), layer: 1
(available p7), layer: 1
(wood p7 teak), layer: 1
(surface-condition p7 rough), layer: 1
(colour p7 natural), layer: 1
(treatment p7 untreated), layer: 1
(available p8), layer: 1
(wood p8 teak), layer: 1
(surface-condition p8 rough), layer: 1
(colour p8 natural), layer: 1
(treatment p8 untreated), layer: 1
(available p11), layer: 1
(wood p11 teak), layer: 1
(surface-condition p11 rough), layer: 1
(colour p11 natural), layer: 1
(treatment p11 untreated), layer: 1
(wood p1 mahogany), layer: 1
(boardsize b1 s9), layer: 1
(wood p2 mahogany), layer: 1
(wood p6 mahogany), layer: 1
(wood p7 mahogany), layer: 1
(wood p8 mahogany), layer: 1
(wood p11 mahogany), layer: 1
(wood p1 walnut), layer: 1
(boardsize b3 s8), layer: 1
(wood p2 walnut), layer: 1
(wood p6 walnut), layer: 1
(wood p7 walnut), layer: 1
(wood p8 walnut), layer: 1
(wood p11 walnut), layer: 1
(surface-condition p1 smooth), layer: 1
(boardsize b4 s0), layer: 1
(surface-condition p2 smooth), layer: 1
(surface-condition p6 smooth), layer: 1
(surface-condition p7 smooth), layer: 1
(surface-condition p8 smooth), layer: 1
(surface-condition p11 smooth), layer: 1
(colour p3 white), layer: 2
(colour p3 green), layer: 2
(colour p3 red), layer: 2
(treatment p0 varnished), layer: 2
(colour p0 white), layer: 2
(colour p0 green), layer: 2
(colour p0 red), layer: 2
(treatment p4 varnished), layer: 2
(colour p4 white), layer: 2
(colour p4 green), layer: 2
(colour p4 red), layer: 2
(treatment p5 varnished), layer: 2
(colour p5 white), layer: 2
(colour p5 green), layer: 2
(colour p5 red), layer: 2
(treatment p9 varnished), layer: 2
(colour p9 white), layer: 2
(colour p9 green), layer: 2
(colour p9 red), layer: 2
(treatment p10 varnished), layer: 2
(colour p10 white), layer: 2
(colour p10 green), layer: 2
(colour p10 red), layer: 2
(treatment p1 varnished), layer: 2
(colour p1 white), layer: 2
(colour p1 green), layer: 2
(colour p1 red), layer: 2
(treatment p2 varnished), layer: 2
(colour p2 white), layer: 2
(colour p2 green), layer: 2
(colour p2 red), layer: 2
(treatment p6 varnished), layer: 2
(colour p6 white), layer: 2
(colour p6 green), layer: 2
(colour p6 red), layer: 2
(treatment p7 varnished), layer: 2
(colour p7 white), layer: 2
(colour p7 green), layer: 2
(colour p7 red), layer: 2
(treatment p8 varnished), layer: 2
(colour p8 white), layer: 2
(colour p8 green), layer: 2
(colour p8 red), layer: 2
(treatment p11 varnished), layer: 2
(colour p11 white), layer: 2
(colour p11 green), layer: 2
(colour p11 red), layer: 2
(treatment p3 glazed), layer: 2
(colour p3 black), layer: 2
(treatment p0 glazed), layer: 2
(colour p0 black), layer: 2
(treatment p4 glazed), layer: 2
(colour p4 black), layer: 2
(treatment p5 glazed), layer: 2
(colour p5 black), layer: 2
(treatment p9 glazed), layer: 2
(colour p9 black), layer: 2
(treatment p10 glazed), layer: 2
(colour p10 black), layer: 2
(treatment p1 glazed), layer: 2
(colour p1 black), layer: 2
(treatment p2 glazed), layer: 2
(colour p2 black), layer: 2
(treatment p6 glazed), layer: 2
(colour p6 black), layer: 2
(treatment p7 glazed), layer: 2
(colour p7 black), layer: 2
(treatment p8 glazed), layer: 2
(colour p8 black), layer: 2
(treatment p11 glazed), layer: 2
(colour p11 black), layer: 2
(surface-condition p0 verysmooth), layer: 2
(surface-condition p4 verysmooth), layer: 2
(surface-condition p5 verysmooth), layer: 2
(surface-condition p9 verysmooth), layer: 2
(surface-condition p10 verysmooth), layer: 2
(surface-condition p1 verysmooth), layer: 2
(surface-condition p2 verysmooth), layer: 2
(surface-condition p6 verysmooth), layer: 2
(surface-condition p7 verysmooth), layer: 2
(surface-condition p8 verysmooth), layer: 2
(surface-condition p11 verysmooth), layer: 2
(boardsize b0 s2), layer: 2
(boardsize b1 s8), layer: 2
(boardsize b3 s7), layer: 2
(boardsize b0 s1), layer: 2
(boardsize b1 s7), layer: 2
(boardsize b3 s6), layer: 2
(boardsize b0 s0), layer: 2
(boardsize b1 s6), layer: 2
(boardsize b3 s5), layer: 2
(grind-treatment-change varnished colourfragments), layer: 0
(grind-treatment-change glazed untreated), layer: 0
(grind-treatment-change untreated untreated), layer: 0
(grind-treatment-change colourfragments untreated), layer: 0
(is-smooth smooth), layer: 0
(is-smooth verysmooth), layer: 0
(boardsize-successor s0 s1), layer: 0
(boardsize-successor s1 s2), layer: 0
(boardsize-successor s2 s3), layer: 0
(boardsize-successor s3 s4), layer: 0
(boardsize-successor s4 s5), layer: 0
(boardsize-successor s5 s6), layer: 0
(boardsize-successor s6 s7), layer: 0
(boardsize-successor s7 s8), layer: 0
(boardsize-successor s8 s9), layer: 0
(boardsize-successor s9 s10), layer: 0
(boardsize-successor s10 s11), layer: 0
(boardsize-successor s11 s12), layer: 0
(has-colour glazer0 green), layer: 0
(has-colour glazer0 white), layer: 0
(has-colour glazer0 black), layer: 0
(has-colour glazer0 red), layer: 0
(has-colour immersion-varnisher0 white), layer: 0
(has-colour immersion-varnisher0 green), layer: 0
(has-colour immersion-varnisher0 red), layer: 0
(has-colour spray-varnisher0 white), layer: 0
(has-colour spray-varnisher0 green), layer: 0
(has-colour spray-varnisher0 red), layer: 0
(goalsize p0 small), layer: 0
(goalsize p1 large), layer: 0
(goalsize p2 large), layer: 0
(goalsize p3 small), layer: 0
(goalsize p4 medium), layer: 0
(goalsize p5 medium), layer: 0
(goalsize p6 large), layer: 0
(goalsize p7 large), layer: 0
(goalsize p8 large), layer: 0
(goalsize p9 medium), layer: 0
(goalsize p10 medium), layer: 0
(goalsize p11 large), layer: 0
