(at package-1 city-1-loc-10), layer: 0
(road city-1-loc-9 city-1-loc-13), layer: 0
(road city-1-loc-13 city-1-loc-11), layer: 0
(road city-1-loc-11 city-1-loc-13), layer: 0
(road city-1-loc-14 city-1-loc-4), layer: 0
(road city-1-loc-4 city-1-loc-14), layer: 0
(road city-1-loc-14 city-1-loc-5), layer: 0
(road city-1-loc-5 city-1-loc-14), layer: 0
(road city-1-loc-14 city-1-loc-8), layer: 0
(road city-1-loc-8 city-1-loc-14), layer: 0
(road city-1-loc-15 city-1-loc-9), layer: 0
(road city-1-loc-9 city-1-loc-15), layer: 0
(road city-1-loc-15 city-1-loc-11), layer: 0
(road city-1-loc-11 city-1-loc-15), layer: 0
(road city-1-loc-15 city-1-loc-13), layer: 0
(road city-1-loc-13 city-1-loc-15), layer: 0
(road city-1-loc-16 city-1-loc-11), layer: 0
(road city-1-loc-11 city-1-loc-16), layer: 0
(road city-1-loc-16 city-1-loc-13), layer: 0
(road city-1-loc-13 city-1-loc-16), layer: 0
(road city-1-loc-16 city-1-loc-15), layer: 0
(road city-1-loc-15 city-1-loc-16), layer: 0
(road city-1-loc-17 city-1-loc-8), layer: 0
(road city-1-loc-8 city-1-loc-17), layer: 0
(road city-1-loc-17 city-1-loc-10), layer: 0
(road city-1-loc-10 city-1-loc-17), layer: 0
(road city-1-loc-17 city-1-loc-11), layer: 0
(road city-1-loc-11 city-1-loc-17), layer: 0
(road city-1-loc-17 city-1-loc-15), layer: 0
(road city-1-loc-15 city-1-loc-17), layer: 0
(road city-1-loc-18 city-1-loc-9), layer: 0
(road city-1-loc-9 city-1-loc-18), layer: 0
(road city-1-loc-18 city-1-loc-13), layer: 0
(road city-1-loc-13 city-1-loc-18), layer: 0
(road city-1-loc-18 city-1-loc-15), layer: 0
(road city-1-loc-15 city-1-loc-18), layer: 0
(road city-1-loc-19 city-1-loc-12), layer: 0
(road city-1-loc-12 city-1-loc-19), layer: 0
(road city-1-loc-20 city-1-loc-2), layer: 0
(road city-1-loc-2 city-1-loc-20), layer: 0
(road city-1-loc-20 city-1-loc-18), layer: 0
(road city-1-loc-18 city-1-loc-20), layer: 0
(road city-2-loc-7 city-2-loc-3), layer: 0
(road city-2-loc-3 city-2-loc-7), layer: 0
(road city-2-loc-8 city-2-loc-6), layer: 0
(road city-2-loc-6 city-2-loc-8), layer: 0
(road city-2-loc-9 city-2-loc-2), layer: 0
(road city-2-loc-2 city-2-loc-9), layer: 0
(road city-2-loc-10 city-2-loc-4), layer: 0
(road city-2-loc-4 city-2-loc-10), layer: 0
(road city-2-loc-11 city-2-loc-3), layer: 0
(road city-2-loc-3 city-2-loc-11), layer: 0
(road city-2-loc-11 city-2-loc-9), layer: 0
(road city-2-loc-9 city-2-loc-11), layer: 0
(road city-2-loc-12 city-2-loc-4), layer: 0
(road city-2-loc-4 city-2-loc-12), layer: 0
(road city-2-loc-12 city-2-loc-10), layer: 0
(road city-2-loc-10 city-2-loc-12), layer: 0
(road city-2-loc-13 city-2-loc-1), layer: 0
(road city-2-loc-1 city-2-loc-13), layer: 0
(road city-2-loc-13 city-2-loc-9), layer: 0
(road city-2-loc-9 city-2-loc-13), layer: 0
(road city-2-loc-14 city-2-loc-10), layer: 0
(road city-2-loc-10 city-2-loc-14), layer: 0
(road city-2-loc-14 city-2-loc-12), layer: 0
(road city-2-loc-12 city-2-loc-14), layer: 0
(road city-2-loc-15 city-2-loc-1), layer: 0
(road city-2-loc-1 city-2-loc-15), layer: 0
(road city-2-loc-15 city-2-loc-4), layer: 0
(road city-2-loc-4 city-2-loc-15), layer: 0
(road city-2-loc-15 city-2-loc-10), layer: 0
(road city-2-loc-10 city-2-loc-15), layer: 0
(road city-2-loc-16 city-2-loc-1), layer: 0
(road city-2-loc-1 city-2-loc-16), layer: 0
(road city-2-loc-16 city-2-loc-9), layer: 0
(road city-2-loc-9 city-2-loc-16), layer: 0
(road city-2-loc-16 city-2-loc-13), layer: 0
(road city-2-loc-13 city-2-loc-16), layer: 0
(road city-2-loc-17 city-2-loc-1), layer: 0
(road city-2-loc-1 city-2-loc-17), layer: 0
(road city-2-loc-17 city-2-loc-10), layer: 0
(road city-2-loc-10 city-2-loc-17), layer: 0
(road city-2-loc-17 city-2-loc-14), layer: 0
(road city-2-loc-14 city-2-loc-17), layer: 0
(road city-2-loc-17 city-2-loc-15), layer: 0
(road city-2-loc-15 city-2-loc-17), layer: 0
(road city-2-loc-18 city-2-loc-3), layer: 0
(road city-2-loc-3 city-2-loc-18), layer: 0
(road city-2-loc-18 city-2-loc-7), layer: 0
(road city-2-loc-7 city-2-loc-18), layer: 0
(road city-2-loc-18 city-2-loc-11), layer: 0
(road city-2-loc-11 city-2-loc-18), layer: 0
(road city-2-loc-19 city-2-loc-1), layer: 0
(road city-2-loc-1 city-2-loc-19), layer: 0
(road city-2-loc-19 city-2-loc-13), layer: 0
(road city-2-loc-13 city-2-loc-19), layer: 0
(road city-2-loc-19 city-2-loc-15), layer: 0
(road city-2-loc-15 city-2-loc-19), layer: 0
(road city-2-loc-19 city-2-loc-16), layer: 0
(road city-2-loc-16 city-2-loc-19), layer: 0
(road city-2-loc-19 city-2-loc-17), layer: 0
(road city-2-loc-17 city-2-loc-19), layer: 0
(road city-2-loc-20 city-2-loc-5), layer: 0
(road city-2-loc-5 city-2-loc-20), layer: 0
(road city-2-loc-20 city-2-loc-8), layer: 0
(road city-2-loc-8 city-2-loc-20), layer: 0
(road city-2-loc-20 city-2-loc-13), layer: 0
(road city-2-loc-13 city-2-loc-20), layer: 0
(road city-2-loc-20 city-2-loc-19), layer: 0
(road city-2-loc-19 city-2-loc-20), layer: 0
(road city-1-loc-12 city-2-loc-4), layer: 0
(road city-2-loc-4 city-1-loc-12), layer: 0
