(craves prostatitis-13 pepper), layer: 0
(locale popover kentucky), layer: 2
(locale lamb oregon), layer: 2
(locale kale alsace), layer: 2
(food tofu), layer: 0
(food snickers), layer: 0
(food popover), layer: 0
(food lamb), layer: 0
(food potato), layer: 0
(food melon), layer: 0
(food beef), layer: 0
(food pork), layer: 0
(food bacon), layer: 0
(food orange), layer: 0
(food ham), layer: 0
(food kale), layer: 0
(food pepper), layer: 0
(food hamburger), layer: 0
(food cantelope), layer: 0
(food flounder), layer: 0
(food grapefruit), layer: 0
(food wurst), layer: 0
(food arugula), layer: 0
(pleasure triumph), layer: 0
(pleasure stimulation), layer: 0
(pleasure expectation), layer: 0
(pleasure rest), layer: 0
(pleasure love), layer: 0
(pleasure satisfaction), layer: 0
(pleasure learning), layer: 0
(pleasure aesthetics), layer: 0
(pleasure intoxication), layer: 0
(pain laceration), layer: 0
(pain depression), layer: 0
(pain loneliness), layer: 0
(pain hangover), layer: 0
(pain prostatitis), layer: 0
(pain angina), layer: 0
(pain anger), layer: 0
(pain grief), layer: 0
(pain anxiety), layer: 0
(pain sciatica), layer: 0
(pain jealousy), layer: 0
(pain boils), layer: 0
(pain dread), layer: 0
(pain loneliness-1), layer: 0
(pain grief-2), layer: 0
(pain abrasion), layer: 0
(pain dread-8), layer: 0
(pain angina-3), layer: 0
(pain sciatica-4), layer: 0
(pain anger-7), layer: 0
(pain abrasion-5), layer: 0
(pain hangover-6), layer: 0
(pain jealousy-16), layer: 0
(pain anxiety-12), layer: 0
(pain prostatitis-13), layer: 0
(pain depression-14), layer: 0
(pain boils-15), layer: 0
(pain loneliness-9), layer: 0
(pain anger-10), layer: 0
(pain laceration-11), layer: 0
(pain angina-30), layer: 0
(pain dread-31), layer: 0
(pain boils-32), layer: 0
(pain laceration-27), layer: 0
(pain jealousy-28), layer: 0
(pain hangover-29), layer: 0
(pain prostatitis-24), layer: 0
(pain anxiety-25), layer: 0
(pain grief-26), layer: 0
(province surrey), layer: 0
(province moravia), layer: 0
(province quebec), layer: 0
(province oregon), layer: 0
(province alsace), layer: 0
(province kentucky), layer: 0
(planet mercury), layer: 0
(planet mars), layer: 0
(planet neptune), layer: 0
(planet pluto), layer: 0
(eats snickers potato), layer: 0
(eats wurst grapefruit), layer: 0
(attacks quebec oregon), layer: 0
(eats flounder kale), layer: 0
(eats ham pork), layer: 0
(eats arugula hamburger), layer: 0
(eats beef snickers), layer: 0
(attacks moravia quebec), layer: 0
(eats beef ham), layer: 0
(eats arugula cantelope), layer: 0
(eats beef arugula), layer: 0
(eats pepper cantelope), layer: 0
(eats orange beef), layer: 0
(eats hamburger cantelope), layer: 0
(eats hamburger wurst), layer: 0
(eats pork bacon), layer: 0
(eats kale flounder), layer: 0
(eats tofu lamb), layer: 0
(eats popover melon), layer: 0
(attacks surrey moravia), layer: 0
(eats kale arugula), layer: 0
(eats ham beef), layer: 0
(eats cantelope hamburger), layer: 0
(eats arugula beef), layer: 0
(eats pork ham), layer: 0
(eats wurst hamburger), layer: 0
(eats cantelope arugula), layer: 0
(eats lamb tofu), layer: 0
(eats grapefruit pepper), layer: 0
(eats cantelope flounder), layer: 0
(orbits neptune pluto), layer: 0
(eats beef orange), layer: 0
(eats orange pork), layer: 0
(eats cantelope pepper), layer: 0
(eats bacon orange), layer: 0
(eats orange bacon), layer: 0
(eats potato melon), layer: 0
(orbits mercury mars), layer: 0
(eats flounder cantelope), layer: 0
(eats popover tofu), layer: 0
(eats bacon pork), layer: 0
(eats melon potato), layer: 0
(eats snickers beef), layer: 0
(eats arugula kale), layer: 0
(eats hamburger arugula), layer: 0
(eats tofu popover), layer: 0
(eats melon popover), layer: 0
(orbits mars neptune), layer: 0
(eats lamb snickers), layer: 0
(attacks alsace kentucky), layer: 0
(eats potato snickers), layer: 0
(attacks oregon alsace), layer: 0
(eats pork orange), layer: 0
(eats snickers lamb), layer: 0
(eats grapefruit wurst), layer: 0
(eats pepper grapefruit), layer: 0
