(at t0 l2), layer: 0
(sum level4 level15 level19), layer: 0
(sum level4 level16 level20), layer: 0
(sum level4 level17 level21), layer: 0
(sum level4 level18 level22), layer: 0
(sum level4 level19 level23), layer: 0
(sum level4 level20 level24), layer: 0
(sum level4 level21 level25), layer: 0
(sum level4 level22 level26), layer: 0
(sum level4 level23 level27), layer: 0
(sum level4 level24 level28), layer: 0
(sum level4 level25 level29), layer: 0
(sum level4 level26 level30), layer: 0
(sum level4 level27 level31), layer: 0
(sum level4 level28 level32), layer: 0
(sum level4 level29 level33), layer: 0
(sum level4 level30 level34), layer: 0
(sum level4 level31 level35), layer: 0
(sum level4 level32 level36), layer: 0
(sum level5 level0 level5), layer: 0
(sum level5 level1 level6), layer: 0
(sum level5 level2 level7), layer: 0
(sum level5 level3 level8), layer: 0
(sum level5 level4 level9), layer: 0
(sum level5 level5 level10), layer: 0
(sum level5 level6 level11), layer: 0
(sum level5 level7 level12), layer: 0
(sum level5 level8 level13), layer: 0
(sum level5 level9 level14), layer: 0
(sum level5 level10 level15), layer: 0
(sum level5 level11 level16), layer: 0
(sum level5 level12 level17), layer: 0
(sum level5 level13 level18), layer: 0
(sum level5 level14 level19), layer: 0
(sum level5 level15 level20), layer: 0
(sum level5 level16 level21), layer: 0
(sum level5 level17 level22), layer: 0
(sum level5 level18 level23), layer: 0
(sum level5 level19 level24), layer: 0
(sum level5 level20 level25), layer: 0
(sum level5 level21 level26), layer: 0
(sum level5 level22 level27), layer: 0
(sum level5 level23 level28), layer: 0
(sum level5 level24 level29), layer: 0
(sum level5 level25 level30), layer: 0
(sum level5 level26 level31), layer: 0
(sum level5 level27 level32), layer: 0
(sum level5 level28 level33), layer: 0
(sum level5 level29 level34), layer: 0
(sum level5 level30 level35), layer: 0
(sum level5 level31 level36), layer: 0
(sum level6 level0 level6), layer: 0
(sum level6 level1 level7), layer: 0
(sum level6 level2 level8), layer: 0
(sum level6 level3 level9), layer: 0
(sum level6 level4 level10), layer: 0
(sum level6 level5 level11), layer: 0
(sum level6 level6 level12), layer: 0
(sum level6 level7 level13), layer: 0
(sum level6 level8 level14), layer: 0
(sum level6 level9 level15), layer: 0
(sum level6 level10 level16), layer: 0
(sum level6 level11 level17), layer: 0
(sum level6 level12 level18), layer: 0
(sum level6 level13 level19), layer: 0
(sum level6 level14 level20), layer: 0
(sum level6 level15 level21), layer: 0
(sum level6 level16 level22), layer: 0
(sum level6 level17 level23), layer: 0
(sum level6 level18 level24), layer: 0
(sum level6 level19 level25), layer: 0
(sum level6 level20 level26), layer: 0
(sum level6 level21 level27), layer: 0
(sum level6 level22 level28), layer: 0
(sum level6 level23 level29), layer: 0
(sum level6 level24 level30), layer: 0
(sum level6 level25 level31), layer: 0
(sum level6 level26 level32), layer: 0
(sum level6 level27 level33), layer: 0
(sum level6 level28 level34), layer: 0
(sum level6 level29 level35), layer: 0
(sum level6 level30 level36), layer: 0
(sum level7 level0 level7), layer: 0
(sum level7 level1 level8), layer: 0
(sum level7 level2 level9), layer: 0
(sum level7 level3 level10), layer: 0
(sum level7 level4 level11), layer: 0
(sum level7 level5 level12), layer: 0
(sum level7 level6 level13), layer: 0
(sum level7 level7 level14), layer: 0
(sum level7 level8 level15), layer: 0
(sum level7 level9 level16), layer: 0
(sum level7 level10 level17), layer: 0
(sum level7 level11 level18), layer: 0
(sum level7 level12 level19), layer: 0
(sum level7 level13 level20), layer: 0
(sum level7 level14 level21), layer: 0
(sum level7 level15 level22), layer: 0
(sum level7 level16 level23), layer: 0
(sum level7 level17 level24), layer: 0
(sum level7 level18 level25), layer: 0
(sum level7 level19 level26), layer: 0
(sum level7 level20 level27), layer: 0
(sum level7 level21 level28), layer: 0
(sum level7 level22 level29), layer: 0
(sum level7 level23 level30), layer: 0
(sum level7 level24 level31), layer: 0
(sum level7 level25 level32), layer: 0
(sum level7 level26 level33), layer: 0
(sum level7 level27 level34), layer: 0
(sum level7 level28 level35), layer: 0
(sum level7 level29 level36), layer: 0
(sum level8 level0 level8), layer: 0
(sum level8 level1 level9), layer: 0
(sum level8 level2 level10), layer: 0
(sum level8 level3 level11), layer: 0
(sum level8 level4 level12), layer: 0
(sum level8 level5 level13), layer: 0
(sum level8 level6 level14), layer: 0
(sum level8 level7 level15), layer: 0
(sum level8 level8 level16), layer: 0
(sum level8 level9 level17), layer: 0
(sum level8 level10 level18), layer: 0
(sum level8 level11 level19), layer: 0
(sum level8 level12 level20), layer: 0
(sum level8 level13 level21), layer: 0
(sum level8 level14 level22), layer: 0
(sum level8 level15 level23), layer: 0
(sum level8 level16 level24), layer: 0
(sum level8 level17 level25), layer: 0
(sum level8 level18 level26), layer: 0
(sum level8 level19 level27), layer: 0
(sum level8 level20 level28), layer: 0
(sum level8 level21 level29), layer: 0
(sum level8 level22 level30), layer: 0
(sum level8 level23 level31), layer: 0
(sum level8 level24 level32), layer: 0
(sum level8 level25 level33), layer: 0
(sum level8 level26 level34), layer: 0
(sum level8 level27 level35), layer: 0
(sum level8 level28 level36), layer: 0
(sum level9 level0 level9), layer: 0
(sum level9 level1 level10), layer: 0
(sum level9 level2 level11), layer: 0
(sum level9 level3 level12), layer: 0
(sum level9 level4 level13), layer: 0
(sum level9 level5 level14), layer: 0
(sum level9 level6 level15), layer: 0
(sum level9 level7 level16), layer: 0
(sum level9 level8 level17), layer: 0
(sum level9 level9 level18), layer: 0
(sum level9 level10 level19), layer: 0
(sum level9 level11 level20), layer: 0
(sum level9 level12 level21), layer: 0
(sum level9 level13 level22), layer: 0
(sum level9 level14 level23), layer: 0
(sum level9 level15 level24), layer: 0
(sum level9 level16 level25), layer: 0
(sum level9 level17 level26), layer: 0
(sum level9 level18 level27), layer: 0
(sum level9 level19 level28), layer: 0
(sum level9 level20 level29), layer: 0
(sum level9 level21 level30), layer: 0
(sum level9 level22 level31), layer: 0
(sum level9 level23 level32), layer: 0
(sum level9 level24 level33), layer: 0
(sum level9 level25 level34), layer: 0
(sum level9 level26 level35), layer: 0
(sum level9 level27 level36), layer: 0
(sum level10 level0 level10), layer: 0
(sum level10 level1 level11), layer: 0
(sum level10 level2 level12), layer: 0
(sum level10 level3 level13), layer: 0
(sum level10 level4 level14), layer: 0
(sum level10 level5 level15), layer: 0
(sum level10 level6 level16), layer: 0
(sum level10 level7 level17), layer: 0
(sum level10 level8 level18), layer: 0
(sum level10 level9 level19), layer: 0
(sum level10 level10 level20), layer: 0
(sum level10 level11 level21), layer: 0
(sum level10 level12 level22), layer: 0
(sum level10 level13 level23), layer: 0
(sum level10 level14 level24), layer: 0
(sum level10 level15 level25), layer: 0
(sum level10 level16 level26), layer: 0
(sum level10 level17 level27), layer: 0
(sum level10 level18 level28), layer: 0
(sum level10 level19 level29), layer: 0
(sum level10 level20 level30), layer: 0
(sum level10 level21 level31), layer: 0
(sum level10 level22 level32), layer: 0
(sum level10 level23 level33), layer: 0
(sum level10 level24 level34), layer: 0
(sum level10 level25 level35), layer: 0
(sum level10 level26 level36), layer: 0
(sum level11 level0 level11), layer: 0
(sum level11 level1 level12), layer: 0
(sum level11 level2 level13), layer: 0
(sum level11 level3 level14), layer: 0
(sum level11 level4 level15), layer: 0
(sum level11 level5 level16), layer: 0
(sum level11 level6 level17), layer: 0
(sum level11 level7 level18), layer: 0
(sum level11 level8 level19), layer: 0
(sum level11 level9 level20), layer: 0
(sum level11 level10 level21), layer: 0
(sum level11 level11 level22), layer: 0
(sum level11 level12 level23), layer: 0
(sum level11 level13 level24), layer: 0
(sum level11 level14 level25), layer: 0
(sum level11 level15 level26), layer: 0
(sum level11 level16 level27), layer: 0
(sum level11 level17 level28), layer: 0
(sum level11 level18 level29), layer: 0
(sum level11 level19 level30), layer: 0
(sum level11 level20 level31), layer: 0
(sum level11 level21 level32), layer: 0
(sum level11 level22 level33), layer: 0
(sum level11 level23 level34), layer: 0
(sum level11 level24 level35), layer: 0
(sum level11 level25 level36), layer: 0
(sum level12 level0 level12), layer: 0
(sum level12 level1 level13), layer: 0
(sum level12 level2 level14), layer: 0
(sum level12 level3 level15), layer: 0
(sum level12 level4 level16), layer: 0
(sum level12 level5 level17), layer: 0
(sum level12 level6 level18), layer: 0
(sum level12 level7 level19), layer: 0
(sum level12 level8 level20), layer: 0
(sum level12 level9 level21), layer: 0
(sum level12 level10 level22), layer: 0
(sum level12 level11 level23), layer: 0
(sum level12 level12 level24), layer: 0
(sum level12 level13 level25), layer: 0
(sum level12 level14 level26), layer: 0
(sum level12 level15 level27), layer: 0
(sum level12 level16 level28), layer: 0
(sum level12 level17 level29), layer: 0
(sum level12 level18 level30), layer: 0
(sum level12 level19 level31), layer: 0
(sum level12 level20 level32), layer: 0
(sum level12 level21 level33), layer: 0
(sum level12 level22 level34), layer: 0
(sum level12 level23 level35), layer: 0
(sum level12 level24 level36), layer: 0
(sum level13 level0 level13), layer: 0
(sum level13 level1 level14), layer: 0
(sum level13 level2 level15), layer: 0
(sum level13 level3 level16), layer: 0
(sum level13 level4 level17), layer: 0
(sum level13 level5 level18), layer: 0
(sum level13 level6 level19), layer: 0
(sum level13 level7 level20), layer: 0
(sum level13 level8 level21), layer: 0
(sum level13 level9 level22), layer: 0
(sum level13 level10 level23), layer: 0
(sum level13 level11 level24), layer: 0
(sum level13 level12 level25), layer: 0
(sum level13 level13 level26), layer: 0
(sum level13 level14 level27), layer: 0
(sum level13 level15 level28), layer: 0
(sum level13 level16 level29), layer: 0
(sum level13 level17 level30), layer: 0
(sum level13 level18 level31), layer: 0
(sum level13 level19 level32), layer: 0
(sum level13 level20 level33), layer: 0
(sum level13 level21 level34), layer: 0
(sum level13 level22 level35), layer: 0
(sum level13 level23 level36), layer: 0
(sum level14 level0 level14), layer: 0
(sum level14 level1 level15), layer: 0
(sum level14 level2 level16), layer: 0
(sum level14 level3 level17), layer: 0
(sum level14 level4 level18), layer: 0
(sum level14 level5 level19), layer: 0
(sum level14 level6 level20), layer: 0
(sum level14 level7 level21), layer: 0
(sum level14 level8 level22), layer: 0
(sum level14 level9 level23), layer: 0
(sum level14 level10 level24), layer: 0
(sum level14 level11 level25), layer: 0
(sum level14 level12 level26), layer: 0
(sum level14 level13 level27), layer: 0
(sum level14 level14 level28), layer: 0
(sum level14 level15 level29), layer: 0
(sum level14 level16 level30), layer: 0
(sum level14 level17 level31), layer: 0
(sum level14 level18 level32), layer: 0
(sum level14 level19 level33), layer: 0
(sum level14 level20 level34), layer: 0
(sum level14 level21 level35), layer: 0
(sum level14 level22 level36), layer: 0
(sum level15 level0 level15), layer: 0
(sum level15 level1 level16), layer: 0
(sum level15 level2 level17), layer: 0
(sum level15 level3 level18), layer: 0
(sum level15 level4 level19), layer: 0
(sum level15 level5 level20), layer: 0
(sum level15 level6 level21), layer: 0
(sum level15 level7 level22), layer: 0
(sum level15 level8 level23), layer: 0
(sum level15 level9 level24), layer: 0
(sum level15 level10 level25), layer: 0
(sum level15 level11 level26), layer: 0
(sum level15 level12 level27), layer: 0
(sum level15 level13 level28), layer: 0
(sum level15 level14 level29), layer: 0
(sum level15 level15 level30), layer: 0
(sum level15 level16 level31), layer: 0
(sum level15 level17 level32), layer: 0
(sum level15 level18 level33), layer: 0
(sum level15 level19 level34), layer: 0
(sum level15 level20 level35), layer: 0
(sum level15 level21 level36), layer: 0
(sum level16 level0 level16), layer: 0
(sum level16 level1 level17), layer: 0
(sum level16 level2 level18), layer: 0
(sum level16 level3 level19), layer: 0
(sum level16 level4 level20), layer: 0
(sum level16 level5 level21), layer: 0
(sum level16 level6 level22), layer: 0
(sum level16 level7 level23), layer: 0
(sum level16 level8 level24), layer: 0
(sum level16 level9 level25), layer: 0
(sum level16 level10 level26), layer: 0
(sum level16 level11 level27), layer: 0
(sum level16 level12 level28), layer: 0
(sum level16 level13 level29), layer: 0
(sum level16 level14 level30), layer: 0
(sum level16 level15 level31), layer: 0
(sum level16 level16 level32), layer: 0
(sum level16 level17 level33), layer: 0
(sum level16 level18 level34), layer: 0
(sum level16 level19 level35), layer: 0
(sum level16 level20 level36), layer: 0
(sum level17 level0 level17), layer: 0
(sum level17 level1 level18), layer: 0
(sum level17 level2 level19), layer: 0
(sum level17 level3 level20), layer: 0
(sum level17 level4 level21), layer: 0
(sum level17 level5 level22), layer: 0
(sum level17 level6 level23), layer: 0
(sum level17 level7 level24), layer: 0
(sum level17 level8 level25), layer: 0
(sum level17 level9 level26), layer: 0
(sum level17 level10 level27), layer: 0
(sum level17 level11 level28), layer: 0
(sum level17 level12 level29), layer: 0
(sum level17 level13 level30), layer: 0
(sum level17 level14 level31), layer: 0
(sum level17 level15 level32), layer: 0
(sum level17 level16 level33), layer: 0
(sum level17 level17 level34), layer: 0
(sum level17 level18 level35), layer: 0
(sum level17 level19 level36), layer: 0
(sum level18 level0 level18), layer: 0
(sum level18 level1 level19), layer: 0
(sum level18 level2 level20), layer: 0
(sum level18 level3 level21), layer: 0
(sum level18 level4 level22), layer: 0
(sum level18 level5 level23), layer: 0
(sum level18 level6 level24), layer: 0
(sum level18 level7 level25), layer: 0
(sum level18 level8 level26), layer: 0
(sum level18 level9 level27), layer: 0
(sum level18 level10 level28), layer: 0
(sum level18 level11 level29), layer: 0
(sum level18 level12 level30), layer: 0
(sum level18 level13 level31), layer: 0
(sum level18 level14 level32), layer: 0
(sum level18 level15 level33), layer: 0
(sum level18 level16 level34), layer: 0
(sum level18 level17 level35), layer: 0
(sum level18 level18 level36), layer: 0
(sum level19 level0 level19), layer: 0
(sum level19 level1 level20), layer: 0
(sum level19 level2 level21), layer: 0
(sum level19 level3 level22), layer: 0
(sum level19 level4 level23), layer: 0
(sum level19 level5 level24), layer: 0
(sum level19 level6 level25), layer: 0
(sum level19 level7 level26), layer: 0
(sum level19 level8 level27), layer: 0
(sum level19 level9 level28), layer: 0
(sum level19 level10 level29), layer: 0
(sum level19 level11 level30), layer: 0
(sum level19 level12 level31), layer: 0
(sum level19 level13 level32), layer: 0
(sum level19 level14 level33), layer: 0
(sum level19 level15 level34), layer: 0
(sum level19 level16 level35), layer: 0
(sum level19 level17 level36), layer: 0
(sum level20 level0 level20), layer: 0
(sum level20 level1 level21), layer: 0
(sum level20 level2 level22), layer: 0
(sum level20 level3 level23), layer: 0
(sum level20 level4 level24), layer: 0
(sum level20 level5 level25), layer: 0
(sum level20 level6 level26), layer: 0
(sum level20 level7 level27), layer: 0
(sum level20 level8 level28), layer: 0
(sum level20 level9 level29), layer: 0
(sum level20 level10 level30), layer: 0
(sum level20 level11 level31), layer: 0
(sum level20 level12 level32), layer: 0
(sum level20 level13 level33), layer: 0
(sum level20 level14 level34), layer: 0
(sum level20 level15 level35), layer: 0
(sum level20 level16 level36), layer: 0
(sum level21 level0 level21), layer: 0
(sum level21 level1 level22), layer: 0
(sum level21 level2 level23), layer: 0
(sum level21 level3 level24), layer: 0
(sum level21 level4 level25), layer: 0
(sum level21 level5 level26), layer: 0
(sum level21 level6 level27), layer: 0
(sum level21 level7 level28), layer: 0
(sum level21 level8 level29), layer: 0
(sum level21 level9 level30), layer: 0
(sum level21 level10 level31), layer: 0
(sum level21 level11 level32), layer: 0
(sum level21 level12 level33), layer: 0
(sum level21 level13 level34), layer: 0
(sum level21 level14 level35), layer: 0
(sum level21 level15 level36), layer: 0
(sum level22 level0 level22), layer: 0
(sum level22 level1 level23), layer: 0
(sum level22 level2 level24), layer: 0
(sum level22 level3 level25), layer: 0
(sum level22 level4 level26), layer: 0
(sum level22 level5 level27), layer: 0
(sum level22 level6 level28), layer: 0
(sum level22 level7 level29), layer: 0
(sum level22 level8 level30), layer: 0
(sum level22 level9 level31), layer: 0
(sum level22 level10 level32), layer: 0
(sum level22 level11 level33), layer: 0
(sum level22 level12 level34), layer: 0
(sum level22 level13 level35), layer: 0
(sum level22 level14 level36), layer: 0
(sum level23 level0 level23), layer: 0
(sum level23 level1 level24), layer: 0
(sum level23 level2 level25), layer: 0
(sum level23 level3 level26), layer: 0
(sum level23 level4 level27), layer: 0
(sum level23 level5 level28), layer: 0
(sum level23 level6 level29), layer: 0
(sum level23 level7 level30), layer: 0
(sum level23 level8 level31), layer: 0
(sum level23 level9 level32), layer: 0
(sum level23 level10 level33), layer: 0
(sum level23 level11 level34), layer: 0
(sum level23 level12 level35), layer: 0
(sum level23 level13 level36), layer: 0
(sum level24 level0 level24), layer: 0
(sum level24 level1 level25), layer: 0
(sum level24 level2 level26), layer: 0
(sum level24 level3 level27), layer: 0
(sum level24 level4 level28), layer: 0
(sum level24 level5 level29), layer: 0
(sum level24 level6 level30), layer: 0
(sum level24 level7 level31), layer: 0
(sum level24 level8 level32), layer: 0
(sum level24 level9 level33), layer: 0
(sum level24 level10 level34), layer: 0
(sum level24 level11 level35), layer: 0
(sum level24 level12 level36), layer: 0
(sum level25 level0 level25), layer: 0
(sum level25 level1 level26), layer: 0
(sum level25 level2 level27), layer: 0
(sum level25 level3 level28), layer: 0
(sum level25 level4 level29), layer: 0
(sum level25 level5 level30), layer: 0
(sum level25 level6 level31), layer: 0
(sum level25 level7 level32), layer: 0
(sum level25 level8 level33), layer: 0
(sum level25 level9 level34), layer: 0
(sum level25 level10 level35), layer: 0
(sum level25 level11 level36), layer: 0
(sum level26 level0 level26), layer: 0
(sum level26 level1 level27), layer: 0
(sum level26 level2 level28), layer: 0
(sum level26 level3 level29), layer: 0
(sum level26 level4 level30), layer: 0
(sum level26 level5 level31), layer: 0
(sum level26 level6 level32), layer: 0
(sum level26 level7 level33), layer: 0
(sum level26 level8 level34), layer: 0
(sum level26 level9 level35), layer: 0
(sum level26 level10 level36), layer: 0
(sum level27 level0 level27), layer: 0
(sum level27 level1 level28), layer: 0
(sum level27 level2 level29), layer: 0
(sum level27 level3 level30), layer: 0
(sum level27 level4 level31), layer: 0
(sum level27 level5 level32), layer: 0
(sum level27 level6 level33), layer: 0
(sum level27 level7 level34), layer: 0
(sum level27 level8 level35), layer: 0
(sum level27 level9 level36), layer: 0
(sum level28 level0 level28), layer: 0
(sum level28 level1 level29), layer: 0
(sum level28 level2 level30), layer: 0
(sum level28 level3 level31), layer: 0
(sum level28 level4 level32), layer: 0
(sum level28 level5 level33), layer: 0
(sum level28 level6 level34), layer: 0
(sum level28 level7 level35), layer: 0
(sum level28 level8 level36), layer: 0
(sum level29 level0 level29), layer: 0
(sum level29 level1 level30), layer: 0
(sum level29 level2 level31), layer: 0
(sum level29 level3 level32), layer: 0
(sum level29 level4 level33), layer: 0
(sum level29 level5 level34), layer: 0
(sum level29 level6 level35), layer: 0
(sum level29 level7 level36), layer: 0
(sum level30 level0 level30), layer: 0
(sum level30 level1 level31), layer: 0
(sum level30 level2 level32), layer: 0
(sum level30 level3 level33), layer: 0
(sum level30 level4 level34), layer: 0
(sum level30 level5 level35), layer: 0
(sum level30 level6 level36), layer: 0
(sum level31 level0 level31), layer: 0
(sum level31 level1 level32), layer: 0
(sum level31 level2 level33), layer: 0
(sum level31 level3 level34), layer: 0
(sum level31 level4 level35), layer: 0
(sum level31 level5 level36), layer: 0
(sum level32 level0 level32), layer: 0
(sum level32 level1 level33), layer: 0
(sum level32 level2 level34), layer: 0
(sum level32 level3 level35), layer: 0
(sum level32 level4 level36), layer: 0
(sum level33 level0 level33), layer: 0
(sum level33 level1 level34), layer: 0
(sum level33 level2 level35), layer: 0
(sum level33 level3 level36), layer: 0
(sum level34 level0 level34), layer: 0
(sum level34 level1 level35), layer: 0
(sum level34 level2 level36), layer: 0
(sum level35 level0 level35), layer: 0
(sum level35 level1 level36), layer: 0
(sum level36 level0 level36), layer: 0
(connected l0 l1), layer: 0
(fuelcost level13 l0 l1), layer: 0
(connected l0 l2), layer: 0
(fuelcost level2 l0 l2), layer: 0
(connected l0 l3), layer: 0
(fuelcost level18 l0 l3), layer: 0
(connected l1 l0), layer: 0
(fuelcost level13 l1 l0), layer: 0
(connected l1 l2), layer: 0
(fuelcost level3 l1 l2), layer: 0
(connected l1 l3), layer: 0
(fuelcost level11 l1 l3), layer: 0
(connected l2 l0), layer: 0
(fuelcost level2 l2 l0), layer: 0
(connected l2 l1), layer: 0
(fuelcost level3 l2 l1), layer: 0
(connected l2 l3), layer: 0
(fuelcost level6 l2 l3), layer: 0
(connected l3 l0), layer: 0
(fuelcost level18 l3 l0), layer: 0
(connected l3 l1), layer: 0
(fuelcost level11 l3 l1), layer: 0
(connected l3 l2), layer: 0
(fuelcost level6 l3 l2), layer: 0
