(saved data-0-1 server2), layer: 0
(script-io script16 data-1-8 data-0-4 data-2-7), layer: 0
(script-io script17 data-0-1 data-0-10 data-1-2), layer: 0
(script-io script18 data-0-9 data-0-10 data-1-3), layer: 0
(script-io script19 data-0-1 data-0-9 data-1-2), layer: 0
(script-io script20 data-1-2 data-1-3 data-2-6), layer: 0
(connected server1 server2), layer: 0
(connected server2 server1), layer: 0
(connected server1 server3), layer: 0
(connected server3 server1), layer: 0
(connected server1 server4), layer: 0
(connected server4 server1), layer: 0
(connected server1 server5), layer: 0
(connected server5 server1), layer: 0
(connected server1 server6), layer: 0
(connected server6 server1), layer: 0
(connected server1 server7), layer: 0
(connected server7 server1), layer: 0
(connected server2 server3), layer: 0
(connected server3 server2), layer: 0
(connected server3 server4), layer: 0
(connected server4 server3), layer: 0
(connected server4 server5), layer: 0
(connected server5 server4), layer: 0
(connected server5 server6), layer: 0
(connected server6 server5), layer: 0
(connected server6 server7), layer: 0
(connected server7 server6), layer: 0
(connected server7 server2), layer: 0
(connected server2 server7), layer: 0
(data-size data-0-1 number1), layer: 0
(data-size data-0-4 number5), layer: 0
(data-size data-0-9 number3), layer: 0
(data-size data-0-10 number3), layer: 0
(data-size data-1-2 number3), layer: 0
(data-size data-1-3 number2), layer: 0
(data-size data-1-8 number1), layer: 0
(data-size data-2-5 number4), layer: 0
(data-size data-2-6 number3), layer: 0
(data-size data-2-7 number3), layer: 0
(capacity server1 number16), layer: 0
(capacity server2 number8), layer: 0
(capacity server3 number8), layer: 0
(capacity server4 number8), layer: 0
(capacity server5 number8), layer: 0
(capacity server6 number8), layer: 0
(capacity server7 number8), layer: 0
(sum number0 number1 number1), layer: 0
(sum number0 number2 number2), layer: 0
(sum number0 number3 number3), layer: 0
(sum number0 number4 number4), layer: 0
(sum number0 number5 number5), layer: 0
(sum number1 number1 number2), layer: 0
(sum number1 number2 number3), layer: 0
(sum number1 number3 number4), layer: 0
(sum number1 number4 number5), layer: 0
(sum number1 number5 number6), layer: 0
(sum number2 number1 number3), layer: 0
(sum number2 number2 number4), layer: 0
(sum number2 number3 number5), layer: 0
(sum number2 number4 number6), layer: 0
(sum number2 number5 number7), layer: 0
(sum number3 number1 number4), layer: 0
(sum number3 number2 number5), layer: 0
(sum number3 number3 number6), layer: 0
(sum number3 number4 number7), layer: 0
(sum number3 number5 number8), layer: 0
(sum number4 number1 number5), layer: 0
(sum number4 number2 number6), layer: 0
(sum number4 number3 number7), layer: 0
(sum number4 number4 number8), layer: 0
(sum number4 number5 number9), layer: 0
(sum number5 number1 number6), layer: 0
(sum number5 number2 number7), layer: 0
(sum number5 number3 number8), layer: 0
(sum number5 number4 number9), layer: 0
(sum number5 number5 number10), layer: 0
(sum number6 number1 number7), layer: 0
(sum number6 number2 number8), layer: 0
(sum number6 number3 number9), layer: 0
(sum number6 number4 number10), layer: 0
(sum number6 number5 number11), layer: 0
(sum number7 number1 number8), layer: 0
(sum number7 number2 number9), layer: 0
(sum number7 number3 number10), layer: 0
(sum number7 number4 number11), layer: 0
(sum number7 number5 number12), layer: 0
(sum number8 number1 number9), layer: 0
(sum number8 number2 number10), layer: 0
(sum number8 number3 number11), layer: 0
(sum number8 number4 number12), layer: 0
(sum number8 number5 number13), layer: 0
(sum number9 number1 number10), layer: 0
(sum number9 number2 number11), layer: 0
(sum number9 number3 number12), layer: 0
(sum number9 number4 number13), layer: 0
(sum number9 number5 number14), layer: 0
(sum number10 number1 number11), layer: 0
(sum number10 number2 number12), layer: 0
(sum number10 number3 number13), layer: 0
(sum number10 number4 number14), layer: 0
(sum number10 number5 number15), layer: 0
(sum number11 number1 number12), layer: 0
(sum number11 number2 number13), layer: 0
(sum number11 number3 number14), layer: 0
(sum number11 number4 number15), layer: 0
(sum number11 number5 number16), layer: 0
(sum number12 number1 number13), layer: 0
(sum number12 number2 number14), layer: 0
(sum number12 number3 number15), layer: 0
(sum number12 number4 number16), layer: 0
(sum number13 number1 number14), layer: 0
(sum number13 number2 number15), layer: 0
(sum number13 number3 number16), layer: 0
(sum number14 number1 number15), layer: 0
(sum number14 number2 number16), layer: 0
(sum number15 number1 number16), layer: 0
(less-equal number1 number8), layer: 0
(less-equal number1 number16), layer: 0
(less-equal number2 number8), layer: 0
(less-equal number2 number16), layer: 0
(less-equal number3 number8), layer: 0
(less-equal number3 number16), layer: 0
(less-equal number4 number8), layer: 0
(less-equal number4 number16), layer: 0
(less-equal number5 number8), layer: 0
(less-equal number5 number16), layer: 0
(less-equal number6 number8), layer: 0
(less-equal number6 number16), layer: 0
(less-equal number7 number8), layer: 0
(less-equal number7 number16), layer: 0
(less-equal number8 number8), layer: 0
(less-equal number8 number16), layer: 0
(less-equal number9 number16), layer: 0
(less-equal number10 number16), layer: 0
(less-equal number11 number16), layer: 0
(less-equal number12 number16), layer: 0
(less-equal number13 number16), layer: 0
(less-equal number14 number16), layer: 0
(less-equal number15 number16), layer: 0
(less-equal number16 number16), layer: 0
