(at_soil_sample waypoint3), layer: 0
(energycost level19 waypoint10 waypoint2), layer: 0
(energycost level2 waypoint3 waypoint6), layer: 0
(energycost level2 waypoint6 waypoint3), layer: 0
(energycost level10 waypoint3 waypoint8), layer: 0
(energycost level10 waypoint8 waypoint3), layer: 0
(energycost level4 waypoint3 waypoint9), layer: 0
(energycost level4 waypoint9 waypoint3), layer: 0
(energycost level4 waypoint3 waypoint10), layer: 0
(energycost level4 waypoint10 waypoint3), layer: 0
(energycost level14 waypoint3 waypoint11), layer: 0
(energycost level14 waypoint11 waypoint3), layer: 0
(energycost level17 waypoint4 waypoint7), layer: 0
(energycost level17 waypoint7 waypoint4), layer: 0
(energycost level19 waypoint4 waypoint11), layer: 0
(energycost level19 waypoint11 waypoint4), layer: 0
(energycost level23 waypoint5 waypoint8), layer: 0
(energycost level23 waypoint8 waypoint5), layer: 0
(energycost level16 waypoint5 waypoint9), layer: 0
(energycost level16 waypoint9 waypoint5), layer: 0
(energycost level18 waypoint5 waypoint11), layer: 0
(energycost level18 waypoint11 waypoint5), layer: 0
(energycost level5 waypoint6 waypoint7), layer: 0
(energycost level5 waypoint7 waypoint6), layer: 0
(energycost level19 waypoint6 waypoint8), layer: 0
(energycost level19 waypoint8 waypoint6), layer: 0
(energycost level2 waypoint6 waypoint9), layer: 0
(energycost level2 waypoint9 waypoint6), layer: 0
(energycost level8 waypoint6 waypoint11), layer: 0
(energycost level8 waypoint11 waypoint6), layer: 0
(energycost level7 waypoint7 waypoint9), layer: 0
(energycost level7 waypoint9 waypoint7), layer: 0
(energycost level16 waypoint7 waypoint10), layer: 0
(energycost level16 waypoint10 waypoint7), layer: 0
(energycost level8 waypoint7 waypoint11), layer: 0
(energycost level8 waypoint11 waypoint7), layer: 0
(energycost level22 waypoint8 waypoint9), layer: 0
(energycost level22 waypoint9 waypoint8), layer: 0
(energycost level11 waypoint8 waypoint10), layer: 0
(energycost level11 waypoint10 waypoint8), layer: 0
(energycost level16 waypoint9 waypoint10), layer: 0
(energycost level16 waypoint10 waypoint9), layer: 0
(energycost level9 waypoint10 waypoint11), layer: 0
(energycost level9 waypoint11 waypoint10), layer: 0
(sum level0 level0 level0), layer: 0
(sum level0 level1 level1), layer: 0
(sum level0 level2 level2), layer: 0
(sum level0 level3 level3), layer: 0
(sum level0 level4 level4), layer: 0
(sum level0 level5 level5), layer: 0
(sum level0 level6 level6), layer: 0
(sum level0 level7 level7), layer: 0
(sum level0 level8 level8), layer: 0
(sum level0 level9 level9), layer: 0
(sum level0 level10 level10), layer: 0
(sum level0 level11 level11), layer: 0
(sum level0 level12 level12), layer: 0
(sum level0 level13 level13), layer: 0
(sum level0 level14 level14), layer: 0
(sum level0 level15 level15), layer: 0
(sum level0 level16 level16), layer: 0
(sum level0 level17 level17), layer: 0
(sum level0 level18 level18), layer: 0
(sum level0 level19 level19), layer: 0
(sum level0 level20 level20), layer: 0
(sum level0 level21 level21), layer: 0
(sum level0 level22 level22), layer: 0
(sum level0 level23 level23), layer: 0
(sum level0 level24 level24), layer: 0
(sum level0 level25 level25), layer: 0
(sum level0 level26 level26), layer: 0
(sum level0 level27 level27), layer: 0
(sum level0 level28 level28), layer: 0
(sum level0 level29 level29), layer: 0
(sum level0 level30 level30), layer: 0
(sum level0 level31 level31), layer: 0
(sum level0 level32 level32), layer: 0
(sum level0 level33 level33), layer: 0
(sum level0 level34 level34), layer: 0
(sum level0 level35 level35), layer: 0
(sum level0 level36 level36), layer: 0
(sum level0 level37 level37), layer: 0
(sum level0 level38 level38), layer: 0
(sum level0 level39 level39), layer: 0
(sum level0 level40 level40), layer: 0
(sum level0 level41 level41), layer: 0
(sum level0 level42 level42), layer: 0
(sum level0 level43 level43), layer: 0
(sum level0 level44 level44), layer: 0
(sum level0 level45 level45), layer: 0
(sum level0 level46 level46), layer: 0
(sum level0 level47 level47), layer: 0
(sum level0 level48 level48), layer: 0
(sum level0 level49 level49), layer: 0
(sum level0 level50 level50), layer: 0
(sum level1 level0 level1), layer: 0
(sum level1 level1 level2), layer: 0
(sum level1 level2 level3), layer: 0
(sum level1 level3 level4), layer: 0
(sum level1 level4 level5), layer: 0
(sum level1 level5 level6), layer: 0
(sum level1 level6 level7), layer: 0
(sum level1 level7 level8), layer: 0
(sum level1 level8 level9), layer: 0
(sum level1 level9 level10), layer: 0
(sum level1 level10 level11), layer: 0
(sum level1 level11 level12), layer: 0
(sum level1 level12 level13), layer: 0
(sum level1 level13 level14), layer: 0
(sum level1 level14 level15), layer: 0
(sum level1 level15 level16), layer: 0
(sum level1 level16 level17), layer: 0
(sum level1 level17 level18), layer: 0
(sum level1 level18 level19), layer: 0
(sum level1 level19 level20), layer: 0
(sum level1 level20 level21), layer: 0
(sum level1 level21 level22), layer: 0
(sum level1 level22 level23), layer: 0
(sum level1 level23 level24), layer: 0
(sum level1 level24 level25), layer: 0
(sum level1 level25 level26), layer: 0
(sum level1 level26 level27), layer: 0
(sum level1 level27 level28), layer: 0
(sum level1 level28 level29), layer: 0
(sum level1 level29 level30), layer: 0
(sum level1 level30 level31), layer: 0
(sum level1 level31 level32), layer: 0
(sum level1 level32 level33), layer: 0
(sum level1 level33 level34), layer: 0
(sum level1 level34 level35), layer: 0
(sum level1 level35 level36), layer: 0
(sum level1 level36 level37), layer: 0
(sum level1 level37 level38), layer: 0
(sum level1 level38 level39), layer: 0
(sum level1 level39 level40), layer: 0
(sum level1 level40 level41), layer: 0
(sum level1 level41 level42), layer: 0
(sum level1 level42 level43), layer: 0
(sum level1 level43 level44), layer: 0
(sum level1 level44 level45), layer: 0
(sum level1 level45 level46), layer: 0
(sum level1 level46 level47), layer: 0
(sum level1 level47 level48), layer: 0
(sum level1 level48 level49), layer: 0
(sum level1 level49 level50), layer: 0
(sum level2 level0 level2), layer: 0
(sum level2 level1 level3), layer: 0
(sum level2 level2 level4), layer: 0
(sum level2 level3 level5), layer: 0
(sum level2 level4 level6), layer: 0
(sum level2 level5 level7), layer: 0
(sum level2 level6 level8), layer: 0
(sum level2 level7 level9), layer: 0
(sum level2 level8 level10), layer: 0
(sum level2 level9 level11), layer: 0
(sum level2 level10 level12), layer: 0
(sum level2 level11 level13), layer: 0
(sum level2 level12 level14), layer: 0
(sum level2 level13 level15), layer: 0
(sum level2 level14 level16), layer: 0
(sum level2 level15 level17), layer: 0
(sum level2 level16 level18), layer: 0
(sum level2 level17 level19), layer: 0
(sum level2 level18 level20), layer: 0
(sum level2 level19 level21), layer: 0
(sum level2 level20 level22), layer: 0
(sum level2 level21 level23), layer: 0
(sum level2 level22 level24), layer: 0
(sum level2 level23 level25), layer: 0
(sum level2 level24 level26), layer: 0
(sum level2 level25 level27), layer: 0
(sum level2 level26 level28), layer: 0
(sum level2 level27 level29), layer: 0
(sum level2 level28 level30), layer: 0
(sum level2 level29 level31), layer: 0
(sum level2 level30 level32), layer: 0
(sum level2 level31 level33), layer: 0
(sum level2 level32 level34), layer: 0
(sum level2 level33 level35), layer: 0
(sum level2 level34 level36), layer: 0
(sum level2 level35 level37), layer: 0
(sum level2 level36 level38), layer: 0
(sum level2 level37 level39), layer: 0
(sum level2 level38 level40), layer: 0
(sum level2 level39 level41), layer: 0
(sum level2 level40 level42), layer: 0
(sum level2 level41 level43), layer: 0
(sum level2 level42 level44), layer: 0
(sum level2 level43 level45), layer: 0
(sum level2 level44 level46), layer: 0
(sum level2 level45 level47), layer: 0
(sum level2 level46 level48), layer: 0
(sum level2 level47 level49), layer: 0
(sum level2 level48 level50), layer: 0
(sum level3 level0 level3), layer: 0
(sum level3 level1 level4), layer: 0
(sum level3 level2 level5), layer: 0
(sum level3 level3 level6), layer: 0
(sum level3 level4 level7), layer: 0
(sum level3 level5 level8), layer: 0
(sum level3 level6 level9), layer: 0
(sum level3 level7 level10), layer: 0
(sum level3 level8 level11), layer: 0
(sum level3 level9 level12), layer: 0
(sum level3 level10 level13), layer: 0
(sum level3 level11 level14), layer: 0
(sum level3 level12 level15), layer: 0
(sum level3 level13 level16), layer: 0
(sum level3 level14 level17), layer: 0
(sum level3 level15 level18), layer: 0
(sum level3 level16 level19), layer: 0
(sum level3 level17 level20), layer: 0
(sum level3 level18 level21), layer: 0
(sum level3 level19 level22), layer: 0
(sum level3 level20 level23), layer: 0
(sum level3 level21 level24), layer: 0
(sum level3 level22 level25), layer: 0
(sum level3 level23 level26), layer: 0
(sum level3 level24 level27), layer: 0
(sum level3 level25 level28), layer: 0
(sum level3 level26 level29), layer: 0
(sum level3 level27 level30), layer: 0
(sum level3 level28 level31), layer: 0
(sum level3 level29 level32), layer: 0
(sum level3 level30 level33), layer: 0
(sum level3 level31 level34), layer: 0
(sum level3 level32 level35), layer: 0
(sum level3 level33 level36), layer: 0
(sum level3 level34 level37), layer: 0
(sum level3 level35 level38), layer: 0
(sum level3 level36 level39), layer: 0
(sum level3 level37 level40), layer: 0
(sum level3 level38 level41), layer: 0
(sum level3 level39 level42), layer: 0
(sum level3 level40 level43), layer: 0
(sum level3 level41 level44), layer: 0
(sum level3 level42 level45), layer: 0
(sum level3 level43 level46), layer: 0
(sum level3 level44 level47), layer: 0
(sum level3 level45 level48), layer: 0
(sum level3 level46 level49), layer: 0
(sum level3 level47 level50), layer: 0
(sum level4 level0 level4), layer: 0
(sum level4 level1 level5), layer: 0
(sum level4 level2 level6), layer: 0
(sum level4 level3 level7), layer: 0
(sum level4 level4 level8), layer: 0
(sum level4 level5 level9), layer: 0
(sum level4 level6 level10), layer: 0
(sum level4 level7 level11), layer: 0
(sum level4 level8 level12), layer: 0
(sum level4 level9 level13), layer: 0
(sum level4 level10 level14), layer: 0
(sum level4 level11 level15), layer: 0
(sum level4 level12 level16), layer: 0
(sum level4 level13 level17), layer: 0
(sum level4 level14 level18), layer: 0
(sum level4 level15 level19), layer: 0
(sum level4 level16 level20), layer: 0
(sum level4 level17 level21), layer: 0
(sum level4 level18 level22), layer: 0
(sum level4 level19 level23), layer: 0
(sum level4 level20 level24), layer: 0
(sum level4 level21 level25), layer: 0
(sum level4 level22 level26), layer: 0
(sum level4 level23 level27), layer: 0
(sum level4 level24 level28), layer: 0
(sum level4 level25 level29), layer: 0
(sum level4 level26 level30), layer: 0
(sum level4 level27 level31), layer: 0
(sum level4 level28 level32), layer: 0
(sum level4 level29 level33), layer: 0
(sum level4 level30 level34), layer: 0
(sum level4 level31 level35), layer: 0
(sum level4 level32 level36), layer: 0
(sum level4 level33 level37), layer: 0
(sum level4 level34 level38), layer: 0
(sum level4 level35 level39), layer: 0
(sum level4 level36 level40), layer: 0
(sum level4 level37 level41), layer: 0
(sum level4 level38 level42), layer: 0
(sum level4 level39 level43), layer: 0
(sum level4 level40 level44), layer: 0
(sum level4 level41 level45), layer: 0
(sum level4 level42 level46), layer: 0
(sum level4 level43 level47), layer: 0
(sum level4 level44 level48), layer: 0
(sum level4 level45 level49), layer: 0
(sum level4 level46 level50), layer: 0
(sum level5 level0 level5), layer: 0
(sum level5 level1 level6), layer: 0
(sum level5 level2 level7), layer: 0
(sum level5 level3 level8), layer: 0
(sum level5 level4 level9), layer: 0
(sum level5 level5 level10), layer: 0
(sum level5 level6 level11), layer: 0
(sum level5 level7 level12), layer: 0
(sum level5 level8 level13), layer: 0
(sum level5 level9 level14), layer: 0
(sum level5 level10 level15), layer: 0
(sum level5 level11 level16), layer: 0
(sum level5 level12 level17), layer: 0
(sum level5 level13 level18), layer: 0
(sum level5 level14 level19), layer: 0
(sum level5 level15 level20), layer: 0
(sum level5 level16 level21), layer: 0
(sum level5 level17 level22), layer: 0
(sum level5 level18 level23), layer: 0
(sum level5 level19 level24), layer: 0
(sum level5 level20 level25), layer: 0
(sum level5 level21 level26), layer: 0
(sum level5 level22 level27), layer: 0
(sum level5 level23 level28), layer: 0
(sum level5 level24 level29), layer: 0
(sum level5 level25 level30), layer: 0
(sum level5 level26 level31), layer: 0
(sum level5 level27 level32), layer: 0
(sum level5 level28 level33), layer: 0
(sum level5 level29 level34), layer: 0
(sum level5 level30 level35), layer: 0
(sum level5 level31 level36), layer: 0
(sum level5 level32 level37), layer: 0
(sum level5 level33 level38), layer: 0
(sum level5 level34 level39), layer: 0
(sum level5 level35 level40), layer: 0
(sum level5 level36 level41), layer: 0
(sum level5 level37 level42), layer: 0
(sum level5 level38 level43), layer: 0
(sum level5 level39 level44), layer: 0
(sum level5 level40 level45), layer: 0
(sum level5 level41 level46), layer: 0
(sum level5 level42 level47), layer: 0
(sum level5 level43 level48), layer: 0
(sum level5 level44 level49), layer: 0
(sum level5 level45 level50), layer: 0
(sum level6 level0 level6), layer: 0
(sum level6 level1 level7), layer: 0
(sum level6 level2 level8), layer: 0
(sum level6 level3 level9), layer: 0
(sum level6 level4 level10), layer: 0
(sum level6 level5 level11), layer: 0
(sum level6 level6 level12), layer: 0
(sum level6 level7 level13), layer: 0
(sum level6 level8 level14), layer: 0
(sum level6 level9 level15), layer: 0
(sum level6 level10 level16), layer: 0
(sum level6 level11 level17), layer: 0
(sum level6 level12 level18), layer: 0
(sum level6 level13 level19), layer: 0
(sum level6 level14 level20), layer: 0
(sum level6 level15 level21), layer: 0
(sum level6 level16 level22), layer: 0
(sum level6 level17 level23), layer: 0
(sum level6 level18 level24), layer: 0
(sum level6 level19 level25), layer: 0
(sum level6 level20 level26), layer: 0
(sum level6 level21 level27), layer: 0
(sum level6 level22 level28), layer: 0
(sum level6 level23 level29), layer: 0
(sum level6 level24 level30), layer: 0
(sum level6 level25 level31), layer: 0
(sum level6 level26 level32), layer: 0
(sum level6 level27 level33), layer: 0
(sum level6 level28 level34), layer: 0
(sum level6 level29 level35), layer: 0
(sum level6 level30 level36), layer: 0
(sum level6 level31 level37), layer: 0
(sum level6 level32 level38), layer: 0
(sum level6 level33 level39), layer: 0
(sum level6 level34 level40), layer: 0
(sum level6 level35 level41), layer: 0
(sum level6 level36 level42), layer: 0
(sum level6 level37 level43), layer: 0
(sum level6 level38 level44), layer: 0
(sum level6 level39 level45), layer: 0
(sum level6 level40 level46), layer: 0
(sum level6 level41 level47), layer: 0
(sum level6 level42 level48), layer: 0
(sum level6 level43 level49), layer: 0
(sum level6 level44 level50), layer: 0
(sum level7 level0 level7), layer: 0
(sum level7 level1 level8), layer: 0
(sum level7 level2 level9), layer: 0
(sum level7 level3 level10), layer: 0
(sum level7 level4 level11), layer: 0
(sum level7 level5 level12), layer: 0
(sum level7 level6 level13), layer: 0
(sum level7 level7 level14), layer: 0
(sum level7 level8 level15), layer: 0
(sum level7 level9 level16), layer: 0
(sum level7 level10 level17), layer: 0
(sum level7 level11 level18), layer: 0
(sum level7 level12 level19), layer: 0
(sum level7 level13 level20), layer: 0
(sum level7 level14 level21), layer: 0
(sum level7 level15 level22), layer: 0
(sum level7 level16 level23), layer: 0
(sum level7 level17 level24), layer: 0
(sum level7 level18 level25), layer: 0
(sum level7 level19 level26), layer: 0
(sum level7 level20 level27), layer: 0
(sum level7 level21 level28), layer: 0
(sum level7 level22 level29), layer: 0
(sum level7 level23 level30), layer: 0
(sum level7 level24 level31), layer: 0
(sum level7 level25 level32), layer: 0
(sum level7 level26 level33), layer: 0
(sum level7 level27 level34), layer: 0
(sum level7 level28 level35), layer: 0
(sum level7 level29 level36), layer: 0
(sum level7 level30 level37), layer: 0
(sum level7 level31 level38), layer: 0
(sum level7 level32 level39), layer: 0
(sum level7 level33 level40), layer: 0
(sum level7 level34 level41), layer: 0
(sum level7 level35 level42), layer: 0
(sum level7 level36 level43), layer: 0
(sum level7 level37 level44), layer: 0
(sum level7 level38 level45), layer: 0
(sum level7 level39 level46), layer: 0
(sum level7 level40 level47), layer: 0
(sum level7 level41 level48), layer: 0
(sum level7 level42 level49), layer: 0
(sum level7 level43 level50), layer: 0
(sum level8 level0 level8), layer: 0
(sum level8 level1 level9), layer: 0
(sum level8 level2 level10), layer: 0
(sum level8 level3 level11), layer: 0
(sum level8 level4 level12), layer: 0
(sum level8 level5 level13), layer: 0
(sum level8 level6 level14), layer: 0
(sum level8 level7 level15), layer: 0
(sum level8 level8 level16), layer: 0
(sum level8 level9 level17), layer: 0
(sum level8 level10 level18), layer: 0
(sum level8 level11 level19), layer: 0
(sum level8 level12 level20), layer: 0
(sum level8 level13 level21), layer: 0
(sum level8 level14 level22), layer: 0
(sum level8 level15 level23), layer: 0
(sum level8 level16 level24), layer: 0
(sum level8 level17 level25), layer: 0
(sum level8 level18 level26), layer: 0
(sum level8 level19 level27), layer: 0
(sum level8 level20 level28), layer: 0
(sum level8 level21 level29), layer: 0
(sum level8 level22 level30), layer: 0
(sum level8 level23 level31), layer: 0
(sum level8 level24 level32), layer: 0
(sum level8 level25 level33), layer: 0
(sum level8 level26 level34), layer: 0
(sum level8 level27 level35), layer: 0
(sum level8 level28 level36), layer: 0
(sum level8 level29 level37), layer: 0
(sum level8 level30 level38), layer: 0
(sum level8 level31 level39), layer: 0
(sum level8 level32 level40), layer: 0
(sum level8 level33 level41), layer: 0
(sum level8 level34 level42), layer: 0
(sum level8 level35 level43), layer: 0
(sum level8 level36 level44), layer: 0
(sum level8 level37 level45), layer: 0
(sum level8 level38 level46), layer: 0
(sum level8 level39 level47), layer: 0
(sum level8 level40 level48), layer: 0
(sum level8 level41 level49), layer: 0
(sum level8 level42 level50), layer: 0
(sum level9 level0 level9), layer: 0
(sum level9 level1 level10), layer: 0
(sum level9 level2 level11), layer: 0
(sum level9 level3 level12), layer: 0
(sum level9 level4 level13), layer: 0
(sum level9 level5 level14), layer: 0
(sum level9 level6 level15), layer: 0
(sum level9 level7 level16), layer: 0
(sum level9 level8 level17), layer: 0
(sum level9 level9 level18), layer: 0
(sum level9 level10 level19), layer: 0
(sum level9 level11 level20), layer: 0
(sum level9 level12 level21), layer: 0
(sum level9 level13 level22), layer: 0
(sum level9 level14 level23), layer: 0
(sum level9 level15 level24), layer: 0
(sum level9 level16 level25), layer: 0
(sum level9 level17 level26), layer: 0
(sum level9 level18 level27), layer: 0
(sum level9 level19 level28), layer: 0
(sum level9 level20 level29), layer: 0
(sum level9 level21 level30), layer: 0
(sum level9 level22 level31), layer: 0
(sum level9 level23 level32), layer: 0
(sum level9 level24 level33), layer: 0
(sum level9 level25 level34), layer: 0
(sum level9 level26 level35), layer: 0
(sum level9 level27 level36), layer: 0
(sum level9 level28 level37), layer: 0
(sum level9 level29 level38), layer: 0
(sum level9 level30 level39), layer: 0
(sum level9 level31 level40), layer: 0
(sum level9 level32 level41), layer: 0
(sum level9 level33 level42), layer: 0
(sum level9 level34 level43), layer: 0
(sum level9 level35 level44), layer: 0
(sum level9 level36 level45), layer: 0
(sum level9 level37 level46), layer: 0
(sum level9 level38 level47), layer: 0
(sum level9 level39 level48), layer: 0
(sum level9 level40 level49), layer: 0
(sum level9 level41 level50), layer: 0
(sum level10 level0 level10), layer: 0
(sum level10 level1 level11), layer: 0
(sum level10 level2 level12), layer: 0
(sum level10 level3 level13), layer: 0
(sum level10 level4 level14), layer: 0
