(empty highspeed-saw0), layer: 0
(wood p7 walnut), layer: 1
(wood p8 walnut), layer: 1
(wood p9 walnut), layer: 1
(available p3), layer: 1
(wood p3 teak), layer: 1
(surface-condition p3 rough), layer: 1
(colour p3 natural), layer: 1
(treatment p3 untreated), layer: 1
(boardsize b0 s6), layer: 1
(available p4), layer: 1
(wood p4 teak), layer: 1
(surface-condition p4 rough), layer: 1
(colour p4 natural), layer: 1
(treatment p4 untreated), layer: 1
(available p5), layer: 1
(wood p5 teak), layer: 1
(surface-condition p5 rough), layer: 1
(colour p5 natural), layer: 1
(treatment p5 untreated), layer: 1
(wood p3 pine), layer: 1
(boardsize b2 s5), layer: 1
(wood p4 pine), layer: 1
(wood p5 pine), layer: 1
(wood p3 walnut), layer: 1
(boardsize b3 s1), layer: 1
(wood p4 walnut), layer: 1
(wood p5 walnut), layer: 1
(colour p6 mauve), layer: 2
(colour p6 white), layer: 2
(treatment p6 glazed), layer: 2
(colour p6 red), layer: 2
(colour p6 green), layer: 2
(colour p6 black), layer: 2
(treatment p2 glazed), layer: 2
(colour p2 red), layer: 2
(colour p2 green), layer: 2
(colour p2 black), layer: 2
(colour p2 mauve), layer: 2
(treatment p10 glazed), layer: 2
(colour p10 red), layer: 2
(colour p10 green), layer: 2
(colour p10 black), layer: 2
(colour p10 mauve), layer: 2
(treatment p0 glazed), layer: 2
(colour p0 red), layer: 2
(colour p0 green), layer: 2
(colour p0 black), layer: 2
(colour p0 mauve), layer: 2
(treatment p1 glazed), layer: 2
(colour p1 red), layer: 2
(colour p1 green), layer: 2
(colour p1 black), layer: 2
(colour p1 mauve), layer: 2
(treatment p7 glazed), layer: 2
(colour p7 red), layer: 2
(colour p7 green), layer: 2
(colour p7 black), layer: 2
(colour p7 mauve), layer: 2
(treatment p8 glazed), layer: 2
(colour p8 red), layer: 2
(colour p8 green), layer: 2
(colour p8 black), layer: 2
(colour p8 mauve), layer: 2
(treatment p9 glazed), layer: 2
(colour p9 red), layer: 2
(colour p9 green), layer: 2
(colour p9 black), layer: 2
(colour p9 mauve), layer: 2
(treatment p3 glazed), layer: 2
(colour p3 red), layer: 2
(colour p3 green), layer: 2
(colour p3 black), layer: 2
(colour p3 mauve), layer: 2
(treatment p4 glazed), layer: 2
(colour p4 red), layer: 2
(colour p4 green), layer: 2
(colour p4 black), layer: 2
(colour p4 mauve), layer: 2
(treatment p5 glazed), layer: 2
(colour p5 red), layer: 2
(colour p5 green), layer: 2
(colour p5 black), layer: 2
(colour p5 mauve), layer: 2
(surface-condition p2 smooth), layer: 2
(surface-condition p10 smooth), layer: 2
(surface-condition p0 smooth), layer: 2
(surface-condition p1 smooth), layer: 2
(surface-condition p7 smooth), layer: 2
(surface-condition p8 smooth), layer: 2
(surface-condition p9 smooth), layer: 2
(surface-condition p3 smooth), layer: 2
(surface-condition p4 smooth), layer: 2
(surface-condition p5 smooth), layer: 2
(boardsize b0 s5), layer: 2
(boardsize b2 s4), layer: 2
(boardsize b3 s0), layer: 2
(boardsize b0 s4), layer: 2
(boardsize b2 s3), layer: 2
(boardsize b0 s3), layer: 2
(boardsize b2 s2), layer: 2
(grind-treatment-change varnished colourfragments), layer: 0
(grind-treatment-change glazed untreated), layer: 0
(grind-treatment-change untreated untreated), layer: 0
(grind-treatment-change colourfragments untreated), layer: 0
(is-smooth smooth), layer: 0
(is-smooth verysmooth), layer: 0
(boardsize-successor s0 s1), layer: 0
(boardsize-successor s1 s2), layer: 0
(boardsize-successor s2 s3), layer: 0
(boardsize-successor s3 s4), layer: 0
(boardsize-successor s4 s5), layer: 0
(boardsize-successor s5 s6), layer: 0
(boardsize-successor s6 s7), layer: 0
(boardsize-successor s7 s8), layer: 0
(boardsize-successor s8 s9), layer: 0
(has-colour glazer0 green), layer: 0
(has-colour glazer0 black), layer: 0
(has-colour glazer0 natural), layer: 0
(has-colour glazer0 red), layer: 0
(has-colour glazer0 mauve), layer: 0
(has-colour immersion-varnisher0 mauve), layer: 0
(has-colour immersion-varnisher0 white), layer: 0
(has-colour immersion-varnisher0 natural), layer: 0
(has-colour spray-varnisher0 mauve), layer: 0
(has-colour spray-varnisher0 white), layer: 0
(has-colour spray-varnisher0 natural), layer: 0
(goalsize p0 medium), layer: 0
(goalsize p1 medium), layer: 0
(goalsize p2 small), layer: 0
(goalsize p3 large), layer: 0
(goalsize p4 large), layer: 0
(goalsize p5 large), layer: 0
(goalsize p6 large), layer: 0
(goalsize p7 medium), layer: 0
(goalsize p8 medium), layer: 0
(goalsize p9 medium), layer: 0
(goalsize p10 small), layer: 0
