(at-robot loc-x3-y3), layer: 0
(connected loc-x3-y3 loc-x4-y3), layer: 0
(connected loc-x3-y3 loc-x3-y2), layer: 0
(connected loc-x3-y3 loc-x3-y4), layer: 0
(connected loc-x3-y4 loc-x2-y4), layer: 0
(connected loc-x3-y4 loc-x4-y4), layer: 0
(connected loc-x3-y4 loc-x3-y3), layer: 0
(connected loc-x3-y4 loc-x3-y5), layer: 0
(connected loc-x3-y5 loc-x2-y5), layer: 0
(connected loc-x3-y5 loc-x4-y5), layer: 0
(connected loc-x3-y5 loc-x3-y4), layer: 0
(connected loc-x4-y0 loc-x3-y0), layer: 0
(connected loc-x4-y0 loc-x5-y0), layer: 0
(connected loc-x4-y0 loc-x4-y1), layer: 0
(connected loc-x4-y1 loc-x3-y1), layer: 0
(connected loc-x4-y1 loc-x5-y1), layer: 0
(connected loc-x4-y1 loc-x4-y0), layer: 0
(connected loc-x4-y1 loc-x4-y2), layer: 0
(connected loc-x4-y2 loc-x3-y2), layer: 0
(connected loc-x4-y2 loc-x5-y2), layer: 0
(connected loc-x4-y2 loc-x4-y1), layer: 0
(connected loc-x4-y2 loc-x4-y3), layer: 0
(connected loc-x4-y3 loc-x3-y3), layer: 0
(connected loc-x4-y3 loc-x5-y3), layer: 0
(connected loc-x4-y3 loc-x4-y2), layer: 0
(connected loc-x4-y3 loc-x4-y4), layer: 0
(connected loc-x4-y4 loc-x3-y4), layer: 0
(connected loc-x4-y4 loc-x5-y4), layer: 0
(connected loc-x4-y4 loc-x4-y3), layer: 0
(connected loc-x4-y4 loc-x4-y5), layer: 0
(connected loc-x4-y5 loc-x3-y5), layer: 0
(connected loc-x4-y5 loc-x5-y5), layer: 0
(connected loc-x4-y5 loc-x4-y4), layer: 0
(connected loc-x5-y0 loc-x4-y0), layer: 0
(connected loc-x5-y0 loc-x5-y1), layer: 0
(connected loc-x5-y1 loc-x4-y1), layer: 0
(connected loc-x5-y1 loc-x5-y0), layer: 0
(connected loc-x5-y1 loc-x5-y2), layer: 0
(connected loc-x5-y2 loc-x4-y2), layer: 0
(connected loc-x5-y2 loc-x5-y1), layer: 0
(connected loc-x5-y2 loc-x5-y3), layer: 0
(connected loc-x5-y3 loc-x4-y3), layer: 0
(connected loc-x5-y3 loc-x5-y2), layer: 0
(connected loc-x5-y3 loc-x5-y4), layer: 0
(connected loc-x5-y4 loc-x4-y4), layer: 0
(connected loc-x5-y4 loc-x5-y3), layer: 0
(connected loc-x5-y4 loc-x5-y5), layer: 0
(connected loc-x5-y5 loc-x4-y5), layer: 0
(connected loc-x5-y5 loc-x5-y4), layer: 0
