(card-at card0 pos0 pos0), layer: 0
(NOT-cards-moving-south), layer: 0
(NOT-cards-moving-north), layer: 0
(NOT-robot-at card0), layer: 1
(robot-at card1), layer: 1
(new-headtail-card card5), layer: 1
(next-moving-card card6), layer: 1
(cards-moving), layer: 1
(cards-moving-west), layer: 1
(new-headtail-card card11), layer: 1
(next-moving-card card12), layer: 1
(new-headtail-card card15), layer: 1
(next-moving-card card16), layer: 1
(new-headtail-card card20), layer: 1
(next-moving-card card21), layer: 1
(new-headtail-card card4), layer: 1
(next-moving-card card3), layer: 1
(cards-moving-east), layer: 1
(new-headtail-card card9), layer: 1
(next-moving-card card8), layer: 1
(new-headtail-card card10), layer: 1
(next-moving-card card14), layer: 1
(new-headtail-card card19), layer: 1
(next-moving-card card18), layer: 1
(new-headtail-card card24), layer: 1
(next-moving-card card23), layer: 1
(new-headtail-card card1), layer: 1
(cards-moving-north), layer: 1
(new-headtail-card card2), layer: 1
(next-moving-card card7), layer: 1
(new-headtail-card card3), layer: 1
(next-moving-card card9), layer: 1
(next-moving-card card15), layer: 1
(cards-moving-south), layer: 1
(new-headtail-card card21), layer: 1
(new-headtail-card card22), layer: 1
(next-moving-card card17), layer: 1
(new-headtail-card card23), layer: 1
(next-moving-card card19), layer: 1
(robot-at card2), layer: 2
(new-headtail-card card0), layer: 2
(next-moving-card card1), layer: 2
(card-at card3 pos2 pos0), layer: 2
(next-moving-card card4), layer: 2
(card-at card6 pos0 pos1), layer: 2
(card-at card7 pos1 pos1), layer: 2
(card-at card8 pos2 pos1), layer: 2
(card-at card12 pos0 pos2), layer: 2
(next-moving-card card13), layer: 2
(card-at card14 pos2 pos2), layer: 2
(next-moving-card card10), layer: 2
(card-at card16 pos0 pos3), layer: 2
(card-at card17 pos1 pos3), layer: 2
(card-at card18 pos2 pos3), layer: 2
(card-at card21 pos0 pos4), layer: 2
(next-moving-card card22), layer: 2
(card-at card23 pos2 pos4), layer: 2
(next-moving-card card24), layer: 2
(card-at card9 pos3 pos1), layer: 2
(card-at card5 pos4 pos1), layer: 2
(card-at card11 pos4 pos1), layer: 2
(card-at card15 pos4 pos1), layer: 2
(card-at card20 pos4 pos1), layer: 2
(card-at card4 pos4 pos1), layer: 2
(card-at card10 pos4 pos1), layer: 2
(card-at card19 pos4 pos1), layer: 2
(card-at card24 pos4 pos1), layer: 2
(card-at card1 pos4 pos1), layer: 2
(card-at card2 pos4 pos1), layer: 2
(card-at card3 pos4 pos1), layer: 2
(card-at card21 pos4 pos1), layer: 2
(card-at card22 pos4 pos1), layer: 2
(card-at card23 pos4 pos1), layer: 2
(card-at card19 pos3 pos3), layer: 2
(card-at card5 pos4 pos3), layer: 2
(card-at card11 pos4 pos3), layer: 2
(card-at card15 pos4 pos3), layer: 2
(card-at card20 pos4 pos3), layer: 2
(card-at card4 pos4 pos3), layer: 2
(card-at card9 pos4 pos3), layer: 2
(card-at card10 pos4 pos3), layer: 2
(card-at card24 pos4 pos3), layer: 2
(card-at card1 pos4 pos3), layer: 2
(card-at card2 pos4 pos3), layer: 2
(card-at card3 pos4 pos3), layer: 2
(card-at card21 pos4 pos3), layer: 2
(card-at card22 pos4 pos3), layer: 2
(card-at card23 pos4 pos3), layer: 2
(card-at card3 pos4 pos0), layer: 2
(next-moving-card card2), layer: 2
(card-at card6 pos2 pos1), layer: 2
(next-moving-card card5), layer: 2
(card-at card7 pos3 pos1), layer: 2
(card-at card8 pos4 pos1), layer: 2
(card-at card12 pos2 pos2), layer: 2
(next-moving-card card11), layer: 2
(card-at card14 pos4 pos2), layer: 2
(card-at card16 pos2 pos3), layer: 2
(card-at card17 pos3 pos3), layer: 2
(card-at card18 pos4 pos3), layer: 2
(card-at card21 pos2 pos4), layer: 2
(next-moving-card card20), layer: 2
(card-at card23 pos4 pos4), layer: 2
(card-at card15 pos1 pos3), layer: 2
(card-at card5 pos0 pos3), layer: 2
(card-at card11 pos0 pos3), layer: 2
(card-at card20 pos0 pos3), layer: 2
(card-at card4 pos0 pos3), layer: 2
(card-at card9 pos0 pos3), layer: 2
(card-at card10 pos0 pos3), layer: 2
(card-at card19 pos0 pos3), layer: 2
(card-at card24 pos0 pos3), layer: 2
(card-at card1 pos0 pos3), layer: 2
(card-at card2 pos0 pos3), layer: 2
(card-at card3 pos0 pos3), layer: 2
(card-at card21 pos0 pos3), layer: 2
(card-at card22 pos0 pos3), layer: 2
(card-at card23 pos0 pos3), layer: 2
(card-at card6 pos1 pos0), layer: 2
(card-at card7 pos2 pos0), layer: 2
(card-at card8 pos3 pos0), layer: 2
(card-at card9 pos4 pos0), layer: 2
(card-at card12 pos1 pos1), layer: 2
(card-at card14 pos3 pos1), layer: 2
(card-at card15 pos0 pos2), layer: 2
(card-at card16 pos1 pos2), layer: 2
(card-at card17 pos2 pos2), layer: 2
(card-at card18 pos3 pos2), layer: 2
(card-at card19 pos4 pos2), layer: 2
(card-at card21 pos1 pos3), layer: 2
(card-at card5 pos1 pos4), layer: 2
(card-at card11 pos1 pos4), layer: 2
(card-at card15 pos1 pos4), layer: 2
(card-at card20 pos1 pos4), layer: 2
(card-at card4 pos1 pos4), layer: 2
(card-at card9 pos1 pos4), layer: 2
(card-at card10 pos1 pos4), layer: 2
(card-at card19 pos1 pos4), layer: 2
(card-at card24 pos1 pos4), layer: 2
(card-at card1 pos1 pos4), layer: 2
(card-at card2 pos1 pos4), layer: 2
(card-at card3 pos1 pos4), layer: 2
(card-at card22 pos1 pos4), layer: 2
(card-at card23 pos1 pos4), layer: 2
(card-at card23 pos3 pos3), layer: 2
(card-at card5 pos3 pos4), layer: 2
(card-at card11 pos3 pos4), layer: 2
(card-at card15 pos3 pos4), layer: 2
(card-at card20 pos3 pos4), layer: 2
(card-at card4 pos3 pos4), layer: 2
(card-at card9 pos3 pos4), layer: 2
(card-at card10 pos3 pos4), layer: 2
(card-at card19 pos3 pos4), layer: 2
(card-at card24 pos3 pos4), layer: 2
(card-at card1 pos3 pos4), layer: 2
(card-at card2 pos3 pos4), layer: 2
(card-at card3 pos3 pos4), layer: 2
(card-at card21 pos3 pos4), layer: 2
(card-at card22 pos3 pos4), layer: 2
(card-at card6 pos1 pos2), layer: 2
(card-at card7 pos2 pos2), layer: 2
(card-at card8 pos3 pos2), layer: 2
(card-at card9 pos4 pos2), layer: 2
(card-at card12 pos1 pos3), layer: 2
(card-at card14 pos3 pos3), layer: 2
(card-at card15 pos0 pos4), layer: 2
(card-at card16 pos1 pos4), layer: 2
(card-at card17 pos2 pos4), layer: 2
(card-at card18 pos3 pos4), layer: 2
(card-at card19 pos4 pos4), layer: 2
(card-at card3 pos3 pos1), layer: 2
(card-at card5 pos3 pos0), layer: 2
(card-at card11 pos3 pos0), layer: 2
(card-at card15 pos3 pos0), layer: 2
(card-at card20 pos3 pos0), layer: 2
(card-at card4 pos3 pos0), layer: 2
(card-at card9 pos3 pos0), layer: 2
(card-at card10 pos3 pos0), layer: 2
(card-at card19 pos3 pos0), layer: 2
(card-at card24 pos3 pos0), layer: 2
(card-at card1 pos3 pos0), layer: 2
(card-at card2 pos3 pos0), layer: 2
(card-at card21 pos3 pos0), layer: 2
(card-at card22 pos3 pos0), layer: 2
(card-at card23 pos3 pos0), layer: 2
(max-pos pos4), layer: 0
(min-pos pos0), layer: 0
(next pos1 pos0), layer: 0
(next pos2 pos1), layer: 0
(next pos3 pos2), layer: 0
(next pos4 pos3), layer: 0
(blocked card0 s), layer: 0
(blocked card0 w), layer: 0
(blocked card1 n), layer: 0
(blocked card1 s), layer: 0
(blocked card2 n), layer: 0
(blocked card3 n), layer: 0
(blocked card3 s), layer: 0
(blocked card4 n), layer: 0
(blocked card4 e), layer: 0
(blocked card5 s), layer: 0
(blocked card5 w), layer: 0
(blocked card6 w), layer: 0
(blocked card7 n), layer: 0
(blocked card7 s), layer: 0
(blocked card8 n), layer: 0
(blocked card8 w), layer: 0
(blocked card9 e), layer: 0
(blocked card9 s), layer: 0
(blocked card11 e), layer: 0
(blocked card11 s), layer: 0
(blocked card12 e), layer: 0
(blocked card12 w), layer: 0
(blocked card13 s), layer: 0
(blocked card13 w), layer: 0
(blocked card14 n), layer: 0
(blocked card14 e), layer: 0
(blocked card10 n), layer: 0
(blocked card15 e), layer: 0
(blocked card15 s), layer: 0
(blocked card16 n), layer: 0
(blocked card16 e), layer: 0
(blocked card17 n), layer: 0
(blocked card17 s), layer: 0
(blocked card18 s), layer: 0
(blocked card18 w), layer: 0
(blocked card19 w), layer: 0
(blocked card20 w), layer: 0
(blocked card21 n), layer: 0
(blocked card21 e), layer: 0
(blocked card22 n), layer: 0
(blocked card22 e), layer: 0
(blocked card23 e), layer: 0
(blocked card23 s), layer: 0
(blocked card24 w), layer: 0
