(at_soil_sample waypoint0), layer: 0
(supports camera2 low_res), layer: 0
(camera camera3), layer: 0
(on_board camera3 rover1), layer: 0
(calibration_target camera3 objective2), layer: 0
(supports camera3 high_res), layer: 0
(supports camera3 low_res), layer: 0
(camera camera4), layer: 0
(on_board camera4 rover2), layer: 0
(calibration_target camera4 objective0), layer: 0
(supports camera4 colour), layer: 0
(camera camera5), layer: 0
(on_board camera5 rover3), layer: 0
(calibration_target camera5 objective0), layer: 0
(supports camera5 colour), layer: 0
(supports camera5 high_res), layer: 0
(supports camera5 low_res), layer: 0
(objective objective0), layer: 0
(visible_from objective0 waypoint0), layer: 0
(objective objective1), layer: 0
(visible_from objective1 waypoint0), layer: 0
(visible_from objective1 waypoint1), layer: 0
(visible_from objective1 waypoint2), layer: 0
(visible_from objective1 waypoint3), layer: 0
(objective objective2), layer: 0
(visible_from objective2 waypoint0), layer: 0
(visible_from objective2 waypoint1), layer: 0
(visible_from objective2 waypoint2), layer: 0
(visible_from objective2 waypoint3), layer: 0
(objective objective3), layer: 0
(visible_from objective3 waypoint0), layer: 0
(visible_from objective3 waypoint1), layer: 0
(visible_from objective3 waypoint2), layer: 0
(visible_from objective3 waypoint3), layer: 0
(visible_from objective3 waypoint4), layer: 0
(visible_from objective3 waypoint5), layer: 0
