(empty-shaker shaker1), layer: 0
(count-shot shot-bag1 ontable-true clean-shot-true cocktail1 snum0), layer: 0
(count-shot shot-bag1 ontable-true shot-property2-none cocktail1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 shot-property2-none cocktail1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 shot-property2-none cocktail2 snum0), layer: 0
(count-shot shot-bag1 ontable-true shot-property2-none cocktail2 snum0), layer: 0
(count-shot shot-bag1 ontable-true clean-shot-true cocktail2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 clean-shot-true cocktail2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail1 cocktail2 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail1 cocktail2 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail2 cocktail2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail2 cocktail2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail3 cocktail2 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail3 cocktail2 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient1 cocktail2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient1 cocktail2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient2 cocktail2 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient2 cocktail2 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient3 cocktail2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient3 cocktail2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient3 cocktail3 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient3 cocktail3 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient2 cocktail3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient2 cocktail3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient1 cocktail3 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient1 cocktail3 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail3 cocktail3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail3 cocktail3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail2 cocktail3 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail2 cocktail3 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail1 cocktail3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail1 cocktail3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 clean-shot-true cocktail3 snum0), layer: 0
(count-shot shot-bag1 ontable-true clean-shot-true cocktail3 snum0), layer: 0
(count-shot shot-bag1 ontable-true shot-property2-none cocktail3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 shot-property2-none cocktail3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 shot-property2-none ingredient1 snum0), layer: 0
(count-shot shot-bag1 ontable-true shot-property2-none ingredient1 snum0), layer: 0
(count-shot shot-bag1 ontable-true clean-shot-true ingredient1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 clean-shot-true ingredient1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail1 ingredient1 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail1 ingredient1 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail2 ingredient1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail2 ingredient1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail3 ingredient1 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail3 ingredient1 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient1 ingredient1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient1 ingredient1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient2 ingredient1 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient2 ingredient1 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient3 ingredient1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient3 ingredient1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient3 ingredient2 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient3 ingredient2 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient2 ingredient2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient2 ingredient2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient1 ingredient2 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient1 ingredient2 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail3 ingredient2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail3 ingredient2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail2 ingredient2 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail2 ingredient2 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail1 ingredient2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail1 ingredient2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 clean-shot-true ingredient2 snum0), layer: 0
(count-shot shot-bag1 ontable-true clean-shot-true ingredient2 snum0), layer: 0
(count-shot shot-bag1 ontable-true shot-property2-none ingredient2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 shot-property2-none ingredient2 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 shot-property2-none ingredient3 snum0), layer: 0
(count-shot shot-bag1 ontable-true shot-property2-none ingredient3 snum0), layer: 0
(count-shot shot-bag1 ontable-true clean-shot-true ingredient3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 clean-shot-true ingredient3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail1 ingredient3 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail1 ingredient3 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail2 ingredient3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail2 ingredient3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail3 ingredient3 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail3 ingredient3 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient1 ingredient3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient1 ingredient3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient2 ingredient3 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient2 ingredient3 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient3 ingredient3 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient3 ingredient3 snum0), layer: 0
(count-shot-goal shot-bag1 cocktail1 snum0), layer: 0
(count-shot-goal shot-bag1 cocktail2 snum0), layer: 0
(count-shot-goal shot-bag1 cocktail3 snum0), layer: 0
(count-shot-goal shot-bag1 ingredient1 snum0), layer: 0
(count-shot-goal shot-bag1 ingredient2 snum0), layer: 0
(count-shot-goal shot-bag1 ingredient3 snum0), layer: 0
(count-hand hand-bag1 shaker1 hnum0), layer: 0
(count-hand hand-bag1 shot-bag1 hnum0), layer: 0
(count-shot shot-bag1 ontable-true clean-shot-true empty-shot-true snum3), layer: 1
(count-shot shot-bag1 hand-bag1 clean-shot-true empty-shot-true snum1), layer: 1
(count-hand hand-bag1 handempty-true hnum1), layer: 1
(count-hand hand-bag1 shot-bag1 hnum1), layer: 1
(count-hand hand-bag1 shaker1 hnum1), layer: 1
(count-hand hand-bag1 handempty-true hnum0), layer: 2
(count-hand hand-bag1 shot-bag1 hnum2), layer: 2
(count-shot shot-bag1 ontable-true clean-shot-true empty-shot-true snum2), layer: 2
(count-shot shot-bag1 hand-bag1 clean-shot-true empty-shot-true snum2), layer: 2
(count-hand hand-bag1 shaker1 hnum2), layer: 2
(count-shot shot-bag1 hand-bag1 ingredient1 ingredient1 snum1), layer: 2
(count-shot shot-bag1 hand-bag1 ingredient2 ingredient2 snum1), layer: 2
(count-shot shot-bag1 hand-bag1 ingredient3 ingredient3 snum1), layer: 2
(dispenses dispenser3 ingredient3), layer: 0
(next l1 l2), layer: 0
(cocktail-part2 cocktail2 ingredient3), layer: 0
(cocktail-part1 cocktail3 ingredient1), layer: 0
(dispenses dispenser2 ingredient2), layer: 0
(cocktail-part2 cocktail1 ingredient1), layer: 0
(cocktail-part1 cocktail1 ingredient3), layer: 0
(shaker-empty-level shaker1 l0), layer: 0
(cocktail-part2 cocktail3 ingredient2), layer: 0
(cocktail-part1 cocktail2 ingredient2), layer: 0
(next l0 l1), layer: 0
(dispenses dispenser1 ingredient1), layer: 0
(shot-less snum1 snum2), layer: 0
(shot-less snum2 snum3), layer: 0
(shot-less snum3 snum4), layer: 0
(hand-less hnum1 hnum2), layer: 0
(count-shot-goal-desired-count shot-bag1 cocktail3 snum3), layer: 0
(count-shot-goal-desired-count shot-bag1 cocktail1 snum1), layer: 0
(count-shot-goal-desired-count shot-bag1 cocktail2 snum1), layer: 0
(shot-less snum0 snum1), layer: 0
(hand-less hnum0 hnum1), layer: 0
(count-shot-goal-desired-count shot-bag1 empty-shot-true snum0), layer: 0
(count-shot-goal-desired-count shot-bag1 ingredient1 snum0), layer: 0
(count-shot-goal-desired-count shot-bag1 ingredient2 snum0), layer: 0
(count-shot-goal-desired-count shot-bag1 ingredient3 snum0), layer: 0
(shot-bag-size shot-bag1 snum4), layer: 0
(shot-lte-sum snum0 snum0 snum4), layer: 0
(shot-lte-sum snum0 snum1 snum4), layer: 0
(shot-lte-sum snum0 snum2 snum4), layer: 0
(shot-lte-sum snum0 snum3 snum4), layer: 0
(shot-lte-sum snum0 snum4 snum4), layer: 0
(shot-lte-sum snum1 snum0 snum4), layer: 0
(shot-lte-sum snum1 snum1 snum4), layer: 0
(shot-lte-sum snum1 snum2 snum4), layer: 0
(shot-lte-sum snum1 snum3 snum4), layer: 0
(shot-lte-sum snum2 snum0 snum4), layer: 0
(shot-lte-sum snum2 snum1 snum4), layer: 0
(shot-lte-sum snum2 snum2 snum4), layer: 0
(shot-lte-sum snum3 snum0 snum4), layer: 0
(shot-lte-sum snum3 snum1 snum4), layer: 0
(shot-lte-sum snum4 snum0 snum4), layer: 0
(hand-bag-size hand-bag1 hnum2), layer: 0
(hand-lte-sum hnum0 hnum0 hnum2), layer: 0
(hand-lte-sum hnum0 hnum1 hnum2), layer: 0
(hand-lte-sum hnum0 hnum2 hnum2), layer: 0
(hand-lte-sum hnum1 hnum0 hnum2), layer: 0
(hand-lte-sum hnum1 hnum1 hnum2), layer: 0
(hand-lte-sum hnum2 hnum0 hnum2), layer: 0
