(at player-01 pos-6-4), layer: 0
(move-dir pos-4-2 pos-3-2 dir-left), layer: 0
(move-dir pos-4-2 pos-4-3 dir-down), layer: 0
(move-dir pos-4-3 pos-3-3 dir-left), layer: 0
(move-dir pos-4-3 pos-4-2 dir-up), layer: 0
(move-dir pos-4-3 pos-4-4 dir-down), layer: 0
(move-dir pos-4-3 pos-5-3 dir-right), layer: 0
(move-dir pos-4-4 pos-3-4 dir-left), layer: 0
(move-dir pos-4-4 pos-4-3 dir-up), layer: 0
(move-dir pos-4-4 pos-4-5 dir-down), layer: 0
(move-dir pos-4-4 pos-5-4 dir-right), layer: 0
(move-dir pos-4-5 pos-3-5 dir-left), layer: 0
(move-dir pos-4-5 pos-4-4 dir-up), layer: 0
(move-dir pos-4-5 pos-4-6 dir-down), layer: 0
(move-dir pos-4-6 pos-3-6 dir-left), layer: 0
(move-dir pos-4-6 pos-4-5 dir-up), layer: 0
(move-dir pos-5-3 pos-4-3 dir-left), layer: 0
(move-dir pos-5-3 pos-5-4 dir-down), layer: 0
(move-dir pos-5-3 pos-6-3 dir-right), layer: 0
(move-dir pos-5-4 pos-4-4 dir-left), layer: 0
(move-dir pos-5-4 pos-5-3 dir-up), layer: 0
(move-dir pos-5-4 pos-6-4 dir-right), layer: 0
(move-dir pos-6-1 pos-7-1 dir-right), layer: 0
(move-dir pos-6-3 pos-5-3 dir-left), layer: 0
(move-dir pos-6-3 pos-6-4 dir-down), layer: 0
(move-dir pos-6-4 pos-5-4 dir-left), layer: 0
(move-dir pos-6-4 pos-6-3 dir-up), layer: 0
(move-dir pos-6-6 pos-6-7 dir-down), layer: 0
(move-dir pos-6-6 pos-7-6 dir-right), layer: 0
(move-dir pos-6-7 pos-6-6 dir-up), layer: 0
(move-dir pos-6-7 pos-7-7 dir-right), layer: 0
(move-dir pos-7-1 pos-6-1 dir-left), layer: 0
(move-dir pos-7-6 pos-6-6 dir-left), layer: 0
(move-dir pos-7-6 pos-7-7 dir-down), layer: 0
(move-dir pos-7-7 pos-6-7 dir-left), layer: 0
(move-dir pos-7-7 pos-7-6 dir-up), layer: 0
